,complaintid,buildingid,boroughid,borough,housenumber,streetname,zip,block,lot,apartment,communityboard,receiveddate,statusid,status,statusdate
126,7419302,324794,3,BROOKLYN,213,LEWIS AVENUE,11221,1625,7,BLDG,3,2015-04-01T00:00:00.000,2,CLOSE,2015-04-07T00:00:00.000
127,7419303,120425,2,BRONX,2856,WEBB AVENUE,10468,3250,71,BLDG,8,2015-04-01T00:00:00.000,2,CLOSE,2015-04-02T00:00:00.000
128,7419304,120425,2,BRONX,2856,WEBB AVENUE,10468,3250,71,BLDG,8,2015-04-01T00:00:00.000,2,CLOSE,2015-04-02T00:00:00.000
129,7419305,820850,3,BROOKLYN,1514,PACIFIC STREET,11213,1210,133,BLDG,8,2015-04-01T00:00:00.000,2,CLOSE,2015-04-02T00:00:00.000
130,7419306,209753,3,BROOKLYN,1803,BEVERLY ROAD,11226,5122,41,4B,14,2015-04-01T00:00:00.000,2,CLOSE,2015-04-07T00:00:00.000
131,7419307,27333,1,MANHATTAN,684,RIVERSIDE DRIVE,10031,2092,46,1E,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-10T00:00:00.000
132,7419308,78263,2,BRONX,1064,FINDLAY AVENUE,10456,2433,49,1,4,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
133,7419309,88388,2,BRONX,3422,IRWIN AVENUE,10463,5763,523,1STFL,8,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
134,7419310,78263,2,BRONX,1064,FINDLAY AVENUE,10456,2433,49,1,4,2015-04-01T00:00:00.000,2,CLOSE,2015-04-10T00:00:00.000
135,7419311,40560,1,MANHATTAN,138,WEST 133 STREET,10030,1917,48,A3D,10,2015-04-01T00:00:00.000,2,CLOSE,2015-04-02T00:00:00.000
136,7419312,847069,4,QUEENS,118-06,95 AVENUE,11419,9454,2,3FLR,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
137,7419313,339341,3,BROOKLYN,128,MONTAGUE STREET,11201,249,25,BLDG,2,2015-04-01T00:00:00.000,2,CLOSE,2015-04-06T00:00:00.000
138,7419314,21215,1,MANHATTAN,149,EDGECOMBE AVENUE,10030,2051,91,D1,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
139,7419292,383395,3,BROOKLYN,1654,UNION STREET,11213,1402,9,6,9,2015-04-01T00:00:00.000,2,CLOSE,2015-08-08T00:00:00.000
140,7419316,120425,2,BRONX,2856,WEBB AVENUE,10468,3250,71,BLDG,8,2015-04-01T00:00:00.000,2,CLOSE,2015-04-02T00:00:00.000
141,7419317,42167,1,MANHATTAN,519,WEST 147 STREET,10031,2079,19,3,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
142,7419318,396049,3,BROOKLYN,1091,WILLMOHR STREET,11212,4670,7,5A,17,2015-04-01T00:00:00.000,2,CLOSE,2015-04-02T00:00:00.000
143,7419319,951742,4,QUEENS,55-15,99 STREET,11368,1909,1,5E,4,2015-04-01T00:00:00.000,2,CLOSE,2015-04-08T00:00:00.000
144,7419320,55615,2,BRONX,1381,CASTLE HILL AVENUE,10462,3935,53,A6,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
145,7419321,107176,2,BRONX,2816,ROEBLING AVENUE,10461,5385,13,BLDG,10,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
146,7419322,60074,2,BRONX,2150,CROTONA PARKWAY,10460,3119,58,BLDG,6,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
147,7419323,192087,3,BROOKLYN,1122,AVENUE N,11230,6749,5,5C,14,2015-04-01T00:00:00.000,2,CLOSE,2015-04-21T00:00:00.000
148,7419324,692619,4,QUEENS,53-25,ROOSEVELT AVENUE,11377,1316,65,2LR,2,2015-04-01T00:00:00.000,2,CLOSE,2015-04-05T00:00:00.000
149,7419325,112023,2,BRONX,1015,SUMMIT AVENUE,10452,2523,150,6A,4,2015-04-01T00:00:00.000,2,CLOSE,2015-04-08T00:00:00.000
