school_year,location_name,location_code,borough,geographical_district_code,register,schools,nypd_site_code,nypd_site_name,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,geocode,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,postcode,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,building_name
2016 - 17,P.S. 506: The School of Journalism & Technology,K506,K,20,1094,2,1423,PS 971,PS 503: The School of Discovery |  P.S. 506: The School of Journalism & Technology |  330 59 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,6C,1001-1250,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.787083', 'longitude': '-74.014412', 'human_address': '{""address"": ""330 59 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",15571.0,,,,,,,,,,,,,,330 59 STREET CONSOLIDATED LOCATION
2016 - 17,West Prep Academy,M421,M,3,370,2,557,JHS 143M,"P.S. 145, The Bloomingdale School |  West Prep Academy |  150 WEST 105 STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '46.688595', 'longitude': '-123.749978', 'human_address': '{""address"": ""150 WEST 105 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",25692.0,,,,,10025.0,40.799178,-73.964842,7.0,7.0,189.0,1076625.0,1018590001.0,Upper West Side                                                            ,150 WEST 105 STREET CONSOLIDATED LOCATION
2016 - 17,1573 MADISON AVENUE CONSOLIDATED LOCATION,M013,M,4,490,4,575,PS 009M,Central Park East I|  Central Park East High School|  East Harlem Scholars Academy Charter School II|  East Harlem Scholars Academy Charter School|  1573 MADISON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.780479', 'longitude': '-81.931448', 'human_address': '{""address"": ""1573 MADISON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",4798.0,,,,,10029.0,40.793763,-73.949381,11.0,8.0,17401.0,1051515.0,1016120050.0,East Harlem South                                                          ,1573 MADISON AVENUE CONSOLIDATED LOCATION
2016 - 17,2630 BENSON AVENUE CONSOLIDATED LOCATION,K400,K,21,325,5,1162,PAL AUXILARY SERVICES,International High School at Lafayette |  High School of Sports Management |  Kingsborough Early College School |  Life Academy High School for Film and Music |  Expeditionary Learning School for Community Leader |  2630 BENSON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.594021', 'longitude': '-73.98532', 'human_address': '{""address"": ""2630 BENSON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",17616.0,21.0,2.0,45.0,35.0,11214.0,40.594291,-73.98577,13.0,47.0,306.0,3186454.0,3068830001.0,Gravesend                                                                  ,2630 BENSON AVENUE CONSOLIDATED LOCATION
2016 - 17,Summit Academy Charter School,K730,K,15,327,2,1057,FREDERICK DOUGLASS ACADEMY IV,Red Hook Neighborhood School|Summit Academy Charter School|27 HUNTINGTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '41.359242', 'longitude': '-71.842612', 'human_address': '{""address"": ""27 HUNTINGTON STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",19724.0,,,,,11231.0,40.677564,-74.005166,6.0,38.0,59.0,3008342.0,3005250001.0,Carroll Gardens-Columbia Street-Red Hook                                   ,27 HUNTINGTON STREET CONSOLIDATED LOCATION
2016 - 17,BROOKLYN PROSPECT CHARTER SCHOOL(BS),K707,K,15,358,1,4,BENJAMIN BANNEKER ACADEMY HS,Bedford Academy High School,0,0,0,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"{'latitude': '40.690284', 'longitude': '-73.38348', 'human_address': '{""address"": ""153 35th St"", ""city"": """", ""state"": """", ""zip"": """"}'}",24509.0,,,,,11232.0,40.65571,-74.005197,7.0,38.0,84.0,3394175.0,3006880026.0,Sunset Park West                                                           ,
2016 - 17,223 GRAHAM AVENUE CONSOLIDATED LOCATION,K049,K,14,1484,3,207,PS 048K,"Brooklyn Latin School, The |  Green School: An Academy for Environmental Careers |  Lyons Community School 223 GRAHAM AVENUE CONSOLIDATED LOCATION",1,1,4,0,1,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"{'latitude': '41.868304', 'longitude': '-88.021736', 'human_address': '{""address"": ""223 GRAHAM AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",14470.0,,,,,11206.0,40.709941,-73.943641,1.0,34.0,505.0,3070825.0,3030250001.0,East Williamsburg                                                          ,223 GRAHAM AVENUE CONSOLIDATED LOCATION
2016 - 17,100 CLERMONT AVENUE CONSOLIDATED LOCATION,K046,K,13,538,2,69,PS 045K,P.S. 046 Edward C. Blum |  Fort Greene Preparatory Academy |  100 CLERMONT AVENUE CONSOLIDATED LOCATION,2,1,1,1,2,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '40.694593', 'longitude': '-73.971146', 'human_address': '{""address"": ""100 CLERMONT AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",17212.0,68.0,2.0,48.0,55.0,11205.0,40.694633,-73.971165,2.0,35.0,187.0,3058088.0,3020450011.0,Fort Greene                                                                ,100 CLERMONT AVENUE CONSOLIDATED LOCATION
2016 - 17,100 WEST  84 STREET CONSOLIDATED LOCATION,M009,M,3,234,2,572,PS 006M,P.S. 009 Sarah Anderson |  M.S. 243 Center School |  100 WEST  84 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'latitude': '29.510513', 'longitude': '-90.331629', 'human_address': '{""address"": ""100 WEST 84 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",4163.0,,,,,10024.0,40.785287,-73.97343,7.0,6.0,169.0,1032119.0,1012140029.0,Upper West Side                                                            ,100 WEST  84 STREET CONSOLIDATED LOCATION
2016 - 17,P.S. 161 Pedro Albizu Campos,M161,M,5,994,2,610,PS 153M,P.S. 158 Bayard Taylor | Yorkville East Middle School | 1458 YORK AVENUE  CONSOLIDATED LOCATION ,1,2,2,3,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"{'latitude': '44.183943', 'longitude': '-69.124008', 'human_address': '{""address"": ""499 WEST 133 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",15793.0,,,,,10027.0,40.81755,-73.953041,9.0,9.0,21303.0,1059645.0,1019710001.0,Manhattanville                                                             ,1458 YORK AVENUE  CONSOLIDATED LOCATION 
