school_year,location_name,location_code,borough,geographical_district_code,register,schools,nypd_site_code,nypd_site_name,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,geocode,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,postcode,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,building_name
2016 - 17,1400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,K346,K,19,324,2,190,MS 136K,P.S. 346 Abe Stark |  Frederick Douglass Academy VIII Middle School |  1400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.421492', 'longitude': '-80.569278', 'human_address': '{""address"": ""1400 PENNSYLVANIA AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",7901.0,,,,,11239.0,40.64726,-73.881114,5.0,42.0,105804.0,3098294.0,3044520025.0,Starrett City                                                              ,1400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION
2016 - 17,New York City Lab Middle School for Collaborative,M312,M,2,537,1,688,PS 063M,Yorkville Community School,0,0,0,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '39.647167', 'longitude': '-74.185784', 'human_address': '{""address"": ""333 WEST 17 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",27946.0,,,,,10011.0,40.742129,-74.002198,4.0,3.0,83.0,1079152.0,1007410010.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,
2016 - 17,3000 AVENUE X CONSOLIDATED LOCATION,K495,K,22,385,4,10,BUSHWICK HS CAMPUS,Origins High School| Professional Pathways High School| New Visions Charter High School for Advanced Math| New Visions Charter High School for the Humanities| 3000 AVENUE X CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.594236', 'longitude': '-73.936836', 'human_address': '{""address"": ""3000 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",13512.0,32.0,2.0,8.0,36.0,11235.0,40.594124,-73.937696,15.0,48.0,626.0,3203631.0,3074250002.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,3000 AVENUE X CONSOLIDATED LOCATION
2016 - 17,Cypress Hills Collegiate Preparatory School,K659,K,19,329,5,315,SAMUEL J. TILDEN HS,Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '27.783609', 'longitude': '-80.501816', 'human_address': '{""address"": ""999 JAMAICA AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",22275.0,,,,,11208.0,40.691146,-73.868328,5.0,37.0,1180.0,3090738.0,3040940001.0,park-cemetery-etc-Brooklyn                                                 ,999 JAMAICA AVENUE CONSOLIDATED LOCATION
2016 - 17,SUCCESS ACADEMY HIGH SCHOOL OF THE LIBERAL ARTS(MS),M351,M,2,449,2,674,PARK WEST HS,NYC iSchool |  Chelsea Career and Technical Education High School |  131 AVENUE OF THE AMERICAS CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.746192', 'longitude': '-73.981277', 'human_address': '{""address"": ""111 EAST 33RD STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",12078.0,11.0,4.0,50.0,8.0,10016.0,40.746176,-73.981241,5.0,2.0,72.0,1087537.0,1008897501.0,Murray Hill-Kips Bay                                                       ,131 AVENUE OF THE AMERICAS CONSOLIDATED LOCATION
2016 - 17,Coalition School for Social Change,M409,M,4,959,2,559,JHS 172M,Coalition School for Social Change|Harlem Village Academy Leadership Charter School|2351 1ST AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A,"{'latitude': '39.478451', 'longitude': '-87.38128', 'human_address': '{""address"": ""2351 1ST AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",16522.0,,,,,10035.0,40.798884,-73.933319,11.0,8.0,194.0,1054786.0,1017970100.0,East Harlem North                                                          ,2351 1ST AVENUE CONSOLIDATED LOCATION
2016 - 17,Brooklyn Theatre Arts High School,K567,K,18,227,6,145,CANARSIE HS,Brooklyn Generation School |  Brooklyn Theatre Arts High School |  Victory Collegiate High School |  Brooklyn Bridge Academy |  Academy for Conservation and the Environment |  South Shore Educational Complex Yabc |  6565 FLATLANDS AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.633516', 'longitude': '-73.916477', 'human_address': '{""address"": ""6565 FLATLANDS AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",13827.0,5.0,2.0,8.0,42.0,11236.0,40.633285,-73.916735,18.0,46.0,950.0,3224139.0,3079980005.0,Canarsie                                                                   ,6565 FLATLANDS AVENUE CONSOLIDATED LOCATION
2016 - 17,P.S. 185 Walter Kassenbrock,K185,K,20,509,1,1145,PS 183K,P.S. 184 Newport,0,2,5,2,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '40.623699', 'longitude': '-74.033906', 'human_address': '{""address"": ""8601 RIDGE BOULEVARD"", ""city"": """", ""state"": """", ""zip"": """"}'}",17216.0,10.0,2.0,44.0,41.0,11209.0,40.623986,-74.033779,10.0,43.0,60.0,3153416.0,3060430001.0,Bay Ridge                                                                  ,
2016 - 17,The College Academy,M462,M,6,458,7,706,SEWARD PARK HS,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '28.010919', 'longitude': '-80.660106', 'human_address': '{""address"": ""549 AUDUBON AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",21888.0,,,,,10040.0,40.855954,-73.927051,12.0,10.0,277.0,1076751.0,1021600018.0,Washington Heights North                                                   ,40 IRVING PLACE CONSOLIDATED LOCATION
2016 - 17,P.S. 213 New Lots,K213,K,19,697,1,45,MS 394K,P.S. 212 Lady Deborah Moody,0,0,1,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '40.660642', 'longitude': '-73.890025', 'human_address': '{""address"": ""580 HEGEMAN AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",17214.0,45.0,2.0,25.0,47.0,11207.0,40.66051,-73.890288,5.0,42.0,1104.0,3097334.0,3043240001.0,East New York                                                              ,
2016 - 17,P.S. 207 Elizabeth G. Leary,K207,K,22,1492,1,106,PS 202K,P.S. 206 Joseph F Lamb,0,0,2,0,0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"{'latitude': '31.817318', 'longitude': '-106.443931', 'human_address': '{""address"": ""4011 FILLMORE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",13492.0,,,,,11234.0,40.613353,-73.930129,18.0,46.0,652.0,3239388.0,3084840001.0,Georgetown-Marine Park-Bergen Beach-Mill Basin                             ,
2016 - 17,1599 EAST  22 STREET CONSOLIDATED LOCATION,K197,K,22,640,2,254,PS 195K,P.S. 197 - The Kings Highway Academy |  I. S. 381 |  1599 EAST  22 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"{'latitude': '41.506625', 'longitude': '-81.676405', 'human_address': '{""address"": ""1599 EAST 22 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",9938.0,,,,,11210.0,40.612623,-73.951906,14.0,48.0,546.0,3182169.0,3067690018.0,Midwood                                                                    ,1599 EAST  22 STREET CONSOLIDATED LOCATION
2016 - 17,West Brooklyn Community High School,K529,K,15,242,1,171,IS 280/BROOKLYN STUDIO,El Puente Academy for Peace and Justice,0,0,0,0,0,2C,1-250,0.24,0.71,1.71,0.51,0.32,"{'latitude': '27.370158', 'longitude': '-82.5499', 'human_address': '{""address"": ""1053 41ST STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",3694.0,,,,,11219.0,40.642834,-73.992948,12.0,39.0,110.0,3328583.0,3055870038.0,Sunset Park East                                                           ,
2016 - 17,P.S. 056 Lewis H. Latimer,K056,K,13,201,2,20,IS 055K,P.S. 056 Lewis H. Latimer|  The Urban Assembly Unison School |  170 GATES AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.807968', 'longitude': '-74.227247', 'human_address': '{""address"": ""170 GATES AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",15459.0,,,,,11238.0,40.68505,-73.960659,2.0,35.0,231.0,3056874.0,3019830010.0,Clinton Hill                                                               ,170 GATES AVENUE CONSOLIDATED LOCATION
2016 - 17,Evergreen Middle School for Urban Exploration,K562,K,32,1222,3,26,IS 291K,Success Academy C harter School- Cobble Hill | Digital Arts and Cinema Technology High School |Boerum Hill School for International Studies |284 BALTIC STREET CONSOLIDATED LOCATION,0,4,4,3,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"{'latitude': '46.014509', 'longitude': '-112.528187', 'human_address': '{""address"": ""125 COVERT STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",1212.0,,,,,11207.0,40.688387,-73.910276,4.0,37.0,413.0,3079027.0,3034160001.0,Bushwick South                                                             ,284 BALTIC STREET CONSOLIDATED LOCATION
2016 - 17,Dos Puentes Elementary School,M103,M,6,1274,3,1275,P.S.128 MINISCHOOL,M.S. 131 |  Pace High School |  EMMA LAZARUS HIGH SCHOOL |  100 HESTER STREET CONSOLIDATED LOCATION,0,10,10,5,5,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"{'latitude': '40.850715', 'longitude': '-73.934329', 'human_address': '{""address"": ""185 WADSWORTH AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",13091.0,47.0,4.0,39.0,22.0,10033.0,40.850626,-73.934377,12.0,10.0,271.0,1063947.0,1021650026.0,Washington Heights North                                                   ,100 HESTER STREET CONSOLIDATED LOCATION
2016 - 17,P.S. 176 Ovington,K176,K,20,310,2,1141,PS 174K,Frederick Douglass Academy VII High School |  Teachers Preparatory High School |  226 BRISTOL STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '42.022116', 'longitude': '-92.257551', 'human_address': '{""address"": ""1225 69 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",23302.0,,,,,,,,,,,,,,226 BRISTOL STREET CONSOLIDATED LOCATION
2016 - 17,Arts & Media Preparatory Academy,K589,K,18,127,3,166,IS 227K,East Flatbush Community Research School |  Arts & Media Preparatory Academy |  Middle School of Marketing and Legal Studies |  905 WINTHROP STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.39373', 'longitude': '-86.884926', 'human_address': '{""address"": ""905 WINTHROP STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",17225.0,,,,,11203.0,40.65843,-73.929076,17.0,41.0,880.0,3099733.0,3046060025.0,Prospect Lefferts Gardens-Wingate                                          ,905 WINTHROP STREET CONSOLIDATED LOCATION
2016 - 17,P.S. 110 Florence Nightingale,M110,M,1,513,1,554,JHS 099M,P.S. 108 Assemblyman Angelo Del Toro Educational C,0,3,5,1,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '35.269246', 'longitude': '-80.420034', 'human_address': '{""address"": ""285 DELANCY STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",21066.0,,,,,10002.0,40.715915,-73.979893,3.0,1.0,12.0,1004066.0,1003310140.0,Lower East Side                                                            ,
2016 - 17,The East Village Community School,M315,M,1,699,1,663,JHS 056M,East Side Community School,1,1,3,1,1,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '41.663277', 'longitude': '-103.091767', 'human_address': '{""address"": ""610 EAST 12 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",2426.0,,,,,10009.0,40.727892,-73.978525,3.0,2.0,28.0,1079053.0,1003940012.0,Lower East Side                                                            ,
2016 - 17,All City Leadership Secondary School,K554,K,32,2325,2,318,SOUTH SHORE HS,John Dewey High School | John Dewey GED |50 Avenue X,2,8,24,7,2,10C,2001-2500,1.69,7.16,17.44,3.63,3.94,"{'latitude': '31.188129', 'longitude': '-81.381413', 'human_address': '{""address"": ""321 PALMETTO STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",7128.0,,,,,11237.0,40.69737,-73.913171,4.0,37.0,433.0,3413715.0,3033440136.0,Bushwick North                                                             ,
2016 - 17,Manhattan Center for Science and Mathematics,M435,M,4,208,1,677,PS 003M,Sixth Avenue Elementary School,0,1,1,0,1,2C,1-250,0.24,0.71,1.71,0.51,0.32,"{'latitude': '38.370274', 'longitude': '-86.340305', 'human_address': '{""address"": ""260 PLEASANT AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",25841.0,,,,,10029.0,40.793856,-73.934028,11.0,8.0,178.0,1053152.0,1017130001.0,East Harlem North                                                          ,
2016 - 17,The Academy of Talented Scholars,K682,K,20,945,2,274,PS 233K,The Academy of Talented Scholars |  Brooklyn School of Inquiry |  50 AVENUE P CONSOLIDATED LOCATION,0,0,1,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"{'latitude': '33.157296', 'longitude': '-99.746703', 'human_address': '{""address"": ""50 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",11680.0,,,,,11204.0,40.60731,-73.986595,11.0,44.0,428.0,3396829.0,3066180001.0,Bensonhurst East                                                           ,50 AVENUE P CONSOLIDATED LOCATION
2016 - 17,M.S. 442 Carroll Gardens School for Innovation,K442,K,15,211,2,62,PS 031K,P.S. 032 Samuel Mills Sprole |  M.S. 442 Carroll Gardens School for Innovation |  317 HOYT STREET CONSOLIDATED LOCATION ,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.680484', 'longitude': '-73.991938', 'human_address': '{""address"": ""317 HOYT STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",13514.0,14.0,2.0,27.0,48.0,11231.0,40.680445,-73.991949,6.0,39.0,75.0,3395587.0,3004370001.0,Carroll Gardens-Columbia Street-Red Hook                                   ,317 HOYT STREET CONSOLIDATED LOCATION
2016 - 17,Bronx Regional High School,X480,X,12,1463,4,524,PS/MS 306X,Morris Academy for Collaborative Studies |  Bronx International High School |  School for Excellence |  High School for Violin and Dance |  1110 BOSTON ROAD CONSOLIDATED LOCATION,2,4,30,1,5,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"{'human_address': '{""address"": ""1010 REV J A POLITE AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,10459.0,40.823532,-73.898872,2.0,17.0,12901.0,2005366.0,2026980012.0,Longwood                                                                   ,1110 BOSTON ROAD CONSOLIDATED LOCATION
2016 - 17,265 RALPH AVENUE CONSOLIDATED LOCATION,K040,K,16,503,2,206,PS 039K,P.S. 040 George W. Carver |  Gotham Professional Arts Academy |  265 RALPH AVENUE CONSOLIDATED LOCATION,1,2,1,3,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '35.507723', 'longitude': '-90.147474', 'human_address': '{""address"": ""265 RALPH AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",15982.0,,,,,11233.0,40.680463,-73.922264,3.0,41.0,379.0,3041214.0,3015180001.0,Stuyvesant Heights                                                         ,265 RALPH AVENUE CONSOLIDATED LOCATION
2016 - 17,Brooklyn Technical High School,K430,K,13,3418,1,13,FRANKLIN K. LANE HS,James Madison High School,0,13,24,8,5,12C,3001-4000,1.13,8.47,15.33,3.8,3.07,"{'latitude': '40.688865', 'longitude': '-73.97692', 'human_address': '{""address"": ""29 FT GREENE PLACE"", ""city"": """", ""state"": """", ""zip"": """"}'}",17619.0,68.0,2.0,48.0,55.0,11217.0,40.688834,-73.976905,2.0,35.0,33.0,3058752.0,3020980013.0,Fort Greene                                                                ,
2016 - 17,M.S. 131,M131,M,2,962,1,694,PS 126M,P.S. 130 Hernando De Soto,1,1,1,2,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,"{'latitude': '36.550818', 'longitude': '-89.966374', 'human_address': '{""address"": ""100 HESTER STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",8329.0,,,,,10002.0,40.716553,-73.993092,3.0,1.0,16.0,1082489.0,1003010003.0,Chinatown                                                                  ,
2016 - 17,150 WEST 105 STREET CONSOLIDATED LOCATION,M145,M,3,201,2,557,JHS 143M,"P.S. 145, The Bloomingdale School |  West Prep Academy |  150 WEST 105 STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'latitude': '46.688595', 'longitude': '-123.749978', 'human_address': '{""address"": ""150 WEST 105 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",25692.0,,,,,10025.0,40.799178,-73.964842,7.0,7.0,189.0,1076625.0,1018590001.0,Upper West Side                                                            ,150 WEST 105 STREET CONSOLIDATED LOCATION
2016 - 17,Liberty High School Academy for Newcomers,M550,M,2,397,5,654,HS FOR HUMANITIES,"Essex Street Academy |  Urban Assembly Academy of Government and Law, The |  Lower Manhattan Arts Academy |  New Design High School |  High School for Dual Language and Asian Studies |  350 GRAND STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '48.396198', 'longitude': '-114.337971', 'human_address': '{""address"": ""250 WEST 18 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",15759.0,,,,,10011.0,40.741657,-73.999307,4.0,3.0,81.0,1013858.0,1007670068.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,350 GRAND STREET CONSOLIDATED LOCATION
2016 - 17,Conselyea Preparatory School,K577,K,14,506,2,57,PS 017K,P.S. 017 Henry D. Woodworth |  Conselyea Preparatory School |  208 NORTH  5 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"{'latitude': '35.433527', 'longitude': '-96.306044', 'human_address': '{""address"": ""208 NORTH 5 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",18366.0,,,,,11211.0,40.715351,-73.956716,1.0,34.0,519.0,3062337.0,3023450001.0,North Side-South Side                                                      ,208 NORTH  5 STREET CONSOLIDATED LOCATION
2016 - 17,P.S./I.S. 104 The Fort Hamilton School,K104,K,20,1278,1,219,PS 102K,P.S./I.S. 104 The Fort Hamilton School,0,0,4,0,0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"{'latitude': '46.62292', 'longitude': '-94.212971', 'human_address': '{""address"": ""9115 5 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",10741.0,,,,,11209.0,40.618415,-74.028842,10.0,43.0,160.0,3154775.0,3060880001.0,Bay Ridge                                                                  ,
2016 - 17,51 CHRISTOPHER AVENUE CONSOLIDATED LOCATION,K332,K,23,1028,2,1139,PS 328 Phyllis Wheatley, Christopher Avenue Community School |Leadership Preparatory Ocean Hill Charter School  | 51 CHRISTOPHER AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,6C,1001-1250,N/A,N/A,N/A,N/A,N/A,"{'latitude': '41.71862', 'longitude': '-73.956572', 'human_address': '{""address"": ""51 CHRISTOPHER AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",19779.0,,,,,11212.0,40.672462,-73.906552,16.0,37.0,908.0,3083608.0,3036930001.0,Brownsville                                                                ,51 CHRISTOPHER AVENUE CONSOLIDATED LOCATION
2016 - 17,50 AVENUE P CONSOLIDATED LOCATION,K237,K,20,544,1,168,IS 232K,P.S. 236 Mill Basin,0,1,0,1,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '33.157296', 'longitude': '-99.746703', 'human_address': '{""address"": ""50 AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",11680.0,,,,,11204.0,40.60731,-73.986595,11.0,44.0,428.0,3396829.0,3066180001.0,Bensonhurst East                                                           ,
2016 - 17,P.S. 190 Sheffield,K190,K,19,1059,1,102,PS 184K,P.S. 189 The Bilingual Center,0,0,0,0,0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,"{'latitude': '38.581638', 'longitude': '-90.372987', 'human_address': '{""address"": ""590 SHEFFIELD AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",20380.0,,,,,11207.0,40.662326,-73.894441,5.0,42.0,1128.0,3085491.0,3038380018.0,East New York (Pennsylvania Ave)                                           ,
2016 - 17,Performing Arts and Technology High School,K507,K,19,284,5,1458,Spring Creek Community School,Thomas Jefferson Yabc |  FDNY High School for Fire and Life Safety |  High School for Civil Rights |  Performing Arts and Technology High School |  World Academy for Total Community Health High Scho |  400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.312519', 'longitude': '-75.834452', 'human_address': '{""address"": ""400 PENNSYLVANIA AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",15156.0,,,,,11207.0,40.667456,-73.894747,5.0,42.0,1156.0,3084440.0,3037880001.0,East New York (Pennsylvania Ave)                                           ,400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION
2016 - 17,Tag Young Scholars,M012,M,4,585,1,691,PS 111M,P.S. 116 Mary Lindley Murray,0,0,2,0,0,4C,501-750,0.28,1.11,1.74,0.75,0.53,"{'latitude': '42.938054', 'longitude': '-78.902013', 'human_address': '{""address"": ""240 EAST 109 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",2232.0,,,,,10029.0,40.79307,-73.942303,11.0,8.0,170.0,1052433.0,1016560100.0,East Harlem South                                                          ,
2016 - 17,P.S. 120 Carlos Tapia,K120,K,14,443,1,32,JHS 117K,P.S. 119 Amersfort,0,0,2,0,0,3C,251-500,0.27,0.9,1.67,0.63,0.44,"{'latitude': '42.381504', 'longitude': '-71.203758', 'human_address': '{""address"": ""18 BEAVER STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",18640.0,,,,,11206.0,40.700911,-73.938884,4.0,34.0,389.0,3071806.0,3031370026.0,Bushwick South                                                             ,
2016 - 17,FDNY High School for Fire and Life Safety,K502,K,19,,5,1458,Spring Creek Community School,Thomas Jefferson Yabc |  FDNY High School for Fire and Life Safety |  High School for Civil Rights |  Performing Arts and Technology High School |  World Academy for Total Community Health High Scho |  400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.312519', 'longitude': '-75.834452', 'human_address': '{""address"": ""400 PENNSYLVANIA AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",15156.0,,,,,11207.0,40.667456,-73.894747,5.0,42.0,1156.0,3084440.0,3037880001.0,East New York (Pennsylvania Ave)                                           ,400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION
2016 - 17,Central Park East II,M964,M,4,1357,1,558,JHS 164M,J.H.S. 167 Robert F. Wagner,1,4,3,2,2,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,"{'latitude': '42.232949', 'longitude': '-71.704608', 'human_address': '{""address"": ""19 EAST 103 STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",22056.0,,,,,10029.0,40.792122,-73.951961,11.0,8.0,168.0,1051497.0,1016090007.0,East Harlem South                                                          ,
2016 - 17,Henry Street School for International Studies,M292,M,1,228,4,552,JHS 052M,"Henry Street School for International Studies |  University Neighborhood Middle School |  Collaborative Academy of Science, Technology, & La | Manhattan Charter School II  |220 HENRY STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'latitude': '30.021328', 'longitude': '-93.83847', 'human_address': '{""address"": ""220 HENRY STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",22842.0,,,,,10002.0,40.713684,-73.986336,3.0,1.0,201.0,1003223.0,1002690041.0,Lower East Side                                                            ,220 HENRY STREET CONSOLIDATED LOCATION
2016 - 17,Liberty Avenue Middle School,K662,K,19,381,3,121,PS 298K,Vista Academy |  Liberty Avenue Middle School | ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL| 350 LINWOOD STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'latitude': '33.129835', 'longitude': '-117.053452', 'human_address': '{""address"": ""350 LINWOOD STREET"", ""city"": """", ""state"": """", ""zip"": """"}'}",29542.0,,,,,11208.0,40.677104,-73.883433,5.0,37.0,1170.0,3088357.0,3039690001.0,East New York                                                              ,350 LINWOOD STREET CONSOLIDATED LOCATION
2016 - 17,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL(BN),K626,K,23,937,2,1184,PS 54K,Brooklyn Collegiate: A College Board School l Achievement First Brownsville Charter School l 2021 BERGEN STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.068155', 'longitude': '-75.048258', 'human_address': '{""address"": ""2021 Bergen Street"", ""city"": """", ""state"": """", ""zip"": """"}'}",4331.0,,,,,11233.0,40.674103,-73.913273,16.0,41.0,36501.0,3038939.0,3014480001.0,Ocean Hill                                                                 ,2021 BERGEN STREET CONSOLIDATED LOCATION
2016 - 17,The Mott Hall School,M223,M,6,598,3,1065,PS 206M,I.S. 218 Salome Urena |  City College Academy of the Arts |  Middle School 322 |  4600 BROADWAY CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.815876', 'longitude': '-73.952864', 'human_address': '{""address"": ""71 111 CONVENT AVE"", ""city"": """", ""state"": """", ""zip"": """"}'}",12424.0,37.0,4.0,36.0,17.0,10027.0,40.815458,-73.952908,9.0,9.0,21703.0,1084067.0,1019570001.0,Manhattanville                                                             ,4600 BROADWAY CONSOLIDATED LOCATION
2016 - 17,P.S. 224 Hale A. Woodruff,K224,K,19,558,2,267,PS 219K MAIN,J.H.S. 223 The Montauk |  Urban Assembly School for Criminal Justice |  4200 16 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"{'latitude': '40.664101', 'longitude': '-73.865783', 'human_address': '{""address"": ""757 WORTMAN AVENUE"", ""city"": """", ""state"": """", ""zip"": """"}'}",17215.0,45.0,2.0,25.0,47.0,11208.0,40.664075,-73.866092,5.0,42.0,1220.0,3098980.0,3045300001.0,East New York                                                              ,4200 16 AVENUE CONSOLIDATED LOCATION
