dbn,school_name,school_type,parent_response_rate,teacher_response_rate,student_response_rate,total_safety_and_respect,total_communication_score,total_engagement_score,total_academic_expectations
dbn,locationname,NA,rr_p,rr_t,rr_s,saf_tot_12,com_tot_12,eng_tot_12,aca_tot_12
02M500,Unity Center For Urban Technologies,High School,75%,88%,76%,8.3,7.6,7.8,8.0
02M507,Urban Assembly Gateway School For Technology,High School,44%,100%,95%,8.5,7.6,8.3,8.6
02M519,Talent Unlimited High School,High School,30%,100%,88%,7.4,6.6,6.9,7.3
02M520,Murry Bergtraum High School For Business Careers,High School,4%,61%,46%,6.1,5.5,6.0,6.3
02M529,Jacqueline Kennedy Onassis High School,High School,16%,76%,75%,7.6,6.8,7.2,7.5
02M531,Repertory Company High School For Theatre Arts,High School,36%,100%,96%,7.5,7.0,6.9,7.3
02M542,Manhattan Bridges High School,High School,68%,95%,88%,8.0,7.1,7.6,8.2
02M543,New Design High School,High School,5%,75%,62%,8.0,6.4,7.2,7.6
02M544,Independence High School,Transfer High School,19%,68%,34%,8.1,6.8,7.6,7.5
02M545,High School For Dual Language And Asian Studies,High School,47%,62%,80%,8.1,6.4,6.6,7.1
02M550,Liberty High School Academy For Newcomers,Transfer High School,76%,87%,93%,7.9,6.2,6.9,7.4
02M551,The Urban Assembly New York Harbor School,High School,35%,86%,49%,7.3,6.6,7.0,7.4
02M560,High School M560 - City As School,Transfer High School,4%,73%,29%,8.3,7.1,7.8,8.0
02M565,Urban Academy Laboratory High School,Transfer High School,11%,88%,48%,9.0,8.3,8.8,9.3
02M570,Satellite Academy High School,Transfer High School,33%,93%,70%,8.7,8.0,8.5,8.7
02M575,Manhattan Comprehensive Night And Day High School,Transfer High School,35%,81%,73%,8.6,7.4,8.0,8.2
02M580,Richard R. Green High School Of Teaching,High School,42%,98%,91%,7.7,6.6,7.0,7.4
02M586,Harvey Milk High School,Transfer High School,37%,100%,81%,7.4,7.2,7.0,7.4
02M600,The High School Of Fashion Industries,High School,25%,82%,93%,7.7,7.4,7.6,7.9
02M605,Humanities Preparatory Academy,Transfer High School,25%,100%,89%,7.7,6.4,7.2,7.5
02M615,Chelsea Career And Technical Education High School,High School,28%,100%,94%,7.8,6.9,7.3,7.8
02M620,Norman Thomas High School,High School,41%,91%,38%,6.6,6.0,6.2,6.5
02M625,High School Of Graphic Communication Arts,High School,26%,46%,68%,6.3,6.0,6.1,6.6
02M630,Art And Design High School,High School,22%,35%,72%,7.4,6.0,6.6,6.9
02M655,Life Sciences Secondary School,Middle/High School,9%,69%,59%,7.0,6.7,7.0,7.5
02M896,Lower Manhattan Community Middle School,Middle School,55%,81%,93%,8.1,7.1,7.7,7.9
03M009,P.S. 009 Sarah Anderson,Elementary School,86%,97%,NA,9.2,8.6,8.8,9.1
03M054,J.H.S. 054 Booker T. Washington,Middle School,66%,87%,97%,8.0,7.3,7.8,8.2
03M075,P.S. 075 Emily Dickinson,Elementary School,71%,77%,NA,8.0,7.4,7.8,7.8
03M076,P.S. 076 A. Philip Randolph,Elementary/Middle School,64%,91%,97%,8.4,8.0,8.4,8.9
03M084,P.S. 084 Lillian Weber,Elementary School,54%,78%,NA,8.5,7.8,8.2,8.2
03M087,P.S. 087 William Sherman,Elementary School,30%,47%,NA,7.7,6.1,6.9,6.8
03M145,"P.S. 145, The Bloomingdale School",Elementary School,46%,61%,NA,8.5,7.8,8.0,8.2
03M149,P.S. 149 Sojourner Truth,Elementary/Middle School,53%,75%,89%,7.2,7.4,7.5,7.8
03M163,P.S. 163 Alfred E. Smith,Elementary School,50%,71%,NA,8.6,8.1,8.2,8.3
03M165,P.S. 165 Robert E. Simon,Elementary/Middle School,23%,24%,37%,7.6,6.9,7.1,7.6
03M166,P.S. 166 The Richard Rodgers School Of The Arts An,Elementary School,75%,78%,NA,8.4,7.3,7.9,7.9
03M180,P.S. 180 Hugo Newman,Elementary/Middle School,45%,88%,100%,8.0,7.5,7.8,8.4
03M185,P.S. 185 - The Early Childhood Discovery And Desig,Early Childhood School,90%,100%,NA,8.7,8.0,8.3,8.4
03M191,P.S. 191 Amsterdam,Elementary/Middle School,85%,52%,55%,6.9,6.3,6.9,7.4
03M199,P.S. 199 Jessie Isador Straus,Elementary School,33%,24%,NA,8.7,7.6,8.2,8.3
