dbn,school_name,school_type,parent_response_rate,teacher_response_rate,student_response_rate,total_safety_and_respect,total_communication_score,total_engagement_score,total_academic_expectations
dbn,locationname,NA,rr_p,rr_t,rr_s,saf_tot_12,com_tot_12,eng_tot_12,aca_tot_12
11X076,P.S. 076 The Bennington School,Elementary School,57%,76%,NA,8.0,6.9,7.2,7.6
11X078,P.S. 078 Anne Hutchinson,Elementary School,64%,86%,NA,8.0,7.8,8.1,8.4
11X083,P.S. 083 Donald Hertz,Elementary/Middle School,62%,100%,95%,7.8,7.5,7.7,8.2
11X087,P.S. 087 Bronx,Elementary School,60%,81%,NA,7.6,7.0,7.3,7.4
11X089,P.S. 089 Bronx,Elementary/Middle School,35%,85%,85%,7.5,7.5,7.8,8.1
11X096,P.S. 096 Richard Rodgers,Elementary School,77%,100%,NA,8.3,7.9,8.0,8.2
11X097,P.S. 097 Bronx,Elementary School,44%,46%,NA,8.0,7.2,7.4,7.6
11X103,P.S. 103 Hector Fontanez,Elementary School,48%,88%,NA,7.7,7.6,7.7,7.9
11X105,P.S. 105 Sen Abraham Bernstein,Elementary School,47%,40%,NA,8.0,6.7,7.1,7.2
11X106,P.S. 106 Parkchester,Elementary School,82%,97%,NA,8.3,8.0,8.0,8.3
11X108,P.S. 108 Philip J. Abinanti,Elementary School,75%,79%,NA,8.3,6.8,7.3,7.7
11X111,P.S. 111 Seton Falls,Elementary School,28%,71%,NA,7.6,6.9,7.3,7.4
11X112,P.S. 112 Bronxwood,Elementary School,54%,100%,NA,8.0,7.6,7.8,7.9
11X121,P.S. 121 Throop,Elementary School,90%,100%,NA,8.6,8.3,8.3,8.5
11X127,J.H.S. 127 The Castle Hill,Middle School,29%,62%,86%,6.9,6.8,7.1,7.4
11X142,Ms 142 John Philip Sousa,Middle School,34%,100%,94%,6.0,5.9,6.3,6.7
11X144,J.H.S. 144 Michelangelo,Middle School,32%,86%,95%,7.1,7.4,7.6,8.0
11X153,P.S. 153 Helen Keller,Elementary School,57%,100%,NA,8.5,7.8,7.8,8.2
11X160,P.S. 160 Walt Disney,Elementary School,50%,100%,NA,7.8,7.3,7.3,7.4
11X169,Baychester Academy,Early Childhood School,80%,100%,NA,8.8,8.1,8.1,8.4
11X175,P.S. 175 City Island,Elementary/Middle School,61%,100%,100%,7.7,6.9,7.2,8.0
11X178,P.S. 178 - Dr. Selman Waksman,Elementary School,61%,100%,NA,7.8,6.9,6.9,7.2
11X180,M.S. 180 Dr. Daniel Hale Williams,Middle School,68%,53%,97%,7.8,7.1,7.6,8.0
11X181,I.S. 181 Pablo Casals,Middle School,58%,66%,90%,7.4,7.0,7.4,7.9
11X189,Cornerstone Academy For Social Action,Elementary School,51%,69%,NA,7.5,7.6,7.6,7.8
11X194,Ps/Ms 194,Elementary/Middle School,72%,98%,97%,7.5,6.9,7.2,7.7
11X249,Bronx Health Sciences High School,High School,11%,81%,80%,7.6,6.7,6.6,7.6
11X253,Bronx High School For Writing And Communication Ar,High School,24%,85%,59%,6.7,6.3,6.7,7.0
11X265,Bronx Lab School,High School,43%,97%,91%,7.3,7.0,7.3,7.5
11X270,Academy For Scholarship And Entrepreneurship: A Co,Middle/High School,33%,76%,80%,6.5,6.0,6.1,6.6
11X272,Globe School For Environmental Research,Middle School,40%,92%,94%,6.6,6.7,7.0,7.5
11X275,High School Of Computers And Technology,High School,43%,82%,87%,7.8,7.3,7.6,8.0
11X287,The Forward School,Middle School,72%,73%,97%,6.5,6.6,6.7,7.3
11X288,Collegiate Institute For Math And Science,High School,55%,96%,95%,7.6,7.4,7.6,8.2
11X289,The Young Scholars Academy Of The Bronx,Middle School,61%,96%,82%,6.2,6.5,6.8,7.3
11X290,Bronx Academy Of Health Careers,High School,26%,100%,79%,7.0,7.0,7.1,7.6
11X299,Astor Collegiate Academy,High School,22%,100%,89%,6.9,6.8,7.0,7.4
11X322,Aspire Preparatory Middle School,Middle School,61%,86%,96%,6.8,6.2,6.3,6.7
11X326,Bronx Green Middle School,Middle School,59%,97%,92%,7.4,7.2,7.5,7.7
11X370,School Of Diplomacy,Middle School,3%,94%,64%,6.4,6.5,6.9,7.2
11X415,Christopher Columbus High School,High School,20%,80%,66%,7.3,6.9,7.3,7.4
11X417,C Columbus Hs Yabc,YABC,74%,95%,78%,8.3,7.9,8.4,8.5
11X418,Bronx High School For The Visual Arts,High School,28%,71%,66%,7.5,6.6,6.9,7.1
11X455,Harry S Truman High School,High School,5%,53%,42%,6.9,6.3,6.8,7.2
11X462,Cornerstone Academy For Social Action Middle Schoo,Middle School,84%,63%,83%,7.6,7.5,7.9,8.3
11X468,Pelham Academy Of Academics And Community Engageme,Middle School,55%,100%,97%,8.0,7.0,7.5,8.0
11X498,Ps/Ms 11X498 - Van Nest Academy,Elementary/Middle School,88%,100%,99%,8.5,7.9,8.4,8.5
11X508,Bronxdale High School,High School,25%,67%,66%,6.6,6.7,6.6,6.9
11X509,High School For Language And Innovation,High School,96%,100%,100%,8.7,7.8,8.0,8.2
11X513,New World High School,High School,29%,58%,93%,7.8,6.9,7.3,8.0
11X514,The Bronxwood Preparatory Academy,High School,25%,88%,70%,7.4,6.9,7.1,7.5
11X529,One World Middle School At Edenwald,Middle School,72%,100%,94%,8.2,7.6,8.1,8.4
11X532,Baychester Middle School,Middle School,63%,89%,93%,7.6,7.2,7.4,7.8
11X541,Global Enterprise High School,High School,18%,57%,66%,6.4,6.1,6.7,7.0
11X542,Pelham Preparatory Academy,High School,68%,96%,91%,7.7,7.4,7.6,8.1
11X544,High School For Contemporary Arts,High School,80%,58%,60%,7.4,6.7,7.3,7.4
11X545,Bronx Aerospace High School,High School,31%,86%,82%,6.5,6.3,6.5,6.9
12X006,P.S. 006 West Farms,Elementary School,53%,93%,NA,7.6,7.5,7.6,7.7
12X044,P.S. 044 David C. Farragut,Elementary School,56%,93%,NA,6.2,5.8,6.0,6.1
12X047,P.S. 047 John Randolph,Elementary School,80%,91%,NA,8.5,8.4,8.4,8.7
12X050,P.S. 050 Clara Barton,Elementary School,80%,79%,NA,6.6,6.0,6.3,6.3
12X057,P.S. 057 Crescent,Elementary School,72%,100%,NA,7.7,6.7,6.9,7.5
12X061,P.S. 061 Francisco Oller,Elementary School,31%,58%,NA,8.3,8.0,8.0,8.3
12X066,P.S. 066 School Of Higher Expectations,Elementary School,97%,93%,NA,8.2,7.6,7.9,8.0
12X067,P.S. 067 Mohegan School,Elementary School,26%,76%,NA,7.3,7.3,7.4,7.6
12X092,P.S. 092 Bronx,Elementary School,57%,80%,NA,6.9,6.3,6.7,6.7
12X098,J.H.S. 098 Herman Ridder,Middle School,76%,100%,94%,7.0,6.9,7.2,7.6
12X102,P.S. 102 Joseph O. Loretan,Elementary School,12%,28%,NA,7.4,6.6,7.2,7.1
12X129,P.S. 129 Twin Parks Upper,Middle School,64%,88%,89%,7.3,7.2,7.7,8.0
12X134,P.S. 134 George F. Bristow,Elementary School,92%,90%,NA,7.5,7.1,7.3,7.4
12X150,P.S. 150 Charles James Fox,Elementary School,79%,95%,NA,8.2,8.1,8.2,8.3
12X190,E.S.M.T- I.S. 190,Middle School,66%,55%,99%,7.8,7.0,7.7,7.8
12X195,P.S. 195,Elementary School,64%,50%,NA,8.1,7.4,7.7,7.8
12X196,P.S. 196,Elementary School,81%,53%,NA,8.3,7.4,7.7,7.9
12X198,P.S. 198,Middle School,51%,64%,NA,8.0,7.7,7.9,7.9
12X211,P.S. 211,Elementary/Middle School,88%,88%,98%,7.3,6.9,7.4,7.8
12X212,P.S. 212,Elementary/Middle School,33%,84%,99%,7.6,7.0,7.5,7.9
12X214,P.S. 214,Elementary/Middle School,95%,100%,98%,7.4,7.2,7.4,8.0
12X217,School Of Performing Arts,Middle School,75%,64%,63%,7.5,7.3,8.0,8.3
12X242,Mott Hall V,Middle/High School,58%,63%,85%,7.5,6.8,7.1,7.5
12X245,New Day Academy,Middle/High School,11%,0%,0%,7.3,6.8,7.0,7.4
12X248,"Metropolitan High School, The",High School,16%,92%,56%,8.1,7.6,7.9,8.2
12X251,Explorations Academy,High School,27%,78%,79%,7.3,7.0,7.2,7.6
12X262,Performance Conservatory High School,High School,14%,78%,69%,6.7,5.9,6.1,6.4
12X267,Bronx Latin,Middle/High School,74%,100%,98%,8.2,7.6,7.5,8.2
12X271,East Bronx Academy For The Future,Middle/High School,26%,66%,46%,7.2,7.2,7.6,7.8
12X273,Frederick Douglass Academy V. Middle School,Middle School,65%,100%,96%,7.7,7.6,7.9,8.3
12X278,Peace And Diversity Academy,High School,91%,84%,95%,8.3,7.3,8.4,8.2
12X286,Fannie Lou Hamer Middle School,Middle School,39%,95%,88%,8.1,7.8,8.2,8.6
12X300,The School Of Science And Applied Learning,Elementary School,44%,87%,NA,8.1,7.8,7.9,8.1
12X316,Kappa Iii,Middle School,88%,95%,92%,8.3,7.7,8.2,8.4
12X318,"I.S. X318 Math, Science & Technology Through Arts",Middle School,77%,100%,95%,7.2,7.0,7.2,7.6
12X341,Accion Academy,Middle School,71%,100%,96%,7.4,7.0,7.4,7.7
12X372,Urban Assembly School For Wildlife Conservation,Middle/High School,42%,100%,92%,7.4,7.1,7.1,7.6
12X383,Emolior Academy,Middle School,78%,71%,85%,8.5,8.6,8.5,8.6
12X384,Entrada Academy,Middle School,67%,60%,99%,7.1,6.8,7.5,7.7
12X388,Pan American International High School At Monroe,High School,49%,86%,89%,7.7,7.1,7.5,7.7
12X428,Learning To Work Yabc At Monroe Academy,YABC,21%,90%,41%,8.7,8.0,8.4,8.5
12X446,Arturo A. Schomburg Satellite Academy Bronx,Transfer High School,79%,100%,76%,8.1,7.4,7.6,7.9
12X463,Urban Scholars Community School,Elementary School,54%,70%,NA,7.9,8.0,8.1,8.3
12X478,The Cinema School,High School,22%,93%,93%,8.8,8.1,8.5,8.9
12X479,Bronx Career And College Preparatory High School,High School,48%,100%,83%,6.7,6.2,6.5,6.8
12X480,Bronx Regional High School,Transfer High School,13%,67%,46%,7.6,6.6,7.0,7.4
12X511,Bronx Envision Academy,High School,49%,100%,94%,7.6,7.7,7.7,8.2
12X521,The Metropolitan Soundview High School,High School,34%,89%,79%,8.0,7.6,7.8,8.3
12X531,Archer Elementary School,Early Childhood School,58%,100%,NA,9.0,8.7,8.9,9.0
12X536,Ps 536,Early Childhood School,80%,81%,NA,8.6,8.2,8.3,8.4
12X550,High School Of World Cultures,High School,100%,100%,92%,7.9,6.5,7.0,7.1
12X682,Fannie Lou Hamer Freedom High School,High School,46%,91%,73%,8.1,7.5,7.7,7.9
12X684,Wings Academy,High School,59%,77%,82%,7.0,6.5,7.1,7.4
12X690,Monroe Academy For Business/Law,High School,36%,100%,81%,6.6,5.9,5.9,6.6
12X691,Bronx Little School,Elementary School,50%,57%,NA,8.2,7.5,7.6,7.7
12X692,Monroe Academy For Visual Arts & Design,High School,9%,84%,79%,7.3,6.6,7.0,7.4
13K003,P.S. 003 The Bedford Village,Elementary School,75%,95%,NA,8.4,8.2,8.3,8.5
13K008,P.S. 008 Robert Fulton,Elementary School,53%,93%,NA,8.5,7.6,8.0,8.2
13K009,P.S. 009 Teunis G. Bergen,Elementary School,88%,91%,NA,8.8,8.4,8.8,8.7
13K011,P.S. 011 Purvis J. Behan,Elementary School,71%,66%,NA,8.8,7.8,8.4,8.4
13K020,P.S. 020 Clinton Hill,Elementary School,47%,100%,NA,8.2,7.8,8.0,7.9
13K044,P.S. 044 Marcus Garvey,Elementary School,46%,93%,NA,8.3,7.8,8.1,8.4
13K046,P.S. 046 Edward C. Blum,Elementary School,71%,83%,NA,7.7,7.4,7.7,7.6
13K054,P.S. 054 Samuel C. Barnes,Elementary School,51%,83%,NA,8.2,7.7,8.1,8.2
13K056,P.S. 056 Lewis H. Latimer,Elementary School,73%,73%,NA,8.8,8.2,8.7,8.8
13K067,P.S. 067 Charles A. Dorsey,Elementary School,38%,86%,NA,8.4,7.1,7.7,7.9
13K093,P.S. 093 William H. Prescott,Elementary School,46%,93%,NA,8.1,7.5,7.6,7.6
13K103,Satellite Three,Middle School,69%,95%,95%,7.4,7.2,7.4,7.6
13K113,M.S. 113 Ronald Edmonds Learning Center,Middle School,15%,95%,87%,7.2,6.9,7.1,7.4
13K133,P.S. 133 William A. Butler,Elementary School,69%,97%,NA,8.6,7.9,8.2,8.3
13K256,P.S. 256 Benjamin Banneker,Elementary School,84%,93%,NA,8.5,7.5,8.0,8.1
13K265,Dr. Susan S. Mckinney Secondary School Of The Arts,Middle/High School,35%,44%,69%,7.3,6.7,7.1,7.5
13K266,M.S. K266 - Park Place Community Middle School,Middle School,18%,92%,88%,7.9,7.5,7.8,7.9
13K270,P.S. 270 Johann Dekalb,Elementary School,50%,94%,NA,8.0,7.3,7.9,7.9
13K282,P.S. 282 Park Slope,Elementary/Middle School,39%,57%,97%,7.1,6.6,7.2,7.5
13K287,P.S. 287 Bailey K. Ashford,Elementary School,73%,45%,NA,7.6,6.4,6.7,6.8
13K301,Satellite East Middle School,Middle School,36%,65%,85%,7.9,7.3,7.8,8.2
13K305,P.S. 305 Dr. Peter Ray,Elementary School,61%,91%,NA,7.3,6.8,7.1,7.4
13K307,P.S. 307 Daniel Hale Williams,Elementary School,46%,82%,NA,8.1,7.7,8.1,8.2
13K313,Satellite West Middle School,Middle School,41%,46%,82%,6.6,6.6,6.7,7.1
13K336,Academy Of Business And Community Development,Middle/High School,32%,71%,83%,6.7,5.8,6.1,6.3
13K350,Urban Assembly High School Of Music And Art,High School,13%,69%,50%,7.2,6.7,6.9,7.3
13K412,"Brooklyn Community High School Of Communication, A",High School,14%,94%,84%,7.2,7.0,7.2,7.4
13K419,"Science Skills Center High School For Science, Tec",High School,33%,94%,80%,7.0,7.0,7.0,7.4
13K430,Brooklyn Technical High School,High School,6%,40%,85%,7.2,5.7,6.3,6.9
13K439,Brooklyn International High School,High School,85%,100%,93%,8.8,8.1,8.5,8.7
13K483,The Urban Assembly School For Law And Justice,High School,38%,79%,89%,7.7,7.3,7.4,7.9
13K492,Urban Assembly Academy Of Arts And Letters,Elementary/Middle School,76%,89%,97%,8.3,8.1,8.1,8.3
13K499,Acorn Community High School,High School,12%,77%,65%,7.4,7.3,7.6,7.8
13K509,Freedom Academy High School,High School,24%,87%,73%,6.5,6.4,6.5,6.8
13K527,Urban Assembly Institute Of Math And Science For Y,Middle/High School,45%,100%,96%,7.2,6.4,6.7,7.1
13K553,Brooklyn Academy High School,Transfer High School,34%,69%,97%,8.5,6.8,7.4,7.7
13K571,M.S. 571,Middle School,33%,11%,96%,7.3,7.1,7.3,7.8
13K575,Bedford Stuyvesant Preparatory High School,Transfer High School,26%,92%,52%,8.2,7.1,7.6,7.7
13K592,Khalil Gibran International Academy,Middle School,35%,100%,80%,8.2,7.7,8.4,8.7
13K595,Bedford Academy High School,High School,53%,96%,91%,8.2,7.9,8.0,8.5
13K596,Knowledge And Power Preparatory Academy Vii Middle,Middle School,36%,82%,79%,5.9,6.0,6.2,6.4
13K605,George Westinghouse Career And Technical Education,High School,41%,95%,75%,6.3,6.2,6.4,6.6
13K616,Brooklyn High School For Leadership And Community,Transfer High School,21%,100%,65%,7.8,7.4,8.1,8.4
13K657,Downtown Brooklyn Yabc,YABC,7%,89%,66%,8.3,7.7,8.3,8.5
13K670,Benjamin Banneker Academy,High School,17%,63%,71%,7.4,6.4,7.1,7.5
13K674,"City Polytechnic High School Of Engineering, Archi",High School,25%,96%,83%,7.3,7.2,7.4,8.0
13K691,Fort Greene Preparatory Academy,Middle School,34%,67%,90%,7.7,7.5,7.8,8.3
14K016,P.S. 016 Leonard Dunkly,Elementary School,100%,100%,NA,8.6,7.8,7.9,7.9
14K017,P.S. 017 Henry D. Woodworth,Elementary School,76%,77%,NA,8.1,7.2,7.3,7.5
14K018,P.S. 018 Edward Bush,Elementary School,91%,100%,NA,8.4,7.7,7.8,7.7
14K019,P.S. 019 Roberto Clemente,Elementary School,55%,68%,NA,7.9,6.4,7.1,6.7
14K023,P.S. 023 Carter G. Woodson,Elementary School,93%,91%,NA,9.0,8.4,8.8,8.9
14K031,P.S. 031 Samuel F. Dupont,Elementary School,82%,82%,NA,9.1,8.3,8.2,8.8
14K034,P.S. 034 Oliver H. Perry,Elementary School,92%,100%,NA,9.3,8.7,8.8,9.1
14K050,J.H.S. 050 John D. Wells,Middle School,52%,94%,95%,6.6,6.6,6.9,7.4
14K059,P.S. 059 William Floyd,Elementary School,60%,87%,NA,7.8,7.2,7.5,7.6
14K071,Juan Morel Campos Secondary School,Middle/High School,16%,80%,71%,6.9,6.6,7.1,7.2
14K084,P.S. 084 Jose De Diego,Elementary School,63%,67%,NA,8.5,7.9,8.0,8.1
14K110,P.S. 110 The Monitor,Elementary School,91%,89%,NA,9.2,8.5,8.9,8.8
14K120,P.S. 120 Carlos Tapia,Elementary School,38%,79%,NA,8.9,8.2,8.4,8.3
14K126,John Ericsson Middle School 126,Middle School,81%,70%,94%,6.9,6.5,6.7,7.1
14K132,P.S. 132 The Conselyea School,Elementary School,82%,100%,NA,8.4,7.9,8.0,8.2
14K147,P.S. 147 Isaac Remsen,Elementary School,100%,94%,NA,8.6,8.1,8.4,8.5
14K157,P.S. 157 Benjamin Franklin,Elementary School,81%,97%,98%,8.3,7.9,8.4,8.4
14K196,P.S. 196 Ten Eyck,Elementary School,73%,88%,NA,8.3,8.4,8.4,8.6
14K250,P.S. 250 George H. Lindsay,Elementary School,66%,48%,NA,8.2,6.8,7.2,7.6
14K257,P.S. 257 John F. Hylan,Elementary School,67%,90%,NA,9.3,8.9,9.1,9.2
14K297,P.S. 297 Abraham Stockton,Elementary School,68%,100%,NA,8.0,7.9,7.7,7.9
14K318,I.S. 318 Eugenio Maria De Hostos,Middle School,24%,73%,82%,8.6,8.1,8.6,8.9
14K319,P.S. 319,Early Childhood School,100%,93%,NA,9.4,8.9,9.1,9.2
14K322,Foundations Academy,High School,23%,77%,65%,6.7,6.1,6.2,6.7
14K330,The Urban Assembly School For The Urban Environmen,Middle School,23%,78%,65%,6.7,5.9,6.4,6.7
14K380,P.S. 380 John Wayne Elementary,Elementary School,100%,100%,NA,9.2,8.8,8.9,9.2
14K404,Academy For Young Writers,High School,16%,96%,80%,7.5,6.9,7.3,7.8
14K449,"Brooklyn Latin School, The",High School,29%,83%,98%,8.5,7.6,7.8,8.6
14K454,Green School: An Academy For Environmental Careers,High School,23%,100%,58%,6.9,6.9,6.9,7.3
14K474,Progress High School For Professional Careers,High School,24%,75%,41%,7.6,7.0,7.5,7.8
14K477,School For Legal Studies,High School,22%,76%,52%,7.5,6.7,7.2,7.5
14K478,"The High School For Enterprise, Business And Techn",High School,26%,88%,79%,7.3,6.7,7.0,7.4
14K488,Brooklyn Preparatory High School,High School,27%,100%,80%,7.4,6.7,7.0,7.5
14K558,Williamsburg High School For Architecture And Desi,High School,69%,100%,95%,8.1,7.5,7.8,8.2
14K561,Williamsburg Preparatory School,High School,30%,93%,82%,8.0,7.6,7.8,8.3
14K577,Conselyea Preparatory School,Middle School,94%,96%,80%,8.0,7.7,8.1,8.4
14K582,M.S. 582,Middle School,38%,93%,91%,7.2,6.9,7.2,7.7
14K586,Lyons Community School,Middle/High School,28%,98%,81%,7.4,7.6,7.8,8.2
14K610,Automotive High School,High School,6%,59%,53%,5.7,5.9,6.1,6.5
14K614,Young Women'S Leadership School Of Brooklyn,Middle/High School,72%,100%,95%,8.0,7.6,7.9,8.2
14K632,Frances Perkins Academy,High School,13%,89%,66%,7.1,6.8,7.3,7.4
14K685,El Puente Academy For Peace And Justice,High School,63%,100%,85%,8.3,7.4,8.0,8.2
14K923,Automotive High School Yabc,YABC,8%,100%,93%,8.3,7.4,8.1,8.3
15K001,P.S. 001 The Bergen,Elementary School,49%,81%,NA,8.1,7.0,7.2,7.5
15K010,"Magnet School Of Math, Science And Design Technolo",Elementary School,59%,100%,NA,8.8,8.3,8.7,8.6
15K015,P.S. 015 Patrick F. Daly,Elementary School,77%,74%,NA,8.6,7.8,8.4,8.3
15K024,P.S. 024,Elementary School,42%,93%,NA,8.2,7.2,7.5,7.6
15K029,P.S. 029 John M. Harrigan,Elementary School,48%,87%,NA,8.7,8.4,8.5,8.5
15K032,P.S. 032 Samuels Mills Sprole,Elementary School,77%,98%,NA,8.2,7.7,8.1,8.3
15K038,P.S. 038 The Pacific,Elementary School,83%,41%,NA,8.4,7.7,8.1,8.3
15K039,P.S. 039 Henry Bristow,Elementary School,83%,96%,NA,9.0,8.1,8.3,8.6
15K051,M.S. 51 William Alexander,Middle School,63%,98%,97%,7.9,6.9,7.6,7.9
15K058,P.S. 058 The Carroll,Elementary School,60%,86%,NA,8.6,8.0,8.4,8.4
15K088,J.H.S. 088 Peter Rouget,Middle School,34%,37%,93%,7.9,7.3,7.7,8.1
15K094,P.S. 094 The Henry Longfellow,Elementary School,65%,84%,NA,7.7,6.5,6.8,6.9
15K107,P.S. 107 John W. Kimball,Elementary School,84%,91%,NA,8.8,8.3,8.5,8.6
15K124,P.S. 124 Silas B. Dutcher,Elementary School,66%,64%,NA,8.6,7.5,7.6,7.8
15K130,P.S. 130 The Parkside,Elementary School,82%,76%,NA,8.3,7.5,7.8,7.9
15K131,P.S. 131 Brooklyn,Elementary School,60%,100%,NA,8.6,7.7,7.9,8.4
15K136,I.S. 136 Charles O. Dewey,Middle School,29%,64%,90%,7.2,6.9,7.3,7.7
15K146,P.S. 146,Elementary School,57%,98%,NA,8.8,8.4,8.9,8.8
15K154,Magnet School For Science & Technology,Elementary School,53%,68%,NA,8.3,7.7,8.4,8.3
15K169,P.S. 169 Sunset Park,Elementary School,64%,66%,NA,8.2,7.2,7.5,7.5
15K172,P.S. 172 Beacon School Of Excellence,Elementary School,100%,95%,NA,9.0,8.5,8.6,8.8
15K230,P.S. 230 Doris L. Cohen,Elementary School,78%,91%,NA,8.9,7.8,8.2,8.3
15K261,P.S. 261 Philip Livingston,Elementary School,48%,53%,NA,8.0,7.6,8.0,7.9
15K295,P.S. 295,Elementary School,88%,97%,NA,8.6,8.2,8.3,8.4
15K321,P.S. 321 William Penn,Elementary School,48%,85%,NA,8.6,8.6,8.6,8.9
15K418,P.S. 372 -The Children'S School,Elementary School,37%,72%,NA,8.4,7.7,8.4,8.1
15K423,Brooklyn Frontiers High School,High School,27%,100%,89%,8.0,7.3,7.6,8.2
15K429,Brooklyn School For Global Studies,Middle/High School,17%,94%,81%,7.0,6.1,6.5,6.9
15K442,New Horizons School,Middle School,46%,96%,96%,7.6,7.0,7.4,7.7
15K443,New Voices School Of Academic & Creative Arts,Middle School,42%,84%,95%,8.3,7.3,7.7,8.1
15K447,The Math & Science Exploratory School,Middle School,56%,100%,99%,7.8,7.4,7.6,8.1
15K448,Brooklyn Secondary School For Collaborative Studies,Middle/High School,33%,84%,86%,7.3,6.9,7.3,7.6
15K462,Secondary School For Law,Middle/High School,51%,84%,89%,7.2,6.7,6.8,7.4
15K463,Secondary School For Journalism,Middle/High School,35%,58%,83%,6.8,6.3,6.3,7.0
15K464,Park Slope Collegiate,Middle/High School,12%,72%,75%,7.1,6.5,7.0,7.5
15K497,School For International Studies,Middle/High School,30%,97%,86%,7.4,6.8,7.0,7.5
15K519,Cobble Hill School Of American Studies,High School,33%,98%,62%,7.0,6.7,7.0,7.3
15K520,Pacific High School,Transfer High School,7%,80%,63%,8.2,6.5,8.1,8.0
15K529,West Brooklyn Community High School,Transfer High School,83%,100%,84%,8.7,8.1,8.4,8.6
15K530,Metropolitan Corporate Academy High School,High School,22%,100%,56%,7.0,6.8,7.0,7.2
15K656,Brooklyn High School Of The Arts,High School,17%,88%,87%,6.9,5.9,6.2,6.7
15K667,Sunset Park High School,High School,34%,96%,81%,7.6,7.2,7.6,7.9
15K676,Red Hook Neighborhood School,Elementary School,47%,83%,NA,7.8,7.1,7.4,7.8
15K684,Millennium Brooklyn Hs,High School,45%,100%,99%,8.4,8.1,8.2,8.4
15K698,South Brooklyn Community High School,Transfer High School,10%,91%,64%,8.3,7.3,7.7,8.0
15K821,Sunset Park Prep,Middle School,41%,85%,77%,7.8,6.7,7.0,7.4
16K005,P.S. 005 Dr. Ronald Mcnair,Elementary School,65%,70%,NA,7.5,7.3,7.4,7.4
16K021,P.S. 021 Crispus Attucks,Elementary School,82%,64%,NA,8.4,7.7,7.9,8.2
16K025,P.S. 025 Eubie Blake School,Elementary School,65%,100%,NA,7.7,7.7,7.9,8.2
16K026,P.S. 026 Jesse Owens,Elementary School,63%,82%,NA,8.6,8.0,8.4,8.4
16K028,P.S. 028 The Warren Prep Academy,Elementary School,78%,91%,NA,8.3,7.4,8.0,8.1
16K035,M.S. 035 Stephen Decatur,Middle School,96%,100%,100%,8.7,8.7,8.8,8.9
16K040,P.S. 040 George W. Carver,Elementary School,73%,100%,NA,8.6,8.2,8.5,8.5
16K057,J.H.S. 057 Whitelaw Reid,Middle School,78%,100%,91%,8.0,7.5,8.1,8.2
16K081,P.S. 081 Thaddeus Stevens,Elementary School,58%,95%,NA,8.1,7.8,7.9,8.1
16K243,P.S. 243K- The Weeksville School,Elementary School,32%,78%,NA,7.8,7.2,7.3,7.5
16K262,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,Elementary/Middle School,50%,74%,79%,7.9,7.7,7.7,8.1
16K267,"M.S. 267 Math, Science & Technology",Middle School,55%,100%,98%,8.0,7.9,8.1,8.4
16K308,P.S. 308 Clara Cardwell,Elementary/Middle School,32%,92%,75%,7.4,7.4,7.6,8.1
16K309,P.S. 309 The George E. Wibecan Preparatory Academy,Elementary School,47%,70%,NA,7.6,7.0,7.2,7.1
16K335,P.S. 335 Granville T. Woods,Elementary School,64%,81%,NA,8.0,7.8,8.0,8.3
16K385,"School Of Business, Finance And Entrepreneurship",Middle School,15%,80%,88%,6.8,6.8,6.9,7.2
16K393,Frederick Douglass Academy Iv Secondary School,Middle/High School,37%,91%,73%,6.4,5.9,6.3,6.6
16K455,Boys And Girls High School,High School,15%,46%,18%,6.8,7.1,7.2,7.2
16K498,Brooklyn High School For Law And Technology,High School,17%,65%,72%,7.6,7.0,7.3,7.7
16K534,Upper School @ P.S. 25,Middle School,25%,79%,95%,6.0,5.9,6.2,6.5
16K584,M.S. 584,Middle School,47%,90%,96%,7.1,7.0,7.4,7.8
16K594,Gotham Professional Arts Academy,High School,12%,100%,85%,7.3,7.3,7.8,8.1
16K627,Brighter Choice Community School,Elementary School,100%,100%,NA,9.0,8.6,8.7,8.9
16K628,Brooklyn Brownstone School,Elementary School,100%,91%,NA,8.0,8.5,8.6,8.6
16K636,Young Scholars' Academy For Discovery And Explorat,Elementary School,100%,94%,NA,8.9,9.0,9.1,9.2
16K688,The Brooklyn Academy Of Global Finance,High School,15%,100%,62%,4.7,4.7,4.8,5.3
17K002,M.S. 002,Middle School,40%,66%,89%,7.4,7.4,7.6,7.9
17K006,P.S. 006,Elementary School,24%,31%,NA,8.5,8.1,8.3,8.3
17K012,P.S. 012,Elementary School,36%,39%,NA,7.9,7.4,7.8,8.0
17K022,P.S. 022,Elementary School,29%,26%,NA,7.3,6.9,6.9,6.9
17K061,M.S. 061 Dr. Gladstone H. Atwell,Middle School,61%,78%,86%,6.9,6.8,7.3,7.8
17K091,P.S. 091 The Albany Avenue School,Elementary School,79%,96%,NA,7.7,7.6,7.7,7.9
17K092,P.S. 092 Adrian Hegeman,Elementary School,41%,26%,NA,8.0,7.4,7.5,7.6
17K122,Pathways In Technology Early College High School (,High School,45%,100%,82%,8.0,7.3,7.6,8.2
17K138,P.S. 138 Brooklyn,Elementary/Middle School,51%,72%,87%,7.5,7.6,8.1,8.5
17K161,P.S. 161 The Crown,Elementary/Middle School,51%,94%,81%,6.9,7.2,7.3,7.6
17K167,P.S. 167 The Parkway,Elementary School,37%,34%,NA,7.5,7.1,7.1,7.5
