,borough,geographical_district,admin_district,ats_code,location_name,grade_level,bldg_id,bldg_name,ownership,room_number,square_feet,room_function,shared_with_other_schools,inside_v_outside,space_used_for_any_other_purpose_beside_pe
50,Manhattan,1,1,01M332,University Neighborhood Middle School,Junior High-Intermediate-Middle,M056,J.H.S. 56 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"23,204",OUTDOOR YARD,Y,Outside,N
51,Manhattan,1,1,01M361,The Children's Workshop School,Elementary,M061,P.S. 61 - MANHATTAN,DOE Owned,412,728,AUXILIARY EXERCISE ROOM,Y,Inside,N
52,Manhattan,1,1,01M361,The Children's Workshop School,Elementary,M061,P.S. 61 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"10,622",OUTDOOR YARD,Y,Outside,N
53,Manhattan,1,1,01M363,Neighborhood School,Elementary,M063,P.S. 63 - MANHATTAN,DOE Owned,114,728,DANCE ROOM,Y,Inside,N
54,Manhattan,1,1,01M363,Neighborhood School,Elementary,M063,P.S. 63 - MANHATTAN,DOE Owned,417,"1,500",GYMNASIUM,Y,Inside,N
55,Manhattan,1,1,01M363,Neighborhood School,Elementary,M063,P.S. 63 - MANHATTAN,DOE Owned,GYMB,"1,740",GYMNASIUM,Y,Inside,N
56,Manhattan,1,1,01M364,Earth School,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,DOE Owned,224,"1,650",MULTI-PURPOSE CLASSROOM,Y,Inside,Y
57,Manhattan,1,1,01M364,Earth School,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,DOE Owned,B43,"1,344",DANCE ROOM,Y,Inside,N
58,Manhattan,1,1,01M364,Earth School,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,DOE Owned,B53,"6,336",GYMNASIUM,Y,Inside,N
59,Manhattan,1,1,01M364,Earth School,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"13,310",OUTDOOR YARD,Y,Outside,N
60,Manhattan,1,1,01M364,Earth School,Elementary,M064,P.S. 64 (OLD 71) - MANHATTAN,DOE Owned,OUTDOOR YARD 2,"14,159",OUTDOOR YARD,Y,Outside,N
61,Manhattan,1,1,01M378,School for Global Leaders,Junior High-Intermediate-Middle,M025,J.H.S. 25 - MANHATTAN,DOE Owned,251,840,ADAPTIVE PHYSICAL EDUCATION,Y,Inside,N
62,Manhattan,1,1,01M378,School for Global Leaders,Junior High-Intermediate-Middle,M025,J.H.S. 25 - MANHATTAN,DOE Owned,257,"1,591",WEIGHT ROOM,Y,Inside,N
63,Manhattan,1,1,01M378,School for Global Leaders,Junior High-Intermediate-Middle,M025,J.H.S. 25 - MANHATTAN,DOE Owned,367,806,MULTI-PURPOSE CLASSROOM,Y,Inside,Y
64,Manhattan,1,1,01M378,School for Global Leaders,Junior High-Intermediate-Middle,M025,J.H.S. 25 - MANHATTAN,DOE Owned,471,682,WEIGHT ROOM,Y,Inside,N
65,Manhattan,1,1,01M378,School for Global Leaders,Junior High-Intermediate-Middle,M025,J.H.S. 25 - MANHATTAN,DOE Owned,GYM,"5,251",GYMNASIUM,Y,Inside,N
66,Manhattan,1,1,01M378,School for Global Leaders,Junior High-Intermediate-Middle,M025,J.H.S. 25 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"24,232",OUTDOOR YARD,Y,Outside,N
67,Manhattan,1,1,01M448,University Neighborhood High School,High school,M446,UNIVERSITY NEIGHBORHOOD - M,DOE Owned,204-6,990,DANCE ROOM,N,Inside,N
68,Manhattan,1,1,01M448,University Neighborhood High School,High school,M446,UNIVERSITY NEIGHBORHOOD - M,DOE Owned,209-10,"1,104",WEIGHT ROOM,N,Inside,N
69,Manhattan,1,1,01M448,University Neighborhood High School,High school,M446,UNIVERSITY NEIGHBORHOOD - M,DOE Owned,LOBBY,"4,290",MULTI-PURPOSE NON CLASSROOM,N,Inside,Y
70,Manhattan,1,1,01M450,East Side Community School,Secondary School,M060,J.H.S. 60 - MANHATTAN,DOE Owned,402,588,MULTI-PURPOSE CLASSROOM,Y,Inside,Y
71,Manhattan,1,1,01M450,East Side Community School,Secondary School,M060,J.H.S. 60 - MANHATTAN,DOE Owned,406,560,MULTI-PURPOSE CLASSROOM,Y,Inside,Y
72,Manhattan,1,1,01M450,East Side Community School,Secondary School,M060,J.H.S. 60 - MANHATTAN,DOE Owned,408,560,MULTI-PURPOSE CLASSROOM,Y,Inside,Y
73,Manhattan,1,1,01M450,East Side Community School,Secondary School,M060,J.H.S. 60 - MANHATTAN,DOE Owned,1001,"2,790",MULTI-PURPOSE ROOM,Y,Inside,Y
74,Manhattan,1,1,01M450,East Side Community School,Secondary School,M060,J.H.S. 60 - MANHATTAN,DOE Owned,GYM1,"2,652",GYMNASIUM,Y,Inside,N
75,Manhattan,1,1,01M450,East Side Community School,Secondary School,M060,J.H.S. 60 - MANHATTAN,DOE Owned,GYM2,"2,808",GYMNASIUM,Y,Inside,N
76,Manhattan,1,1,01M450,East Side Community School,Secondary School,M060,J.H.S. 60 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"7,350",OUTDOOR YARD,Y,Outside,N
77,Manhattan,2,2,02M089,P.S. 89,Elementary,M089,P.S./I.S. 89 - MANHATTAN,DOE Owned,315,"4,845",GYMNASIUM,Y,Inside,N
78,Manhattan,1,1,01M450,East Side Community School,Secondary School,M060,J.H.S. 60 - MANHATTAN,DOE Owned,OUTDOOR YARD 2,"17,931",OUTDOOR YARD,Y,Outside,N
79,Manhattan,1,1,01M458,Forsyth Satellite Academy,High school,M510,FORSYTH HS (AUXSVC-OLD 91) - M,DOE Owned,401,567,DANCE ROOM,Y,Inside,N
80,Manhattan,1,1,01M458,Forsyth Satellite Academy,High school,M510,FORSYTH HS (AUXSVC-OLD 91) - M,DOE Owned,GYM,"2,464",GYMNASIUM,Y,Inside,N
81,Manhattan,1,1,01M509,Marta Valle High School,High school,M025,J.H.S. 25 - MANHATTAN,DOE Owned,251,840,ADAPTIVE PHYSICAL EDUCATION,Y,Inside,N
82,Manhattan,1,1,01M509,Marta Valle High School,High school,M025,J.H.S. 25 - MANHATTAN,DOE Owned,257,"1,591",WEIGHT ROOM,Y,Inside,N
83,Manhattan,1,1,01M509,Marta Valle High School,High school,M025,J.H.S. 25 - MANHATTAN,DOE Owned,367,806,MULTI-PURPOSE CLASSROOM,Y,Inside,Y
84,Manhattan,1,1,01M509,Marta Valle High School,High school,M025,J.H.S. 25 - MANHATTAN,DOE Owned,471,682,WEIGHT ROOM,Y,Inside,N
85,Manhattan,1,1,01M509,Marta Valle High School,High school,M025,J.H.S. 25 - MANHATTAN,DOE Owned,GYM,"5,251",GYMNASIUM,Y,Inside,N
86,Manhattan,1,1,01M509,Marta Valle High School,High school,M025,J.H.S. 25 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"24,232",OUTDOOR YARD,Y,Outside,N
87,Manhattan,1,1,01M515,Lower East Side Preparatory High School,High school,M025,J.H.S. 25 - MANHATTAN,DOE Owned,251,840,ADAPTIVE PHYSICAL EDUCATION,Y,Inside,N
88,Manhattan,1,1,01M515,Lower East Side Preparatory High School,High school,M025,J.H.S. 25 - MANHATTAN,DOE Owned,257,"1,591",WEIGHT ROOM,Y,Inside,N
89,Manhattan,1,1,01M515,Lower East Side Preparatory High School,High school,M025,J.H.S. 25 - MANHATTAN,DOE Owned,367,806,MULTI-PURPOSE CLASSROOM,Y,Inside,Y
90,Manhattan,1,1,01M515,Lower East Side Preparatory High School,High school,M025,J.H.S. 25 - MANHATTAN,DOE Owned,471,682,WEIGHT ROOM,Y,Inside,N
91,Manhattan,1,1,01M515,Lower East Side Preparatory High School,High school,M025,J.H.S. 25 - MANHATTAN,DOE Owned,GYM,"5,251",GYMNASIUM,Y,Inside,N
92,Manhattan,1,1,01M515,Lower East Side Preparatory High School,High school,M025,J.H.S. 25 - MANHATTAN,DOE Owned,OUTDOOR YARD 1,"24,232",OUTDOOR YARD,Y,Outside,N
93,Manhattan,1,1,01M539,"New Explorations into Science, Technology and Math High School",K-12 all grades,M022,N.E.S.T (OLD J22) - MANHATTAN,DOE Owned,109,770,MULTI-PURPOSE CLASSROOM,N,Inside,Y
