project_id,project_name,project_start_date,house_number,street_name,borough,community_board,council_district,reporting_construction_type,extended_affordability_status,prevailing_wage_status,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,other_income_units,studio_units,_1_br_units,_2_br_units,_3_br_units,_4_br_units,_5_br_units,_6_br_units,unknown_br_units,counted_rental_units,counted_homeownership_units,all_counted_units,total_units,building_id,postcode,bbl,census_tract,neighborhood_tabulation_area,latitude,longitude,latitude_internal,longitude_internal,project_completion_date,building_completion_date,bin
69078,418 EAST 153RD STREET,2019-08-19T00:00:00.000,418,EAST 153 STREET,Bronx,BX-01,17.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,1,2,0,0,0,0,0,3,0,3,8,63930.0,10455.0,2023740080.0,67.0,BX34,40.818742,-73.915997,40.81848,-73.915827,,,
69077,133-135 MESEROLE AVENUE APARTMENTS,2019-08-19T00:00:00.000,133,MESEROLE AVENUE,Brooklyn,BK-01,33.0,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,9,336206.0,11222.0,3025980031.0,573.0,BK76,40.727462,-73.951618,40.72763,-73.951704,,,
68918,CONFIDENTIAL,2019-08-19T00:00:00.000,----,----,Staten Island,SI-03,51.0,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,2019-08-19T00:00:00.000,2019-08-19T00:00:00.000,
67572,LANGSAM 9 - 1630 MACOMBS ROAD.HPO.FY20,2019-08-19T00:00:00.000,1630,MACOMBS ROAD,Bronx,BX-05,14.0,Preservation,Yes,Non Prevailing Wage,0,18,33,0,0,1,12,15,23,2,0,0,0,0,52,0,52,52,93710.0,10453.0,2028660004.0,21502.0,BX36,40.846851,-73.916583,40.84691,-73.916062,2019-08-19T00:00:00.000,2019-08-19T00:00:00.000,2008447.0
69077,133-135 MESEROLE AVENUE APARTMENTS,2019-08-19T00:00:00.000,135,MESEROLE AVENUE,Brooklyn,BK-01,33.0,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,954168.0,11222.0,3025980030.0,573.0,BK76,40.727489,-73.951531,40.72765,-73.951621,,,
69076,260 KNICKERBOCKER AVENUE,2019-08-16T00:00:00.000,260,KNICKERBOCKER AVENUE,Brooklyn,BK-04,34.0,New Construction,No,Non Prevailing Wage,0,0,0,0,16,0,0,7,9,0,0,0,0,0,16,0,16,53,321213.0,11237.0,3031970034.0,429.0,BK77,40.7025,-73.924853,40.70222,-73.925088,,,
69075,223 MANHATTAN AVENUE,2019-08-16T00:00:00.000,223,MANHATTAN AVENUE,Brooklyn,BK-01,34.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,10,983861.0,11206.0,3027870025.0,503.0,BK90,40.711111,-73.945544,40.7111,-73.945779,,,
64829,RB.63-85 E 233RD ST.WOODLAWN SENIOR HOUSES,2019-08-15T00:00:00.000,69,EAST 233 STREET,Bronx,BX-12,11.0,New Construction,No,Prevailing Wage,79,0,0,0,0,1,59,20,1,0,0,0,0,0,80,0,80,80,989273.0,10470.0,2033650071.0,44901.0,BX62,40.895956,-73.873778,40.89626,-73.873532,,,
69074,969 57TH STREET,2019-08-15T00:00:00.000,969,57 STREET,Brooklyn,BK-12,38.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,2,1,0,0,0,0,0,3,0,3,7,159823.0,11219.0,3056870053.0,116.0,BK88,40.63503,-74.004183,40.635,-74.003697,,,
69073,WEX18 APARTMENTS,2019-08-14T00:00:00.000,177-18,WEXFORD TERRACE,Queens,QN-08,24.0,New Construction,No,Non Prevailing Wage,0,0,0,0,6,0,1,2,3,0,0,0,0,0,6,0,6,17,972679.0,11432.0,4098350030.0,466.0,QN06,40.713099,-73.785994,40.71278,-73.786262,,,
