dbn,school_name,grade_level,category,average_frequency,average_minutes,of_students_who_are_receiving_the_required_amount_of_physical_education_instruction_1,of_students_who_are_receiving_the_required_amount_of_physical_education_instruction_2,of_students_who_are_receiving_less_than_the_required_amount_of_physical_education_instruction_1,of_students_who_are_receiving_less_than_the_required_amount_of_physical_education_instruction_2,of_students_who_have_an_iep_that_recommends_adaptive_physical_education_1,of_students_who_have_an_iep_that_recommends_adaptive_physical_education_2
01M292,Orchard Collegiate Academy,12,IEP,-,-,s,s,s,s,s,s
01M292,Orchard Collegiate Academy,12,ELL,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",6,All Students,3.00,135.00,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",6,Asian,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",6,Black,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",6,Hispanic,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",6,White,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",6,Female,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",6,Male,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",6,IEP,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",6,ELL,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",7,All Students,3.00,135.00,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",7,Asian,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",7,Black,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",7,Hispanic,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",7,Other,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",7,White,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",7,Female,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",7,Male,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",7,IEP,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",7,ELL,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",8,All Students,3.00,135.00,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",8,Asian,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",8,Black,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",8,Hispanic,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",8,Other,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",8,White,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",8,Female,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",8,Male,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",8,IEP,-,-,s,s,s,s,s,s
01M301,"Technology, Arts, and Sciences Studio",8,ELL,-,-,s,s,s,s,s,s
01M315,The East Village Community School,1,All Students,5.00,120.00,s,s,s,s,s,s
01M315,The East Village Community School,1,Asian,-,-,s,s,s,s,s,s
01M315,The East Village Community School,1,Black,-,-,s,s,s,s,s,s
01M315,The East Village Community School,1,Hispanic,-,-,s,s,s,s,s,s
01M315,The East Village Community School,1,Other,-,-,s,s,s,s,s,s
01M315,The East Village Community School,1,White,-,-,s,s,s,s,s,s
01M315,The East Village Community School,1,Female,-,-,s,s,s,s,s,s
01M315,The East Village Community School,1,Male,-,-,s,s,s,s,s,s
01M315,The East Village Community School,1,IEP,-,-,s,s,s,s,s,s
01M315,The East Village Community School,2,All Students,5.00,120.00,s,s,s,s,s,s
01M315,The East Village Community School,2,Asian,-,-,s,s,s,s,s,s
01M315,The East Village Community School,2,Hispanic,-,-,s,s,s,s,s,s
01M315,The East Village Community School,2,Other,-,-,s,s,s,s,s,s
01M315,The East Village Community School,2,White,-,-,s,s,s,s,s,s
01M315,The East Village Community School,2,Female,-,-,s,s,s,s,s,s
01M315,The East Village Community School,2,Male,-,-,s,s,s,s,s,s
01M315,The East Village Community School,2,IEP,-,-,s,s,s,s,s,s
01M315,The East Village Community School,3,All Students,5.00,120.00,s,s,s,s,s,s
01M315,The East Village Community School,3,Asian,-,-,s,s,s,s,s,s
01M315,The East Village Community School,3,Black,-,-,s,s,s,s,s,s
01M315,The East Village Community School,3,Hispanic,-,-,s,s,s,s,s,s
01M315,The East Village Community School,3,Other,-,-,s,s,s,s,s,s
01M315,The East Village Community School,3,White,-,-,s,s,s,s,s,s
01M315,The East Village Community School,3,Female,-,-,s,s,s,s,s,s
01M315,The East Village Community School,3,Male,-,-,s,s,s,s,s,s
01M315,The East Village Community School,3,IEP,-,-,s,s,s,s,s,s
01M315,The East Village Community School,4,All Students,5.00,120.00,s,s,s,s,s,s
01M315,The East Village Community School,4,Asian,-,-,s,s,s,s,s,s
01M315,The East Village Community School,4,Black,-,-,s,s,s,s,s,s
01M315,The East Village Community School,4,Hispanic,-,-,s,s,s,s,s,s
