,dbn,school_name,school_type,program,language
286,19K089 ,P.S. 089 Cypress Hills ,K-8 ,Dual Language ,Spanish 
287,19K108 ,P.S. 108 Sal Abbracciamento ,Elementary ,Dual Language ,Spanish 
288,19K159 ,P.S. 159 Isaac Pitkin ,Elementary ,Dual Language ,Spanish 
289,19K159 ,P.S. 159 Isaac Pitkin ,Elementary ,Transitional Bilingual Education ,Bengali 
290,19K159 ,P.S. 159 Isaac Pitkin ,Elementary ,Transitional Bilingual Education ,Spanish 
291,19K171 ,I.S. 171 Abraham Lincoln ,Junior High-Intermediate-Middle ,Transitional Bilingual Education ,Spanish 
292,19K214 ,P.S. 214 Michael Friedsam ,Elementary ,Dual Language ,Spanish 
293,19K218 ,J.H.S. 218 James P. Sinnott ,Junior High-Intermediate-Middle ,Dual Language ,Spanish 
294,19K290 ,P.S. 290 Juan Morel Campos ,Elementary ,Transitional Bilingual Education ,Spanish 
295,19K345 ,P.S. 345 Patrolman Robert Bolden ,Elementary ,Dual Language ,Spanish 
296,19K345 ,P.S. 345 Patrolman Robert Bolden ,Elementary ,Transitional Bilingual Education ,Spanish 
297,19K404 ,Academy for Young Writers ,Secondary School ,Transitional Bilingual Education ,Spanish 
298,19K504 ,High School for Civil Rights ,High school ,Transitional Bilingual Education ,Spanish 
299,19K507 ,Performing Arts and Technology High School ,High school ,Transitional Bilingual Education ,Spanish 
300,19K583 ,Multicultural High School ,High school ,Dual Language ,Spanish 
301,19K583 ,Multicultural High School ,High school ,Transitional Bilingual Education ,Spanish 
302,19K662 ,Liberty Avenue Middle School ,Junior High-Intermediate-Middle ,Dual Language ,Spanish 
303,20K030 ,P.S./I.S. 30 Mary White Ovington ,K-8 ,Dual Language ,Arabic 
304,20K030 ,P.S./I.S. 30 Mary White Ovington ,K-8 ,Transitional Bilingual Education ,Chinese 
305,20K069 ,P.S. 69 Vincent D. Grippo School ,Elementary ,Transitional Bilingual Education ,Chinese 
306,20K102 ,P.S. 102 The Bayview ,Elementary ,Transitional Bilingual Education ,Spanish 
307,20K105 ,P.S. 105 The Blythebourne ,Elementary ,Transitional Bilingual Education ,Chinese 
308,20K127 ,P.S. 127 Mckinley Park ,Elementary ,Transitional Bilingual Education ,Chinese 
309,20K160 ,P.S. 160 William T. Sampson ,Elementary ,Transitional Bilingual Education ,Chinese 
310,20K164 ,P.S. 164 Caesar Rodney ,Elementary ,Transitional Bilingual Education ,Chinese 
311,20K164 ,P.S. 164 Caesar Rodney ,Elementary ,Transitional Bilingual Education ,Spanish 
312,20K170 ,Ralph A. Fabrizio School ,Elementary ,Dual Language ,Chinese 
313,20K176 ,P.S. 176 Ovington ,Elementary ,Transitional Bilingual Education ,Chinese 
314,20K179 ,P.S. 179 Kensington ,Elementary ,Dual Language ,Spanish 
315,20K180 ,The SEEALL Academy ,K-8 ,Transitional Bilingual Education ,Spanish 
316,20K186 ,P.S. 186 Dr. Irving A Gladstone ,Elementary ,Transitional Bilingual Education ,Chinese 
317,20K200 ,P.S. 200 Benson School ,Elementary ,Dual Language ,Russian 
318,20K204 ,P.S. 204 Vince Lombardi ,Elementary ,Transitional Bilingual Education ,Chinese 
319,20K205 ,P.S. 205 Clarion ,Elementary ,Transitional Bilingual Education ,Chinese 
320,20K205 ,P.S. 205 Clarion ,Elementary ,Transitional Bilingual Education ,Yiddish 
321,20K220 ,J.H.S. 220 John J. Pershing ,Junior High-Intermediate-Middle ,Dual Language ,Spanish 
322,20K220 ,J.H.S. 220 John J. Pershing ,Junior High-Intermediate-Middle ,Transitional Bilingual Education ,Chinese 
323,20K259 ,J.H.S. 259 William Mckinley ,Junior High-Intermediate-Middle ,Transitional Bilingual Education ,Arabic 
324,20K310 ,The School For Future Leaders ,Elementary ,Transitional Bilingual Education ,Chinese 
325,20K445 ,New Utrecht High School ,High school ,Transitional Bilingual Education ,Chinese 
326,20K490 ,Fort Hamilton High School ,High school ,Transitional Bilingual Education ,Arabic 
327,20K490 ,Fort Hamilton High School ,High school ,Transitional Bilingual Education ,Chinese 
328,20K490 ,Fort Hamilton High School ,High school ,Transitional Bilingual Education ,Spanish 
329,20K503 ,P.S. 503: The School of Discovery ,Elementary ,Dual Language ,Spanish 
330,20K505 ,Franklin Delano Roosevelt High School ,High school ,Transitional Bilingual Education ,Chinese 
331,20K505 ,Franklin Delano Roosevelt High School ,High school ,Transitional Bilingual Education ,Spanish 
332,20K506 ,P.S. 506: The School of Journalism & Technology ,Elementary ,Dual Language ,Spanish 
333,20K506 ,P.S. 506: The School of Journalism & Technology ,Elementary ,Transitional Bilingual Education ,Chinese 
334,21K090 ,P.S. 90 Edna Cohen School ,Elementary ,Dual Language ,Spanish 
335,21K097 ,P.S. 97 The Highlawn ,Elementary ,Transitional Bilingual Education ,Chinese 
336,21K101 ,P.S. 101 The Verrazano ,Elementary ,Dual Language ,Chinese 
337,21K225 ,P.S. K225 - The Eileen E. Zaglin ,K-8 ,Dual Language ,Russian 
338,21K228 ,I.S. 228 David A. Boody ,Junior High-Intermediate-Middle ,Dual Language ,Chinese 
339,21K228 ,I.S. 228 David A. Boody ,Junior High-Intermediate-Middle ,Dual Language ,Hebrew 
340,21K228 ,I.S. 228 David A. Boody ,Junior High-Intermediate-Middle ,Dual Language ,Russian 
341,21K228 ,I.S. 228 David A. Boody ,Junior High-Intermediate-Middle ,Dual Language ,Spanish 
342,21K238 ,P.S. 238 Anne Sullivan ,K-8 ,Transitional Bilingual Education ,Spanish 
343,21K281 ,I.S. 281 Joseph B Cavallaro ,Junior High-Intermediate-Middle ,Dual Language ,Chinese 
344,21K281 ,I.S. 281 Joseph B Cavallaro ,Junior High-Intermediate-Middle ,Dual Language ,Spanish 
345,21K525 ,Edward R. Murrow High School ,High school ,Transitional Bilingual Education ,Chinese 
346,21K525 ,Edward R. Murrow High School ,High school ,Transitional Bilingual Education ,Spanish 
347,21K540 ,John Dewey High School ,High school ,Transitional Bilingual Education ,Chinese 
348,21K540 ,John Dewey High School ,High school ,Transitional Bilingual Education ,Spanish 
349,22K139 ,P.S. 139 Alexine A. Fenty ,Elementary ,Dual Language ,Spanish 
350,22K206 ,P.S. 206 Joseph F Lamb ,K-8 ,Dual Language ,Russian 
351,22K217 ,P.S. 217 Colonel David Marcus School ,Elementary ,Transitional Bilingual Education ,Urdu 
352,24Q005 ,I.S. 5 - The Walter Crowley Intermediate School ,Junior High-Intermediate-Middle ,Dual Language ,Spanish 
353,24Q007 ,P.S. 007 Louis F. Simeone ,Early Childhood ,Dual Language ,Spanish 
354,24Q012 ,P.S. 012 James B. Colgate ,Elementary ,Transitional Bilingual Education ,Spanish 
355,24Q013 ,P.S. 013 Clement C. Moore ,Elementary ,Transitional Bilingual Education ,Spanish 
356,24Q014 ,P.S. 014 Fairview ,Elementary ,Transitional Bilingual Education ,Spanish 
357,24Q016 ,P.S. Q016 The Nancy DeBenedittis School ,Elementary ,Dual Language ,Spanish 
358,24Q016 ,P.S. Q016 The Nancy DeBenedittis School ,Elementary ,Transitional Bilingual Education ,Spanish 
359,24Q019 ,P.S. 019 Marino Jeantet ,Elementary ,Dual Language ,Spanish 
360,24Q019 ,P.S. 019 Marino Jeantet ,Elementary ,Transitional Bilingual Education ,Spanish 
361,24Q028 ,P.S. 28 - The Thomas Emanuel Early Childhood Cente ,Early Childhood ,Transitional Bilingual Education ,Spanish 
362,24Q061 ,I.S. 061 Leonardo Da Vinci ,Junior High-Intermediate-Middle ,Dual Language ,Spanish 
363,24Q061 ,I.S. 061 Leonardo Da Vinci ,Junior High-Intermediate-Middle ,Transitional Bilingual Education ,Spanish 
364,24Q073 ,I.S. 73 - The Frank Sansivieri Intermediate School ,Junior High-Intermediate-Middle ,Dual Language ,Spanish 
365,24Q081 ,P.S. 81Q Jean Paul Richter ,Elementary ,Transitional Bilingual Education ,Spanish 
366,24Q089 ,P.S. 089 Elmhurst ,Elementary ,Dual Language ,Spanish 
367,24Q093 ,I.S. 093 Ridgewood ,Junior High-Intermediate-Middle ,Dual Language ,Spanish 
368,24Q102 ,P.S. 102 Bayview ,K-8 ,Dual Language ,Chinese 
369,24Q110 ,P.S. 110 ,Elementary ,Dual Language ,Spanish 
370,24Q143 ,P.S. 143 Louis Armstrong ,Elementary ,Dual Language ,Spanish 
371,24Q143 ,P.S. 143 Louis Armstrong ,Elementary ,Transitional Bilingual Education ,Spanish 
372,24Q211 ,Elm Tree Elementary School ,Elementary ,Dual Language ,Spanish 
373,24Q311 ,Corona Arts & Sciences Academy ,Junior High-Intermediate-Middle ,Dual Language ,Spanish 
374,24Q343 ,The Children's Lab School ,Elementary ,Transitional Bilingual Education ,Spanish 
375,24Q455 ,Newtown High School ,High school ,Transitional Bilingual Education ,Chinese 
376,24Q455 ,Newtown High School ,High school ,Transitional Bilingual Education ,Spanish 
377,24Q485 ,Grover Cleveland High School ,High school ,Transitional Bilingual Education ,Spanish 
378,24Q550 ,High School for Arts and Business ,High school ,Transitional Bilingual Education ,Spanish 
379,25Q020 ,P.S. 020 John Bowne ,Elementary ,Dual Language ,Chinese 
380,25Q020 ,P.S. 020 John Bowne ,Elementary ,Transitional Bilingual Education ,Chinese 
381,25Q021 ,P.S. 021 Edward Hart ,Elementary ,Transitional Bilingual Education ,Chinese 
382,25Q022 ,P.S. 022 Thomas Jefferson ,Elementary ,Transitional Bilingual Education ,Chinese 
383,25Q024 ,P.S. 024 Andrew Jackson ,Elementary ,Transitional Bilingual Education ,Chinese 
384,25Q029 ,P.S. 029 Queens ,Elementary ,Transitional Bilingual Education ,Spanish 
385,25Q032 ,P.S. 032 State Street ,Elementary ,Dual Language ,Korean 
386,25Q107 ,P.S. 107 Thomas A Dooley ,Elementary ,Dual Language ,Spanish 
387,25Q107 ,P.S. 107 Thomas A Dooley ,Elementary ,Transitional Bilingual Education ,Chinese 
388,25Q120 ,P.S. 120 Queens ,Elementary ,Transitional Bilingual Education ,Chinese 
389,25Q163 ,P.S. 163 Flushing Heights ,Elementary ,Dual Language ,Chinese 
390,25Q185 ,J.H.S. 185 Edward Bleeker ,Junior High-Intermediate-Middle ,Dual Language ,Chinese 
391,25Q189 ,J.H.S. 189 Daniel Carter Beard ,Junior High-Intermediate-Middle ,Dual Language ,Chinese 
392,25Q237 ,I.S. 237 ,Junior High-Intermediate-Middle ,Transitional Bilingual Education ,Chinese 
393,25Q241 ,Queens High School for Language Studies ,High school ,Transitional Bilingual Education ,Chinese 
394,25Q242 ,P.S. 242 Leonard P. Stavisky Early Childhood Schoo ,Early Childhood ,Transitional Bilingual Education ,Chinese 
395,25Q244 ,The Active Learning Elementary School ,Early Childhood ,Transitional Bilingual Education ,Chinese 
396,25Q425 ,John Bowne High School ,High school ,Transitional Bilingual Education ,Chinese 
397,25Q425 ,John Bowne High School ,High school ,Transitional Bilingual Education ,Spanish 
