dbn,school_name,cte_designated_high_school,program_cip_code,program_name,industry_cluster,number_of_industry_partners,is_nysed_approved,grade_levels_served,enrolled_student_counts,number_of_school_staff
19K764,The Urban Assembly School for Collaborative Health,True,519999,"Health Professions and Related Clinical Services, Other",Health Science Cluster,1,Non-Approved,91011.0,126,8
20K445,New Utrecht High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,12,Non-Approved,9101112.0,186,20
20K445,New Utrecht High School,False,510714,Medical Insurance Specialist/Medical Biller,Health Science Cluster,2,Non-Approved,9101112.0,327,20
20K445,New Utrecht High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,5,Non-Approved,9101112.0,263,20
20K445,New Utrecht High School,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,5,Non-Approved,9101112.0,145,20
20K485,High School of Telecommunication Arts and Technolo,False,110201,"Computer Programming/Programmer, General",Information Technology Cluster,0,Non-Approved,9101112.0,211,0
20K490,Fort Hamilton High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,9101112.0,87,12
20K490,Fort Hamilton High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Approved,9101112.0,767,12
21K410,Abraham Lincoln High School,False,510808,Veterinary/Animal Health Technology/Technician and Veterinarian Assistant,Health Science Cluster,1,Non-Approved,9101112.0,284,2
21K410,Abraham Lincoln High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Non-Approved,9101112.0,122,2
21K525,Edward R. Murrow High School,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Approved,9101112.0,919,6
21K559,Life Academy High School for Film and Music,False,500602,Cinematography and Film/Video Production,"Arts, Audio/Video Technology and Communications Cluster",2,Non-Approved,9101112.0,219,0
21K620,William E. Grady Career and Technical Education Hi,True,120503,Culinary Arts/Chef Training,Hospitality and Tourism Cluster,2,Approved,9101112.0,91,12
21K620,William E. Grady Career and Technical Education Hi,True,151001,Construction Engineering Technology/Technician,Architecture and Construction Cluster,3,Non-Approved,9101112.0,97,12
21K620,William E. Grady Career and Technical Education Hi,True,470104,Computer Installation and Repair Technology/Technician,Information Technology Cluster,2,Non-Approved,9101112.0,131,12
21K620,William E. Grady Career and Technical Education Hi,True,470604,Automobile/Automotive Mechanics Technology/Technician,"Transportation, Distribution and Logistics Cluster",3,Approved,9101112.0,59,12
21K620,William E. Grady Career and Technical Education Hi,True,511614,Nurse/Nursing Assistant/Aide and Patient Care Assistant,Health Science Cluster,1,Non-Approved,9101112.0,58,12
21K690,Brooklyn Studio Secondary School,False,500102,Digital Arts,"Arts, Audio/Video Technology and Communications Cluster",1,Approved,9101112.0,219,4
22K405,Midwood High School,False,90199,"Communications and Media Studies, Other","Arts, Audio/Video Technology and Communications Cluster",3,Non-Approved,9101112.0,397,9
22K405,Midwood High School,False,151302,CAD/CADD Drafting and/or Design Technology/Technician,Manufacturing Production Cluster,2,Approved,9101112.0,439,9
22K405,Midwood High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,9101112.0,429,9
22K425,James Madison High School,False,110103,Information Technology,Information Technology Cluster,1,Non-Approved,9101112.0,460,7
22K425,James Madison High School,False,430199,"Corrections and Criminal Justice, Other",Law and Public Safety Cluster,9,Non-Approved,9101112.0,661,7
22K425,James Madison High School,False,520899,"Finance and Financial Management Services, Other",Finance Cluster,1,Non-Approved,101112.0,83,7
24Q264,Academy of Finance and Enterprise,False,520304,Accounting and Finance,Business Management and Administration Cluster,3,Approved,9101112.0,247,10
24Q264,Academy of Finance and Enterprise,False,520701,Entrepreneurship/Entrepreneurial Studies,Business Management and Administration Cluster,2,Approved,9101112.0,267,10
24Q455,Newtown High School,False,151303,Architectural Drafting and Architectural CAD/CADD,Manufacturing Production Cluster,1,Approved,9101112.0,465,3
24Q455,Newtown High School,False,520101,"Business/Commerce, General",Business Management and Administration Cluster,2,Approved,9101112.0,477,3
24Q485,Grover Cleveland High School,False,110101,"Computer and Information Sciences, General",Information Technology Cluster,3,Non-Approved,9101112.0,212,4
24Q485,Grover Cleveland High School,False,520903,Tourism and Travel Services Management,Hospitality and Tourism Cluster,3,Non-Approved,9101112.0,208,4
