,borough,geographical,admin_district,ats_code,location_name,grade_level,building_code,building_name,address,building_ownership,room_no,area,function,is_school_co_located,inside_v_outside,is_the_space_shared,space_used_for_any
88,M,2,2,02M002,P.S. 002 Meyer London,Elementary,M002,P.S. 2 - Manhattan,122 Henry Street,DOE Owned,GYM.,3819.0,Gymnasium,false,Inside,false,False
89,M,2,2,02M002,P.S. 002 Meyer London,Elementary,M002,P.S. 2 - Manhattan,122 Henry Street,DOE Owned,Outdoor Yard 1,36183.0,Outdoor Yard,false,Outdoor,false,False
90,M,2,2,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - Manhattan,490 Hudson Street,DOE Owned,400,546.0,Dance Room,false,Inside,false,False
91,M,2,2,02M003,P.S. 003 Charrette School,Elementary,M003,P.S. 3 - Manhattan,490 Hudson Street,DOE Owned,402,945.0,Dance Room,false,Inside,false,False
92,M,2,2,02M006,P.S. 006 Lillie D. Blake,Elementary,M006,P.S. 6 - Manhattan,45 East 81 Street,DOE Owned,GYM,3710.0,Gymnasium,false,Inside,false,False
93,M,2,2,02M006,P.S. 006 Lillie D. Blake,Elementary,M006,P.S. 6 - Manhattan,45 East 81 Street,DOE Owned,Outdoor Yard 1,19173.0,Outdoor Yard,false,Outdoor,false,False
94,M,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - Manhattan,320 West 21 Street,DOE Owned,502,1254.0,Dance Room,false,Inside,false,False
95,M,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - Manhattan,320 West 21 Street,DOE Owned,520,1232.0,Gymnasium,false,Inside,false,False
96,M,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - Manhattan,320 West 21 Street,DOE Owned,POOL,4674.0,Swimming Pool,false,Inside,false,False
97,M,2,2,02M011,P.S. 011 William T. Harris,Elementary,M011,P.S. 11 - Manhattan,320 West 21 Street,DOE Owned,Outdoor Yard 1,14192.0,Outdoor Yard,false,Outdoor,false,False
98,M,2,2,02M033,P.S. 033 Chelsea Prep,Elementary,M033,P.S. 33 - Manhattan,281 9 Avenue,DOE Owned,108,3504.0,Gymnasium,true,Inside,true,False
99,M,2,2,02M033,P.S. 033 Chelsea Prep,Elementary,M033,P.S. 33 - Manhattan,281 9 Avenue,DOE Owned,Outdoor Yard 1,8950.0,Outdoor Yard,true,Outdoor,true,False
100,M,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - Manhattan,319 East 19 Street,DOE Owned,1ST FL,4503.0,Gymnasium,true,Inside,true,False
101,M,2,2,02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,M040,P.S. 40 - Manhattan,319 East 19 Street,DOE Owned,3 FL,2652.0,Gymnasium,true,Inside,true,False
