,report_date,building_id,dob_violations,hpd_violations,fdny_violations,total_open_violations
164,2018-09-30T00:00:00.000,TQ50,1,0,2,3.0
165,2018-09-30T00:00:00.000,TQ51,38,8,1,47.0
166,2018-09-30T00:00:00.000,TQ52,17,9,0,26.0
167,2018-09-30T00:00:00.000,TQ53,2,11,0,13.0
168,2018-09-30T00:00:00.000,TQ54,2,43,1,46.0
169,2018-09-30T00:00:00.000,TQ55,8,8,0,16.0
170,2018-09-30T00:00:00.000,TQ56,5,32,2,39.0
171,2018-09-30T00:00:00.000,TQ57,11,3,3,17.0
172,2018-09-30T00:00:00.000,TQ58,3,11,1,15.0
173,2018-09-30T00:00:00.000,TQ59,0,0,0,0.0
174,2018-09-30T00:00:00.000,TQ60,0,9,2,11.0
175,2018-09-30T00:00:00.000,TQ61,6,2,2,10.0
176,2018-09-30T00:00:00.000,TQ62,3,12,0,15.0
177,2018-09-30T00:00:00.000,TQ63,2,15,1,18.0
178,2018-09-30T00:00:00.000,TQ64,41,1,1,43.0
179,2018-09-30T00:00:00.000,TQ65,7,12,1,20.0
180,2018-09-30T00:00:00.000,TQ66,2,14,2,18.0
181,2018-09-30T00:00:00.000,TQ67,17,3,0,20.0
182,2018-09-30T00:00:00.000,TQ68,9,0,0,9.0
183,2018-09-30T00:00:00.000,TQ69,1,0,1,2.0
184,2018-09-30T00:00:00.000,TQ70,5,32,3,40.0
185,2018-09-30T00:00:00.000,TQ71,7,93,1,101.0
186,2018-09-30T00:00:00.000,TQ72,0,11,3,14.0
187,2018-09-30T00:00:00.000,TQ73,13,4,1,18.0
188,2018-09-30T00:00:00.000,TQ74,15,23,1,39.0
189,2018-09-30T00:00:00.000,TQ75,3,11,1,15.0
190,2018-09-30T00:00:00.000,TQ76,8,0,0,8.0
191,2018-09-30T00:00:00.000,TQ77,12,0,2,14.0
192,2018-09-30T00:00:00.000,TQ78,0,14,3,17.0
193,2018-09-30T00:00:00.000,TQ79,3,7,0,10.0
194,2018-09-30T00:00:00.000,TQ80,3,48,6,57.0
195,2018-09-30T00:00:00.000,TQ81,0,0,0,0.0
196,2018-09-30T00:00:00.000,TQ82,13,154,3,170.0
197,2018-09-30T00:00:00.000,TQ83,3,61,2,66.0
198,2018-09-30T00:00:00.000,TQ84,1,18,1,20.0
199,2018-09-30T00:00:00.000,TQ85,6,2,1,9.0
200,2018-09-30T00:00:00.000,TQ86,14,22,1,37.0
