,school_year,building_code,dbn,location_name,location_code,address,borough,geographical_district_code,register,building_name,schools,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,borough_name,postcode,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta
523,2015-16,K013,84K358      ,Achievement First East New York Charter School,K358,557 PENNSYLVANIA AVENUE,K,19.0,846,557 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,2,P.S. 013 Roberto Clemente| Achievement First East New York Charter School| 557 PENNSYLVANIA AVENUE CONDOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A,BROOKLYN ,11207.0,40.663673,-73.893754,5.0,42.0,1126.0,3085070.0,3038230001.0,East New York (Pennsylvania Ave)                                           
524,2015-16,K014,22K014,J.H.S. 014 Shell Bank,K014,2424 BATCHELDER STREET,K,22.0,548,2424 BATCHELDER STREET CONSOLIDATED LOCATION ,2,J.H.S 014 Shell Bank | PS 77 (Brooklyn) |CONDOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,BROOKLYN ,11235.0,40.593521,-73.937672,15.0,48.0,596.0,3203617.0,3074240001.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
525,2015-16,K014,75K077,PS 77(BROOKLYN),K077,2424 BATCHELDER STREET,K,22.0,289,2424 BATCHELDER STREET CONSOLIDATED LOCATION ,2,J.H.S 014 Shell Bank | PS 77 (Brooklyn) |CONDOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,BROOKLYN ,11235.0,40.593521,-73.937672,15.0,48.0,596.0,3203617.0,3074240001.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
526,2015-16,K016,84K355,WILLIAMSBURG COLLEGIATE CHARTER SCHOOL(BROOKLYN),K355,157 WILSON STREET,K,14.0,538,157 WILSON STREET CONSOLIDATED LOCATION,2,P.S. 016 Leonard Dunkly|  Williamsburg Collegiate Charter School|  157 WILSON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,BROOKLYN ,11211.0,40.706023,-73.961476,1.0,33.0,535.0,3059906.0,3021770001.0,Williamsburg                                                               
527,2015-16,K016,,157 WILSON STREET CONSOLIDATED LOCATION,,157 WILSON STREET,K,14.0,242,157 WILSON STREET CONSOLIDATED LOCATION,2,P.S. 016 Leonard Dunkly|  Williamsburg Collegiate Charter School|  157 WILSON STREET CONSOLIDATED LOCATION,1,1,0,1,1,2C,1-250,0.24,0.71,1.71,0.51,0.32,BROOKLYN ,11211.0,40.706023,-73.961476,1.0,33.0,535.0,3059906.0,3021770001.0,Williamsburg                                                               
528,2015-16,K017,14K577,Conselyea Preparatory School,K577,208 NORTH  5 STREET,K,14.0,506,208 NORTH  5 STREET CONSOLIDATED LOCATION,2,P.S. 017 Henry D. Woodworth |  Conselyea Preparatory School |  208 NORTH  5 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,BROOKLYN ,11211.0,40.715351,-73.956716,1.0,34.0,519.0,3062337.0,3023450001.0,North Side-South Side                                                      
529,2015-16,K017,,208 NORTH  5 STREET CONSOLIDATED LOCATION,,208 NORTH  5 STREET,K,14.0,798,208 NORTH  5 STREET CONSOLIDATED LOCATION,2,P.S. 017 Henry D. Woodworth |  Conselyea Preparatory School |  208 NORTH  5 STREET CONSOLIDATED LOCATION,0,0,0,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,BROOKLYN ,11211.0,40.715351,-73.956716,1.0,34.0,519.0,3062337.0,3023450001.0,North Side-South Side                                                      
530,2015-16,K019,,325 SOUTH  3 STREET CONSOLIDATED LOCATION,,325 SOUTH  3 STREET,K,14.0,583,325 SOUTH  3 STREET CONSOLIDATED LOCATION,1,Brooklyn Arbor Elementary School |  325 SOUTH  3 STREET CONSOLIDATED LOCATION,0,0,0,0,0,3C,501-750,0.27,0.9,1.67,0.63,0.44,BROOKLYN ,11211.0,40.709647,-73.95465,1.0,34.0,527.0,3063188.0,3024230001.0,North Side-South Side                                                      
531,2015-16,K020,13K020,P.S. 020 Clinton Hill,K020,225 ADELPHI STREET,K,13.0,401,225 ADELPHI STREET CONSOLIDATED LOCATION,2,P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,BROOKLYN ,11205.0,40.690765,-73.971376,2.0,35.0,183.0,3058531.0,3020910003.0,Fort Greene                                                                
532,2015-16,K020,,225 ADELPHI STREET CONSOLIDATED LOCATION,,225 ADELPHI STREET,K,13.0,916,225 ADELPHI STREET CONSOLIDATED LOCATION,2,P.S. 020 Clinton Hill |  Academy of Arts and Letters |  225 ADELPHI STREET CONSOLIDATED LOCATION,0,0,1,0,0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,BROOKLYN ,11205.0,40.690765,-73.971376,2.0,35.0,183.0,3058531.0,3020910003.0,Fort Greene                                                                
