order,property_id,property_name,parent_property_id,parent_property_name,bbl_10_digits,nyc_borough_block_and_lot_bbl_self_reported,nyc_building_identification_number_bin,address_1_self_reported,address_2,postal_code,street_number,street_name,borough,dof_gross_floor_area,primary_property_type_self_selected,list_of_all_property_use_types_at_property,largest_property_use_type,largest_property_use_type_gross_floor_area_ft,_2nd_largest_property_use_type,_2nd_largest_property_use_gross_floor_area_ft,_3rd_largest_property_use_type,_3rd_largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings_self_reported,occupancy,metered_areas_energy,metered_areas_water,energy_star_score,site_eui_kbtu_ft,weather_normalized_site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,weather_normalized_source_eui_kbtu_ft,fuel_oil_1_use_kbtu,fuel_oil_2_use_kbtu,fuel_oil_4_use_kbtu,fuel_oil_5_6_use_kbtu,diesel_2_use_kbtu,district_steam_use_kbtu,natural_gas_use_kbtu,weather_normalized_site_natural_gas_use_therms,electricity_use_grid_purchase_kbtu,weather_normalized_site_electricity_kwh,total_ghg_emissions_metric_tons_co2e,direct_ghg_emissions_metric_tons_co2e,indirect_ghg_emissions_metric_tons_co2e,property_gfa_self_reported_ft,water_use_all_water_sources_kgal,water_intensity_all_water_sources_gal_ft,source_eui_kbtu_ft,release_date,water_required,dof_benchmarking_submission_status,latitude,longitude,community_board,council_district,census_tract,nta
22,4988574,- 720 Ft. Washington Ave. bldg,2780056,720-730 Ft. Washington Owners Corp.,1021800614.0,1021800614,1064475,720-730 Ft. Washington Ave.,Not Available,10040,720.0,FT WASHINGTON AVENUE,Manhattan,179130.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,204720.0,Not Available,Not Available,Not Available,Not Available,1939,1,100,Whole Building,Not Available,67,75.7,79,4,0,109.1,Not Available,Not Available,1.20478901E7,Not Available,Not Available,Not Available,553439.4,5604.4,2886852.2,820016.2,1204.4,936.5,267.9,204720,Not Available,Not Available,106.6,2017-05-01T22:09:31.000,,In Compliance,40.857943,-73.934962,12.0,10.0,281.0,Washington Heights North                                                   
23,4988569,- 730 Ft. Washington Ave bldg,2780056,720-730 Ft. Washington Owners Corp.,1021800628.0,1021800628,1064476;1803806,720-730 Ft. Washington Ave.,Not Available,10040,730.0,FT WASHINGTON AVENUE,Manhattan,102150.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,116744.0,Not Available,Not Available,Not Available,Not Available,1939,1,100,Whole Building,Not Available,80,77.1,82.7,2.6,0,102.8,Not Available,Not Available,7587517.6,Not Available,Not Available,Not Available,326760.6,3301.9,1081789.4,308074.6,689.0,588.6,100.4,116744,Not Available,Not Available,97.7,2017-05-01T22:09:31.000,Yes,In Compliance,40.858256,-73.93473399999999,12.0,10.0,281.0,Washington Heights North                                                   
24,2806486,Park 76th Street Inc.,2806486,Park 76th Street Inc.,,1013900037;1013910034,1041702; 1041800,830-840 Park Avenue,Not Available,10021,,,,,Multifamily Housing,Multifamily Housing,Multifamily Housing,189766.0,Not Available,Not Available,Not Available,Not Available,1911,2,100,Whole Building,Whole Building,100,68.0,Not Available,6.1,0.5,Not Available,Not Available,112138.8,Not Available,Not Available,Not Available,Not Available,8786386.9,98264.5,4013954.9,1156269.9,847.5,475.0,372.5,189766,Not Available,Not Available,115.6,2017-05-01T22:09:31.000,Yes,In Compliance,,,,,,
25,4988686,- 830 Park Avenue bldg,2806486,Park 76th Street Inc.,1013900037.0,1013900037,1041702,830 Park Avenue,Not Available,10021,830.0,PARK AVENUE,Manhattan,151666.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,130629.0,Not Available,Not Available,Not Available,Not Available,1911,1,100,Another configuration,Not Available,100,23.7,23.4,6.8,Not Available,73.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3090622.7,894049,286.8,0.0,286.8,130629,Not Available,Not Available,74.3,2017-05-01T22:09:31.000,,In Compliance,40.773465,-73.96211600000001,8.0,4.0,130.0,Upper East Side-Carnegie Hill                                              
26,4988688,- 840 Park Avenue bldg,2806486,Park 76th Street Inc.,1013910034.0,1013910034,1041800,840 Park Avenue,Not Available,10021,840.0,PARK AVENUE,Manhattan,64827.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,54913.0,Not Available,Not Available,Not Available,Not Available,1911,1,100,Another configuration,Not Available,100,17.9,17.4,4.8,0,52.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,59412.9,601,923332.2,262377.2,88.8,3.2,85.7,54913,231.9,4.22,53.9,2017-05-01T22:09:31.000,Yes,In Compliance,40.773843,-73.961838,8.0,4.0,130.0,Upper East Side-Carnegie Hill                                              
27,2809896,560 Riverside Drive,2809896,560 Riverside Drive,,Not Available,Not Available,560 Riverside Drive,Not Available,10027,,,,,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,535632.0,Not Available,Not Available,Not Available,Not Available,1964,2,100,Whole Building,Whole Building,Not Available,115.9,118.8,0,1.2,124.7,Not Available,Not Available,Not Available,450000,Not Available,Not Available,6.16389972E7,631631.4,5527.4,1620,3308.4,3307.8,0.5,535632,8984.2,16.77,121.7,2017-04-24T18:52:20.000,No,In Compliance,,,,,,
28,4954491,558 RIVERSIDE DRIVE,2809896,560 Riverside Drive,1019950053.0,1019950053,1059890,558 RIVERSIDE DRIVE,Not Available,10027,558.0,RIVERSIDE DRIVE,Manhattan,256528.0,College/University,College/University,College/University,256528.0,Not Available,Not Available,Not Available,Not Available,1964,1,100,Whole Building,Not Available,Not Available,0.0,0,0,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0.0,0,0.0,0.0,0.0,256528,Not Available,Not Available,0.0,2017-04-24T18:52:20.000,Yes,In Compliance,40.816968,-73.96075400000001,9.0,7.0,211.0,Morningside Heights                                                        
29,4954504,564 RIVERSIDE DRIVE,2809896,560 Riverside Drive,1019950063.0,1019950063,1059891  ,560 Riverside Drive,Not Available,10027,564.0,RIVERSIDE DRIVE,Manhattan,339104.0,College/University,College/University,College/University,339104.0,Not Available,Not Available,Not Available,Not Available,1964,1,100,Whole Building,Not Available,Not Available,0.0,0,0,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0.0,0,0.0,0.0,0.0,339104,Not Available,Not Available,0.0,2017-04-24T18:52:20.000,No,In Compliance,40.817221,-73.960776,9.0,7.0,211.0,Morningside Heights                                                        
30,2825730,Meyer Hall,2825730,Meyer Hall,1005460031.0,1005460031,1008816,4-6 Washington Place,Not Available,10003,4.0,WASHINGTON PLACE,Manhattan,54725.0,College/University,College/University,College/University,199058.1,Not Available,Not Available,Not Available,Not Available,1971,2,100,Whole Building,Whole Building,Not Available,26.9,26.9,7.9,0,84.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,1,5357112.7,1570079.7,497.1,0.0,497.1,199058,1009.9,5.07,84.5,2017-04-28T19:15:52.000,,In Compliance,40.729201,-73.994155,2.0,1.0,57.0,West Village                                                               
31,5101913,713 Broadway MEYER,2825730,Meyer Hall,1005460033.0,1005460033,1008817 ,713 Broadway,Not Available,10003,713.0,BROADWAY,Manhattan,61582.0,College/University,College/University,College/University,61582.0,Not Available,Not Available,Not Available,Not Available,1971,0,100,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,0.0,0.0,0.0,61582,Not Available,Not Available,,2017-04-28T19:15:52.000,,In Compliance,40.728924,-73.99383399999999,2.0,1.0,57.0,West Village                                                               
