order,property_id,property_name,parent_property_id,parent_property_name,bbl_10_digits,nyc_borough_block_and_lot_bbl_self_reported,nyc_building_identification_number_bin,address_1_self_reported,address_2,postal_code,street_number,street_name,borough,dof_gross_floor_area,primary_property_type_self_selected,list_of_all_property_use_types_at_property,largest_property_use_type,largest_property_use_type_gross_floor_area_ft,_2nd_largest_property_use_type,_2nd_largest_property_use_gross_floor_area_ft,_3rd_largest_property_use_type,_3rd_largest_property_use_type_gross_floor_area_ft,year_built,number_of_buildings_self_reported,occupancy,metered_areas_energy,metered_areas_water,energy_star_score,site_eui_kbtu_ft,weather_normalized_site_eui_kbtu_ft,weather_normalized_site_electricity_intensity_kwh_ft,weather_normalized_site_natural_gas_intensity_therms_ft,weather_normalized_source_eui_kbtu_ft,fuel_oil_1_use_kbtu,fuel_oil_2_use_kbtu,fuel_oil_4_use_kbtu,fuel_oil_5_6_use_kbtu,diesel_2_use_kbtu,district_steam_use_kbtu,natural_gas_use_kbtu,weather_normalized_site_natural_gas_use_therms,electricity_use_grid_purchase_kbtu,weather_normalized_site_electricity_kwh,total_ghg_emissions_metric_tons_co2e,direct_ghg_emissions_metric_tons_co2e,indirect_ghg_emissions_metric_tons_co2e,property_gfa_self_reported_ft,water_use_all_water_sources_kgal,water_intensity_all_water_sources_gal_ft,source_eui_kbtu_ft,release_date,water_required,dof_benchmarking_submission_status,latitude,longitude,community_board,council_district,census_tract,nta
568,5975217,70 Pine,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000417504.0,1-00041-7504,1001007,70 Pine St,Not Available,10005,66.0,PINE STREET,Manhattan,1177420.0,Multifamily Housing,"Food Service, Hotel, Multifamily Housing, Other",Multifamily Housing,813470.0,Hotel,122875,Food Service,43240,1931,1,100,Whole Building,Whole Building,1,99.4,100.5,25.2,0.1,286.4,Not Available,Not Available,Not Available,Not Available,Not Available,8225067.7,5260797.1,57118.8,85942061.8,2.51881745E7,8801.0,279.4,8521.5,1000585,1419.3,1.42,285.1,2017-07-26T12:35:05.000,No,In Compliance,40.7064,-74.008043,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
569,4039462,Maiden Lane Properties LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000420001.0,1-00042-0001,1001014,100 Maiden Lane,Not Available,10038,100.0,MAIDEN LANE,Manhattan,290116.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,279600.0,Not Available,Not Available,Not Available,Not Available,1930,1,100,Whole Building,Whole Building,10,80.4,82.8,13.1,0.1,185.8,Not Available,Not Available,Not Available,Not Available,Not Available,8416219.2,1406500.1,14326.6,12647560.6,3676516,1807.2,74.7,1732.5,279600,9902,35.41,183.5,2017-05-01T10:05:22.000,Yes,In Compliance,40.706866999999995,-74.00699,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
570,4036640,Glenwood - Liberty Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000420022.0,1-00042-0022,1086256,10 Liberty Street,Not Available,10005,10.0,LIBERTY STREET,Manhattan,431000.0,Multifamily Housing,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,333600.0,Parking,44000,Retail Store,3400,2002,1,100,Whole Building,Not Available,Not Available,106.1,108.9,9.7,0.7,183.7,Not Available,690276,Not Available,0,Not Available,Not Available,2.35638586E7,248363.6,11517493.6,3278610.8,2371.6,1302.8,1068.8,337000,14860.1,44.1,182.8,2017-05-01T14:58:14.000,No,In Compliance,40.707640999999995,-74.008155,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
573,2614197,40 Wall Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000430002.0,1000430002,1001018,40 Wall Street,Not Available,10005,40.0,WALL STREET,Manhattan,1061286.0,Office,Office,Office,1155995.0,Not Available,Not Available,Not Available,Not Available,1929,1,100,Whole Building,Whole Building,90,63.2,62.5,11.9,Not Available,153.7,Not Available,Not Available,Not Available,Not Available,Not Available,2.58373226E7,Not Available,Not Available,47199159.7,1.37291068E7,6095.6,0.0,6095.6,1155995,Not Available,Not Available,155.1,2017-04-26T11:36:16.000,No,In Compliance,40.706625,-74.009875,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
574,4398355,"30 Wall Street, New York",Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000430005.0,1-00043-0005,1001019,"30 Wall Street, New York",Not Available,10005,30.0,WALL STREET,Manhattan,108663.0,Other,"Medical Office, Office, Other",Office,96245.0,Other,37541,Medical Office,5094,1954,1,100,Whole Building,Not Available,Not Available,76.1,78,16.2,Not Available,201.2,Not Available,Not Available,Not Available,Not Available,Not Available,2869759.5,Not Available,Not Available,7698680.8,2256354,905.0,0.0,905.0,138880,Not Available,Not Available,198.9,2017-04-12T14:49:14.000,No,In Compliance,40.706839,-74.01021800000001,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
576,4450908,20 Pine Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000447501.0,1-00044-7501,1001022,20 Pine Street,Not Available,10005,18.0,PINE STREET,Manhattan,583639.0,Multifamily Housing,"Multifamily Housing, Other - Restaurant/Bar",Multifamily Housing,581109.0,Other - Restaurant/Bar,2530,Not Available,Not Available,1928,1,100,Whole Building,Not Available,19,59.2,60.9,11.4,0,148.6,Not Available,Not Available,Not Available,Not Available,Not Available,1.08227244E7,923281.3,9508,22794280.2,6680620.6,2883.0,49.0,2833.9,583639,Not Available,Not Available,146.6,2017-04-27T11:47:43.000,No,In Compliance,40.707588,-74.010013,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
577,2558651,2 Wall - Fieldstone Capital,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000460001.0,1000460001,1001023,2 Wall Street,Not Available,10005,2.0,WALL STREET,Manhattan,173159.0,Office,"Financial Office, Office, Other",Office,158555.0,Financial Office,17292,Other,16653,1932,1,95,Whole Building,Whole Building,58,97.1,102.6,18.5,Not Available,245.5,Not Available,Not Available,Not Available,Not Available,Not Available,6427018.4,Not Available,Not Available,12268187.4,3556064.6,1565.2,0.0,1565.2,192500,Not Available,Not Available,240.3,2017-04-24T11:32:22.000,No,In Compliance,40.707725,-74.01163199999999,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
578,4932778,100 Broadway,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000460003.0,1-00046-0003,1001024,100 Broadway,Not Available,10005,100.0,BROADWAY,Manhattan,364390.0,Other,"Convenience Store without Gas Station, Office",Office,363572.0,Convenience Store without Gas Station,16000,Not Available,Not Available,1922,1,100,Whole Building,Whole Building,81,55.5,56,15.5,Not Available,169.7,Not Available,Not Available,Not Available,Not Available,Not Available,1033208.1,Not Available,Not Available,20043541.3,5874425.2,1928.6,0.0,1928.6,379572,4516.4,11.9,169.1,2017-04-14T10:52:45.000,No,In Compliance,40.70814,-74.01137299999999,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
579,3541783,14 Wall Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000460009.0,1-00046-0009,1001025,14 Wall Street,Not Available,10005,14.0,WALL STREET,Manhattan,839749.0,Office,"Financial Office, Office, Other, Other - Recreation, Retail Store",Office,968458.0,Financial Office,57277,Retail Store,33497,1912,1,100,Whole Building,Whole Building,48,117.7,117.2,15.5,0,243,Not Available,Not Available,Not Available,Not Available,Not Available,6.57812971E7,3998593.3,40739.9,58241719.7,16889932,9985.0,212.4,9772.6,1087767,Not Available,Not Available,244.7,2017-04-19T17:05:26.000,No,In Compliance,40.707347,-74.010997,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
580,1439342,"120 Broadway Holdings, LLC",Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000477501.0,1-00047-7501,1001026,120 Broadway,Not Available,10271,120.0,BROADWAY,Manhattan,1736513.0,Office,"Bank Branch, Convenience Store without Gas Station, Office, Other - Restaurant/Bar, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant",Office,1858900.0,Bank Branch,32063,Other - Restaurant/Bar,17223,1915,1,95,Whole Building,Whole Building,88,65.6,67.7,13.5,0,170.6,Not Available,Not Available,Not Available,Not Available,Not Available,3.39796617E7,2150167,21501.7,89230078.0,2.58144443E7,10650.9,114.2,10536.7,1910503,22500.7,11.78,169.2,2017-04-04T13:57:00.000,No,In Compliance,40.708546000000005,-74.011041,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
581,1052478,140 Broadway,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000480001.0,1000480001,1001027,140 Broadway,Not Available,10005,140.0,BROADWAY,Manhattan,1141276.0,Office,"Data Center, Office",Office,1248923.0,Data Center,23196,Not Available,Not Available,1967,1,90,Whole Building,Whole Building,71,133.0,132.6,15.2,0,259.6,Not Available,Not Available,Not Available,Not Available,Not Available,1.028181213E8,544887.5,5448.9,65836172.3,1.92776883E7,12965.5,28.9,12936.6,1272119,34898.6,27.43,260.2,2017-05-01T13:09:38.000,No,In Compliance,40.709043,-74.010626,1.0,1.0,7.0,Battery Park City-Lower Manhattan                                          
582,4042884,111 Broadway,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000490002.0,1000490002,1001029,111 Broadway,Not Available,10006,111.0,BROADWAY,Manhattan,432093.0,Office,Office,Office,450000.0,Not Available,Not Available,Not Available,Not Available,1905,1,90,Whole Building,Whole Building,93,42.1,41.7,12.2,Not Available,131.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18937964.9,5505360.3,1757.4,0.0,1757.4,450000,9525.7,21.17,132.1,2017-06-14T18:02:30.000,No,In Compliance,40.708486,-74.011113,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
583,4042898,115  Broadway,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000500001.0,1000500001,1001030,115  Broadway,Not Available,10006,115.0,BROADWAY,Manhattan,396607.0,Office,Office,Office,400000.0,Not Available,Not Available,Not Available,Not Available,1908,1,90,Whole Building,Whole Building,60,121.0,128,14.6,Not Available,250.7,Not Available,Not Available,Not Available,Not Available,Not Available,2.84061882E7,Not Available,Not Available,19983401.9,5856799.4,3740.6,0.0,3740.6,400000,20148.8,50.37,242.3,2017-06-14T18:02:30.000,Yes,In Compliance,40.708631,-74.010997,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
584,4908355,2 Rector street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000510001.0,1-00051-0001,1001031,2 RECTOR STREET,Not Available,10006,2.0,RECTOR STREET,Manhattan,400294.0,Office,Office,Office,411843.0,Not Available,Not Available,Not Available,Not Available,1907,1,40,Whole Building,Whole Building,98,26.4,25.9,7.6,Not Available,81.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10885636.8,3130992.2,1010.2,0.0,1010.2,411843,2079.9,5.05,83.0,2017-06-15T12:21:18.000,No,In Compliance,40.707808,-74.013053,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
585,2714770,zzzWassner 86 Trinity Place/ 113 Greenwich,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000510013.0,1-00051-0013,1001033,86 Trinity Place,Not Available,10006,86.0,TRINITY PLACE,Manhattan,181725.0,Office,Office,Office,167555.0,Not Available,Not Available,Not Available,Not Available,1921,1,100,Whole Building,Whole Building,1,2025.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.383387448E8,Not Available,Not Available,988145.1,Not Available,22556.9,0.0,22556.9,167555,Not Available,Not Available,2447.8,2017-05-01T19:43:09.000,No,In Compliance,40.708645000000004,-74.01239,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
588,2656137,Samson - 125 Cedar St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000520021.0,1-00052-0021,1001040,125 Cedar Street,Not Available,10006,120.0,LIBERTY STREET,Manhattan,57945.0,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,50445.0,Retail Store,7500,Not Available,Not Available,1900,1,100,Whole Building,Whole Building,23,84.0,89.8,6.2,Not Available,135.9,Not Available,Not Available,3595322.6,Not Available,Not Available,Not Available,Not Available,Not Available,1271108.6,360699.6,388.6,270.7,118.0,57945,1465,25.28,131.5,2017-05-01T14:58:14.000,No,In Compliance,40.71002,-74.012408,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
589,4401415,"114 Liberty Street, New York",Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000527502.0,1-00052-7502,1001041,"114 Liberty Street, New York",Not Available,10006,114.0,LIBERTY STREET,Manhattan,74409.0,Multifamily Housing,"Multifamily Housing, Office, Other, Retail Store",Multifamily Housing,60218.0,Office,3200,Other,1200,1900,1,100,Whole Building,Not Available,Not Available,141.2,145.9,13.4,1,248.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6097889.2,64896.1,3041615.7,865727.6,606.1,323.9,282.3,64718,239.2,3.7,246.5,2017-04-27T18:30:44.000,No,In Compliance,40.709938,-74.012235,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
590,4387157,110 GREENWICH LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000530033.0,1-00053-0033,1001051,110-112 GREENWICH STREET,Not Available,10006,110.0,GREENWICH STREET,Manhattan,57941.0,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,54941.0,Retail Store,3000,Not Available,Not Available,1929,1,100,Whole Building,Whole Building,Not Available,93.5,99.4,6.3,0.8,149.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4166218.9,45067.7,1253778.3,367461.4,337.6,221.3,116.4,57941,Not Available,Not Available,143.4,2017-05-11T15:22:16.000,No,In Compliance,40.70856,-74.013349,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
591,4903010,Greenwich Place Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000537501.0,1-00053-7501,1001050,120 Greenwich St.,Not Available,10006,120.0,GREENWICH STREET,Manhattan,66872.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,67009.0,Not Available,Not Available,Not Available,Not Available,1903,1,100,Whole Building,Not Available,3,116.4,116.4,14.6,0.1,224.4,Not Available,3864469,Not Available,Not Available,Not Available,Not Available,571325,5887.2,3366850.9,981391.8,629.6,317.1,312.4,67009,Not Available,Not Available,225.0,2017-05-01T16:04:27.000,No,In Compliance,40.709089,-74.013118,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
592,4039500,W New York - Downtown,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000537502.0,1-00053-7502,1088442,123 Washington Street,Not Available,10006,123.0,WASHINGTON STREET,Manhattan,396477.0,Hotel,Hotel,Hotel,315543.0,Not Available,Not Available,Not Available,Not Available,2010,1,100,Whole Building,Whole Building,1,18368.1,19643.4,6.8,Not Available,23676.7,Not Available,Not Available,Not Available,Not Available,Not Available,5788512156,Not Available,Not Available,7421359.7,2143205.2,385037.2,0.0,385037.2,315543,3625,11.49,22143.2,2017-04-13T16:30:29.000,Yes,In Compliance,40.709139,-74.01402,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
593,2804844,Skyline Developer - 75 West Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000550014.0,1-00055-0014,1001060,75 West Street,Not Available,10006,71.0,WEST STREET,Manhattan,258071.0,Multifamily Housing,Multifamily Housing,Multifamily Housing,250471.0,Not Available,Not Available,Not Available,Not Available,1926,1,100,Whole Building,Whole Building,23,69.7,73.1,9.9,0.4,147.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8972642.5,98296.4,8483071.6,2486245.8,1263.8,476.6,787.2,250471,Not Available,Not Available,144.0,2017-04-18T13:56:31.000,No,In Compliance,40.709037,-74.015109,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
595,3448538,40 Rector Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000557501.0,1000557501,1088750,40 Rector Street,Not Available,10006,40.0,RECTOR STREET,Manhattan,449355.0,Office,Office,Office,502238.0,Not Available,Not Available,Not Available,Not Available,1921,1,100,Whole Building,Whole Building,69,100.8,100.8,12.8,Not Available,205.6,Not Available,Not Available,Not Available,Not Available,Not Available,2.87381951E7,Not Available,Not Available,21869555.3,6409599.3,3937.7,0.0,3937.7,502238,Not Available,Not Available,205.6,2017-04-28T17:57:34.000,No,In Compliance,40.708356,-74.014814,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
596,2690957,Club Quarters,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000560001.0,1-00056-0001,10001063,130 Cedar Street,Not Available,10006,140.0,WASHINGTON STREET,Manhattan,181297.0,Hotel,Hotel,Hotel,183235.0,Not Available,Not Available,Not Available,Not Available,2009,1,100,Whole Building,Not Available,48,99.2,100.8,15.4,0.1,222.4,Not Available,Not Available,Not Available,Not Available,Not Available,7390336.5,968781.2,9687.8,9820333.0,2826378.5,1453.5,51.5,1402.0,183235,9301.1,50.76,222.4,2017-04-04T09:20:03.000,Yes,In Compliance,40.709728999999996,-74.013818,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
597,4414162,90 West Street (WW) - Compliance,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000560004.0,1-00056-0004,1001064,90 West Street,Not Available,10013,90.0,WEST STREET,Manhattan,357001.0,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,317203.0,Retail Store,22272,Not Available,Not Available,1908,1,95,Whole Building,Not Available,67,52.3,52.3,10.1,0.2,126.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6075853.1,60758.5,11690879.8,3426400.5,1407.6,322.7,1084.9,339475,Not Available,Not Available,126.9,2017-04-29T16:32:19.000,No,In Compliance,40.710009,-74.01476,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
598,1261446,One Liberty Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000627501.0,1-00062-7501,1001068,165 Broadway,Not Available,10006,1.0,LIBERTY PLAZA,Manhattan,2139035.0,Office,"Data Center, Office, Retail Store",Office,2294059.0,Data Center,33000,Retail Store,19134,1972,1,85,Whole Building,Whole Building,89,98.1,96.7,18.1,0,235.7,Not Available,Not Available,Not Available,Not Available,276662.4,8.32724652E7,1739666.4,17396.7,144815663.5,4.24430381E7,19081.0,112.9,18968.0,2346193,32757.1,13.96,237.4,2017-03-20T11:05:02.000,Yes,In Compliance,40.70943,-74.01110200000001,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
599,2973494,Shmaya Glick: 22 Cortlandt Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000630003.0,1-00063-0003,1001069,22 Cortlandt Street,Not Available,10007,22.0,CORTLANDT STREET,Manhattan,647875.0,Office,"Office, Retail Store",Office,586218.0,Retail Store,80712,Not Available,Not Available,1973,1,100,Whole Building,Whole Building,22,176.3,172.2,20.2,Not Available,340.9,Not Available,Not Available,Not Available,Not Available,Not Available,7.15293265E7,Not Available,Not Available,46077010.4,1.35043976E7,9025.4,0.0,9025.4,666930,Not Available,Not Available,346.0,2017-04-27T04:46:39.000,Yes,In Compliance,40.710223,-74.010897,1.0,1.0,13.0,Battery Park City-Lower Manhattan                                          
601,2737843,(7178) - 55 Liberty Owners Corp,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000640008.0,1-00064-0008,1001084,55 Liberty Street,Not Available,10005,53.0,LIBERTY STREET,Manhattan,167448.0,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,160372.0,Retail Store,7056,Not Available,Not Available,1909,1,100,Whole Building,Not Available,9,91.1,96.9,8.2,0.1,169.1,Not Available,Not Available,Not Available,Not Available,Not Available,9082920.1,1464225,14642.3,4713769.9,1364749,1118.3,77.8,1040.5,167428,Not Available,Not Available,162.9,2017-03-23T10:13:13.000,Yes,In Compliance,40.708642,-74.009407,1.0,1.0,1502.0,Battery Park City-Lower Manhattan                                          
602,2682163,JEMB - 150 Broadway,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000640012.0,1-00064-0012,1001087,150 Broadway,Not Available,10038,150.0,BROADWAY,Manhattan,279669.0,Office,"Medical Office, Office, Retail Store",Office,232453.0,Retail Store,22536,Medical Office,21011,1600,1,100,Whole Building,Not Available,85,59.9,62.9,11.9,Not Available,154.3,Not Available,Not Available,Not Available,Not Available,Not Available,5079550.7,Not Available,Not Available,11444982.2,3285080.5,1399.4,0.0,1399.4,276000,Not Available,Not Available,152.3,2017-05-01T14:58:14.000,Yes,In Compliance,40.70932,-74.01039200000001,1.0,1.0,1502.0,Battery Park City-Lower Manhattan                                          
603,2591375,BROADWAY LIBERTY ASSOCIATES,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000640015.0,1-00064-0015,1079040; 1079037; 1079038; 1079039,160 BROADWAY,Not Available,10038,160.0,BROADWAY,Manhattan,150000.0,Office,Office,Office,145000.0,Not Available,Not Available,Not Available,Not Available,1908,1,100,Whole Building,Whole Building,72,105.0,112.5,15.2,0.1,224.5,Not Available,Not Available,6717314,Not Available,Not Available,Not Available,856606.3,8566.1,7649066.6,2209111.1,1261.1,551.2,709.8,145000,Not Available,Not Available,218.6,2017-04-10T10:58:47.000,No,In Compliance,40.709493,-74.01024,1.0,1.0,1502.0,Battery Park City-Lower Manhattan                                          
604,5913624,Inn On Broadway,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000647502.0,1-00064-7502,10001088,166 Broadway,Not Available,10038,170.0,BROADWAY,Manhattan,167280.0,Hotel,Hotel,Hotel,55000.0,Not Available,Not Available,Not Available,Not Available,1902,1,100,Whole Building,Not Available,91,116.3,123.1,9.8,0.9,199.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4557100.2,49337,1838672.2,538883.9,412.7,242.0,170.6,147844,Not Available,Not Available,192.0,2017-07-31T14:05:36.000,No,In Compliance,40.709669,-74.010092,1.0,1.0,1502.0,Battery Park City-Lower Manhattan                                          
605,2655724,Heller- 15-19 Maiden Lane a-k-a 18-22 John Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000650007.0,1000650007,1001097,15 Maiden Lane,Not Available,10038,15.0,MAIDEN LANE,Manhattan,124910.0,Office,"Financial Office, Office, Other, Outpatient Rehabilitation/Physical Therapy",Office,134840.0,Financial Office,5067,Other,2933,1908,1,100,Whole Building,Not Available,92,57.1,59.2,10.5,Not Available,140.9,Not Available,Not Available,Not Available,Not Available,Not Available,2905844.2,Not Available,Not Available,5331807.7,1520795,687.7,0.0,687.7,144200,Not Available,Not Available,140.3,2017-04-21T11:10:46.000,No,In Compliance,40.709482,-74.00935600000001,1.0,1.0,1502.0,Battery Park City-Lower Manhattan                                          
606,2781531,DSA 11 Maiden Lane,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000650010.0,1-00065-0010,1001098,11 Maiden Lane,Not Available,10038,9.0,MAIDEN LANE,Manhattan,58354.0,Multifamily Housing,"Food Service, Multifamily Housing, Other",Multifamily Housing,53562.0,Food Service,4792,Other,4792,1900,1,100,Whole Building,Whole Building,14,137.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7408670,Not Available,1239732.5,Not Available,508.6,393.5,115.0,63146,Not Available,Not Available,184.8,2017-05-01T19:43:09.000,No,In Compliance,40.709606,-74.009555,1.0,1.0,1502.0,Battery Park City-Lower Manhattan                                          
607,2711331,176 Broadway,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000650017.0,1-00065-0017,1001100,176 Broadway,Not Available,10038,176.0,BROADWAY,Manhattan,168176.0,Multifamily Housing,"Financial Office, Multifamily Housing, Retail Store",Multifamily Housing,159000.0,Financial Office,13100,Retail Store,8000,1927,1,100,Whole Building,Whole Building,65,61.5,65.1,7.9,0.4,124.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6084853.1,68659.8,4990024.6,1421392,786.3,323.2,463.1,180100,Not Available,Not Available,122.5,2017-04-26T18:28:45.000,No,In Compliance,40.709932,-74.009869,1.0,1.0,1502.0,Battery Park City-Lower Manhattan                                          
609,2233950,02-1-New York Head Office,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000660001.0,1000660001,1001108,33 Liberty Street,Not Available,10045,19.0,LIBERTY STREET,Manhattan,640000.0,Office,"Data Center, Medical Office, Office, Other, Other - Entertainment/Public Assembly, Restaurant",Office,801685.0,Other,24681,Data Center,13479,1924,1,100,Whole Building,Whole Building,58,111.3,114.5,16.3,0,245.5,Not Available,Not Available,Not Available,Not Available,Not Available,4.57978158E7,1932604.9,19326,49100584.3,1.42214258E7,7700.1,102.6,7597.4,870210,30979.6,35.6,242.8,2017-04-28T16:35:27.000,Yes,In Compliance,40.707899,-74.008473,1.0,1.0,1502.0,Battery Park City-Lower Manhattan                                          
610,2674308,59 Maiden Lane,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000670001.0,1000670001,1079043,59 Maiden Lane,Not Available,10038,59.0,MAIDEN LANE,Manhattan,1073000.0,Office,"Office, Supermarket/Grocery Store",Office,1023000.0,Supermarket/Grocery Store,50000,Not Available,Not Available,1965,1,100,Whole Building,Whole Building,84,92.3,89.7,8.2,Not Available,162.4,Not Available,Not Available,Not Available,Not Available,Not Available,68530048,Not Available,Not Available,30468624.6,8840998.1,7377.8,0.0,7377.8,1073000,22069.1,20.57,166.0,2017-03-31T17:45:04.000,Yes,In Compliance,40.708265999999995,-74.00823100000001,1.0,1.0,1502.0,Battery Park City-Lower Manhattan                                          
611,3058791,02-3-New York 33ML,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000670023.0,1000670023,1001109,33 Maiden Lane,Not Available,10038,56.0,NASSAU STREET,Manhattan,558327.0,Office,Office,Office,617356.0,Not Available,Not Available,Not Available,Not Available,1986,1,100,Whole Building,Whole Building,82,60.2,62.1,14.3,Not Available,169.4,Not Available,Not Available,Not Available,Not Available,Not Available,6965079.8,Not Available,Not Available,30186374.2,8847119.1,3263.8,0.0,3263.8,617356,91.8,0.15,167.1,2017-04-17T20:16:11.000,No,In Compliance,40.709114,-74.008812,1.0,1.0,1502.0,Battery Park City-Lower Manhattan                                          
612,2797282,CBRE - 83 Maiden Lane,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000680007.0,1-00068-0007,1001111,83 Maiden Lane,Not Available,10038,83.0,MAIDEN LANE,Manhattan,155450.0,Office,"Office, Other, Restaurant, Retail Store",Office,136764.0,Restaurant,13000,Retail Store,5200,1959,1,100,Whole Building,Whole Building,44,118.5,118,17.7,0,258.6,Not Available,Not Available,Not Available,Not Available,Not Available,8540118.3,409917.6,4292.4,9506121.8,2757252.3,1471.0,21.8,1449.2,155714,Not Available,Not Available,260.4,2017-05-01T10:18:17.000,No,In Compliance,40.707443,-74.007607,1.0,1.0,1502.0,Battery Park City-Lower Manhattan                                          
613,2796479,75 Maiden,Not Applicable: Standalone Property,Not Applicable: Standalone Property,1000680011.0,1-00068-0011,1001112,75 Maiden Lane,Not Available,10038,75.0,MAIDEN LANE,Manhattan,155026.0,Office,Office,Office,155026.0,Not Available,Not Available,Not Available,Not Available,1925,1,100,Whole Building,Whole Building,1,17193.4,20504.8,14.5,0.1,24762.2,Not Available,Not Available,Not Available,Not Available,Not Available,2.6559880309E9,1679077.4,16950.2,7764402.5,2244431.8,177163.3,89.2,177074.1,155026,Not Available,Not Available,20779.8,2017-04-25T22:52:40.000,No,In Compliance,40.707657,-74.007758,1.0,1.0,1502.0,Battery Park City-Lower Manhattan                                          
