development_name,borough,account_name,location,meter_amr,meter_scope,tds,edp,rc_code,funding_source,amp,vendor_name,umis_bill_id,revenue_month,service_start_date,service_end_date,days,meter_number,estimated,current_charges,rate_class,bill_analyzed,consumption_kwh,kwh_charges,consumption_kw,kw_charges,other_charges
BUSHWICK II (GROUPS A & C),BROOKLYN,BUSHWICK II (GROUPS A & C),BLD 20,NONE,BLD 20,302,565,K030200,FEDERAL,NY005012470P,NEW YORK POWER AUTHORITY,8147904,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,5919677,Y,404.47,GOV/NYC/062,Yes,1521,76.92,0.0,0.0,327.55
BUSHWICK II (GROUPS B & D),BROOKLYN,BUSHWICK II (GROUPS B & D),BLD 41,NONE,,303,566,K030300,FEDERAL,NY005012470P,NEW YORK POWER AUTHORITY,8147879,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7661684,Y,172.27,GOV/NYC/062,Yes,648,32.77,0.0,0.0,139.5
BUSHWICK,BROOKLYN,BUSHWICK,BLD 01,NONE,,86,430,K008600,MIXED FINANCE/LLC1,NY005020860P,NEW YORK POWER AUTHORITY,8147719,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7141435,Y,17620.6,GOV/NYC/068,Yes,135200,5597.28,298.0,2789.28,9234.04
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 03,AMR,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8322424,Y,908.49,GOV/NYC/068,Yes,19280,787.75,0.0,0.0,120.74
BUSHWICK,BROOKLYN,BUSHWICK,BLD 02,NONE,,86,430,K008600,MIXED FINANCE/LLC1,NY005020860P,NEW YORK POWER AUTHORITY,8147720,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7166147,Y,21084.18,GOV/NYC/068,Yes,173200,7170.48,348.0,3257.28,10656.42
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 02,AMR,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8125622,Y,1100.74,GOV/NYC/068,Yes,23360,954.45,0.0,0.0,146.29
BROWNSVILLE,BROOKLYN,BROWNSVILLE/VAN DYKE I,BROWNSVILLE BLD 13,AMR,,16,512,K001600,FEDERAL,NY005000160P,NEW YORK POWER AUTHORITY,8147602,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8095216,Y,810.48,GOV/NYC/068,Yes,17200,702.76,0.0,0.0,107.72
BUSHWICK II (GROUPS A & C),BROOKLYN,BUSHWICK II (GROUPS A & C),BLD 15,NONE,BLD 15,302,565,K030200,FEDERAL,NY005012470P,NEW YORK POWER AUTHORITY,8147870,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,4906172,N,176.35,GOV/NYC/062,Yes,636,32.16,0.0,0.0,144.19
BUSHWICK II (GROUPS A & C),BROOKLYN,BUSHWICK II (GROUPS A & C),BLD 10,AMR,BLD 10,302,565,K030200,FEDERAL,NY005012470P,NEW YORK POWER AUTHORITY,8147883,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7972651,N,192.3,GOV/NYC/062,Yes,720,36.41,0.0,0.0,155.89
BUSHWICK II (GROUPS A & C),BROOKLYN,BUSHWICK II (GROUPS A & C),BLD 01,AMR,APT 01C - Maintenance Shop,302,565,K030200,FEDERAL,NY005012470P,NEW YORK POWER AUTHORITY,8147893,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8088709,N,6.41,GOV/NYC/062,Yes,23,1.16,0.0,0.0,5.25
BUSHWICK II (GROUPS A & C),BROOKLYN,BUSHWICK II (GROUPS A & C),BLD 16,NONE,BLD 16,302,565,K030200,FEDERAL,NY005012470P,NEW YORK POWER AUTHORITY,8147898,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7161135,Y,325.99,GOV/NYC/062,Yes,1242,62.81,0.0,0.0,263.18
BREUKELEN,BROOKLYN,BREUKELEN,BLD 11,AMR,,56,212,K005600,FEDERAL,NY005000560P,NEW YORK POWER AUTHORITY,8147673,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8572074,N,5404.91,GOV/NYC/068,Yes,40800,1688.75,0.0,0.0,3716.16
BUSHWICK II (GROUPS A & C),BROOKLYN,BUSHWICK II (GROUPS A & C),BLD 18,AMR,BLD 18,302,565,K030200,FEDERAL,NY005012470P,NEW YORK POWER AUTHORITY,8147906,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8071844,N,369.3,GOV/NYC/062,Yes,1386,70.09,0.0,0.0,299.21
BREUKELEN,BROOKLYN,BREUKELEN,BLD 15,AMR,,56,212,K005600,FEDERAL,NY005000560P,NEW YORK POWER AUTHORITY,8147673,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8572073,N,4334.52,GOV/NYC/068,Yes,32720,1354.31,0.0,0.0,2980.21
BREUKELEN,BROOKLYN,BREUKELEN,BLD 08,AMR,,56,212,K005600,FEDERAL,NY005000560P,NEW YORK POWER AUTHORITY,8147673,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8572072,N,6316.32,GOV/NYC/068,Yes,47680,1973.52,0.0,0.0,4342.8
BREUKELEN,BROOKLYN,BREUKELEN,BLD 02,AMR,,56,212,K005600,FEDERAL,NY005000560P,NEW YORK POWER AUTHORITY,8147673,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8572095,N,5616.87,GOV/NYC/068,Yes,42400,1754.98,0.0,0.0,3861.89
BREUKELEN,BROOKLYN,BREUKELEN,BLD 23,AMR,,56,212,K005600,FEDERAL,NY005000560P,NEW YORK POWER AUTHORITY,8147673,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8572096,N,6496.49,GOV/NYC/068,Yes,49040,2029.81,0.0,0.0,4466.68
BUSHWICK II (GROUPS B & D),BROOKLYN,BUSHWICK II (GROUPS B & D),BLD 29,NONE,,303,566,K030300,FEDERAL,NY005012470P,NEW YORK POWER AUTHORITY,8147909,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7390591,Y,285.44,GOV/NYC/062,Yes,1062,53.71,0.0,0.0,231.73
