cmplnt_num,addr_pct_cd,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,crm_atpt_cptd_cd,jurisdiction_code,juris_desc,ky_cd,law_cat_cd,ofns_desc,patrol_boro,pd_cd,pd_desc,prem_typ_desc,rpt_dt,susp_age_group,susp_race,susp_sex,vic_age_group,vic_race,vic_sex,x_coord_cd,y_coord_cd,latitude,longitude,lat_lon,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,cmplnt_to_dt,cmplnt_to_tm,loc_of_occur_desc,parks_nm,station_name,transit_district,housing_psa,hadevelopt
622259069,52,BRONX,2019-11-08T00:00:00.000,15:50:00,COMPLETED,0.0,N.Y. POLICE DEPT,117,FELONY,DANGEROUS DRUGS,PATROL BORO BRONX,568.0,"MARIJUANA, POSSESSION 1, 2 & 3",STREET,2019-11-08T00:00:00.000,45-64,WHITE HISPANIC,M,UNKNOWN,UNKNOWN,E,1018971,258740,40.87679579900004,-73.87444881199998,"{'latitude': '40.87679579900004', 'longitude': '-73.87444881199998'}",11605.0,24.0,5.0,40.0,34.0,,,,,,,,
529011412,44,BRONX,2019-11-08T00:00:00.000,14:57:00,COMPLETED,0.0,N.Y. POLICE DEPT,578,VIOLATION,HARRASSMENT 2,PATROL BORO BRONX,638.0,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,2019-11-08T00:00:00.000,18-24,BLACK,M,UNKNOWN,BLACK,M,1003989,244111,40.836689797000076,-73.92866741799997,"{'latitude': '40.836689797000076', 'longitude': '-73.92866741799997'}",10930.0,50.0,5.0,42.0,27.0,,,FRONT OF,,,,,
636289556,14,MANHATTAN,2019-11-08T00:00:00.000,11:30:00,COMPLETED,0.0,N.Y. POLICE DEPT,109,FELONY,GRAND LARCENY,PATROL BORO MAN SOUTH,433.0,"LARCENY,GRAND FROM STORE-SHOPL",CLOTHING/BOUTIQUE,2019-11-08T00:00:00.000,25-44,BLACK,M,UNKNOWN,UNKNOWN,D,990316,214131,40.75442279300007,-73.97810683299997,"{'latitude': '40.75442279300007', 'longitude': '-73.97810683299997'}",12079.0,11.0,4.0,51.0,8.0,,,INSIDE,,,,,
769600542,20,MANHATTAN,2019-11-07T00:00:00.000,14:50:00,COMPLETED,0.0,N.Y. POLICE DEPT,105,FELONY,ROBBERY,PATROL BORO MAN NORTH,386.0,"ROBBERY,PERSONAL ELECTRONIC DEVICE",STREET,2019-11-07T00:00:00.000,<18,BLACK,M,<18,UNKNOWN,M,989133,222592,40.77764678600005,-73.98237060699995,"{'latitude': '40.77764678600005', 'longitude': '-73.98237060699995'}",12420.0,20.0,4.0,19.0,12.0,,,FRONT OF,,,,,
870606363,67,BROOKLYN,2019-11-07T00:00:00.000,14:00:00,COMPLETED,0.0,N.Y. POLICE DEPT,118,FELONY,DANGEROUS WEAPONS,PATROL BORO BKLYN SOUTH,793.0,WEAPONS POSSESSION 3,STREET,2019-11-07T00:00:00.000,,,,UNKNOWN,UNKNOWN,E,998299,175701,40.64893237900003,-73.94937316599999,"{'latitude': '40.64893237900003', 'longitude': '-73.94937316599999'}",13510.0,61.0,2.0,11.0,40.0,2019-11-07T00:00:00.000,16:04:00,,,,,,
849075512,114,QUEENS,2019-11-07T00:00:00.000,12:30:00,COMPLETED,0.0,N.Y. POLICE DEPT,109,FELONY,GRAND LARCENY,PATROL BORO QUEENS NORTH,415.0,"LARCENY,GRAND FROM PERSON,PICK",STREET,2019-11-07T00:00:00.000,,,,45-64,BLACK,F,1003712,214927,40.75658827400008,-73.92975303099996,"{'latitude': '40.75658827400008', 'longitude': '-73.92975303099996'}",16863.0,39.0,3.0,33.0,72.0,2019-11-07T00:00:00.000,12:45:00,,,,,,
967202933,77,BROOKLYN,2019-11-06T00:00:00.000,16:05:00,COMPLETED,0.0,N.Y. POLICE DEPT,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,PATROL BORO BKLYN NORTH,101.0,ASSAULT 3,STREET,2019-11-06T00:00:00.000,25-44,BLACK,F,<18,BLACK,F,1005713,182792,40.66838074700007,-73.92263283299998,"{'latitude': '40.66838074700007', 'longitude': '-73.92263283299998'}",13516.0,16.0,2.0,17.0,49.0,2019-11-06T00:00:00.000,16:15:00,,,,,,
166272972,52,BRONX,2019-11-06T00:00:00.000,11:36:00,COMPLETED,0.0,N.Y. POLICE DEPT,341,MISDEMEANOR,PETIT LARCENY,PATROL BORO BRONX,333.0,"LARCENY,PETIT FROM STORE-SHOPL",DEPARTMENT STORE,2019-11-06T00:00:00.000,,,,25-44,WHITE HISPANIC,D,1018576,257009,40.87204628600006,-73.87588601599998,"{'latitude': '40.87204628600006', 'longitude': '-73.87588601599998'}",11605.0,24.0,5.0,40.0,34.0,,,INSIDE,,,,,
445725875,44,BRONX,2019-09-05T00:00:00.000,12:30:00,COMPLETED,0.0,N.Y. POLICE DEPT,341,MISDEMEANOR,PETIT LARCENY,PATROL BORO BRONX,321.0,"LARCENY,PETIT FROM AUTO",OTHER,2019-11-06T00:00:00.000,,,,25-44,UNKNOWN,F,1006248,244723,40.838364222000045,-73.92050169899994,"{'latitude': '40.838364222000045', 'longitude': '-73.92050169899994'}",10930.0,50.0,5.0,42.0,27.0,,,INSIDE,,,,,
551221571,76,BROOKLYN,2019-11-05T00:00:00.000,12:30:00,COMPLETED,0.0,N.Y. POLICE DEPT,107,FELONY,BURGLARY,PATROL BORO BKLYN SOUTH,231.0,"BURGLARY,TRUCK DAY",STREET,2019-11-05T00:00:00.000,,,,18-24,WHITE,M,986845,187153,40.68037634700005,-73.99064545399995,"{'latitude': '40.68037634700005', 'longitude': '-73.99064545399995'}",13514.0,14.0,2.0,27.0,48.0,2019-11-05T00:00:00.000,14:00:00,FRONT OF,,,,,
