row_id,product_type,product_name,metal,concentration,units,manufacturer,made_in_country,collection_date,deleted
1449,Food-Spice,Cumin,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2015-03-17T00:00:00.000,No
1376,Dietary Supplement/Medications/Remedy,Chandraprabha Bati (Loha & Shilajeet) (Ayurvedic),Arsenic,4.7,ppm,"Shree Baidyanath, Ayurved Bhawan Pvt. Ltd",INDIA,2015-02-25T00:00:00.000,No
861,Toys/Children's Products,Pencil,Lead,3.2,ppm,UNKNOWN OR NOT STATED,CHINA,2013-07-19T00:00:00.000,No
665,Religious powder,Bhai Tika (yellow powder),Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2012-12-03T00:00:00.000,No
581,Food-Spice,Jamaican curry powder,Lead,-1.0,ppm,Grace Kennedy LTD,JAMAICA,2012-09-07T00:00:00.000,No
1462,Dietary Supplement/Medications/Remedy,Herbal pills,Arsenic,14.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2015-03-26T00:00:00.000,No
128,Food Other,Red jelly filled cookie,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,MEXICO,2011-04-20T00:00:00.000,No
821,Food-Spice,Turmeric Root Powder (Curcuma longa),Lead,0.91,ppm,Mountain Rose Herbs,INDIA,2013-06-25T00:00:00.000,No
1328,Dietary Supplement/Medications/Remedy,Agnitundi Bati (Ayurvedic),Mercury,14000.0,ppm,Shree Baidyanath Ayurved Bhawan (P) Ltd.,INDIA,2015-02-25T00:00:00.000,No
829,Food-Spice,Red Chili Powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,PAKISTAN,2013-06-27T00:00:00.000,No
1628,Dietary Supplement/Medications/Remedy,Poria & Peony Combo Extract (Conc)/Shu Gan Wan,Arsenic,-1.0,ppm,Lanzhou Traditional Herbs,CHINA,2015-12-16T00:00:00.000,No
453,Cosmetics,Surma (Hashmi),Lead,26000.0,ppm,UNKNOWN OR NOT STATED,PAKISTAN,2012-05-14T00:00:00.000,No
72,Dietary Supplement/Medications/Remedy,Vasant Kusumakar Ras with Gold and Pearl (Ayur),Mercury,31000.0,ppm,Dabur India LTD.,INDIA,2011-03-30T00:00:00.000,No
1023,Toys/Children's Products,White and orange toy truck,Lead,-1.0,ppm,Mattel,THAILAND,2014-01-09T00:00:00.000,No
716,Food-Spice,Cinnamon Powder,Lead,880.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2013-02-14T00:00:00.000,No
1013,Food Other,Dried Leaves called 'Koo-Ka in Ghana,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,GHANA,2013-12-23T00:00:00.000,No
1123,Food Other,Vashlis Muraba or 'Apple Jam',Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2014-04-29T00:00:00.000,No
789,Food-Candy,Peppermint candy,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2013-05-21T00:00:00.000,No
1366,Dietary Supplement/Medications/Remedy,Arogyawardhini Bati (Shilajeet&Kutki) (Ayurvedic),Arsenic,2.7,ppm,"Shree Baidyanath, Ayurved Bhawan Pvt. Ltd.",INDIA,2015-02-25T00:00:00.000,No
881,Food-Spice,Pomegranate Powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2013-08-06T00:00:00.000,No
425,Food-Candy,Semaforo lollipop,Lead,-1.0,ppm,Dulces Vero S.A. DE C.V,MEXICO,2012-04-11T00:00:00.000,No
327,Dietary Supplement/Medications/Remedy,Napa Paracetamol,Lead,-1.0,ppm,NAPA,BANGLADESH,2011-11-23T00:00:00.000,No
1177,Food-Spice,Saunuri Marili,Lead,1500.0,ppm,UNKNOWN OR NOT STATED,GEORGIA,2014-08-14T00:00:00.000,No
375,Food-Spice,Turmeric powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2012-01-23T00:00:00.000,No
718,Food-Spice,Turmeric Powder,Lead,2.7,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2013-02-14T00:00:00.000,No
1331,Dietary Supplement/Medications/Remedy,Chitrakadi Bati (Ayurvedic),Lead,2.1,ppm,Shree Baidyanath Ayurved Bhawan (P) Ltd.,INDIA,2015-02-25T00:00:00.000,No
723,Food Other,Spicy Trail Mix,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2013-02-20T00:00:00.000,No
617,Food Other,Green Food Coloring,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2012-10-11T00:00:00.000,No
1559,Cosmetics,Surma (Hashmi),Lead,750000.0,ppm,HASHMI SURMA SPECIAL,PAKISTAN,2015-10-26T00:00:00.000,No
815,Food-Candy,Zaza cream chewy candy,Lead,-1.0,ppm,PECCIN,BRAZIL,2013-06-19T00:00:00.000,No
228,Food-Spice,Hmely Sunele/Kenza,Lead,1300.0,ppm,UNKNOWN OR NOT STATED,GEORGIA,2011-06-20T00:00:00.000,No
477,Religious powder,Sindoor (yellow powder),Cadmium,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2012-05-31T00:00:00.000,No
1513,Toys/Children's Products,Crayon,Lead,1.6,ppm,UNKNOWN OR NOT STATED,CHINA,2015-07-10T00:00:00.000,No
1620,Dietary Supplement/Medications/Remedy,Poria & Peony Combo Extract (Conc)/Shu Gan Wan,Lead,1.1,ppm,Lanzhou Traditional Herbs,CHINA,2015-12-16T00:00:00.000,No
117,Dietary Supplement/Medications/Remedy,Ketotifen 1 mg,Lead,-1.0,ppm,ACI Limited,BANGLADESH,2011-04-18T00:00:00.000,No
1479,Food-Spice,Svanuri Salt,Lead,0.59,ppm,UNKNOWN OR NOT STATED,GEORGIA,2015-04-02T00:00:00.000,No
1434,Food-Spice,Cardamom,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,EGYPT,2015-02-26T00:00:00.000,No
113,Food-Spice,Turmeric,Lead,5.5,ppm,Radhuni,BANGLADESH,2011-04-18T00:00:00.000,No
99,Food-Spice,Unlabeled spice,Lead,-1.0,ppm,Preema International LTD,UNITED KINGDOM,2011-04-11T00:00:00.000,No
603,Dietary Supplement/Medications/Remedy,Laxmi Vilas Ras (Nardiya) (Ayurvedic),Mercury,59000.0,ppm,Dabur,INDIA,2012-09-20T00:00:00.000,No
592,Toys/Children's Products,Colored pencil,Lead,2.6,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2012-09-12T00:00:00.000,No
1223,Food-Spice,Chili powder,Lead,1.4,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2014-10-10T00:00:00.000,No
248,Food-Spice,Mustard seeds,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2011-07-14T00:00:00.000,No
949,Cosmetics,Surma,Lead,700000.0,ppm,UNKNOWN OR NOT STATED,PAKISTAN,2013-11-08T00:00:00.000,No
1583,Dietary Supplement/Medications/Remedy,Emperor's Tea Pill (Conc)/Tian Wang Bu Xin Wan,Arsenic,2.3,ppm,Lanzhou Traditional Herbs,CHINA,2015-12-03T00:00:00.000,No
27,Jewelry,Fashion hair clip,Lead,330000.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-02-08T00:00:00.000,No
1048,Toys/Children's Products,Toy figurine,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNITED STATES,2014-02-04T00:00:00.000,No
785,Dietary Supplement/Medications/Remedy,Sleep aid (Herbal capsules),Arsenic,2.8,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2013-05-03T00:00:00.000,No
81,Food-Spice,Ginger powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,MOROCCO,2011-04-06T00:00:00.000,No
1021,Food Other,Teff Flour,Lead,4.5,ppm,UNKNOWN OR NOT STATED,ERITREA,2014-01-08T00:00:00.000,No
769,Food Other,Rock Salt,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2013-03-29T00:00:00.000,No
843,Dietary Supplement/Medications/Remedy,Strainil (Ayurvedic),Mercury,0.14,ppm,Global Remedies,INDIA,2013-07-17T00:00:00.000,No
715,Food-Spice,Coriander Powder,Lead,1.5,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2013-02-14T00:00:00.000,No
