development_name,borough,account_name,location,meter_amr,meter_scope,tds,edp,rc_code,funding_source,amp,vendor_name,umis_bill_id,revenue_month,service_start_date,service_end_date,days,meter_number,estimated,current_charges,rate_class,bill_analyzed,consumption_mlbs
SEWARD PARK EXTENSION,MANHATTAN,SEWARD PARK EXTENSION,BLD 01,AMR,,192,312,M019200,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,6825215,2018-05,2018-04-30T00:00:00.000,2018-05-31T00:00:00.000,31,332130,N,4639.13,SC3,Yes,190.6
GOMPERS,MANHATTAN,GOMPERS,BLD 01,AMR,,100,237,M010000,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,6826452,2018-05,2018-04-30T00:00:00.000,2018-05-31T00:00:00.000,31,22306,N,27956.57,SC3,Yes,1683.2
344 EAST 28TH STREET,MANHATTAN,EAST 028TH STREET,BLD 01,AMR,,185,452,M018500,MIXED FINANCE/LLC2,NY005021850P,CONSOLIDATED EDISON COMPANY OF NY,6822679,2018-05,2018-04-30T00:00:00.000,2018-05-31T00:00:00.000,31,321290,N,7323.95,SC4,Yes,262.1
DE HOSTOS APARTMENTS,MANHATTAN,DE HOSTOS APARTMENTS,BLD 01,AMR,,155,265,M015500,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6822735,2018-05,2018-04-30T00:00:00.000,2018-05-31T00:00:00.000,31,321021,N,13117.79,SC3,Yes,630.67
THOMAS APARTMENTS,MANHATTAN,THOMAS APARTMENTS,BLD 01,AMR,,268,387,M026800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6754437,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,322062,N,7884.49,SC3,Yes,235.61
CAMPOS PLAZA II,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA II ALL,286,593,M028600,FEDERAL,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,6754524,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,23358-593,N,15.45,SC3,Yes,0.53
WSUR (SITE B) 74 WEST 92ND STREET,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE B),BLD 05,AMR,,173,259,M017300,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6754546,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,331087,N,23280.78,SC3,Yes,758.12
DE HOSTOS APARTMENTS,MANHATTAN,DE HOSTOS APARTMENTS,BLD 01,AMR,,155,265,M015500,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6754360,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,341004,N,26118.68,SC3,Yes,894.74
DE HOSTOS APARTMENTS,MANHATTAN,DE HOSTOS APARTMENTS,BLD 01,AMR,,155,265,M015500,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6754360,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,321021,N,18591.1,SC3,Yes,636.87
ROBBINS PLAZA,MANHATTAN,ROBBINS PLAZA,BLD 01,AMR,,218,329,M021800,FEDERAL,NY005011390P,CONSOLIDATED EDISON COMPANY OF NY,6754345,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,310029,N,9168.82,SC3,Yes,298.94
WSUR (SITE B) 74 WEST 92ND STREET,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE B),BLD 05,AMR,,173,259,M017300,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6754546,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,322105,N,9271.53,SC3,Yes,301.92
ROBBINS PLAZA,MANHATTAN,ROBBINS PLAZA,BLD 01,AMR,,218,329,M021800,FEDERAL,NY005011390P,CONSOLIDATED EDISON COMPANY OF NY,6754345,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,321143,N,23821.33,SC3,Yes,776.67
344 EAST 28TH STREET,MANHATTAN,EAST 028TH STREET,BLD 01,AMR,,185,452,M018500,MIXED FINANCE/LLC2,NY005021850P,CONSOLIDATED EDISON COMPANY OF NY,6754390,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,331161,N,28022.68,SC4,Yes,922.95
344 EAST 28TH STREET,MANHATTAN,EAST 028TH STREET,BLD 01,AMR,,185,452,M018500,MIXED FINANCE/LLC2,NY005021850P,CONSOLIDATED EDISON COMPANY OF NY,6754390,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,321290,N,9138.68,SC4,Yes,300.99
CAMPOS PLAZA I,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA I ALL,257,544,M025700,SECTION 8,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,6754524,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,22440-544,N,21894.73,SC3,Yes,751.29
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,BLD 01,AMR,,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,CONSOLIDATED EDISON COMPANY OF NY,6754428,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,331058,N,0.0,SC3,Yes,0.0
THOMAS APARTMENTS,MANHATTAN,THOMAS APARTMENTS,BLD 01,AMR,,268,387,M026800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6754437,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,321244,N,8322.2,SC3,Yes,248.69
CAMPOS PLAZA I,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA I ALL,257,544,M025700,SECTION 8,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,6754524,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,23358-544,N,13.7,SC3,Yes,0.47
WSUR (BROWNSTONES),MANHATTAN,WEST SIDE URBAN RENEWAL (BROWNSTONES),BLD 22,AMR,,178,279,M017800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6754407,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,322037,N,2602.37,SC3,Yes,72.96
WSUR (SITE C) 589 AMSTERDAM AVENUE,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE C),BLD 01,AMR,,174,259,M017400,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6754624,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,331154,N,31595.89,SC3,Yes,1048.56
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,BLD 01,AMR,,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,CONSOLIDATED EDISON COMPANY OF NY,6754428,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,321136,N,46022.68,SC3,Yes,1539.05
WSUR (BROWNSTONES),MANHATTAN,WEST SIDE URBAN RENEWAL (BROWNSTONES),BLD 22,AMR,,178,279,M017800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6754407,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,311067,N,2663.72,SC3,Yes,74.68
FULTON,MANHATTAN,FULTON,BLD 01,AMR,,136,252,M013600,FEDERAL,NY005001360P,CONSOLIDATED EDISON COMPANY OF NY,6754605,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,23318,N,97451.85,SC3,Yes,3552.0
FULTON,MANHATTAN,FULTON,BLD 01,AMR,,136,252,M013600,FEDERAL,NY005001360P,CONSOLIDATED EDISON COMPANY OF NY,6754605,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,24012,N,132350.15,SC3,Yes,4824.0
SEWARD PARK EXTENSION,MANHATTAN,SEWARD PARK EXTENSION,BLD 01,AMR,,192,312,M019200,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,6754446,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,332130,N,19782.76,SC3,Yes,678.2
WSUR (BROWNSTONES),MANHATTAN,WEST SIDE URBAN RENEWAL (BROWNSTONES),BLD 19,AMR,,178,279,M017800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6754616,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,322040,N,9553.23,SC3,Yes,299.85
WSUR (BROWNSTONES),MANHATTAN,WEST SIDE URBAN RENEWAL (BROWNSTONES),BLD 19,AMR,,178,279,M017800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6754616,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,321022,N,13818.32,SC3,Yes,433.72
SEWARD PARK EXTENSION,MANHATTAN,SEWARD PARK EXTENSION,BLD 01,AMR,,192,312,M019200,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,6754446,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,321269,N,25581.66,SC3,Yes,877.0
CAMPOS PLAZA II,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA II ALL,286,593,M028600,FEDERAL,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,6754524,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,22440-593,N,24296.68,SC3,Yes,833.71
GOMPERS,MANHATTAN,GOMPERS,BLD 01,AMR,,100,237,M010000,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,6754380,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,22306,N,44593.45,SC3,Yes,1572.9
STRAUS,MANHATTAN,STRAUS,BLD 01,AMR,,153,263,M015300,FEDERAL,NY005011530P,CONSOLIDATED EDISON COMPANY OF NY,6754464,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,321108,N,27513.3,SC3,Yes,943.58
GOMPERS,MANHATTAN,GOMPERS,BLD 01,AMR,,100,237,M010000,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,6754380,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,22444,N,59616.69,SC3,Yes,2102.8
WISE TOWERS,MANHATTAN,WISE TOWERS,BLD 02,AMR,,127,445,M012700,MIXED FINANCE/LLC2,NY005021270P,CONSOLIDATED EDISON COMPANY OF NY,6754580,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,331153,N,49797.01,SC3,Yes,1749.67
WSUR (SITE C) 589 AMSTERDAM AVENUE,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE C),BLD 01,AMR,,174,259,M017400,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6754624,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,321318,N,9491.48,SC3,Yes,314.99
WSUR (SITE A) 120 WEST 94TH STREET,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE A),BLD 03,AMR,,151,259,M015100,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6754307,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,321316,N,8095.14,SC3,Yes,241.92
STRAUS,MANHATTAN,STRAUS,BLD 01,AMR,,153,263,M015300,FEDERAL,NY005011530P,CONSOLIDATED EDISON COMPANY OF NY,6754464,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,332091,N,18191.07,SC3,Yes,623.87
WISE TOWERS,MANHATTAN,WISE TOWERS,BLD 02,AMR,,127,445,M012700,MIXED FINANCE/LLC2,NY005021270P,CONSOLIDATED EDISON COMPANY OF NY,6754580,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,342056,N,38651.19,SC3,Yes,1358.05
WSUR (SITE A) 120 WEST 94TH STREET,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE A),BLD 03,AMR,,151,259,M015100,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6754307,2018-04,2018-03-30T00:00:00.000,2018-04-30T00:00:00.000,31,322112,N,8172.11,SC3,Yes,244.22
DE HOSTOS APARTMENTS,MANHATTAN,DE HOSTOS APARTMENTS,BLD 01,AMR,,155,265,M015500,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6936359,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,321021,N,35761.39,SC3,Yes,1288.86
THOMAS APARTMENTS,MANHATTAN,THOMAS APARTMENTS,BLD 01,AMR,,268,387,M026800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6665533,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,321244,N,13148.97,SC3,Yes,412.48
DE HOSTOS APARTMENTS,MANHATTAN,DE HOSTOS APARTMENTS,BLD 01,AMR,,155,265,M015500,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6936359,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,341004,N,15983.66,SC3,Yes,576.06
ROBBINS PLAZA,MANHATTAN,ROBBINS PLAZA,BLD 01,AMR,,218,329,M021800,FEDERAL,NY005011390P,CONSOLIDATED EDISON COMPANY OF NY,6665703,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,310029,N,9049.67,SC3,Yes,300.0
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,BLD 01,AMR,,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,CONSOLIDATED EDISON COMPANY OF NY,6665530,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,321136,N,27043.66,SC3,Yes,924.95
344 EAST 28TH STREET,MANHATTAN,EAST 028TH STREET,BLD 01,AMR,,185,452,M018500,MIXED FINANCE/LLC2,NY005021850P,CONSOLIDATED EDISON COMPANY OF NY,6665515,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,321290,N,7342.19,SC4,Yes,247.9
344 EAST 28TH STREET,MANHATTAN,EAST 028TH STREET,BLD 01,AMR,,185,452,M018500,MIXED FINANCE/LLC2,NY005021850P,CONSOLIDATED EDISON COMPANY OF NY,6665515,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,331161,N,40070.14,SC4,Yes,1352.92
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,BLD 01,AMR,,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,CONSOLIDATED EDISON COMPANY OF NY,6665530,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,331058,N,33805.52,SC3,Yes,1156.22
WSUR (SITE B) 74 WEST 92ND STREET,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE B),BLD 05,AMR,,173,259,M017300,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6665561,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,331087,N,43196.47,SC3,Yes,1466.02
CAMPOS PLAZA II,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA II ALL,286,593,M028600,FEDERAL,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,6936325,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,23358-593,N,14.93,SC3,Yes,0.53
CAMPOS PLAZA I,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA I ALL,257,544,M025700,SECTION 8,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,6936325,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,22440-544,N,27331.25,SC3,Yes,970.04
WSUR (SITE A) 120 WEST 94TH STREET,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE A),BLD 03,AMR,,151,259,M015100,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6665686,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,322112,N,4862.03,SC3,Yes,149.99
CAMPOS PLAZA I,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA I ALL,257,544,M025700,SECTION 8,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,6936325,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,23358-544,N,13.24,SC3,Yes,0.47
WSUR (SITE B) 74 WEST 92ND STREET,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE B),BLD 05,AMR,,173,259,M017300,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6665561,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,322105,N,8789.45,SC3,Yes,298.3
CAMPOS PLAZA II,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA II ALL,286,593,M028600,FEDERAL,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,6936325,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,22440-593,N,30329.69,SC3,Yes,1076.46
SEWARD PARK EXTENSION,MANHATTAN,SEWARD PARK EXTENSION,BLD 01,AMR,,192,312,M019200,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,6941055,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,332130,N,31736.19,SC3,Yes,1148.4
THOMAS APARTMENTS,MANHATTAN,THOMAS APARTMENTS,BLD 01,AMR,,268,387,M026800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6665533,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,322062,N,8342.43,SC3,Yes,261.7
WSUR (SITE A) 120 WEST 94TH STREET,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE A),BLD 03,AMR,,151,259,M015100,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6665686,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,321316,N,14346.22,SC3,Yes,442.57
ROBBINS PLAZA,MANHATTAN,ROBBINS PLAZA,BLD 01,AMR,,218,329,M021800,FEDERAL,NY005011390P,CONSOLIDATED EDISON COMPANY OF NY,6665703,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,321143,N,27169.83,SC3,Yes,900.69
WSUR (SITE C) 589 AMSTERDAM AVENUE,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE C),BLD 01,AMR,,174,259,M017400,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6665683,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,321318,N,9084.28,SC3,Yes,306.16
SEWARD PARK EXTENSION,MANHATTAN,SEWARD PARK EXTENSION,BLD 01,AMR,,192,312,M019200,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,6941055,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,321269,N,30219.02,SC3,Yes,1093.5
WSUR (BROWNSTONES),MANHATTAN,WEST SIDE URBAN RENEWAL (BROWNSTONES),BLD 19,AMR,,178,279,M017800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6665681,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,321022,N,21758.75,SC3,Yes,712.47
FULTON,MANHATTAN,FULTON,BLD 01,AMR,,136,252,M013600,FEDERAL,NY005001360P,CONSOLIDATED EDISON COMPANY OF NY,6665669,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,23318,N,90241.44,SC3,Yes,3413.0
WSUR (BROWNSTONES),MANHATTAN,WEST SIDE URBAN RENEWAL (BROWNSTONES),BLD 19,AMR,,178,279,M017800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6665681,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,322040,N,9562.65,SC3,Yes,313.12
WSUR (SITE C) 589 AMSTERDAM AVENUE,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE C),BLD 01,AMR,,174,259,M017400,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6665683,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,331154,N,36900.01,SC3,Yes,1243.61
FULTON,MANHATTAN,FULTON,BLD 01,AMR,,136,252,M013600,FEDERAL,NY005001360P,CONSOLIDATED EDISON COMPANY OF NY,6665669,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,24012,N,223104.97,SC3,Yes,8438.0
WSUR (BROWNSTONES),MANHATTAN,WEST SIDE URBAN RENEWAL (BROWNSTONES),BLD 22,AMR,,178,279,M017800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6665523,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,311067,N,3210.89,SC3,Yes,94.42
GOMPERS,MANHATTAN,GOMPERS,BLD 01,AMR,,100,237,M010000,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,6665505,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,22306,N,59909.02,SC3,Yes,2220.9
STRAUS,MANHATTAN,STRAUS,BLD 01,AMR,,153,263,M015300,FEDERAL,NY005011530P,CONSOLIDATED EDISON COMPANY OF NY,6665542,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,321108,N,30567.01,SC3,Yes,1096.93
GOMPERS,MANHATTAN,GOMPERS,BLD 01,AMR,,100,237,M010000,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,6665505,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,22444,N,89935.01,SC3,Yes,3334.0
WISE TOWERS,MANHATTAN,WISE TOWERS,BLD 02,AMR,,127,445,M012700,MIXED FINANCE/LLC2,NY005021270P,CONSOLIDATED EDISON COMPANY OF NY,6936338,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,331153,N,52911.35,SC3,Yes,1949.68
WISE TOWERS,MANHATTAN,WISE TOWERS,BLD 02,AMR,,127,445,M012700,MIXED FINANCE/LLC2,NY005021270P,CONSOLIDATED EDISON COMPANY OF NY,6936338,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,342056,N,53867.99,SC3,Yes,1984.93
STRAUS,MANHATTAN,STRAUS,BLD 01,AMR,,153,263,M015300,FEDERAL,NY005011530P,CONSOLIDATED EDISON COMPANY OF NY,6665542,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,332091,N,28790.28,SC3,Yes,1033.17
WSUR (BROWNSTONES),MANHATTAN,WEST SIDE URBAN RENEWAL (BROWNSTONES),BLD 22,AMR,,178,279,M017800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6665523,2018-03,2018-02-28T00:00:00.000,2018-03-30T00:00:00.000,30,322037,N,3600.26,SC3,Yes,105.87
WSUR (SITE A) 120 WEST 94TH STREET,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE A),BLD 03,AMR,,151,259,M015100,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6587731,2018-02,2018-01-31T00:00:00.000,2018-02-28T00:00:00.000,28,321316,N,13805.49,SC3,Yes,386.82
DE HOSTOS APARTMENTS,MANHATTAN,DE HOSTOS APARTMENTS,BLD 01,AMR,,155,265,M015500,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6944222,2018-02,2018-01-31T00:00:00.000,2018-02-28T00:00:00.000,28,321021,N,16854.85,SC3,Yes,523.26
WSUR (SITE A) 120 WEST 94TH STREET,MANHATTAN,WEST SIDE URBAN RENEWAL (SITE A),BLD 03,AMR,,151,259,M015100,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6587731,2018-02,2018-01-31T00:00:00.000,2018-02-28T00:00:00.000,28,322112,N,9210.44,SC3,Yes,258.07
GOMPERS,MANHATTAN,GOMPERS,BLD 01,AMR,,100,237,M010000,FEDERAL,NY005011000P,CONSOLIDATED EDISON COMPANY OF NY,6822712,2018-02,2018-01-31T00:00:00.000,2018-02-28T00:00:00.000,28,22306,N,58051.48,SC3,Yes,1827.9
THOMAS APARTMENTS,MANHATTAN,THOMAS APARTMENTS,BLD 01,AMR,,268,387,M026800,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6587873,2018-02,2018-01-31T00:00:00.000,2018-02-28T00:00:00.000,28,321244,N,13871.36,SC3,Yes,387.49
AMSTERDAM ADDITION,MANHATTAN,AMSTERDAM ADDITION,BLD 01,AMR,,187,453,M018700,MIXED FINANCE/LLC1,NY005021870P,CONSOLIDATED EDISON COMPANY OF NY,6587836,2018-02,2018-01-31T00:00:00.000,2018-02-28T00:00:00.000,28,331058,N,23931.67,SC3,Yes,722.73
ROBBINS PLAZA,MANHATTAN,ROBBINS PLAZA,BLD 01,AMR,,218,329,M021800,FEDERAL,NY005011390P,CONSOLIDATED EDISON COMPANY OF NY,6587335,2018-02,2018-01-31T00:00:00.000,2018-02-28T00:00:00.000,28,321143,N,30455.39,SC3,Yes,894.36
344 EAST 28TH STREET,MANHATTAN,EAST 028TH STREET,BLD 01,AMR,,185,452,M018500,MIXED FINANCE/LLC2,NY005021850P,CONSOLIDATED EDISON COMPANY OF NY,6587781,2018-02,2018-01-31T00:00:00.000,2018-02-28T00:00:00.000,28,331161,N,40360.24,SC4,Yes,1204.66
DE HOSTOS APARTMENTS,MANHATTAN,DE HOSTOS APARTMENTS,BLD 01,AMR,,155,265,M015500,FEDERAL,NY005011270P,CONSOLIDATED EDISON COMPANY OF NY,6944222,2018-02,2018-01-31T00:00:00.000,2018-02-28T00:00:00.000,28,341004,N,38675.38,SC3,Yes,1200.68
CAMPOS PLAZA II,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA II ALL,286,593,M028600,FEDERAL,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,6941088,2018-02,2018-01-31T00:00:00.000,2018-02-28T00:00:00.000,28,23358-593,N,0.0,SC3,Yes,0.0
ROBBINS PLAZA,MANHATTAN,ROBBINS PLAZA,BLD 01,AMR,,218,329,M021800,FEDERAL,NY005011390P,CONSOLIDATED EDISON COMPANY OF NY,6587335,2018-02,2018-01-31T00:00:00.000,2018-02-28T00:00:00.000,28,310029,N,8048.02,SC3,Yes,236.34
CAMPOS PLAZA I,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA I ALL,257,544,M025700,SECTION 8,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,6941088,2018-02,2018-01-31T00:00:00.000,2018-02-28T00:00:00.000,28,23358-544,N,0.0,SC3,Yes,0.0
CAMPOS PLAZA II,MANHATTAN,CAMPOS PLAZA I/CAMPOS PLAZA II,CAMPOS PLAZA I BLD 02,AMR,CAMPOS PLAZA II ALL,286,593,M028600,FEDERAL,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,6941088,2018-02,2018-01-31T00:00:00.000,2018-02-28T00:00:00.000,28,22440-593,N,31567.16,SC3,Yes,970.63
