cmplnt_num,cmplnt_fr_dt,cmplnt_fr_tm,addr_pct_cd,rpt_dt,ky_cd,ofns_desc,pd_cd,pd_desc,crm_atpt_cptd_cd,law_cat_cd,boro_nm,loc_of_occur_desc,prem_typ_desc,juris_desc,jurisdiction_code,parks_nm,housing_psa,x_coord_cd,y_coord_cd,susp_race,susp_sex,latitude,longitude,lat_lon,patrol_boro,vic_age_group,vic_race,vic_sex,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,cmplnt_to_dt,cmplnt_to_tm,susp_age_group,hadevelopt,transit_district,station_name
585117871,2006-06-05T00:00:00.000,23:00:00,122,2006-06-06T00:00:00.000,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,NA,954503.0,142798.0,,,40.558581581,-74.107055527,"{'latitude': '40.558581581', 'longitude': '-74.107055527'}",PATROL BORO STATEN ISLAND,65+,ASIAN / PACIFIC ISLANDER,M,10693.0,15.0,1.0,14.0,76.0,2006-06-06T00:00:00.000,10:00:00,,,,
611841986,2008-11-08T00:00:00.000,20:15:00,46,2008-11-08T00:00:00.000,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,NA,1010352.0,247469.0,BLACK HISPANIC,M,40.84589001,-73.905659355,"{'latitude': '40.84589001', 'longitude': '-73.905659355'}",PATROL BORO BRONX,25-44,WHITE HISPANIC,F,10935.0,6.0,5.0,22.0,29.0,2008-11-08T00:00:00.000,20:20:00,45-64,,,
169060746,2009-10-09T00:00:00.000,23:30:00,114,2009-10-10T00:00:00.000,236,DANGEROUS WEAPONS,782,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,QUEENS,REAR OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,NA,21821,999158.0,215244.0,,,40.757467209,-73.946190063,"{'latitude': '40.757467209', 'longitude': '-73.946190063'}",PATROL BORO QUEENS NORTH,,UNKNOWN,E,16858.0,39.0,3.0,33.0,72.0,2009-10-09T00:00:00.000,23:30:00,,QUEENSBRIDGE NORTH,,
832453004,2009-03-31T00:00:00.000,08:15:00,33,2009-03-31T00:00:00.000,109,GRAND LARCENY,419,"LARCENY,GRAND FROM PERSON,UNCL",COMPLETED,FELONY,MANHATTAN,,STREET,N.Y. POLICE DEPT,0,NA,NA,1001063.0,245061.0,BLACK HISPANIC,M,40.839303326,-73.939239194,"{'latitude': '40.839303326', 'longitude': '-73.939239194'}",PATROL BORO MAN NORTH,<18,WHITE HISPANIC,F,13090.0,47.0,4.0,39.0,21.0,,,,,,
752105983,2011-11-03T00:00:00.000,07:00:00,17,2011-11-03T00:00:00.000,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,NA,993166.0,215386.0,WHITE,U,40.757865035,-73.967818383,"{'latitude': '40.757865035', 'longitude': '-73.967818383'}",PATROL BORO MAN SOUTH,25-44,WHITE,M,12419.0,71.0,4.0,51.0,9.0,2011-11-03T00:00:00.000,14:30:00,,,,
485533078,2008-03-07T00:00:00.000,17:40:00,120,2008-03-07T00:00:00.000,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,STATEN ISLAND,,STREET,N.Y. POLICE DEPT,0,NA,NA,941151.0,164626.0,,,40.618440157,-74.155246106,"{'latitude': '40.618440157', 'longitude': '-74.155246106'}",PATROL BORO STATEN ISLAND,18-24,WHITE HISPANIC,F,10700.0,4.0,1.0,13.0,75.0,2008-03-07T00:00:00.000,17:50:00,,,,
817179167,2009-09-14T00:00:00.000,22:00:00,109,2009-09-15T00:00:00.000,109,GRAND LARCENY,421,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",COMPLETED,FELONY,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,NA,1027649.0,226902.0,,,40.789371383,-73.843274825,"{'latitude': '40.789371383', 'longitude': '-73.843274825'}",PATROL BORO QUEENS NORTH,45-64,WHITE,M,14191.0,22.0,3.0,20.0,67.0,2009-09-15T00:00:00.000,08:00:00,,,,
738596409,2009-09-01T00:00:00.000,00:01:00,122,2009-09-05T00:00:00.000,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,NA,965344.0,157531.0,,,40.599050497,-74.068081953,"{'latitude': '40.599050497', 'longitude': '-74.068081953'}",PATROL BORO STATEN ISLAND,18-24,ASIAN / PACIFIC ISLANDER,F,10692.0,30.0,1.0,14.0,76.0,2009-09-05T00:00:00.000,11:00:00,,,,
916656936,2006-05-01T00:00:00.000,01:00:00,110,2006-05-03T00:00:00.000,110,GRAND LARCENY OF MOTOR VEHICLE,441,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,NA,1019200.0,211167.0,,,40.74622038,-73.873868435,"{'latitude': '40.74622038', 'longitude': '-73.873868435'}",PATROL BORO QUEENS NORTH,45-64,WHITE HISPANIC,M,14784.0,66.0,3.0,5.0,68.0,2006-05-01T00:00:00.000,02:00:00,,,,
689461720,2007-12-19T00:00:00.000,20:30:00,45,2007-12-19T00:00:00.000,126,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,NA,1025821.0,246147.0,WHITE,F,40.842202237,-73.849757061,"{'latitude': '40.842202237', 'longitude': '-73.849757061'}",PATROL BORO BRONX,45-64,WHITE HISPANIC,F,11270.0,43.0,5.0,12.0,28.0,2007-12-19T00:00:00.000,20:30:00,25-44,,,
524853734,2007-10-30T00:00:00.000,10:00:00,42,2007-10-30T00:00:00.000,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BRONX,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,NA,1013891.0,241434.0,WHITE HISPANIC,M,40.829314525,-73.892894806,"{'latitude': '40.829314525', 'longitude': '-73.892894806'}",PATROL BORO BRONX,18-24,WHITE HISPANIC,M,10937.0,34.0,5.0,43.0,25.0,,,25-44,,,
170387619,2007-01-27T00:00:00.000,05:46:00,47,2007-01-27T00:00:00.000,117,DANGEROUS DRUGS,568,"MARIJUANA, POSSESSION 1, 2 & 3",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,NA,1023055.0,265542.0,WHITE HISPANIC,F,40.895448125,-73.859641504,"{'latitude': '40.895448125', 'longitude': '-73.859641504'}",PATROL BORO BRONX,,UNKNOWN,E,11275.0,29.0,5.0,40.0,30.0,,,18-24,,,
103339307,2006-06-30T00:00:00.000,23:00:00,105,2006-07-01T00:00:00.000,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,QUEENS,REAR OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,NA,1059664.0,204380.0,,,40.727339335,-73.727912405,"{'latitude': '40.727339335', 'longitude': '-73.727912405'}",PATROL BORO QUEENS SOUTH,45-64,ASIAN / PACIFIC ISLANDER,F,24335.0,63.0,3.0,16.0,63.0,2006-07-01T00:00:00.000,10:00:00,,,,
651914059,2009-05-23T00:00:00.000,14:40:00,73,2009-05-23T00:00:00.000,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,BROOKLYN,REAR OF,TRANSIT FACILITY (OTHER),N.Y. POLICE DEPT,0,NA,NA,1010874.0,178005.0,,,40.655227479,-73.904047667,"{'latitude': '40.655227479', 'longitude': '-73.904047667'}",PATROL BORO BKLYN NORTH,,UNKNOWN,E,17614.0,55.0,2.0,25.0,46.0,,,,,,
742449038,2009-04-02T00:00:00.000,20:55:00,72,2009-04-02T00:00:00.000,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,NA,983470.0,176309.0,BLACK HISPANIC,M,40.650612315,-74.002812394,"{'latitude': '40.650612315', 'longitude': '-74.002812394'}",PATROL BORO BKLYN SOUTH,18-24,WHITE HISPANIC,F,13515.0,9.0,2.0,7.0,45.0,2009-04-02T00:00:00.000,21:55:00,18-24,,,
585482405,2010-10-24T00:00:00.000,01:00:00,46,2010-10-24T00:00:00.000,352,CRIMINAL TRESPASS,205,"TRESPASS 2, CRIMINAL",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,NA,1011751.0,250275.0,,,40.853587401,-73.900591356,"{'latitude': '40.853587401', 'longitude': '-73.900591356'}",PATROL BORO BRONX,,UNKNOWN,E,10935.0,6.0,5.0,22.0,29.0,2010-10-24T00:00:00.000,01:11:00,,,,
775023934,2011-10-01T00:00:00.000,21:00:00,105,2011-10-02T00:00:00.000,110,GRAND LARCENY OF MOTOR VEHICLE,441,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,QUEENS,FRONT OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,NA,1066734.0,211830.0,UNKNOWN,U,40.747724526,-73.702313127,"{'latitude': '40.747724526', 'longitude': '-73.702313127'}",PATROL BORO QUEENS SOUTH,45-64,WHITE,M,16515.0,63.0,3.0,16.0,63.0,2011-10-02T00:00:00.000,09:30:00,,,,
