,_zone,district,fiscal_month_number,fiscal_year,month_name,diversion_rate_total_total_recycling_total_waste_,capture_rate_paper_total_paper_max_paper_,capture_rate_mgp_total_mgp_max_mgp_,capture_rate_total_total_recycling_leaves_recycling_max_paper_max_mgp_x100
199,Bronx,BX05,8,2019,February,10.8365741439423,25.2850115468903,46.6070564636749,34.8807157618815
200,Bronx,BX06,8,2019,February,14.4183278082974,36.2606203134917,49.5273206307651,42.23112326714
201,Bronx,BX07,8,2019,February,14.1778846822222,32.9427949298899,61.1469704857358,45.6357109854478
202,Bronx,BX08,8,2019,February,20.32632569689,35.9911569185017,81.5507873410799,50.2406757536954
203,Bronx,BX09,8,2019,February,9.8861003930022,22.2696415239552,44.2610910233954,31.2791616003907
204,Bronx,BX10,8,2019,February,20.2865684931474,37.0880261580949,82.1523901453999,53.4927592754806
205,Bronx,BX11,8,2019,February,16.0568368798282,32.7850414906892,56.9512381770416,41.5822367027096
206,Bronx,BX12,8,2019,February,19.0567266919295,31.000716417977,75.2079653419479,47.0934348385871
207,Manhattan,MN01,8,2019,February,27.4826245349095,44.9419958564307,69.1851688455852,51.1805869603437
208,Manhattan,MN02,8,2019,February,27.3545440786861,39.6376828828211,82.4412767178975,50.6525001195944
209,Manhattan,MN03,8,2019,February,14.7852408562103,41.5837958029607,43.3851286403511,42.3944618140215
210,Manhattan,MN04,8,2019,February,23.9045686163916,33.8081161448546,73.755897574988,44.0880359376385
211,Manhattan,MN05,8,2019,February,21.7247699034177,33.9687193386944,63.232135732581,41.4991894329629
212,Manhattan,MN06,8,2019,February,23.7010491162487,34.4619223855581,71.9698771533703,44.1139919824351
213,Manhattan,MN07,8,2019,February,27.4477610054916,41.115486564939,77.5432073691879,50.4895753051746
214,Manhattan,MN08,8,2019,February,26.6738028954737,41.2823241103986,77.5693679704524,50.6202118990106
215,Manhattan,MN09,8,2019,February,18.3689957281413,54.7997757010795,49.9367036391285,52.6112144601295
216,Manhattan,MN10,8,2019,February,14.5482598417253,38.7772895243429,54.6333346727196,45.9130928610856
217,Manhattan,MN11,8,2019,February,11.3750266167917,38.329759043614,31.5468976627004,35.2772220193018
218,Manhattan,MN12,8,2019,February,16.5340610953753,43.4608217795989,58.3208561852613,50.1483836592327
219,Queens East,QE07,8,2019,February,20.4247029636268,45.7186269864097,66.7089606903892,53.3597161307202
220,Queens East,QE08,8,2019,February,17.4677290827776,28.7616142799294,54.0518517320953,35.9443647993074
221,Queens East,QE10,8,2019,February,19.6515308201512,33.0258796191918,81.4056850031651,48.4872349451834
222,Queens East,QE11,8,2019,February,24.8464004243581,48.6734376610869,83.638904144848,59.8478005415042
223,Queens East,QE12,8,2019,February,14.7167671082742,31.8369419777688,69.3343696522706,47.5354069802681
224,Queens East,QE13,8,2019,February,21.2330559175326,30.5713971354311,89.2344408562728,49.3190989145825
225,Queens East,QE14,8,2019,February,13.1641899424429,30.1229810114738,40.54767438534,33.917871197365
226,Queens West,QW01,8,2019,February,20.1690320064253,46.0877378848037,74.5737389966971,56.4574669672736
227,Queens West,QW02,8,2019,February,21.7030852247472,46.6351285469953,72.55831925811,56.0719204495001
228,Queens West,QW03,8,2019,February,14.8312317806413,29.5932373571078,62.344963517838,41.5158138512937
229,Queens West,QW04,8,2019,February,15.3034479094843,31.7327870959584,62.2382220425748,42.8376485574447
230,Queens West,QW05,8,2019,February,24.3270841418168,45.1193211248059,85.7808668181935,59.9213009203783
231,Queens West,QW06,8,2019,February,21.2025546755284,29.7765602491261,71.4542379998503,40.5016410693529
232,Queens West,QW09,8,2019,February,22.1469172610238,39.2728764327643,75.7834410077019,52.5637789291505
233,Staten Island,SI01,8,2019,February,19.6327099731489,36.1194152478383,76.1159274643721,48.9016139828719
234,Staten Island,SI02,8,2019,February,20.6138342356447,40.6768648482784,73.687758926961,51.2265799396967
235,Staten Island,SI03,8,2019,February,21.6460079462587,43.0080948470846,81.0555884265157,55.1674206820298
236,Brooklyn North,BKN01,7,2019,January,17.1269433819331,49.876867329691,51.9538204537126,50.7277594397888
237,Brooklyn North,BKN02,7,2019,January,22.5068016942263,33.9898542946675,63.7820691196654,42.4512239007226
238,Brooklyn North,BKN03,7,2019,January,13.8610009778361,38.5584092306767,49.1924239077487,42.9149828493747
239,Brooklyn North,BKN04,7,2019,January,17.0714944765531,38.8802125710099,73.7769450535953,53.1768059770905
240,Brooklyn North,BKN05,7,2019,January,11.6802855332921,26.9637754733045,50.6595443418167,36.6715259948365
241,Brooklyn North,BKN08,7,2019,January,19.7988447519802,51.5533230373647,66.9420780735693,57.857832317372
242,Brooklyn North,BKN09,7,2019,January,14.8862567221815,32.7181683747158,46.9375016066122,37.8944173248207
243,Brooklyn North,BKN16,7,2019,January,10.0716382395284,22.6982401740392,38.0351892112556,28.9815254238626
244,Brooklyn North,BKN17,7,2019,January,15.7045132987901,29.7162207902337,67.7738743212884,43.5703084553068
245,Brooklyn South,BKS06,7,2019,January,31.1333159916234,45.9948753196491,86.0863689865334,57.3813716901602
246,Brooklyn South,BKS07,7,2019,January,22.2196261796388,46.5369621859725,74.8086650019593,56.8286804847364
247,Brooklyn South,BKS10,7,2019,January,26.9243048535886,53.1528712844256,80.9284197042744,63.2639750191861
248,Brooklyn South,BKS11,7,2019,January,20.9238413285818,47.1770577455078,68.331130405875,54.8777526102322
249,Brooklyn South,BKS12,7,2019,January,16.1354565072316,49.774694125802,47.5286971858209,48.8545476605639
250,Brooklyn South,BKS13,7,2019,January,15.8433443981004,44.8708926818968,52.3542398964477,48.2386740879092
251,Brooklyn South,BKS14,7,2019,January,16.4387956462768,34.5791031312596,58.8096788581272,42.1576116047717
252,Brooklyn South,BKS15,7,2019,January,20.5369476240211,46.6551544673654,66.3455605482093,53.8230323235843
253,Brooklyn South,BKS18,7,2019,January,17.0944164567491,32.1340737775301,68.3211754640246,43.6988502984796
254,Bronx,BX01,7,2019,January,8.5353271990177,24.1563804586993,29.8203639953754,26.7053813124467
255,Bronx,BX02,7,2019,January,13.5968518454391,32.4637207976321,55.4605585084243,42.8131433513388
256,Bronx,BX03,7,2019,January,11.059497575267,28.6723760231825,40.286773682259,33.8992820261828
257,Bronx,BX04,7,2019,January,13.7312695453884,32.8083459625338,54.0712297644251,42.3774255004942
258,Bronx,BX05,7,2019,January,12.5666738814447,29.0960375609467,51.6611659281672,39.2511750362789
259,Bronx,BX06,7,2019,January,16.3360929948111,40.9183364920379,54.268168608042,46.9262518118356
260,Bronx,BX07,7,2019,January,16.1471530255582,37.8125147018904,68.0708981778317,51.4298998538346
261,Bronx,BX08,7,2019,January,23.666264453659,41.9141464224866,89.1072258197587,56.6745531142177
262,Bronx,BX09,7,2019,January,11.40081656568,23.964366343546,47.8475829292511,33.7489109832362
263,Bronx,BX10,7,2019,January,22.0151926727155,39.6318315226151,87.4408758605758,57.0357077469073
264,Bronx,BX11,7,2019,January,18.7651492147576,34.7210756233765,60.1717960836543,43.9858746764301
265,Bronx,BX12,7,2019,January,21.2056948906081,34.2702928396042,81.7121740570331,51.5405110585473
266,Manhattan,MN01,7,2019,January,29.0544862315346,45.6370886684852,70.3408227052116,51.9941977591105
267,Manhattan,MN02,7,2019,January,29.8148802988326,41.9822319162669,85.8416958013675,53.2687603479368
268,Manhattan,MN03,7,2019,January,15.2853904898873,42.9346415716653,42.7540605361358,42.8533734657899
269,Manhattan,MN04,7,2019,January,24.5396497123017,34.2406164586623,72.821769723309,44.1688564478423
270,Manhattan,MN05,7,2019,January,24.0637236784821,36.3279394903346,68.1640186143632,44.5204430085617
271,Manhattan,MN06,7,2019,January,24.5142334033755,34.5126240076174,72.0294233182547,44.1669696055034
272,Manhattan,MN07,7,2019,January,28.9842107261725,41.3315529335222,80.8567333623028,51.5027231476629
273,Manhattan,MN08,7,2019,January,28.3071263037064,41.1043867605082,78.4337585774573,50.7105009039029
274,Manhattan,MN09,7,2019,January,19.3467283064667,55.9690903761156,50.7595410776213,53.6246016389019
275,Manhattan,MN10,7,2019,January,15.9133452939928,42.6517475437928,56.6917690140033,48.9702734509496
276,Manhattan,MN11,7,2019,January,12.3276407474964,39.9926414307745,33.2257493676233,36.9472911866403
277,Manhattan,MN12,7,2019,January,18.2402150439663,47.2729432339631,62.79124002378,54.2567473904918
278,Queens East,QE07,7,2019,January,22.2553210859476,48.858538986589,68.9830665129325,56.1844496169077
279,Queens East,QE08,7,2019,January,18.4977634332414,28.8209547456793,56.7010451327995,36.7392565839739
280,Queens East,QE10,7,2019,January,21.4497421738714,34.739495863294,87.6527970720206,51.6496786341069
281,Queens East,QE11,7,2019,January,27.9446481733571,52.4057265615076,87.6955832133816,63.6837589712594
282,Queens East,QE12,7,2019,January,15.5019097649243,32.4146293041264,73.5139192525554,49.6210299800244
283,Queens East,QE13,7,2019,January,23.4778058356526,30.9090304785125,93.8230671846148,51.015276644351
284,Queens East,QE14,7,2019,January,14.3573594286588,30.2554359137533,43.5886132250323,35.1090984542905
285,Queens West,QW01,7,2019,January,21.9448952024484,48.7521025594729,81.0269967574095,60.5010984147825
286,Queens West,QW02,7,2019,January,23.7715222134417,50.588063812132,79.9356418998081,61.2714318566824
287,Queens West,QW03,7,2019,January,16.1259907596185,30.3793035930587,67.32555746495,43.8288096068637
288,Queens West,QW04,7,2019,January,16.4356776898189,33.5995046750074,66.973948275644,45.7487683451641
289,Queens West,QW05,7,2019,January,26.1251252751087,47.6576324052519,92.7298258809373,64.065215683074
290,Queens West,QW06,7,2019,January,23.0905191077914,31.3384300906515,74.961357686455,42.5640897082094
291,Queens West,QW09,7,2019,January,24.6187051210638,41.586401133941,81.234523534201,56.0194655119257
292,Staten Island,SI01,7,2019,January,21.762952094949,39.6572315358909,79.7973435946951,52.4853223155178
293,Staten Island,SI02,7,2019,January,22.637850636084,44.1745592038322,76.8343737781687,54.6120753121979
294,Staten Island,SI03,7,2019,January,23.4441468642798,46.3892273492569,82.4014823888438,57.8981258832253
295,Brooklyn North,BKN01,1,2019,July,16.751196181196,49.8375044032729,47.2133874379768,48.6405400550223
296,Brooklyn North,BKN02,1,2019,July,19.2720625336937,31.9101640050043,56.4520562723833,39.145902691658
297,Brooklyn North,BKN03,1,2019,July,12.3490294385328,34.1094544182626,42.0190592012737,37.7173404459147
298,Brooklyn North,BKN04,1,2019,July,15.4726092252775,36.1545126949523,60.4959538050033,47.2576142636298
299,Brooklyn North,BKN05,1,2019,July,10.0162506432448,24.2334125360997,38.174264629006,30.5923908743845
300,Brooklyn North,BKN08,1,2019,July,15.6006781792891,44.7219683537299,51.1384297338832,47.6487721568918
301,Brooklyn North,BKN09,1,2019,July,12.6790000805903,32.2444076374026,44.0639832881115,36.9470182661848
302,Brooklyn North,BKN16,1,2019,July,9.4419086733219,21.3961022256024,31.4523054746136,25.9831373795289
303,Brooklyn North,BKN17,1,2019,July,13.2594605834855,27.3863406232587,55.667597159052,38.6384990349322
304,Brooklyn South,BKS06,1,2019,July,27.1315007151656,43.1530731867652,77.2571900546004,53.2080630427331
305,Brooklyn South,BKS07,1,2019,July,19.8551056131618,45.5335582103788,64.1129598749645,52.9256756878834
306,Brooklyn South,BKS10,1,2019,July,23.2725000051397,55.2051046418475,72.4482516381038,62.0655714415489
307,Brooklyn South,BKS11,1,2019,July,18.7275670811317,45.6642610047987,57.0451508783607,50.1923333540967
308,Brooklyn South,BKS12,1,2019,July,15.4626095383467,47.9406471990445,40.3820583501222,44.492873530837
309,Brooklyn South,BKS13,1,2019,July,14.5345097057223,38.4116021570038,50.7005473228268,43.6826135074945
310,Brooklyn South,BKS14,1,2019,July,14.2108165722415,33.2296133300937,51.4275609125725,39.1403215618896
311,Brooklyn South,BKS15,1,2019,July,19.0226108199434,46.9021339226112,56.7173427649483,50.8072745799175
312,Brooklyn South,BKS18,1,2019,July,14.5361657923345,31.6942904129443,61.5588012648123,42.2827742076877
313,Bronx,BX01,1,2019,July,6.8520138721429,17.8746123858525,26.7696101580622,21.6898816044264
314,Bronx,BX02,1,2019,July,13.2836771555654,30.3958774170509,58.5987465418027,42.4927369332285
315,Bronx,BX03,1,2019,July,9.0840587052887,23.1958107265244,36.8646947312699,29.0587095974487
316,Bronx,BX04,1,2019,July,11.6341165153269,27.1910024543036,48.9209034426052,36.5114569936339
317,Bronx,BX05,1,2019,July,11.2859966007481,25.4441072141479,50.0117666489403,35.9817416480556
318,Bronx,BX06,1,2019,July,11.7854465840902,31.7516051064447,44.1481449859218,37.0687663053781
319,Bronx,BX07,1,2019,July,14.495477879987,32.8938147078862,64.310439890664,46.369128145941
320,Bronx,BX08,1,2019,July,20.9206744173979,39.788625171416,82.296243091578,53.5951341755765
321,Bronx,BX09,1,2019,July,9.942582688472,22.9779493978657,39.1778912619916,30.3673886307708
322,Bronx,BX10,1,2019,July,20.9001977265208,38.6030513256661,75.4599268646265,53.2671593931008
323,Bronx,BX11,1,2019,July,16.7174008628992,34.189104138183,53.8283721745378,42.0029067093205
324,Bronx,BX12,1,2019,July,21.1272671401562,34.2468287734945,72.1768542559711,49.3379070198758
325,Manhattan,MN01,1,2019,July,26.0842266527965,44.4057445953009,63.6017421779015,49.5761159215192
326,Manhattan,MN02,1,2019,July,24.6180644160478,39.2670407776662,71.151939630727,47.8551209782317
327,Manhattan,MN03,1,2019,July,13.3704138413938,39.366858227421,42.3617427254238,40.6514331009654
328,Manhattan,MN04,1,2019,July,22.5817300356886,33.9016685455555,67.6930536970119,43.0032538165732
329,Manhattan,MN05,1,2019,July,19.991365447349,32.1357072818324,57.105646450337,38.8612685317083
330,Manhattan,MN06,1,2019,July,22.7248635035234,35.0076180833907,64.6106088245074,42.9810747292129
331,Manhattan,MN07,1,2019,July,26.22150054984,42.4731884003232,70.8299158092122,50.1109686026504
332,Manhattan,MN08,1,2019,July,25.8347145234286,42.6360747593373,68.8942689232284,49.7086227526915
333,Manhattan,MN09,1,2019,July,16.7370756451209,54.1121024863074,49.6070459139531,52.1797800609846
334,Manhattan,MN10,1,2019,July,14.2258568728552,36.4828594530827,55.7102017360837,44.7299089797847
335,Manhattan,MN11,1,2019,July,10.926917941438,38.0760243055152,30.7967452669069,34.9537740295027
336,Manhattan,MN12,1,2019,July,15.4561877413693,42.1109526813756,55.7335109367807,47.9539813724514
337,Queens East,QE07,1,2019,July,20.0256703978075,47.1230869040479,58.5246825974916,51.6593974009352
338,Queens East,QE08,1,2019,July,16.6538982923792,27.1445215928324,49.780610697675,33.8183682492353
339,Queens East,QE10,1,2019,July,19.1922349224169,35.830881958145,80.9752458222378,51.836848624398
340,Queens East,QE11,1,2019,July,24.7455578815864,52.8608429666175,78.921269628963,62.1005859768763
341,Queens East,QE12,1,2019,July,13.7060447557575,32.7926075693484,58.198743072622,45.0235268896749
342,Queens East,QE13,1,2019,July,22.5439837652169,33.0045695287498,84.3319749127782,51.2027380114263
343,Queens East,QE14,1,2019,July,14.3059077536688,31.5381351809688,44.1411487937944,36.5524493595667
344,Queens West,QW01,1,2019,July,19.4483255743494,48.9466897287904,68.3661865381559,56.6730527387725
345,Queens West,QW02,1,2019,July,21.3756290779877,50.2782262784963,66.9917991177886,56.9279933768833
346,Queens West,QW03,1,2019,July,14.0586802813587,31.6201439864919,55.1137337270041,40.9674512068956
347,Queens West,QW04,1,2019,July,15.07186387836,35.3723345673654,56.8558503505058,43.9199011341351
348,Queens West,QW05,1,2019,July,22.8633403801017,46.536888536112,80.721730320953,60.1378844661975
349,Queens West,QW06,1,2019,July,20.6509817009607,30.526168051019,66.2323556761875,40.1434983237149
350,Queens West,QW09,1,2019,July,21.2428823243631,40.000566074692,70.269696807434,52.0436326038403
351,Staten Island,SI01,1,2019,July,19.7539631914445,39.818358393528,71.9254876528527,51.2019641570501
352,Staten Island,SI02,1,2019,July,18.6642879581377,42.8660028320116,73.288690525149,53.6523886271493
353,Staten Island,SI03,1,2019,July,19.8127422005134,45.3070015391395,80.0672444170297,57.6312706436799
354,Brooklyn North,BKN01,12,2019,June,16.0924536706191,48.4548737984392,47.7374450446252,48.1631746856065
355,Brooklyn North,BKN02,12,2019,June,20.470185934596,37.1500131442913,57.735027219675,43.2334611063632
356,Brooklyn North,BKN03,12,2019,June,12.6284284963315,35.2209797763071,46.0211731704524,39.6122267325322
357,Brooklyn North,BKN04,12,2019,June,16.3746133444509,39.9314417888544,68.047334745333,51.3630731366427
358,Brooklyn North,BKN05,12,2019,June,10.9689769558717,25.0288205296388,48.0941417489535,34.4069416338013
359,Brooklyn North,BKN08,12,2019,June,17.2414892344164,48.5555077850459,59.7423467928413,53.1039608497282
360,Brooklyn North,BKN09,12,2019,June,13.7688829517707,34.4753647548966,45.7997974367113,38.7767626885878
361,Brooklyn North,BKN16,12,2019,June,9.8951100197693,22.2048607294677,36.6363954508847,28.0725735200028
362,Brooklyn North,BKN17,12,2019,June,13.974089454065,30.063107305583,63.1012425069821,42.6120950104167
363,Brooklyn South,BKS06,12,2019,June,29.4464787447413,47.9015450132168,82.4086662637825,58.0993654120746
364,Brooklyn South,BKS07,12,2019,June,21.0926622999674,49.9721654742151,73.0551126424665,58.7398401156532
365,Brooklyn South,BKS10,12,2019,June,24.9205348423642,54.4765116250507,78.2885263769848,63.5211104962571
366,Brooklyn South,BKS11,12,2019,June,19.0234132625814,48.0308867424513,64.9690453908961,54.4645653785522
367,Brooklyn South,BKS12,12,2019,June,15.2932696454915,45.9758064353219,44.8425297903174,45.5150278699459
368,Brooklyn South,BKS13,12,2019,June,14.9394661883495,42.7525748066302,51.928908539839,46.7600980149972
369,Brooklyn South,BKS14,12,2019,June,15.7734156962588,39.4452314252924,62.8086207464081,47.4549042931219
370,Brooklyn South,BKS15,12,2019,June,19.3251375872841,48.5387217238878,62.9377226587285,54.0079434154787
371,Brooklyn South,BKS18,12,2019,June,15.1120052558897,38.9956024507499,74.4475385635314,51.6010873337696
372,Bronx,BX01,12,2019,June,7.754163722144,23.0917473216777,28.3081247518779,25.3698634215179
373,Bronx,BX02,12,2019,June,14.1837362682636,40.6161516619181,56.6949094165837,47.6381276206108
374,Bronx,BX03,12,2019,June,10.3067506743784,28.1861747587651,42.9106683158812,34.6167113300368
375,Bronx,BX04,12,2019,June,13.2287441768347,33.27145787319,56.3024788028372,43.3296525260204
376,Bronx,BX05,12,2019,June,12.0021667287438,30.3283388449078,53.1864303711177,40.3110111139809
377,Bronx,BX06,12,2019,June,15.0266827927899,39.4501370881912,52.234814049627,45.0335096119053
378,Bronx,BX07,12,2019,June,15.4022857893804,37.3088975463242,70.3318405872128,51.7308022516869
379,Bronx,BX08,12,2019,June,22.0184048210408,48.6824991360698,84.85430610549,61.0832829813092
380,Bronx,BX09,12,2019,June,10.8504167924454,24.9957730949299,47.2277081616047,34.0350480069377
381,Bronx,BX10,12,2019,June,21.174097224579,38.4746000892505,85.8356499670695,56.4639093823366
382,Bronx,BX11,12,2019,June,17.1691649575756,35.0949416034282,62.1145455422171,45.3578900280408
383,Bronx,BX12,12,2019,June,21.7728741961867,34.8562751124867,83.6689405263228,53.3969564912725
384,Manhattan,MN01,12,2019,June,28.6609500990776,48.0757120757154,77.1449201601572,55.0768393837618
385,Manhattan,MN02,12,2019,June,28.2909629241637,43.2612030015949,89.2072936654566,54.3270163223542
386,Manhattan,MN03,12,2019,June,14.5646604500297,45.4290979917833,42.7281924509969,44.2495482987357
387,Manhattan,MN04,12,2019,June,23.8139968443118,35.3938835551232,75.8652413342651,45.1411435189376
388,Manhattan,MN05,12,2019,June,20.9808291493487,35.1791593253146,62.2163907119298,41.6908984289372
389,Manhattan,MN06,12,2019,June,23.6040841712644,35.8333780315193,73.7111337430793,44.9559860196483
390,Manhattan,MN07,12,2019,June,28.0396292071413,43.5867049524404,84.6014869430861,53.46484505843
391,Manhattan,MN08,12,2019,June,26.9174048911941,43.8490173328839,81.7254779518181,52.9713134064839
392,Manhattan,MN09,12,2019,June,18.7355129347526,59.0437387147997,52.4070516512946,56.145339614796
393,Manhattan,MN10,12,2019,June,14.8937235957261,42.1874695276547,58.1789176083691,49.1713152749965
394,Manhattan,MN11,12,2019,June,11.8044304953265,42.3265351151503,32.8723993855156,38.1976891671821
395,Manhattan,MN12,12,2019,June,16.4464324454658,45.9725832164885,58.9875934409744,51.6565477548534
396,Queens East,QE07,12,2019,June,20.2429680803327,48.5553822415402,68.1898115601088,56.0131945729005
397,Queens East,QE08,12,2019,June,16.8629931156479,29.3215766554038,53.6003110508727,36.4966223823059
398,Queens East,QE10,12,2019,June,19.1500259544775,42.1443093549609,97.5688976576972,61.8513800146602
399,Queens East,QE11,12,2019,June,23.8463183454298,61.590894646698,92.7365323992386,72.6652084616806
400,Queens East,QE12,12,2019,June,14.1232279098991,35.1185073150641,70.5559916776074,51.3874923081527
401,Queens East,QE13,12,2019,June,21.4886911157205,38.063560574914,100.272867667917,60.1830430666265
402,Queens East,QE14,12,2019,June,14.5683441224634,34.6009759274585,47.2017966933517,39.3871887054518
