,id,building_code,dbn,location_name,location_code,address,borough,geographical_district_code,register,schools,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,geocoded_column,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,building_name
254,483,K440,73K904,PROSPECT HEIGHTS EVENING T/R(BS),K524,883 CLASSON AVENUE,K,17,EVENING SCHOOL,7,PROSPECT HEIGHTS HS(BS)| INTERNATIONAL HS@PROSPECT HEIGHTS(BS)| THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP(BROOKLYN)| BROOKLYN ACADEMY OF SCIENCE & THE ENVIRONMENT BASE(BS)| BROOKLYN SCHOOL FOR MUSIC & THEATRE(BS)|  PROSPECT HEIGHTS EVENING M/W(BS)| PROSPECT HEIGHTS EVENING T/R(BS),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.961805, 40.67009]}",13509,17.0,2.0,48.0,44.0,883 CLASSON AVENUE CONSOLIDATED LOCATION
255,604,K865,32K556,BUSHWICK LEADERS HS FOR ACADEMIC EXCELLENCE(BN),K556,797 Bushwick Ave,K,32,227,1,BUSHWICK LEADERS HS FOR ACADEMIC EXCELLENCE(BN),0,2,3,1,1,2C,1-250,0.25,0.88,1.69,0.57,0.45,"{'type': 'Point', 'coordinates': [-73.927855, 40.694887]}",18181,42.0,2.0,30.0,53.0,
256,766,M121,84M708,HARLEM PREP CHARTER SCHOOL(MN),M708,232 EAST 103 STREET,M,4,871,2,PS 38(MANHATTAN) |  HARLEM PREP CHARTER SCHOOL(MN) |  232 EAST 103 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-81.594577, 27.913066]}",1310,,,,,232 EAST 103 STREET CONSOLIDATED LOCATION
257,151,K132,14K132,PS 132(BN),K132,320 MANHATTAN AVENUE,K,14,652,1,PS 132(BN),0,1,0,1,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-118.408066, 33.87955]}",25064,,,,,
258,1183,Q157,28Q157,JHS 157(QN),Q157,63-55 102nd Street,Q,28,1630,1,JHS 157(QN),1,1,0,1,1,8C,1501-1750,0.45,2.95,7.14,1.48,1.60,"{'type': 'Point', 'coordinates': [-99.07736, 40.773528]}",23053,,,,,
259,401,K328,19K328,P.S. 328 Phyllis Wheatley,K328,330 ALABAMA AVENUE,K,19,258,2,P.S. 328 Phyllis Wheatley|Hyde Leadership Charter School- Brooklyn|330 ALABAMA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-81.670377, 29.636791]}",24666,,,,,330 ALABAMA AVENUE CONSOLIDATED LOCATION
260,687,M052,06M423,HS FOR EXCELLENCE & INNOVATION(MN),M423,650 ACADEMY STREET,M,6,149,2,IS/JHS 52 (MN)|HS FOR EXCELLENCE & INNOVATION(MN)|650 ACADEMY STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.924577, 40.865653]}",13098,47.0,4.0,39.0,22.0,650 ACADEMY STREET CONSOLIDATED LOCATION
261,284,K244,18K244,P.S. 244 Richard R. Green,K244,5404 TILDEN AVENUE,K,18,464,2,P.S. 244 Richard R. Green|  Brooklyn Science and Engineering Academy|  5404 TILDEN AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.925497, 40.648458]}",16866,61.0,2.0,26.0,40.0,5404 TILDEN AVENUE CONSOLIDATED LOCATION
262,1233,Q197,27Q197,PS 197(QUEENS),Q197,825 HICKSVILLE ROAD,Q,27,460,1,PS 197(QUEENS),0,0,3,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-73.743998, 40.600207]}",20529,51.0,3.0,47.0,59.0,
263,62,K044,13K044,PS 44(BROOKLYN),K044,432 MONROE STREET,K,13,134,1,PS 44(BROOKLYN),1,4,4,2,3,2C,1-250,0.25,0.88,1.69,0.57,0.45,"{'type': 'Point', 'coordinates': [-85.604207, 42.287747]}",21904,,,,,
264,635,M010,05M499,FREDERICK DOUGLASS ACADEMY I(MN),M499,2581 SEVENTH AVENUE,M,5,1118,1,FREDERICK DOUGLASS ACADEMY I(MN),1,10,31,2,6,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,"{'type': 'Point', 'coordinates': [-91.62509, 45.307227]}",5666,,,,,
265,877,M267,02M267,EAST SIDE ELEMENTARY SCHOOL PS 267(MN),M267,213 East 63 St.,M,2,393,1,EAST SIDE ELEMENTARY SCHOOL PS 267(MN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-89.944287, 34.318527]}",16509,,,,,
266,692,M056,,220 Henry Street CONSOLIDATED LOCATION,,220 Henry Street,M,1,341,2,ORCHARD COLLEGIATE ACADEMY|UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL(MANHATTAN)|220 Henry Street CONSOLIDATED LOCATION,0,1,1,1,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-81.992124, 34.958755]}",14050,,,,,220 Henry Street CONSOLIDATED LOCATION
267,733,M092,84M388,ST. HOPE LEADERSHIP ACADEMY CHARTER SCHOOL(MN),M388,222 WEST 134 STREET,M,5,293,2,PS 92(MANHATTAN)| ST. HOPE LEADERSHIP ACADEMY CHARTER SCHOOL(MN)| 222 WEST 134 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-85.636151, 41.947619]}",23903,,,,,222 WEST 134 STREET CONSOLIDATED LOCATION
268,224,K192,20K192,PS 192(BROOKLYN),K192,4715 18 AVENUE,K,20,640,1,PS 192(BROOKLYN),0,3,0,3,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-73.98015, 40.629152]}",16867,2.0,2.0,18.0,39.0,
269,297,K255,22K255,PS 255(BROOKLYN),K255,1866 EAST 17 STREET,K,22,903,1,PS 255(BROOKLYN),0,0,0,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-96.651869, 34.767982]}",25005,,,,,
270,957,M490,03M541,MANHATTAN HUNTER SCIENCE HS(MN),M541,122 AMSTERDAM AVENUE,M,3,332,5,"High School for Arts, Imagination and Inquiry |  Urban Assembly School for Media Studies, The |  High School for Law, Advocacy and Community Justic |  High School of Arts and Technology |  Manhattan / Hunter Science High School |  122 AMSTERDAM AVENUE CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-74.277678, 40.657145]}",17004,,,,,122 AMSTERDAM AVENUE CONSOLIDATED LOCATION
271,866,M206,04M206,PS 206(MANHATTAN),M206,508 EAST 120 STREET,M,4,473,1,PS 206(MANHATTAN),0,1,3,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-85.63326, 41.951302]}",23903,,,,,
272,1075,Q042,27Q042,PS 42(QUEENS),Q042,488 BEACH 66 STREET,Q,27,631,1,PS 42(QUEENS),0,1,3,0,1,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-73.795337, 40.594782]}",20530,51.0,3.0,47.0,58.0,
273,457,K415,18K629,CULTURAL ACADEMY FOR THE ARTS & SCIENCES(BS),K629,5800 Tilden Ave,K,18,248,4,It Takes a Village Academy |  Kurt Hahn Expeditionary Learning School |  Cultural Academy for the Arts and Sciences |Samuel J. Tilden HS|  5800 TILDEN AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.922313, 40.648654]}",16866,61.0,2.0,26.0,40.0,5800 TILDEN AVENUE CONSOLIDATED LOCATION
274,1125,Q098,26Q098,PS 98(QUEENS),Q098,40-20 235 STREET,Q,26,268,1,PS 98(QUEENS),0,0,1,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-81.51867, 41.617239]}",8116,,,,,
275,135,K115,18K115,PS 115(BS),K115,1500 EAST 92 STREET,K,18,881,1,PS 115(BS),1,0,1,0,1,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-97.132657, 37.712301]}",5289,,,,,
276,774,M125,84M726,KIPP STAR College Prep Charter School,M726,425 West 123rd St,M,5,852,3,P.S. 125 Ralph Bunche|Columbia Secondary School|KIPP STAR College Prep Charter School|425 WEST 123 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-90.439207, 34.013793]}",15388,,,,,425 West 123rd St CONSOLIDATED LOCATION
277,91,K072,19K072,PS 72(BROOKLYN),K072,605 SHEPARD AVENUE,K,19,SCHOOL CLOSED,3,PS 72| East New York Elementary School of Excellence |  East New York Middle School of Excellence |  605 SHEPHERD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-81.613485, 28.021406]}",1003,,,,,605 SHEPARD AVENUE CONSOLIDATED LOCATION
278,136,K116,32K116,PS 116(BN),K116,515 KNICKERBOCKER AVENUE,K,32,392,1,PS 116(BN),0,0,1,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-73.916735, 40.697882]}",13828,42.0,2.0,37.0,53.0,
279,660,M034,01M034,PS 34 FRANKLIN D. ROOSEVELT(MANHATTAN),M034,730 EAST 12 STREET,M,1,320,1,PS 34 FRANKLIN D. ROOSEVELT(MANHATTAN),0,0,7,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-80.351829, 33.899211]}",12955,,,,,
280,997,M641,,16 CLARKSON STREET CONSOLIDATED LOCATION,,16 CLARKSON STREET,M,2,536,2,P721 OTC(MS)|CITY AS SCHOOL LOWER MANHATTAN OUTREACH(MS)| 16 CLARKSON STREET CONSOLIDATED LOCATION,0,0,1,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-73.089291, 41.34969]}",20131,,,,,16 CLARKSON STREET CONSOLIDATED LOCATION
281,1129,Q102,24Q102,PS 102(QN),Q102,55-24 VAN HORN STREET,Q,24,1284,1,PS 102(QN),0,0,1,0,0,7C,1251-1500,0.65,2.79,6.71,1.48,1.47,"{'type': 'Point', 'coordinates': [-72.59419, 42.142969]}",10774,,,,,
282,415,K356,23K156,P.S. 156 Waverly,K156,104 Sutter Ave,K,23,667,2,P.S. 156 Waverly |  I.S. 392 |  104 SUTTER AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.918267, 40.665949]}",17614,55.0,2.0,17.0,46.0,104 SUTTER AVENUE CONSOLIDATED LOCATION
283,988,M620,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,M500,111 East 33 Street,M,2,190,3,MANHATTAN ACADEMY FOR ARTS & LANGUAGE |  Murray Hill Academy |  Unity Center for Urban Technologies  |  111 EAST  33RD STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-89.376366, 30.28297]}",609,,,,,111 East 33 Street CONSOLIDATED LOCATION
284,118,K100,21K100,PS 100(BS),K100,2951 WEST 3 STREET,K,21,733,1,PS 100(BS),0,0,2,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-105.114666, 40.396022]}",18916,,,,,
285,247,K215,21K215,PS 215(BROOKLYN),K215,415 AVENUE S,K,21,854,1,PS 215(BROOKLYN),0,3,1,3,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-73.970033, 40.602063]}",18183,32.0,2.0,45.0,36.0,
286,431,K383,,1300 GREENE AVENUE CONSOLIDATED LOCATION,,1300 GREENE AVENUE,K,32,1900,2,J.H.S. 383 Philippa Schuyler| Achievement First Bushwick Charter School| 1300 GREENE AVENUE CONSOLIDATED LOCATION,2,4,3,4,1,9C,1751-2000,1.35,4.73,18.50,2.46,2.92,"{'type': 'Point', 'coordinates': [-73.91947, 40.698094]}",13828,42.0,2.0,37.0,53.0,1300 GREENE AVENUE CONSOLIDATED LOCATION
287,1218,Q188,26Q188,PS 188(QUEENS),Q188,218-12 HARTLAND AVENUE,Q,26,696,1,PS 188(QUEENS),0,0,1,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-73.753122, 40.736034]}",14506,26.0,3.0,16.0,69.0,
288,2,K002,17K002,Parkside Preparatory Academy,K002,655 PARKSIDE AVENUE,K,17,488,3,Parkside Preparatory Academy |  P.S. K141 |Explore Charter High School |655 PARKSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-80.714584, 28.40276]}",22273,,,,,655 PARKSIDE AVENUE CONSOLIDATED LOCATION
289,1110,Q081,24Q081,PS 81(QUEENS),Q081,559 CYPRESS AVENUE,Q,24,639,1,PS 81(QUEENS),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-81.506537, 41.040599]}",14598,,,,,
290,269,K230,15K230,PS 230(BROOKLYN),K230,1 ALBEMARLE ROAD,K,15,1096,1,PS 230(BROOKLYN),0,0,1,0,0,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,"{'type': 'Point', 'coordinates': [-79.962007, 32.772229]}",26479,,,,,
291,849,M188,,442 EAST HOUSTON STREET CONSOLIDATED LOCATION,,442 EAST HOUSTON STREET,M,1,1030,3,PS 188 THE ISLAND SCHOOL(MANHATTAN)| GIRLS PREPARATORY CHARTER(MS)|  442 EAST HOUSTON STREET CONSOLIDATED LOCATION,2,2,4,3,1,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,"{'type': 'Point', 'coordinates': [-73.977576, 40.719531]}",11723,70.0,4.0,50.0,5.0,442 EAST HOUSTON STREET CONSOLIDATED LOCATION
292,508,K465,17K539,HS FOR SERVICE & LEARNING@ERASMUS(BS),K539,911 FLATBUSH AVENUE,K,17,263,7,"ERASMUS HALL HS(BS) |ACADEMY FOR COLLEGE PREPARATION & CAREER EXPLORATION(BS)|ACADEMY OF HOSPITALITY &TOURISM(BS)|ERASMUS CAMPUS BUSINESS TEC(BS) |HS FOR YOUTH & COMMUNITY DEVELOPMENT@ERASMUS(BS)|HS FOR SERVICE & LEARNING@ERASMUS(BS)|SCIENCE,TECH., & RESEARCH EARLY COLLEGE HS@ERASMUS-STAR(BROOKLYN)",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.958476, 40.649472]}",13510,60.0,2.0,11.0,43.0,911 FLATBUSH AVENUE CONSOLIDATED LOCATION
293,528,K495,84K738,New Visions Charter High School for Advanced Math,K738,3000 AVENUE X,K,22,316,5,Sheepshead Bay High School| Origins High School| Professional Pathways High School| New Visions Charter High School for Advanced Math| New Visions Charter High School for the Humanities| 3000 AVENUE X CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.936834, 40.594236]}",13512,32.0,2.0,8.0,36.0,3000 AVENUE X CONSOLIDATED LOCATION
294,315,K269,,1957 NOSTRAND AVENUE CONSOLIDATED LOCATION,,1957 NOSTRAND AVENUE,K,22,666,2,PS 269(BROOKLYN)  | PS 361(BROOKLYN)  | 1957 Nostand Avenue Consolidated Location,1,2,2,3,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-73.948179, 40.637683]}",17217,60.0,2.0,26.0,43.0,1957 NOSTRAND AVENUE CONSOLIDATED LOCATION
295,76,K056,13K056,PS 56(BROOKLYN),K056,170 GATES AVENUE,K,13,201,1,PS 56(BROOKLYN),0,1,0,1,0,2C,1-250,0.25,0.88,1.69,0.57,0.45,"{'type': 'Point', 'coordinates': [-73.960644, 40.685063]}",13829,68.0,2.0,48.0,55.0,
296,209,K179,20K179,PS 179(BROOKLYN),K179,202 AVENUE C,K,20,851,1,PS 179(BROOKLYN),1,0,0,1,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-97.397987, 32.141664]}",21096,,,,,
297,310,K264,20K264,PS 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS(BS),K264,371 89th Street,K,20,463,1,PS 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS(BS),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-74.029749, 40.62085]}",17216,10.0,2.0,44.0,41.0,
298,1077,Q045,27Q045,PS 45(QUEENS),Q045,126-28 150 STREET,Q,27,286,1,PS 45(QUEENS),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-87.178292, 39.045317]}",21832,,,,,
299,296,K254,22K254,PS 254(BROOKLYN),K254,1801 AVENUE Y,K,22,779,1,PS 254(BROOKLYN),0,0,2,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-101.469778, 32.29683]}",12061,,,,,
300,1223,Q191,26Q191,PS 191(QUEENS),Q191,85-15 258 STREET,Q,26,359,2,P.S. 191 Mayflower |  P.S. Q993 |  85-15 258 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.709102, 40.734191]}",15785,63.0,3.0,16.0,63.0,85-15 258 STREET CONSOLIDATED LOCATION
301,236,K204,20K204,PS 204(BROOKLYN),K204,8101 15th AVENUE,K,20,1119,1,PS 204(BROOKLYN),0,0,0,0,0,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,"{'type': 'Point', 'coordinates': [-74.006865, 40.61398]}",13511,1.0,2.0,44.0,37.0,
302,456,K415,18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL(BS),K569,5800 Tilden Ave,K,18,274,4,It Takes a Village Academy |  Kurt Hahn Expeditionary Learning School |  Cultural Academy for the Arts and Sciences |Samuel J. Tilden HS|  5800 TILDEN AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.922313, 40.648654]}",16866,61.0,2.0,26.0,40.0,5800 TILDEN AVENUE CONSOLIDATED LOCATION
303,7,K005,16K005,PS 5(BROOKLYN),K005,820 HANCOCK STREET,K,16,191,1,PS 5(BROOKLYN),1,1,0,1,1,2C,1-250,0.25,0.88,1.69,0.57,0.45,"{'type': 'Point', 'coordinates': [-94.726544, 42.274245]}",26202,,,,,
304,922,M460,84M174,SUCCESS ACADEMY CHARTER SCHOOL - MANHATTAN 1 - UNION SQUARE(MS),M174,40 IRVING PLACE,M,2,669,8,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving HS|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|Washington Irving evening school|40 IRVING PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-75.003693, 40.152439]}",6974,,,,,40 IRVING PLACE CONSOLIDATED LOCATION
305,252,K218,84K386,Invictus Preparatory Charter School,K386,370 FOUNTAIN AVENUE,K,19,249,3,"J.H.S. 218 James P. Sinnott|The School for Classics: An Academy of Thinkers, W|Invictus Preparatory Charter School|370 FOUNTAIN AVENUE CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-88.364818, 42.02379]}",15600,,,,,370 FOUNTAIN AVENUE CONSOLIDATED LOCATION
306,61,K043,21K098,IS/JHS 98(BS),K098,1401 EMMONS AVENUE,K,21,1521,1,IS/JHS 98(BS),0,1,1,1,0,8C,1501-1750,0.45,2.95,7.14,1.48,1.60,"{'type': 'Point', 'coordinates': [-73.953811, 40.583207]}",13826,32.0,2.0,15.0,36.0,
307,384,K314,20K506,P.S. 506: The School of Journalism & Technology,K506,330 59th St,K,20,797,2,PS 503: The School of Discovery |  P.S. 506: The School of Journalism & Technology |  330 59 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-74.019077, 40.642177]}",18180,9.0,2.0,7.0,45.0,330 59 STREET CONSOLIDATED LOCATION
308,119,K101,21K101,PS 101(BS),K101,2360 BENSON AVENUE,K,21,875,1,PS 101(BS),0,0,3,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-73.99155, 40.597786]}",17616,1.0,2.0,45.0,37.0,
309,513,K470,17K531,THE SCHOOL FOR HUMAN RIGHTS(BROOKLYN),K531,600 KINGSTON AVENUE,K,17,319,5,GEORGE WINGATE HS(BS) |GEORGE W. WINGATE HS GED (BS) |THE SCHOOL FOR HUMAN RIGHTS(BROOKLYN) | Brooklyn Institute for Liberal Arts |HS FOR PUBLIC SERVICE HEROES OF TOMORROW(BS),N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.942431, 40.658787]}",16866,17.0,2.0,11.0,44.0,600 KINGSTON AVENUE CONSOLIDATED LOCATION
310,944,M480,02M459,Manhattan International High School,M459,317 East 67th St,M,2,253,5,Ella Baker School |  Vanguard High School |  Manhattan International High School |  Talent Unlimited High School |  Urban Academy Laboratory High School |  317 EAST  67 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-81.965207, 34.94895]}",14044,,,,,317 East 67th St CONSOLIDATED LOCATION
311,442,K398,17K398,P.S. 398 Walter Weaver,K398,60 EAST 94 STREET,K,17,254,2,P.S. 398 Walter Weaver |  P.S. 770 New American Academy |  60 EAST  94 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.92737, 40.663934]}",17614,61.0,2.0,17.0,40.0,60 EAST 94 STREET CONSOLIDATED LOCATION
312,678,M045,,2351 FIRST AVENUE CONSOLIDATED LOCATION,,2351 FIRST AVENUE,M,4,965,3,COALITION SCHOOL FOR SOCIAL CHANGE(MN)| RIVER EAST ELEMENTARY (MANHATTAN|HARLEM VILLAGE ACADEMIES LEADERSHIP CHARTER SCHOOL(MN)|2351 FIRST AVENUE CONSOLIDATED LOCATION,1,5,8,3,2,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-87.38128, 39.478451]}",16522,,,,,2351 FIRST AVENUE CONSOLIDATED LOCATION
313,274,K236,22K236,PS 236(BROOKLYN),K236,6302 AVENUE U,K,22,506,1,PS 236(BROOKLYN),2,0,0,2,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-73.912894, 40.616069]}",13825,5.0,2.0,8.0,38.0,
314,530,K495,,3000 AVENUE X CONSOLIDATED LOCATION,,3000 AVENUE X,K,22,1038,5,Sheepshead Bay High School| Origins High School| Professional Pathways High School| New Visions Charter High School for Advanced Math| New Visions Charter High School for the Humanities| 3000 AVENUE X CONSOLIDATED LOCATION,4,17,23,6,12,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,"{'type': 'Point', 'coordinates': [-73.936834, 40.594236]}",13512,32.0,2.0,8.0,36.0,3000 AVENUE X CONSOLIDATED LOCATION
315,661,M036,05M036,PS 36(MANHATTAN),M036,123 MORNINGSIDE DRIVE,M,5,342,1,PS 36(MANHATTAN),0,0,3,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-77.922732, 39.54254]}",7615,,,,,
316,549,K564,15K667,SUNSET PARK HS(BROOKLYN),K667,153 35th St.,K,15,962,1,SUNSET PARK HS(BROOKLYN),0,5,4,0,5,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-111.977701, 41.199832]}",543,,,,,
317,793,M136,05M304,MOTT HALL HS(MN),M304,6 EDGECOMBE AVENUE,M,5,249,4,Eagle Academy for Young Men of Harlem |  KAPPA IV |  Mott Hall High School |  Bread & Roses Integrated Arts High School |  6 EDGECOMBE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.947623, 40.817461]}",12427,18.0,4.0,36.0,20.0,6 EDGECOMBE AVENUE CONSOLIDATED LOCATION
318,927,M465,06M467,HS FOR LAW & PUBLIC SERVICE(MN),M467,549 AUDUBON AVENUE,M,6,410,5,George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.927043, 40.85598]}",13098,47.0,4.0,39.0,22.0,549 AUDUBON AVENUE CONSOLIDATED LOCATION
319,87,K067,13K067,PS 67(BROOKLYN),K067,51 SAINT EDWARDS STREET,K,13,204,1,PS 67(BROOKLYN),0,1,3,1,0,2C,1-250,0.25,0.88,1.69,0.57,0.45,"{'type': 'Point', 'coordinates': [-73.648367, 40.793659]}",20140,,,,,
320,240,K208,18K208,PS 208(BROOKLYN),K208,4801 AVENUE D,K,18,356,1,PS 208(BROOKLYN),0,1,0,0,1,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-73.930799, 40.642038]}",16866,61.0,2.0,26.0,40.0,
321,1216,Q186,75Q224,P224(QS),Q224,252-12 72 AVENUE,Q,26,359,2,P.S. 186  |  P.S. Q224 |  252-12 72 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-82.033697, 29.188838]}",31736,,,,,252-12 72 AVENUE CONSOLIDATED LOCATION
