,id,building_code,dbn,location_name,location_code,address,borough,geographical_district_code,register,schools,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,geocoded_column,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,building_name
630,826,M163,03M163,PS 163(MANHATTAN),M163,163 WEST 97 STREET,M,3,538,1,PS 163(MANHATTAN),0,1,2,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-78.822253, 39.64253]}",31567,,,,,
631,579,K776,22K776,PS 152 ANNEX(BS),K776,1087 Ocean Ave,K,22,ANNEX,1,PS 152 ANNEX(BS),2,0,0,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-74.049291, 40.044097]}",28397,,,,,
632,711,M072,04M072,PS 72(MANHATTAN),M072,131 EAST 104 STREET,M,4,605,1,PS 72(MANHATTAN),1,4,5,0,5,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-81.754043, 34.905647]}",23878,,,,,
633,581,K781,79K529,WEST BROOKLYN COMMUNITY HS(BROOKLYN),K529,1053 41st Street,K,15,176,1,WEST BROOKLYN COMMUNITY HS(BROOKLYN),0,1,2,0,1,2C,1-250,0.25,0.88,1.69,0.57,0.45,"{'type': 'Point', 'coordinates': [-82.5499, 27.370158]}",3694,,,,,
634,295,K253,21K253,PS 253(BROOKLYN),K253,601 OCEANVIEW AVENUE,K,21,880,1,PS 253(BROOKLYN),0,1,1,1,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-73.890588, 40.566578]}",20533,51.0,3.0,41.0,58.0,
635,959,M495,04M495,PARK EAST HS(MN),M495,230-34 EAST 105 STREET,M,4,307,1,PARK EAST HS(MN),1,0,2,0,1,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-84.643736, 42.647381]}",602,,,,,
636,60,K041,23K041,PS 41(BROOKLYN),K041,411 THATFORD AVENUE,K,23,470,1,PS 41(BROOKLYN),0,3,1,1,2,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-73.907393, 40.660364]}",17614,55.0,2.0,25.0,46.0,
637,120,K102,20K102,PS 102(BS),K102,211 72 STREET,K,20,1426,1,PS 102(BS),0,2,0,1,1,7C,1251-1500,0.65,2.79,6.71,1.48,1.47,"{'type': 'Point', 'coordinates': [-74.745433, 39.068776]}",14320,,,,,
638,1130,Q104,27Q104,PS 104(QS),Q104,2601 MOTT AVENUE,Q,27,639,1,PS 104(QS),0,2,3,2,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-73.764341, 40.608378]}",20529,51.0,3.0,47.0,59.0,
639,285,K244,18K763,Brooklyn Science and Engineering Academy,K763,5404 Tilden Avenue,K,18,262,2,P.S. 244 Richard R. Green|  Brooklyn Science and Engineering Academy|  5404 TILDEN AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.925497, 40.648458]}",16866,61.0,2.0,26.0,40.0,5404 TILDEN AVENUE CONSOLIDATED LOCATION
