bbl,street_name,borough,zip,benchmarking_submission,street_number,entry_number,site_eui,weather_normalized_source_eui,energy_star_score,ghg,reported_building_square_footage,reported_facility_type,number_of_buildings,reported_bins,water_per_square_foot,latitude,longitude,community_board,community_council,census_tract,bin,nta
4020840101,QUEENS BOULEVARD,QUEENS,11374,Yes,    96-05,132.0,56.4,166.8,67,969.14,197645.0,Retail,1.0,4050415.0,,,,,,,,
4020910001,QUEENS BOULEVARD,QUEENS,11374,Yes,    97-45,2343.0,61.2,109.8,N/A,621.98,158427.0,Office,1.0,4050460.0,,,,,,,,
4020920001,QUEENS BOULEVARD,QUEENS,11374,Yes,    97-77,699.0,,,86,,,Office,1.0,4050482.0,,,,,,,,
4022460041, 113 STREET         ,QUEENS              ,11375,No DOF Record as of 08/01/12,    71-02,,,,,,,,,,,,,,,,,
4022480099,  72 AVENUE         ,QUEENS              ,11375,No DOF Record as of 08/01/12,   112-50,,,,,,,,,,,,,,,,,
4022480228, 113 STREET         ,QUEENS              ,11375,No DOF Record as of 08/01/12,    70-35,,,,,,,,,,,,,,,,,
4022660081,QUEENS BOULEVARD    ,QUEENS              ,11375,No DOF Record as of 08/01/12,   114-03,,,,,,,,,,,,,,,,,
4022700041,QUEENS BOULEVARD,QUEENS,11375,Yes,   112-09,2433.0,,,N/A,,300735.0,Office,1.0,,,,,,,,,
4023110250,49 STREET           ,QUEENS              ,11377,No DOF Record as of 08/01/12,,,,,,,,,,,,,,,,,,
4023140100,QUEENS BOULEVARD,QUEENS,11377,Yes,    61-10,1765.0,206.0,259.8,85,921.48,70000.0,Retail,1.0,4437383.0,,,,,,,,
4024420002,  51 AVENUE         ,QUEENS              ,11377,No DOF Record as of 08/01/12,    72-01,,,,,,,,,,,,,,,,,
4024920094,  74 STREET         ,QUEENS              ,11373,No DOF Record as of 08/01/12,    53-01,,,,,,,,,,,,,,,,,
4025450026,  54 AVENUE         ,QUEENS              ,11378,No DOF Record as of 08/01/12,    46-50,,,,,,,,,,,,,,,,,
4025460024,  54 ROAD           ,QUEENS              ,11378,No DOF Record as of 08/01/12,    46-36,,,,,,,,,,,,,,,,,
4025500090,  56 ROAD           ,QUEENS              ,11378,No DOF Record as of 08/01/12,    46-05,,,,,,,,,,,,,,,,,
4025670150,  55 AVENUE         ,QUEENS              ,11378,No DOF Record as of 08/01/12,    56-01,,,,,,,,,,,,,,,,,
4025730001,  56 ROAD           ,QUEENS              ,11378,No DOF Record as of 08/01/12,    50-35,,,,,,,,,,,,,,,,,
4025730025,  55 AVENUE         ,QUEENS              ,11378,No DOF Record as of 08/01/12,    50-02,,,,,,,,,,,,,,,,,
4025730162,  55 DRIVE          ,QUEENS              ,11378,No DOF Record as of 08/01/12,    56-05,,,,,,,,,,,,,,,,,
4025750040,  49 STREET         ,QUEENS              ,11378,No DOF Record as of 08/01/12,    56-75,,,,,,,,,,,,,,,,,
4025850021,  58 STREET,QUEENS,11378,Yes,    55-60,1789.0,53.6,92.3,N/A,704.72,193000.0,Other,1.0,4058947.0,4.78,,,,,,,
4026000092,  48 STREET         ,QUEENS              ,11378,No DOF Record as of 08/01/12,    55-90,,,,,,,,,,,,,,,,,
4026020058,  47 STREET         ,QUEENS              ,11378,No DOF Record as of 08/01/12,    57-47,,,,,,,,,,,,,,,,,
4026020102,  48 STREET         ,QUEENS              ,11378,No DOF Record as of 08/01/12,    56-45,,,,,,,,,,,,,,,,,
4026570023,BORDEN AVENUE       ,QUEENS              ,11378,No DOF Record as of 08/01/12,    58-40,,,,,,,,,,,,,,,,,
4026020190,  49 STREET,QUEENS,11378,Yes,    57-00,2102.0,,,76,,,Warehouse (Unrefrigerated),1.0,4058972.0,,,,,,,,
4026020200,  49 STREET,QUEENS,11378,Yes,    57-10,1236.0,50.6,89.8,60,252.96,77468.0,Warehouse (Unrefrigerated),1.0,4026020200.0,,,,,,,,
4026030072,  49 STREET         ,QUEENS              ,11378,No DOF Record as of 08/01/12,    57-01,,,,,,,,,,,,,,,,,
4026030150,PAGE PLACE          ,QUEENS              ,11378,No DOF Record as of 08/01/12,    58-38,,,,,,,,,,,,,,,,,
4026100357,GRAND AVENUE,QUEENS,11378,Yes,    56-19,1567.0,47.4,71.0,N/A,204.53,72000.0,Other,1.0,4843087.0,,,,,,,,
4026110093,METROPOLITAN AVENUE ,QUEENS              ,11385,No DOF Record as of 08/01/12,    47-03,,,,,,,,,,,,,,,,,
4026110106,GRAND AVENUE,QUEENS,11378,Yes,    47-12,1386.0,22.2,72.5,60,417.32,200000.0,Warehouse (Unrefrigerated),1.0,,,,,,,,,
4026110130,GRAND AVENUE        ,QUEENS              ,11378,No DOF Record as of 08/01/12,    50-00,,,,,,,,,,,,,,,,,
4026110136,GRAND AVENUE,QUEENS,11378,Yes,    51-18,2084.0,44.6,100.5,42,427.77,131000.0,Warehouse (Unrefrigerated),3.0,4439290.0,,,,,,,,
4026110141,GRAND AVENUE,QUEENS,11378,Yes,    52-08,1377.0,53.1,102.7,59,648.16,180000.0,Warehouse (Unrefrigerated),3.0,,7.51,,,,,,,
4026110362,FLUSHING AVENUE,QUEENS,11378,Yes,    52-01,867.0,23.3,25.1,N/A,274.68,158904.0,Warehouse (Unrefrigerated),1.0,4059017.0,,,,,,,,
4026110480,METROPOLITAN AVENUE ,QUEENS              ,11385,No DOF Record as of 08/01/12,    47-05,,,,,,,,,,,,,,,,,
4026220125,  57 STREET         ,QUEENS              ,11378,No DOF Record as of 08/01/12,    58-77,,,,,,,,,,,,,,,,,
4026560064,  54 AVENUE,QUEENS,11377,Yes,    58-75,1321.0,52.0,97.8,38,262.63,75477.0,Warehouse (Unrefrigerated),1.0,4059709.0,5.11,,,,,,,
4026570040,BORDEN AVENUE       ,QUEENS              ,11378,No DOF Record as of 08/01/12,    59-02,,,,,,,,,,,,,,,,,
4026660006,  56 DRIVE,QUEENS,11378,Yes,    58-55,1302.0,132.4,394.8,N/A,733.29,63518.0,Warehouse (Refrigerated),1.0,4805324.0,,,,,,,,
4026660020,  59 STREET,QUEENS,11378,Yes,    58-80,1215.0,,,N/A,,82428.0,Food Service,1.0,4059726.0,,,,,,,,
4026690001,MASPETH AVENUE,QUEENS,11378,Yes,    58-51,2053.0,98.2,328.1,N/A,3504.31,380000.0,Other,1.0,4059744.0,,,,,,,,
4026780001,GRAND AVENUE        ,QUEENS              ,11378,No DOF Record as of 08/01/12,    58-13,,,,,,,,,,,,,,,,,
4026810001,GRAND AVENUE,QUEENS,11378,Yes,    58-30,1454.0,10.8,20.2,N/A,110.95,151500.0,Other,1.0,4059931.0,,,,,,,,
4026810084,  59 STREET         ,QUEENS              ,11378,No DOF Record as of 08/01/12,    58-54,,,,,,,,,,,,,,,,,
4026870021,  55 DRIVE          ,QUEENS              ,11378,No DOF Record as of 08/01/12,    59-40,,,,,,,,,,,,,,,,,
4027990152,  58 ROAD           ,QUEENS              ,11378,No DOF Record as of 08/01/12,    69-95,,,,,,,,,,,,,,,,,
4028020001,GRAND AVENUE        ,QUEENS              ,11378,No DOF Record as of 08/01/12,    72-50,,,,,,,,,,,,,,,,,
4028050010,GRAND AVENUE        ,QUEENS              ,11373,No DOF Record as of 08/01/12,    74-04,,,,,,,,,,,,,,,,,
4028050016,GRAND AVENUE        ,QUEENS              ,11373,No DOF Record as of 08/01/12,    74-16,,,,,,,,,,,,,,,,,
4028570036,QUEENS BOULEVARD    ,QUEENS              ,11373,No DOF Record as of 08/01/12,    90-02,,,,,,,,,,,,,,,,,
4028600016,  58 AVENUE         ,QUEENS              ,11373,No DOF Record as of 08/01/12,    87-28,,,,,,,,,,,,,,,,,
4029740109,DRY HARBOR ROAD     ,QUEENS              ,11379,No DOF Record as of 08/01/12,    61-35,,,,,,,,,,,,,,,,,
4029740130,WOODHAVEN BOULEVARD ,QUEENS              ,11374,No DOF Record as of 08/01/12,    61-80,,,,,,,,,,,,,,,,,
4030840014,QUEENS BOULEVARD    ,QUEENS              ,11374,No DOF Record as of 08/01/12,    97-30,,,,,,,,,,,,,,,,,
4030880001,WOODHAVEN BOULEVARD ,QUEENS              ,11373,No DOF Record as of 08/01/12,    60-05,,,,,,,,,,,,,,,,,
4032190001,BURNS STREET        ,QUEENS              ,11375,No DOF Record as of 08/01/12,    69-02,,,,,,,,,,,,,,,,,
4032340185,AUSTIN STREET,QUEENS,11375,Yes,    70-50,850.0,166.5,408.7,N/A,805.04,62001.0,Other,1.0,4077473.0,,,,,,,,
4033210113,  84 AVENUE         ,QUEENS              ,11418,No DOF Record as of 08/01/12,   117-01,,,,,,,,,,,,,,,,,
4033480037,QUEENS BOULEVARD,QUEENS,11373,Yes,    80-02,2451.0,60.6,171.8,79,2654.32,514975.0,Office,1.0,4312089.0,,,,,,,,
4033580018,QUEENS BOULEVARD,QUEENS,11415,Yes,   120-46,281.0,64.0,91.7,98,186.85,49399.0,Office,1.0,,,,,,,,,
4033750015,METROPOLITAN AVENUE ,QUEENS              ,11385,No DOF Record as of 08/01/12,    47-40,,,,,,,,,,,,,,,,,
4033770014,TROUTMAN STREET     ,QUEENS              ,11385,No DOF Record as of 08/01/12,    19-48,,,,,,,,,,,,,,,,,
4034100145,FLUSHING AVENUE     ,QUEENS              ,11385,No DOF Record as of 08/01/12,    18-19,,,,,,,,,,,,,,,,,
4034100190,FLUSHING AVENUE     ,QUEENS              ,11385,No DOF Record as of 08/01/12,    18-13,,,,,,,,,,,,,,,,,
4035390001,IRVING AVENUE       ,QUEENS              ,11385,No DOF Record as of 08/01/12,    10-19,,,,,,,,,,,,,,,,,
4035400025,COVERT STREET       ,QUEENS              ,11385,No DOF Record as of 08/01/12,    15-40,,,,,,,,,,,,,,,,,
4035410001,IRVING AVENUE       ,QUEENS              ,11385,No DOF Record as of 08/01/12,    10-95,,,,,,,,,,,,,,,,,
4035570004,WYCKOFF AVENUE      ,QUEENS              ,11385,No DOF Record as of 08/01/12,    11-25,,,,,,,,,,,,,,,,,
4036050001,METROPOLITAN AVENUE,QUEENS,11379,Yes,    66-26,2243.0,64.8,216.4,54,849.99,139755.0,Retail,2.0,4443103.0,,,,,,,,
4036080253,TRAFFIC AVENUE      ,QUEENS              ,11385,No DOF Record as of 08/01/12,    65-75,,,,,,,,,,,,,,,,,
4036080290,TRAFFIC AVENUE      ,QUEENS              ,11385,No DOF Record as of 08/01/12,    63-15,,,,,,,,,,,,,,,,,
4036670578,OTTO ROAD,QUEENS,11385,Yes,    66-35,1829.0,69.0,100.3,47,507.7,95000.0,Warehouse (Unrefrigerated),1.0,4089236.0,3.84,,,,,,,
4037030007,68 STREET           ,QUEENS              ,11385,No DOF Record as of 08/01/12,    68-24,,,,,,,,,,,,,,,,,
4037320330,CYPRESS AVENUE      ,QUEENS              ,0,No DOF Record as of 08/01/12,,,,,,,,,,,,,,,,,,
4038030014,COOPER AVENUE       ,QUEENS              ,11385,No DOF Record as of 08/01/12,    78-16,,,,,,,,,,,,,,,,,
4038040091,  80 STREET         ,QUEENS              ,11385,No DOF Record as of 08/01/12,    70-30,,,,,,,,,,,,,,,,,
4038100093,  88 STREET         ,QUEENS              ,11385,No DOF Record as of 08/01/12,    74-10,,,,,,,,,,,,,,,,,
4038100161,  88 STREET         ,QUEENS              ,11385,No DOF Record as of 08/01/12,    75-02,,,,,,,,,,,,,,,,,
4038100375,80 STREET,QUEENS,11385,Yes,    84-00,763.0,122.5,184.4,8,534.72,73000.0,Warehouse (Unrefrigerated),1.0,4092619.0,,,,,,,,
