order,property_id,property_name,bbl_10_digits,nyc_borough_block_and_lot,nyc_building_identification,address_1_self_reported,postal_code,street_number,street_name,borough,dof_gross_floor_area_ft,self_reported_gross_floor,primary_property_type_self,list_of_all_property_use,largest_property_use_type,largest_property_use_type_1,_2nd_largest_property_use,_2nd_largest_property_use_1,year_built,number_of_buildings,occupancy,metered_areas_energy,metered_areas_water,energy_star_score,source_eui_kbtu_ft,weather_normalized_source,site_eui_kbtu_ft,weather_normalized_site_eui,weather_normalized_site,weather_normalized_site_1,district_steam_use_kbtu,natural_gas_use_kbtu,weather_normalized_site_2,electricity_use_grid_purchase,electricity_use_grid_purchase_1,weather_normalized_site_3,total_ghg_emissions_metric,direct_ghg_emissions_metric,indirect_ghg_emissions_metric,water_use_all_water_sources,water_use_intensity_all_water,water_required,generation_date,dof_benchmarking_submission,latitude,longitude,community_board,council_district,census_tract,nta,fuel_oil_2_use_kbtu,_3rd_largest_property_use,_3rd_largest_property_use_1,fuel_oil_4_use_kbtu,parent_property_id,parent_property_name,address_2_self_reported,annual_maximum_demand_kw,annual_maximum_demand_mm,fuel_oil_5_6_use_kbtu,diesel_2_use_kbtu,district_chilled_water_use
522,5887130,"AIMCO 464-466 AMSTERDAM 200-210 WEST 83RD STREET, LLC",1012300001,"Manhattan, 1012300001, 1",,464-466 Amsterdam & 200-210 West 83rd,10024,Not found,Not found,Manhattan,Not found,65763,Multifamily Housing,Multifamily Housing,Multifamily Housing,65763.0,,,1910,1,95,Whole Building,Whole Building,87.0,85.6,94.2,71.0,79.2,1.6,0.7,,4319099.9,48586.0,348297.0,102080.0,102080.0,260.3,229.4,30.9,7414.3,112.74,Not found,2018-03-27T00:00:00.000,Not found,,,,,,,,,,,,,,,,,,
523,5887131,"AIMCO 173 EAST 90TH STREET, LLC",1015190001,"Manhattan, Block 1015190001, Lot 1",,173 East 90th Street,10128,Not found,Not found,Manhattan,Not found,59375,Multifamily Housing,Multifamily Housing,Multifamily Housing,59375.0,,,1910,1,95,Whole Building,Whole Building,77.0,94.9,101.7,88.0,94.8,0.8,,,,,168314.0,49330.0,48599.0,390.2,375.3,14.9,2868721.9,48315.32,Not found,2018-03-27T00:00:00.000,Not found,40.781698,-73.952842,108.0,5.0,14802.0,Upper East Side-Carnegie Hill,5056872.1,,,,,,,,,,,
524,6252079,AIMCO 182-188 Columbus Avenue,1011400030,"Manhattan, Block 001140, Lot 0030",,182-188 Columbus Avenue,10023,Not found,Not found,Manhattan,Not found,25760,Multifamily Housing,Multifamily Housing,Multifamily Housing,25760.0,,,1910,1,95,Whole Building,Whole Building,8.0,159.9,159.9,103.4,103.4,7.2,0.8,,2029300.2,20293.0,633093.3,185549.0,185549.0,163.9,107.8,56.1,2400.3,93.18,Not found,2018-03-27T00:00:00.000,Not found,40.775001,-73.980565,107.0,6.0,153.0,Lincoln Square,,,,,,,,,,,,
525,6252093,Aimco Columbus Avenue,1011210001,"Manhattan, Block 001121, Lot 001",,181-199 Columbus Avenue,10021,Not found,Not found,Manhattan,Not found,39220,Multifamily Housing,Multifamily Housing,Multifamily Housing,39220.0,,,1880,1,95,Whole Building,Whole Building,4.0,176.7,198.5,160.4,181.1,1.2,1.8,,6134000.2,69476.7,156218.4,45785.0,45785.0,339.7,325.8,13.9,5135.8,130.95,Not found,2018-03-27T00:00:00.000,Not found,40.774943,-73.980583,107.0,6.0,153.0,Lincoln Square,,,,,,,,,,,,
526,6252107,AIMCO 118-122 West 23rd Street,1007980054,"Manhattan, Block 00798, Lot 0054",,118-122 West 23rd Street,10011,Not found,Not found,Manhattan,Not found,52630,Multifamily Housing,Multifamily Housing,Multifamily Housing,52630.0,,,1987,1,95,Whole Building,Whole Building,9.0,159.2,161.8,76.0,78.5,11.1,0.4,,2002700.0,21347.3,1998637.0,585766.9,585766.9,283.6,106.4,177.2,2145.3,40.76,Not found,2018-03-27T00:00:00.000,Not found,40.743235,-73.993602,104.0,3.0,91.0,Hudson Yards-Chelsea-Flatiron-Union Square,,,,,,,,,,,,
527,6256858,"1490 Realty, LLC",,,,1490 Ocean Avenue,11230,Not found,Not found,Brooklyn,Not found,42000,Multifamily Housing,Multifamily Housing,Multifamily Housing,42000.0,,,1960,1,100,Whole Building,,95.0,81.4,,70.7,,,0.7,,2827003.9,30047.3,,,,162.9,150.2,,,,Not found,2018-03-27T00:00:00.000,Not found,40.626121,-73.956479,314.0,45.0,762.0,Midwood,,,,,,,,,,,,
528,4407932,981-995 Columbus Avenue,1018440001,1-01844-0001,1055711;1055709;1055735;1055737;1055710;1055736;1055738;1055708,981-995 Columbus Avenue,10025,Not found,Not found,Manhattan,Not found,79340,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,66645.0,Retail Store,12695.0,1900,8,100,Whole Building,Whole Building,,169.8,177.8,119.9,127.6,6.2,1.1,,7848647.0,84567.1,1664761.1,487913.5,488016.1,564.5,416.9,147.6,,,Not found,2018-03-27T00:00:00.000,Not found,40.800684,-73.9618,107.0,7.0,193.0,Morningside Heights,,,,,,,,,,,,
529,4411927,500 West 176th Street,1021320058,1-02132-0058,1063194,500 West 176th Street,10033,Not found,Not found,Manhattan,Not found,56250,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,52502.0,Retail Store,3748.0,1912,1,100,Whole Building,Whole Building,,146.1,150.3,100.6,105.3,6.0,0.0,,238981.8,2389.8,1171192.3,343256.8,338497.8,431.7,327.8,103.8,6104.9,108.53,Not found,2018-03-27T00:00:00.000,Not found,40.844921,-73.93328,112.0,10.0,261.0,Washington Heights South,4246577.2,,,,,,,,,,,
530,4411928,133 West 113th Street,1018230010,1-01823-0010,1055007,133 West 113th Street,10026,Not found,Not found,Manhattan,Not found,57516,Multifamily Housing,"Multifamily Housing, Retail Store",Multifamily Housing,47516.0,Retail Store,10000.0,1904,1,100,Whole Building,Whole Building,,134.4,134.8,102.0,102.2,4.3,0.0,,186176.5,1904.7,843943.8,247345.7,249164.8,443.5,368.7,74.8,6983.7,121.42,Not found,2018-03-27T00:00:00.000,Not found,40.800821,-73.952803,110.0,9.0,216.0,Central Harlem South,4835244.3,,,,,,,,,,,
531,4690322,Matthew Adams 3900 Bailey Avenue,2032630085,2-03263-0085,2016021,3900 Bailey Avenue,10463,Not found,Not found,Bronx,Not found,247530,Multifamily Housing,Multifamily Housing,Multifamily Housing,247530.0,,,1963,1,100,Whole Building,,96.0,77.3,78.0,42.2,42.4,4.7,0.3,,6515056.6,65150.6,3918613.9,1148479.9,1164750.1,693.5,346.0,347.4,,,Not found,2018-03-27T00:00:00.000,Not found,40.885301,-73.8954,208.0,11.0,279.0,Van Cortlandt Village,,,,,,,,,,,,
