borough,block,lot,bin,agency,building,rating,current_source_energy_intensity_kbtu_sq_ft,current_total_ghg_emissions_mtco2e,rating_2,source_energy_intensity_kbtu_sq_ft,total_ghg_emissions_mtco2e,address,city,state,zip,gross_sq_ft,year_built,epapmbenchmarkedas,campus_name
5,2040,1,5107295,College of SI Campus: Engineering Tech.- West,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5005461,College of SI Campus: Gate House,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5107293,College of SI Campus: History / Pol Sci / Econ & Philosophy,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5107301,College of SI Campus: Library / Cyber Café,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5107342,College of SI Campus: Main Gate House,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5130987,College of SI Campus: Marcus Hall - Nursing,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5107302,College of SI Campus: Mathematics Bldg,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5107299,College of SI Campus: North Admin. Bldg,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,2040,1,5131067,College of SI Campus: Physical Therapy,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
5,684,261,5017131,College of SI Campus: President's Residence,CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
1,153,1,1079216,Emigrant Savings Building,DCAS, 92 , 134.8 ,6.1,95,118.8,5.4,96, 109.8 ,5.0,95.0,116.0,5.5,Individual building,
5,2040,1,5107305,"College of SI Campus: Psychology, Sociology, Anthropology, Social Wrk",CUNY, N/A , 313.9 ,10.1, N/A ,302.2,9.5, N/A , 280.2 ,8.7,,315.2,10.0,Part of campus,College of Staten Island Campus
