,propid,boro,community_board,council_district,garden_name,address,size,jurisdiction,neighborhoodname,cross_streets,latitude,longitude,postcode,census_tract,bin,bbl,nta
0,NA,M,M03,2.0,11 BC Serenity Garden,626 East 11th Street,0.054,DPR,East Village,Avenues B & C,40.727124,-73.978677,10009,28.0,1000000,1003930020,Lower East Side                                                            
1,NA,B,B08,36.0,1100 Bergen Street Community Garden,1101 & 1105 Bergen Street,0.207,PRI,Crown Heights,Nostrand & New York Avenues,,,,,,,
2,M382,M,M11,9.0,110th Street Block Association,1651 Madison Avenue,0.043,DPR,East Harlem,Active,40.796295,-73.947533,10029,17402.0,1000000,1016160023,East Harlem South                                                          
3,M331,M,M11,8.0,117th Street Community Garden,172 E 117th Street,0.08,DPR,East Harlem,Active,40.798976,-73.940376,10035,182.0,1089914,1016440046,East Harlem North                                                          
4,NA,M,M03,2.0,11th Street Community Garden,422 East 11th Street,0.054,TPL,East Village,1st Avenue & Avenue A,40.729079,-73.983327,10009,34.0,1000000,1004380019,East Village                                                               
5,NA,X,X12,15.0,211th Street Block Association.,Carlisle Place,0.182,NYRP,,At E. 211th Street,,,,,,,
6,NA,X,X06,15.0,2120 Mapes Avenue HDFC,2124 Mapes Avenue,0.151,TPL,,At E. 181st Street,40.847216,-73.885018,10460,36501.0,2000000,2031110007,East Tremont                                                               
7,B535,B,B05,42.0,400 Montauk Avenue Block Association. (Ismael Vega y Amigos),New Lots Avenue,0.091,DPR,East New York,Active,,,,,,,
8,M313A,M,M03,1.0,5th Street Slope Garden Club,626-27 East 5th Street,0.031,DPR,East Village,Active,40.723433,-73.980995,10009,2601.0,1075625,1003870020,Lower East Side                                                            
9,NA,B,B07,38.0,6/15 Green,274 15th Street,0.287,TPL,Park Slope,corner of 6th Avenue & 15th Street,40.664706,-73.987554,11215,141.0,3000000,3010480034,Park Slope-Gowanus                                                         
10,NA,B,B07,0.0,64th Street Community Garden,64th Street,NA,DOT,Sunset Park,West of 4th Avenue,,,,,,,
11,M313,M,M03,1.0,6BC Botanical Garden,624-628 E 6th Street,0.171,DPR,East Village,Active,40.724036,-73.980569,10009,2601.0,1000000,1003870121,Lower East Side                                                            
12,M293,M,M03,2.0,6th Street & Avenue B Garden,78-92 Avenue B,0.315,DPR,East Village,Active,40.724031,-73.981986,10009,32.0,1000000,1004010039,East Village                                                               
13,B438,B,B16,41.0,700 Decatur Street Block Association,700 Decatur Street,0.114,DPR,Bed-Stuy,Active,40.683541,-73.915121,11233,373.0,3040656,3015060032,Ocean Hill                                                                 
14,X351,X,X03,17.0,811 Family and Friends Association,809 Courtlandt Avenue,0.063,DPR,,Active,40.823065,-73.91645,10451,69.0,2000000,2024180022,Melrose South-Mott Haven North                                             
15,Q495,Q,Q03,21.0,97th Street Block Association,33-28 97th Street,0.177,DPR,Corona,Active,40.756409,-73.87122,11368,375.0,4000000,4017110021,North Corona                                                               
16,M312,M,M03,2.0,9th Street Community Garden & Park,703 East 9th Street,0.39,DPR,East Village,Active,40.725211,-73.977776,10009,28.0,1000000,1003790063,Lower East Side                                                            
17,B507,B,B03,41.0,A Better Community Garden,762-764 Herkimer Place/13-21 Hunterfly,0.044,DPR,Bed-Stuy,Active,,,,,,,
18,X350,X,X03,16.0,A. Badillo Community Rose Garden,924 Melrose Avenue,0.064,DPR,Melrose,Active,40.82513,-73.913329,10451,141.0,2000000,2023840009,Morrisania-Melrose                                                         
19,NA,B,B04,37.0,Aberdeen Street II Garden Projects,Aberdeen Street,0.253,NYRP,,,,,,,,,
20,B533,B,B16,,Abib Newborn,495 Osborn Street,0.249,DPR,East New York,Active,40.659528,-73.906203,11212,920.0,3000000,3036170013,Brownsville                                                                
21,NA,X,X09,18.0,Adlai E. Stevenson High School-Ecological Garden,1980 Lafayette Avenue/Stickball Avenue,NA,DOE,,Lafayette & Stickball Avenue,,,,,,,
22,NA,M,M03,2.0,Alberts Garden,16-18 East 2nd Street,0.07,TPL,East Village,Bowery & 2nd Avenue,40.725347,-73.99132,10003,3602.0,1000000,1004580041,East Village                                                               
23,B439,B,B03,34.0,All People's Church of the Apostolic Faith Community Garden,149 Tompkins Avenue,0.064,DPR,Bed-Stuy,Active,40.694344,-73.946088,11206,25901.0,3000000,3017600001,Bedford                                                                    
24,NA,M,M03,2.0,"All Peoples Garden, Inc.",293-295 East 3rd Street,0.099,TPL,East Village,Avenues C & D,40.721396,-73.979916,10009,2601.0,1000000,1003730059,Lower East Side                                                            
25,B409,B,B06,39.0,Amazing Garden,261-265 Columbia Street,0.103,DPR,Red Hook,Active,40.683251,-74.003548,11231,51.0,3000000,3003480003,Carroll Gardens-Columbia Street-Red Hook                                   
26,B440,B,B16,41.0,Amboy St. Garden,199 Amboy Street,0.391,DPR,,Active,40.665633,-73.913605,11212,902.0,3081400,3035400007,Brownsville                                                                
27,B441,B,B03,36.0,American Heart,122 Hart Street,0.05,DPR,Bed-Stuy,Active,40.693378,-73.946915,11206,261.0,3000000,3017710029,Bedford                                                                    
28,X339,X,X03,16.0,Angie Lee-Gonzalez & Luis Gonzalez Garden,1768 Bryant Avenue,0.131,DPR,,Active,40.83652,-73.885069,10460,161.0,2117995,2029980170,Crotona Park East                                                          
29,NA,X,X05,15.0,Anthony Avenue Garden,2078 Anthony Avenue,0.054,TPL,,E. 180th Street & Burnside Avenue,40.852889,-73.901885,10457,381.0,2000000,2031560055,Mount Hope                                                                 
30,Q470,Q,X01,,Astoria Residents Reclaiming Our World (ARROW),35th St. Bet. 35th & 36th Aves,0.287,DPR,,,,,,,,,
31,B443,B,B05,37.0,Atkins Gardeners,213 Atkins Avenue,0.068,DPR,East New York,Active,40.673772,-73.878795,11208,1194.0,3256563,3040230006,East New York                                                              
32,NA,M,M03,1.0,Auxiliary Services for High Schools @ P.S. 91,198 Forsyth Street,0.051,DOE,Lower East Side,Stanton Street,40.72252,-73.990728,10002,3601.0,1005626,1004220072,Chinatown                                                                  
33,M342,M,M03,2.0,Avenue B Community Garden Association,200 Avenue B,0.05,DPR,East Village,Active,40.728307,-73.978864,10009,34.0,1005220,1004060037,East Village                                                               
34,Q486,Q,Q12,28.0,B.C.C.A. Mini-Park and Garden,150-14 115th Drive,0.092,DPR,,Active,40.683535,-73.792211,11434,272.0,4264367,4121920014,Baisley Park                                                               
35,NA,Q,Q12,,Back To Eden,144-29 Lakewood Avenue,NA,TPL,,At Inwood St,40.689588,-73.803594,11435,196.0,       ,          ,South Jamaica                                                              
36,B410,B,B06,39.0,Backyard Garden,61-73 Hamilton Avenue,0.225,DPR,Red Hook,Active,40.682842,-74.006259,11231,51.0,3000000,3003520010,Carroll Gardens-Columbia Street-Red Hook                                   
37,NA,X,X07,11.0,Bainbridge Avenue Garden,2974-2980 Bainbridge Avenue,0.066,TPL,,E. 201st Street & Bedford Park Boulevard,40.870996,-73.884326,10458,415.0,2016756,2032920084,Bedford Park-Fordham North                                                 
38,NA,X,X06,,Bathgate Garden,1836 Bathgate Avenue,NA,NYRP,,"E 175th & E 176th, just North of Cross Bronx",40.84506,-73.898018,10457,395.0,2000000,2029230012,Claremont-Bathgate                                                         
39,R137A,R,R03,3.0,Bayview Habitat,Bayview Terrace,0.276,DPR,,,,,,,,,
40,NA,Q,Q14,31.0,Beach Channel High School,100-00 Beach Channel Drive,NA,DOE,Far Rockaway,At Beach 100 Street,40.586066,-73.822624,11694,94201.0,4303773,4161670099,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
41,NA,B,B03,41.0,Bed-Stuy Community Garden (Lola Bryant Community Garden),93-95 Malcolm X Avenue,0.073,NYRP,Bed-Stuy,Greene & Lexington Avenues,,,,,,,
42,NA,B,B03,,Bed-Stuy Farm,404 Decatur Street,NA,DPR/PRI,,Btwn Malcolm X & Patchen Avenue,40.682166,-73.927115,11233,381.0,3000000,3016820058,Crown Heights North                                                        
43,NA,X,X06,15.0,Belmont Little Farmers,2483 Belmont Avenue,0.1,TPL,Belmont,E. 189th Street & E. Fordam Rd.,40.856921,-73.884462,10458,389.0,       ,          ,Belmont                                                                    
44,B444,B,B01,34.0,Berry Street Garden,301-303 Berry Street,0.137,DPR,Williamsburg,Active,40.713449,-73.963827,11249,551.0,3000000,3024170004,North Side-South Side                                                      
45,NA,X,X04,,Bettes Rose Garden,Teller Avenue,NA,NYRP,,E 164th & E 165th,,,,,,,
46,B446,B,B05,42.0,Big Red Garden,436 Van Siclen Avenue,0.043,DPR,East New York,Active,40.669128,-73.889416,11207,1160.0,3000000,3040410052,East New York                                                              
47,NA,X,X12,18.0,Bissel Gardens,in Bissel Street,0.08,MTA,,from Barnes to Baychester Avenues,,,,,,,
48,NA,M,M11,,Black Veterans For Social Justice,22 East 119th Street,NA,HRA,East Harlem,5th & Madison Avenues,40.802263,-73.944274,10035,184.0,1076434,1017450005,East Harlem North                                                          
49,Q487,Q,Q12,28.0,Block Association #81,Inwood Street,0.115,DPR,Jamaica,Active,,,,,,,
50,M333,M,M10,7.0,Bradhurst Avenue Tenants Association,Bradhurst Avenue,0.092,DPR,Hamilton Heights,Active,,,,,,,
51,NA,B,B02,,Bridge Plaza Community Garden,Bridge St,NA,NYRP,,Corner of Bridge St & Concord St,,,,,,,
52,NA,B,B02,,Bridge Plaza Court,Bridge Plaza Court,NA,DPR/DOT,,Concord St & Nassau St,,,,,,,
53,M334,M,M03,2.0,Brisas Del Caribe,237 E 3rd Street,0.06,DPR,East Village,Active,40.722296,-73.982048,10009,2601.0,1000000,1003860052,Lower East Side                                                            
54,X246,X,X01,,Brook Park,494 East 141st Street,NA,DPR,,Active,40.809829,-73.918667,10454,39.0,2000000,2022850042,Mott Haven-Port Morris                                                     
55,B421,B,B02,35.0,Brooklyn Bears/Carlton Avenue Garden,397-401 Carlton Avenue,0.14,DPR,Clinton Hill,Active,40.685731,-73.971356,11238,179.0,3000000,3019570023,Fort Greene                                                                
56,NA,B,B02,33.0,Brooklyn Bears/Pacific Street Garden,Flatbush Avenue,NA,TPL,Park Slope,Atlantic Avenue & Pacific Street,,,,,,,
57,B422,B,B02,33.0,Brooklyn Bears/Rockwell Place Garden,65-73 Flatbush Avenue,0.082,DPR,Downtown Brooklyn,Active,40.687133,-73.979674,11217,33.0,       ,          ,Fort Greene                                                                
58,NA,B,B02,35.0,Brooklyn's Finest Garden,48 Lefferts Place,0.057,DPR,,Street James Pl & Grand Avenue,40.681526,-73.961901,11238,201.0,3000000,3020180035,Clinton Hill                                                               
59,X315,X,X02,17.0,Bryant Hill Community Garden,899-999 Bryant Avenue,0.34,DPR,Hunt's Point,Active,40.819878,-73.886951,10474,11502.0,2000000,2027610102,Hunts Point                                                                
60,B447,B,B05,42.0,C.A.U.S.A. Festival Garden,790 Blake Avenue,0.168,DPR,East New York,Active,40.668623,-73.889471,11207,1160.0,3000000,3040570031,East New York                                                              
61,NA,X,X05,14.0,C.E.S. 109 - The Angelo Sanchez Inspirational Garden,1771 Popham Avenue,NA,DOE,,,40.851414,-73.918533,10453,20502.0,2094549,2028770393,University Heights-Morris Heights                                          
62,NA,X,X04,16.0,C.E.S. 126 - Literacy Garden,175 W 166th Street,NA,DOE,,Ogden Avenue & MLK Jr. Boulevard,40.835784,-73.928324,10452,199.0,2003495,2025260083,Highbridge                                                                 
63,NA,X,X03,0.0,C.E.S. 55,450 St. Pauls Place,NA,DOE,Mt. Eden,Park & Washington Avenues,40.836404,-73.905014,10456,14702.0,2009463,2029020001,Claremont-Bathgate                                                         
64,NA,X,X04,16.0,C.E.S. 73,1020 Anderson Avenue,NA,TPL/DOE,,E 164th & E. 165th Streets.,40.832706,-73.926838,10452,189.0,2003051,2025040082,Highbridge                                                                 
65,X340,X,X03,16.0,C.S. 134X - Community Improvement Garden,1313-1311 Bristow Street,0.161,DPR,Morrisania,Active,40.831035,-73.89477,10459,153.0,       ,          ,Crotona Park East                                                          
66,NA,M,M10,9.0,C.S. 154 - Our Children's Garden,250 W 127th Street,0.066,DOE,,Frederick Douglass & Adam Clayton Powell Boulevards,40.810928,-73.948938,10027,224.0,1058671,1019320010,Central Harlem North-Polo Grounds                                          
67,NA,M,M10,9.0,C.S. 46 - Tappan School Garden of Heroes,2987 Frederick Douglass Boulevard,NA,DOE,,At Harlem River Drive,,,,,,,
68,NA,X,X06,15.0,C.S. 57 - Garden of Hope,2111 Crotona Avenue,NA,DOE,,E. 180th & E. 181st Streets.,40.848472,-73.888561,10457,373.0,2012359,2030810026,East Tremont                                                               
69,NA,X,X06,0.0,C.S. 6 - West Farms School Garden,1000 East Tremont Avenue,NA,DOE,Tremont,Vyse & Bryant Avenues,40.840755,-73.881707,10460,359.0,2010892,2030050010,East Tremont                                                               
70,NA,X,X03,15.0,C.S. 61 - The  Francisco Oller School,1550 Crotona  Park East,0.055,DOE,,At Charlotte Street,40.836575,-73.892817,10460,153.0,2009865,2029390045,Crotona Park East                                                          
71,NA,Q,Q13,27.0,Cambria Heights Civic Association,227th Street,0.207,TPL,Cambria Heights,At Linden Boulevard,,,,,,,
72,M359,M,M03,2.0,CAMPOS,640-644 East 12th Street,0.119,DPR,East Village,Active,40.727318,-73.977194,10009,28.0,1000000,1003940029,Lower East Side                                                            
73,M388,M,M11,9.0,Carolina Garden / formerly 116th Street Block Association,122nd Street,0.063,DPR,East Harlem,Active,,,,,,,
74,NA,X,X12,0.0,Carpenter Avenue Community Garden,in East 239th Street,NA,DOT,Wakefield,At Carpenter Avenue,,,,,,,
75,M385,M,M10,9.0,Carrie McCracken Garden/TRUCE,143-145 St. Nicholas Avenue,0.059,DPR,,Active,40.804436,-73.952746,10026,218.0,1000000,1019230020,Central Harlem South                                                       
76,NA,B,B06,30.0,Carroll Street Community Garden (Our Lady of Peace Church or Gil Hodges Garden),534 Carroll Street,0.069,NYRP,,,40.676396,-73.984555,11215,119.0,3000000,3004560014,Park Slope-Gowanus                                                         
77,NA,M,M11,8.0,Carver Community Garden,236-242 East 124th Street,0.275,TPL,East Harlem,2nd & 3rd Avenues,40.802632,-73.935399,10035,194.0,1000000,1017880034,East Harlem North                                                          
78,NA,X,X01,17.0,Cauldwell Youth Garden,551 Cauldwell Avenue,0.119,TPL,Mott Haven,E. 149th Street & Westchester Avenue,40.814133,-73.910779,10455,73.0,2000000,2026230058,Melrose South-Mott Haven North                                             
79,B448,B,B03,36.0,Cedar Tree Garden,305 Greene Avenue,0.177,DPR,,Active,40.687514,-73.958923,11238,233.0,3000000,3019530070,Bedford                                                                    
80,NA,B,B03,41.0,Central Bainbridge Block Association Inc.,277-279 Bainbridge Street,0.112,TPL,Bed-Stuy,Ralph & Patchen Avenues,40.681591,-73.925688,11233,381.0,3047698,3016830091,Crown Heights North                                                        
81,NA,M,M11,9.0,Chenchitas Group Garden,1691-93 Madison Avenue,0.053,HPD,East Harlem,E. 111th & E. 112th Streets.,40.797308,-73.946792,10029,17402.0,1000000,1016170051,East Harlem South                                                          
82,NA,M,M10,9.0,Childrens Aid Soc. Garden (The Sowers),21 West 118th Street,0.057,PRI,,5th & Lenox Avenues,40.802366,-73.94642,10026,190.0,1083962,1017170022,Central Harlem South                                                       
83,B224A,B,B03,41.0,Citizens for a Better Community,127 Patchen Avenue,0.299,DPR,Bed-Stuy,Active,40.687548,-73.926979,11221,385.0,3000000,3016430001,Stuyvesant Heights                                                         
84,NA,M,M02,3.0,City-As-School H.S.,16 Clarkson Street,0.11,DOE,West Village,Hudson & Varick Streets.,40.729412,-74.006148,10014,67.0,1009757,1005810054,West Village                                                               
85,B450,B,B05,37.0,Clara's Garden,573-579 Glenmore Avenue,0.043,DPR,East New York,Active,40.674214,-73.889148,11207,1152.0,3088528,3039790033,East New York                                                              
86,X321,X,X04,16.0,Claremont Neighborhood Garden,1280 Teller Avenue,0.19,DPR,,Active,40.834051,-73.910553,10456,17701.0,2000000,2024310020,East Concourse-Concourse Village                                           
87,NA,B,B03,36.0,Classon/Fulgate Block Association,474 Classon Avenue,0.115,TPL,,Madison & Monroe Streets,40.683943,-73.959033,11238,231.0,3414490,3019840062,Clinton Hill                                                               
88,NA,X,X04,16.0,Clay Avenue Community Garden,1328-1332 Clay Avenue,0.033,NYRP,,E. 169th & E. 170th Streets,40.835309,-73.908936,10456,17702.0,2000000,2028870012,East Concourse-Concourse Village                                           
89,M374,M,M10,9.0,Clayton Williams Garden,303 W 126th Street,0.057,TPL/DPR,,Active,40.810959,-73.950928,10027,215.0,1000000,1019530028,Central Harlem North-Polo Grounds                                          
90,B526,B,B05,37.0,Cleveland Street Vegetable Garden,433-435 Cleveland Street,0.057,DPR,East New York,Active,40.674162,-73.884339,11208,1166.0,3088902,3040010003,East New York                                                              
91,NA,B,B02,35.0,Clifton Place Garden,289 Grand Avenue,0.086,TPL,,Clifton Pl. & Greene Avenue,40.687639,-73.962648,11238,231.0,3000000,3019520003,Clinton Hill                                                               
92,B451,B,B03,36.0,Clifton Place Memorial Park & Garden,1031-35 Bedford Avenue,0.165,DPR,,Active,40.688603,-73.954945,11216,243.0,3000000,3017930009,Bedford                                                                    
93,NA,X,X06,15.0,Clinton Avenue Block Association,757 East 179th Street,0.115,NYRP,,N/W corner of Prospect Avenue & 179th Street,40.845858,-73.888049,10457,371.0,2000000,2030940063,East Tremont                                                               
94,M281,M,M04,3.0,Clinton Community Garden,436 West 48th Street,0.35,DPR,Hell's Kitchen,Active,40.762717,-73.991026,10036,127.0,1000000,1010570050,Clinton                                                                    
95,NA,X,X04,16.0,College Avenue GreenThumb,1420 College Avenue,0.43,DPR,,E. 170th & E. 171st Streets,40.838033,-73.91027,10456,225.0,2000000,2027840004,East Concourse-Concourse Village                                           
96,NA,M,M10,,Colonial Gardeners,304-306 West 150th St,NA,PRI,,Bradhurst Avenue & Frederick Douglass Boulevard,40.826069,-73.939785,10039,259.0,1000000,1020450098,Central Harlem North-Polo Grounds                                          
97,M335,M,M03,1.0,Committee of Poor Peoples of the LES Community Garden,171 Stanton Street,0.058,DPR,Lower East Side,Active,40.72017,-73.984289,10002,2201.0,1000000,1003440148,Lower East Side                                                            
98,B520,B,B04,34.0,Concerned Citizens of Grove Street,72-74 Grove Street,0.11,DPR,Bushwick,Active,40.692238,-73.92181,11221,399.0,3000000,3033220008,Bushwick South                                                             
99,B452,B,B05,37.0,Concerned Residents of Barbey Street,606 Glenmore Avenue,0.057,DPR,,Active,40.674396,-73.887803,11207,1150.0,3000000,3039970010,East New York                                                              
100,B453,B,B05,37.0,Concerned Residents of Montauk Avenue,214 Montauk Avenue,0.091,DPR,East New York,Active,40.673887,-73.87789,11208,1194.0,       ,          ,East New York                                                              
101,NA,M,M08,0.0,Life Sciences High School,320 96th Street NY NY 10128,NA,DOE,Upper East Side,1st & 2nd Avenue,,,,,,,
102,NA,X,X06,15.0,Concerned Tenants of Daly Avenue,2139 Daly Avenue,0.179,TPL,,181st Street & Bronx Parkway South,40.845582,-73.880943,10460,363.0,2000000,2031250035,East Tremont                                                               
103,NA,B,B04,37.0,Contented Hart Garden,1475 Bushwick Avenue,0.057,TPL,Bushwick,Pilling & Granite Streets.,40.683411,-73.907424,11207,403.0,3000000,3034570003,Bushwick South                                                             
104,B454,B,B04,40.0,Cooper Street Block Buster Block Association.,41 Cooper Street,0.16,DPR,Bushwick,Active,40.684528,-73.910541,11207,403.0,3000000,3034320040,Bushwick South                                                             
105,NA,B,B04,37.0,Cooper Street Gardeners,34 Cooper Street,0.078,NYRP,,Bushwick Avenue & Broadway,40.684311,-73.910725,11207,403.0,3000000,3034380024,Bushwick South                                                             
106,Q474A,Q,Q04,21.0,Corona Taxpayers Association,52-02 102nd  Street,0.18,DPR,Corona,Active,40.741788,-73.859801,11368,44301.0,4000000,4019320031,Corona                                                                     
107,X338,X,X01,17.0,Courtlandt Avenue Association,364-366 East 158th Street,0.171,DPR,Melrose,Active,40.822689,-73.91614,10451,69.0,2000000,2024040009,Melrose South-Mott Haven North                                             
108,M315,M,M03,2.0,Creative Little Garden,530 East 6th Street,0.06,DPR,East Village,Active,40.72511,-73.983119,10009,32.0,1000000,1004010025,East Village                                                               
109,NA,X,X05,,Creston Jungle Playground,2242 Creston Avenue,NA,NYRP,,E 182nd & E 183rd,40.856775,-73.901518,10453,23704.0,2000000,2031630005,Fordham South                                                              
110,B455,B,B05,37.0,Crystal Street Block Association Community Garden,Crystal Street,0.344,DPR,East New York,Active,,,,,,,
111,NA,Q,Q14,31.0,Culinary Kids Garde (Seagirt Community Garden),3003 Seagirt Boulevard.,0.138,HPD,Far Rockaway,B30th & B31st,40.595964,-73.763133,11691,992.0,4000000,4158060004,Hammels-Arverne-Edgemere                                                   
112,NA,Q,Q12,27.0,"Curtis ""50 Cent"" Jackson Community Garden",11709 165th Street,0.083,NYRP,,At Foch Boulevard,40.684574,-73.78111,11434,284.0,4000000,4123560021,Baisley Park                                                               
113,NA,B,B02,33.0,David Foulke Community Garden,248-250 Bergen Street,0.073,TPL,Boerum Hill,Bond & Nevins Streets.,40.684364,-73.984438,11217,71.0,3000000,3003870038,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
114,NA,X,X07,14.0,Davidson Avenue Community Garden,2385 Davidson Avenue,0.115,TPL,,W. 184th Street & W. Fordham Rd.,40.861379,-73.903254,10468,253.0,       ,          ,Kingsbridge Heights                                                        
115,M336,M,M03,2.0,De Colores Community Garden,311-313 E 8th Street,0.066,DPR,East Village,Active,40.725296,-73.979821,10009,2602.0,1000000,1003910054,Lower East Side                                                            
116,NA,B,B04,37.0,Decatur Street Community Garden,1052 Decatur Street,0.057,NYRP,,Bushwick & Evergreen Avenues,40.685985,-73.910265,11207,403.0,3000000,3034330014,Bushwick South                                                             
117,X179A,X,X02,17.0,Demera/Santiago Garden,941-943 Avenue St. John,0.126,DPR,,Not GreenThumb,40.815229,-73.902569,10455,83.0,2000000,2026850030,Longwood                                                                   
118,M323,M,M11,8.0,Diamante Garden (Block and School Association),306-310 East 118th Street,0.186,DPR,East Harlem,Active,40.798107,-73.936371,10035,188.0,1000000,1016890047,East Harlem North                                                          
119,M337,M,M03,2.0,Dias y Flores,520-522 East 13th Street,0.119,DPR,East Village,Active,40.729306,-73.979885,10009,34.0,1000000,1004060016,East Village                                                               
120,NA,M,M12,7.0,Dorothy K. McGowan Memorial Garden,513 W 158th Street,0.045,TPL,Washington Heights,Amsterdam Avenue & Broadway,40.833766,-73.942217,10032,245.0,1000000,1021170046,Washington Heights South                                                   
121,M302,M,M11,,Dream Street Park,223 - 231 E. 124 St.,0.252,DPR,,,40.802742,-73.935612,10035,242.0,1000000,1017890011,East Harlem North                                                          
122,X271A,X,X04,16.0,Dred Scott Bird Sanctuary Garden and Park,E 169th Street,0.473,DPR,,Active,,,,,,,
123,NA,X,X06,15.0,Drew Garden - I.S. 167,East Tremont Avenue,NA,DOT,,west of E. 177th Street & BX River,,,,,,,
124,NA,Q,Q12,28.0,Dunton Block and Civic Association. Inc.,Remington Street,0.551,TPL,,At Shore Avenue,,,,,,,
125,NA,M,M12,10.0,Dyckman Valley School - P.S. 152,93 Nagle Avenue,0.09,DOE,,Ellwood & Sicles Streets.,40.860412,-73.927936,10040,283.0,1064149,1021730001,Washington Heights North                                                   
126,M324,M,M03,2.0,Earth People,333-335 East 8th Street,0.106,DPR,East Village,Active,40.725022,-73.979172,10009,2602.0,1000000,1003910043,Lower East Side                                                            
127,NA,M,M03,1.0,Earth School - P.S.64,600 East 6th Street,0.271,DOE,East Village,At Avenue B,40.72438,-73.98138,10009,2601.0,1004627,1003870001,Lower East Side                                                            
128,NA,M,M11,,East 103rd Street Community Garden,105 E 103rd Street,NA,NYRP,,Lexington & Park Avenues,40.790817,-73.948859,10029,166.0,1000000,1016310002,East Harlem South                                                          
129,NA,X,X01,8.0,East 143rd Street Community Garden (Bronx Community & Cultural Garden or North Church Garden),401 E 143rd Street,0.208,NYRP,,At Willis,40.812172,-73.920336,10454,41.0,2000000,2022880001,Mott Haven-Port Morris                                                     
130,B414,B,B06,15.0,East 4th St. Com. Gar.(Windsor Terrace Kensington Veterans Mem.),171 E 4th Street,0.057,DPR,Kensington,Active,40.648198,-73.977358,11218,500.0,       ,          ,Windsor Terrace                                                            
131,NA,B,B05,37.0,East End Community Garden,530-2 Glenmore Avenue / 260 Van Siclen Avenue,0.161,DPR,East New York,At Van Siclen Avenue,,,,,,,
132,NA,M,M11,8.0,East Harlem Community Garden,429-433 East 117th Street,0.142,TPL,East Harlem,1st & Pleasant Avenues,40.796357,-73.934119,10035,178.0,1000000,1017110013,East Harlem North                                                          
133,B458,B,B09,35.0,Eastern Parkway Coalition,"Eastern Pkwy.,W/O Franklin",0.44,DPR,Crown Heights,Active,,,,,,,
134,M319B,M,M09,0.0,Edgecomb Avenue Garden Park Sanctuary,339-341 Edgecomb Avenue,0.112,DPR,,Active,40.826462,-73.941811,10031,231.0,1000000,1020530099,Hamilton Heights                                                           
135,X341,X,X03,17.0,Edith Community Garden (830 Elton Tnts. Assoc.),836 Elton Avenue,0.116,DPR,Melrose,Active,40.8227,-73.912729,10451,141.0,       ,          ,Morrisania-Melrose                                                         
136,M316,M,M10,21.0,Edward P. Bowman Park,52 W 129th Street,0.046,DPR,West Harlem,Active,40.809753,-73.94231,10027,208.0,1000000,1017260064,Central Harlem North-Polo Grounds                                          
137,X313,X,X01,17.0,El Batey Borincano,811-815 Eagle Avenue,0.17,DPR,"
Melrose",Active,40.820573,-73.909101,10456,75.0,2117523,2026180039,Melrose South-Mott Haven North                                             
138,X323,X,X06,15.0,El Batey de Dona Provi,504 East 178th Street,0.13,DPR,,Active,40.847974,-73.896315,10457,395.0,       ,          ,Claremont-Bathgate                                                         
139,NA,M,M11,8.0,El CataÃ±o Garden,169 East 110th Street,0.057,NYRP,East Harlem,3rd & Lexington Avenues,40.794391,-73.9434,10029,172.0,1087779,1016387501,East Harlem South                                                          
140,X339,X,X01,17.0,El Flamboyan,Tinton Avenue,0.402,DPR,,Active,,,,,,,
141,X277,X,X01,17.0,El Girasol,624-638 East 138th Street,0.085,DPR,,Active,40.806094,-73.915774,10454,2701.0,2000000,2025500031,Mott Haven-Port Morris                                                     
142,X277,X,X01,17.0,El Girasol,624-638 East 138th Street,0.085,HPD,,Active,40.806094,-73.915774,10454,2701.0,2000000,2025500031,Mott Haven-Port Morris                                                     
143,M268A,M,M03,2.0,El Jardin del Paraiso,706-718 East 5th Street /311-321 East 4th Street,0.73,DPR,East Village,Active,,,,,,,
144,B424,B,B01,30.0,El Puente: EspÃ­ritu Tierra Community Garden,203-207 South 2nd Street,0.23,DPR,Williamsburg,Active,40.712385,-73.959633,11211,523.0,3393848,3024070032,North Side-South Side                                                      
145,M339,M,M03,2.0,El Sol Brillante Jr.,537 East 12th Street,0.059,DPR,East Village,Active,40.728694,-73.980372,10009,34.0,1000000,1004060046,East Village                                                               
146,M340,M,M10,9.0,Elizabeth Langley Memorial Garden,121-123 West 137th Street,0.11,DPR,Central Harlem,Active,40.815768,-73.940759,10030,228.0,1000000,1020060019,Central Harlem North-Polo Grounds                                          
147,B460,B,B05,42.0,Elton Street Block Association,585 Elton Street,0.097,DPR,East New York,Active,40.668638,-73.882081,11208,1164.0,3000000,3040660002,East New York                                                              
148,NA,B,B05,37.0,Essex Street Community Fulton Street Garden (Fulton Street Community Garden),3030 Fulton Street,0.074,NYRP,East New York,At Essex Street,40.680441,-73.883066,11208,1168.0,3000000,3039560051,East New York                                                              
149,B461,B,B05,0.0,Euclid 500 Block Association.,532 Euclid Avenue,0.181,DPR,East New York,Active,40.673943,-73.871567,11208,1196.0,3095412,3042490079,East New York                                                              
150,NA,B,B05,42.0,Euclid Pine Block Association,,0.071,TPL,East New York,Aldride & Bay Vew,,,,,,,
