,propid,boro,community_board,council_district,garden_name,address,size,jurisdiction,neighborhoodname,cross_streets,latitude,longitude,postcode,census_tract,bin,bbl,nta
281,NA,B,B06,33.0,Lincoln-Berkeley Comm. Garden,20 Lincoln Place,0.064,TPL,Park Slope,between 5th & 6th Street,40.677378,-73.978845,11217,131.0,3000000,3009500016,Park Slope-Gowanus                                                         
282,NA,Q,Q12,27.0,Linden Boulevard Community Garden,178th Street & Linden Boulevard,0.013,NYRP,,At traingle 115th Avenue,,,,,,,
283,NA,B,B04,34.0,Linden-Bushwick Garden,113 Linden Street,0.244,PRI,Bushwick,Broadway & Bushwick Avenues,40.693162,-73.919649,11221,417.0,3076110,3033230060,Bushwick South                                                             
284,NA,M,M11,9.0,Little Blue House,1675 Madison Avenue,0.024,HPD,East Harlem,111 Street,40.796976,-73.947034,10029,17402.0,1000000,1016170122,East Harlem South                                                          
285,M326,M,M03,1.0,Liz Christy Garden,110 E Houston Street,1.09,DPR,Lower East Side,Active,40.723832,-73.991576,10002,3602.0,1000000,1004560001,East Village                                                               
286,NA,Q,Q01,0.0,Long Island City Roots Community Garden,47th Avenue.,NA,MTA,,29th & 30th Streets,,,,,,,
287,M357,M,M03,,Los Amigos,221 East 3rd Street,0.061,DPR,Lower East Side,Active,40.722453,-73.982423,10009,2601.0,1088347,1003860060,Lower East Side                                                            
288,NA,M,M11,8.0,Los Amigos Garden,326 Pleasant Avenue,0.045,NYRP,East Harlem,,40.796043,-73.932422,10035,178.0,1076407,1017160050,East Harlem North                                                          
289,M361,M,M03,2.0,Lower East Side Ecology Center,213 E. 7th Street,0.15,DPR,East Village,Active,40.724508,-73.979851,10009,2602.0,1000000,1003900046,Lower East Side                                                            
290,NA,M,M03,1.0,Lower East Side People Care,25 Rutgers Street,0.046,TPL,Lower East Side,Henry & Madison,40.712962,-73.990026,10002,6.0,1000000,1002710063,Lower East Side                                                            
291,NA,M,M03,0.0,M.S. 131,"100 Hester Street  NY, NY 10002",0.018,DOE,Lower East Side,Forsyth & Eldridge,40.716553,-73.993092,10002,16.0,1082489,1003010003,Chinatown                                                                  
292,NA,X,X11,13.0,M.S. 144,2545 Gunther Avenue,0.459,DOE,,,40.863735,-73.83607,10469,310.0,2053518,2044930001,Allerton-Pelham Gardens                                                    
293,NA,Q,Q09,0.0,M.S. 210 - YMCA Beacon Center Garden,"93-11 101st Street, Ozone Park, NY 11416",NA,DOE,Ozone Park,93rd & 94th streets,,,,,,,
294,NA,B,B08,35.0,M.S. 340,227 Sterling Place,NA,DOE,Prospect Heights,Corner Vanderbuilt & Flatbush Avenue,40.676094,-73.97038,11238,163.0,3029060,3011640057,Prospect Heights                                                           
295,NA,B,B09,41.0,M.S. 391 Mahalia Jackson,790 East New York Avenue,NA,DOE,,,40.662447,-73.936382,11203,876.0,3107129,3048060001,Prospect Lefferts Gardens-Wingate                                          
296,NA,M,N/A,0.0,M.S. 54 - Booker T Washington Garden,103 West 108th Street,NA,DOE,East Harlem,Columbus & Amsterdam Avenue,40.80069,-73.962238,10025,193.0,1056004,1018630026,Morningside Heights                                                        
297,NA,B,B09,40.0,M.S. 61 -  Atwell,400 Empire Boulevard.,NA,DOE,,,40.664007,-73.94922,11225,329.0,3337872,3013160015,Prospect Lefferts Gardens-Wingate                                          
298,B499,B,B03,41.0,Madison Community GreenThumb Garden,894 Madison Street,0.057,DPR,,Active,40.687995,-73.922006,11221,375.0,3000000,3014830027,Stuyvesant Heights                                                         
299,B481,B,B04,37.0,Madison Square Garden,1262-1264 Madison Street,0.165,DPR,,Active,40.694952,-73.913174,11221,435.0,3000000,3033700025,Bushwick North                                                             
300,NA,B,B04,34.0,Madison Street Association,974 Madison Street,0.041,NYRP,,,40.688959,-73.919063,11221,397.0,3000000,3033660023,Bushwick South                                                             
301,B482,B,B03,36.0,Madison Street Block Association,88-90 Madison Street,0.039,DPR,,Active,40.684145,-73.955485,11216,229.0,3000000,3019900014,Clinton Hill                                                               
302,NA,M,M09,7.0,Maggies Garden,564 West 149th Street,0.075,NYRP,Washington Heights,Amsterdam & Broadway,40.828472,-73.947418,10031,233.0,1000000,1020800058,Hamilton Heights                                                           
303,M327,M,M11,8.0,Maggies Garden (formerly Ebenezer Wesleyan Methodist Church Garden),1574 Lexington Avenue,0.057,DPR,East Harlem,Active,40.788624,-73.948933,10029,166.0,1000000,1016280015,East Harlem South                                                          
304,NA,M,M11,8.0,Magic Garden,1665-71 Park Avenue,0.207,HPD,East Harlem,117-118th Street,40.800245,-73.942524,10035,182.0,1000000,1016450003,East Harlem North                                                          
305,NA,Q,Q03,21.0,Malcom X Day Care Center,111-26 Northern Boulevard.,0.046,TPL,,111th ST & 112th ST,40.757942,-73.858287,11368,381.0,4000000,4017260014,North Corona                                                               
306,NA,B,B08,36.0,MaMa Dee's Garden,1397 Bedford Avenue,0.072,TPL,Crown Heights,,40.675251,-73.953404,11216,221.0,3000000,3012250010,Crown Heights North                                                        
307,B483,B,B05,37.0,Manleys Place,2539 Pitkin Avenue,0.28,DPR,East New York,Active,40.674461,-73.878498,11208,1192.0,3000000,3040070040,East New York                                                              
308,NA,X,X09,17.0,Manor Avenue Seniors Garden,1025 Manor Avenue,0.057,TPL,,Bruckner Blvd & Watson,40.824911,-73.875459,10472,5001.0,2023551,2037160057,Soundview-Bruckner                                                         
309,B510,B,B16,41.0,Marcus Garvey Tenants Association,Strauss Street/N/O Pitkin Avenue,0.23,DPR,Brownsville,Active,,,,,,,
310,M297A,M,M10,9.0,Margrichantie Memorial Garden,155-159 W. 133rd Street,0.171,DPR,,Active,40.813563,-73.943564,10030,226.0,1000000,1019180011,Central Harlem North-Polo Grounds                                          
311,NA,X,X10,0.0,Maritime Academy @ P.S. 10,"2770 Lafayette Avenue, Bronx, NY 10465",NA,DOE,Schuylerville,Brinsmade Avenue & Cross Bronx Expressway,,,     ,,2080231,2055470001,                                                                           
312,NA,Q,Q03,21.0,McIntosh Neighborhood Assoc.,S/E/C 100th Street & McIntosh Street,0.127,TPL,,27th Avenue & 25th Avenue,,,,,,,
313,Q493,Q,Q12,28.0,McKinleys Childrens Garden,108-56 Union Hall Street,0.091,DPR,Jamaica,Active,40.695304,-73.791536,11433,254.0,4000000,4101490070,South Jamaica                                                              
314,NA,B,B16,16.0,McLeods Community Garden (formerly Powell Street Block Association - Liberty Ave),130 Liberty Avenue,0.257,NYRP,,Sackman & Powell Streets.,40.673067,-73.905437,11212,908.0,3326764,3036940016,Brownsville                                                                
315,NA,X,X01,17.0,Members Group (Dalia Group Garden),724 Courtlandt Avenue,0.057,NYRP,Melrose,E 156th & E 157th,40.820733,-73.917663,10451,69.0,2001728,2024020004,Melrose South-Mott Haven North                                             
316,NA,Q,Q12,27.0,"Merrick-Marsden Neighbors Association., Inc.",11818-11820 Merrick Boulevard.,0.046,TPL,,119th Avenue,,,,,,,
317,M105A,M,M02,3.0,Mfinda Kalunga Garden,Rivington Street Crossover (in Sarah Roosevelt Park),NA,DPR,East Village,Active,,,,,,,
318,NA,X,X02,18.0,Mildred T. Rhodebeck Garden (Garden of Eden),927 Faile Street,0.193,NYRP,,N/W corner of Bruckner Boulevard & Faile Street,40.821522,-73.889293,10459,119.0,2125430,2027460053,Hunts Point                                                                
319,X329,X,X06,15.0,Miracle Garden - Bronx,Marmion Avenue,0.11,DPR,,Active,,,,,,,
320,M314,M,M03,1.0,Miracle Garden - Manhattan,194-196 East 3rd Street,0.12,DPR,East Village,Active,40.722917,-73.983563,10009,3002.0,1000000,1003980027,East Village                                                               
321,NA,M,M09,7.0,Mo Pals,545 West 147th Street,0.039,TPL,Hamilton Heights,Amsterdam & Broadway,40.827075,-73.947928,10031,233.0,1000000,1020790011,Hamilton Heights                                                           
322,M347,M,M07,8.0,Mobilization For Change Community Garden,955 Columbus Avenue,0.043,DPR,Upper West Side,Active,40.799757,-73.962476,10025,193.0,1000000,1018420061,Morningside Heights                                                        
