record_number,nyc_borough_block_and_lot_bbl,co_reported_bbl_status,bbls_co_reported,reported_nyc_building_identification_numbers_bins,street_number,street_name,borough,zip_code,bbl_on_the_covered_buildings_list,dof_benchmarking_submission_status,site_eui_kbtu_ft2,weather_normalized_site_eui_kbtu_ft2,source_eui_kbtu_ft2,weather_normalized_source_eui_kbtu_ft2,municipally_supplied_potable_water_indoor_intensity_gal_ft,automatic_water_benchmarking_eligible,reported_water_method,energy_star_score,total_ghg_emissions_mtco2e,direct_ghg_emissions_mtco2e,indirect_ghg_emissions_mtco2e,reported_property_floor_area_building_s_ft,dof_property_floor_area_buildngs_and_parking_ft2,primary_property_type_self_selected,dof_number_of_buildings,latitude,longitude,community_board,council_district,census_tract,bin,nta
2379772.0,1007570054,,,1013553;1084790,330,WEST   34 STREET    ,MANHATTAN,10001.0,Yes,In Compliance ,46.2,44.6,83,81.4,7.11,No,Manual,99,2293.2,1394.2,899.1,634915,646464,Office,1,40.752619,-73.99450300000001,4.0,3.0,103.0,1013553.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
2381188.0,1012720066,,,1035058,48,WEST   57 STREET    ,MANHATTAN,10019.0,Yes,In Compliance ,100.5,96.9,219.5,215.1,66.93,No,Manual,77,540.4,106.2,434.2,75077,73732,Office,1,40.763616999999996,-73.975543,5.0,4.0,11201.0,1035058.0,Midtown-Midtown South                                                      
2381312.0,1012950040,,,1036149,630,   3 AVENUE         ,MANHATTAN,10017.0,Yes,In Compliance ,61.5,59.6,169.7,167.3,13.87,No,Manual,83,1140.5,0,1140.5,232673,210777,Office,1,40.749798,-73.975165,6.0,4.0,80.0,1036149.0,Murray Hill-Kips Bay                                                       
2382101.0,1014400049,,,1044734,1256,   2 AVENUE         ,MANHATTAN,10065.0,Yes,In Compliance ,250.3,248.3,582.7,580.9,19.19,No,Manual,Not Available,4533.5,0,4533.5,238341,239235,Urgent Care/Clinic/Other Outpatient,1,40.764843,-73.96124300000001,8.0,5.0,118.0,1044734.0,Lenox Hill-Roosevelt Island                                                
2382145.0,1014620005,Secondary,1-01462-00001;1-01462-0005,0,1275,YORK AVENUE         ,MANHATTAN,10065.0,Yes,In Compliance ,,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,See Primary BBL,538454,See Primary BBL,3,40.764199,-73.95569499999999,8.0,5.0,116.0,1087284.0,Lenox Hill-Roosevelt Island                                                
2382145.0,1014620001,Primary,1-01462-00001;1-01462-0005,1087284;1045572,1250,   1 AVENUE         ,MANHATTAN,10065.0,Yes,In Compliance ,310.7,311,626.9,627.9,Not Available,Yes,None,Not Available,31496.6,0,31496.6,1382117,183626,Other - Specialty Hospital,1,40.764817,-73.958168,8.0,5.0,116.0,1045572.0,Lenox Hill-Roosevelt Island                                                
2383135.0,1009090001,,,1019888,407,   3 AVENUE         ,MANHATTAN,10016.0,Yes,In Compliance ,153.6,153.6,267.1,267.1,Not Available,No,None,1,2334.9,1320.5,1014.5,241489,253489,Multifamily Housing,1,40.742346999999995,-73.980574,6.0,2.0,66.0,1019888.0,Murray Hill-Kips Bay                                                       
2383139.0,1008667501,,,1017178,11,EAST   36 STREET    ,MANHATTAN,10016.0,Yes,In Compliance ,119.8,118.6,255.1,253.3,Not Available,Yes,None,1,623.3,233.7,389.6,75943,85194,Multifamily Housing,1,40.749417,-73.982867,5.0,4.0,82.0,1017178.0,Murray Hill-Kips Bay                                                       
2383143.0,3002530057,,,3002201,68,REMSEN STREET       ,BROOKLYN            ,11201.0,Yes,In Compliance ,25.2,Not Available,55.4,Not Available,Not Available,Yes,None,100,139.7,55.8,83.8,72050,66500,Multifamily Housing,1,40.694419,-73.995716,2.0,33.0,501.0,3002201.0,Brooklyn Heights-Cobble Hill                                               
2383146.0,1008667502,,,1017185,30,EAST   37 STREET    ,MANHATTAN,10016.0,Yes,In Compliance ,53.6,51.5,96.5,94.3,Not Available,No,None,88,381.9,228.8,153.1,92697,92697,Multifamily Housing,1,40.749505,-73.981211,6.0,4.0,82.0,1017185.0,Murray Hill-Kips Bay                                                       
2383152.0,1008750047,,,1017928,230,   3 AVENUE         ,MANHATTAN,10003.0,Yes,In Compliance ,2002.4,1907.5,2449.4,2335.3,Not Available,No,None,Not Available,21156.6,21,21135.6,158750,170000,Multifamily Housing,1,40.736605,-73.98478,6.0,2.0,50.0,1017928.0,Gramercy                                                                   
2383250.0,1015290045,,,1048721,200,EAST   84 STREET    ,MANHATTAN,10028.0,Yes,In Compliance ,84.7,83.3,140.7,139.7,Not Available,Yes,None,39,740,456.2,283.8,137469,130234,Multifamily Housing,1,40.777357,-73.954614,8.0,5.0,138.0,1048721.0,Yorkville                                                                  
2383263.0,1006030037,,,1010405,644,GREENWICH STREET    ,MANHATTAN,10014.0,Yes,In Compliance ,62.3,Not Available,115,Not Available,Not Available,Yes,None,45,366.1,186.7,179.3,91170,81040,Multifamily Housing,1,40.731398999999996,-74.007927,2.0,3.0,69.0,1010405.0,West Village                                                               
2383271.0,1013667501,,,1040356,415,EAST   54 STREET    ,MANHATTAN,10022.0,Yes,In Compliance ,85.3,Not Available,214.9,Not Available,Not Available,Yes,None,1,1211.8,259.5,952.2,191569,184782,Multifamily Housing,1,40.756157,-73.963761,6.0,4.0,10601.0,1040356.0,Turtle Bay-East Midtown                                                    
2383290.0,1005550028,,,1008962,30,   3 AVENUE         ,MANHATTAN,10003.0,Yes,In Compliance ,72.3,67.8,91.9,87.3,48.88,Yes,ABS,94,1406.8,1219.8,187,255037,261940,Multifamily Housing,1,40.730263,-73.98938100000001,3.0,2.0,42.0,1008962.0,East Village                                                               
2383297.0,1013630008,,,1040136,425,EAST   51 STREET    ,MANHATTAN,10022.0,Yes,In Compliance ,45.7,Not Available,68.7,Not Available,Not Available,Yes,None,100,280.5,209.1,71.4,81862,73676,Multifamily Housing,1,40.754145,-73.964823,6.0,4.0,8603.0,1040136.0,Turtle Bay-East Midtown                                                    
2383312.0,1014690028,,,1045901,1401,YORK AVENUE         ,MANHATTAN,10021.0,Yes,In Compliance ,111.3,111.1,156.1,155.6,50.55,Yes,ABS,Not Available,1204.9,960.2,244.7,144021,136820,Multifamily Housing,1,40.768522999999995,-73.952541,8.0,5.0,132.0,1045901.0,Lenox Hill-Roosevelt Island                                                
2383336.0,1006047501,,,1010422,130,BARROW STREET       ,MANHATTAN,10014.0,Yes,In Compliance ,99.1,94.1,145.9,140.7,Not Available,No,None,29,603.4,432.5,170.9,102932,88227,Multifamily Housing,1,40.731926,-74.009277,2.0,3.0,69.0,1010422.0,West Village                                                               
2383341.0,1013690002,,,1040536,411,EAST   57 STREET    ,MANHATTAN,10022.0,Yes,In Compliance ,78.1,75.5,142.1,139,Not Available,No,None,38,699.4,8.2,691.3,125264,118305,Multifamily Housing,1,40.758108,-73.96242,6.0,5.0,10601.0,1040536.0,Turtle Bay-East Midtown                                                    
2383823.0,1013230015,,,1038229,235,EAST   49 STREET    ,MANHATTAN,10017.0,Yes,In Compliance ,34.4,Not Available,60.2,Not Available,18.72,Yes,ABS,98,318.5,199.4,119.1,120000,73800,Multifamily Housing,1,40.75483,-73.970334,6.0,4.0,98.0,1038229.0,Turtle Bay-East Midtown                                                    
2383832.0,1012340007,,,1033196,257,WEST   86 STREET    ,MANHATTAN,10024.0,Yes,In Compliance ,69.1,Not Available,99.6,Not Available,Not Available,No,None,79,356.5,276.9,79.6,68821,67142,Multifamily Housing,1,40.788559,-73.977065,7.0,6.0,175.0,1033196.0,Upper West Side                                                            
2383841.0,1013870001,,,1041450,910,   5 AVENUE         ,MANHATTAN,10021.0,Yes,In Compliance ,69.8,67.1,129.6,126.3,Not Available,No,None,43,769,5.6,763.3,153350,163600,Multifamily Housing,1,40.772415,-73.966525,8.0,4.0,130.0,1041450.0,Upper East Side-Carnegie Hill                                              
2383844.0,1014950004,,,1046778,1025,   5 AVENUE         ,MANHATTAN,10028.0,Yes,In Compliance ,99.3,95,164,158.8,Not Available,No,None,19,2036.1,25.9,2010.2,292750,312550,Multifamily Housing,1,40.77995,-73.96155999999999,8.0,4.0,142.0,1046778.0,Upper East Side-Carnegie Hill                                              
2383852.0,1015040031,,,1047074,1160,PARK AVENUE         ,MANHATTAN,10128.0,Yes,In Compliance ,37.4,Not Available,56.4,Not Available,Not Available,No,None,Not Available,1014.1,754.8,259.3,357272,181136,Medical Office,1,40.784254,-73.954797,8.0,4.0,16001.0,1047074.0,Upper East Side-Carnegie Hill                                              
2383854.0,1009207501,,,1076162,250,EAST   40 STREET    ,MANHATTAN,10016.0,Yes,In Compliance ,85.0,82.8,163.3,160.4,Not Available,No,None,Not Available,1521.5,90.6,1430.9,250000,476739,Multifamily Housing,1,40.748709999999996,-73.973567,6.0,4.0,88.0,1076162.0,Turtle Bay-East Midtown                                                    
2383861.0,1013227501,,,1038044,249,EAST   48 STREET    ,MANHATTAN,10017.0,Yes,In Compliance ,258.7,258.7,310.5,310.8,Not Available,No,None,1,2517.6,2245.4,272.2,176129,183000,Multifamily Housing,1,40.754111,-73.97056500000001,6.0,4.0,90.0,1038044.0,Turtle Bay-East Midtown                                                    
2383888.0,1013207504,,,1071719,225,EAST   46 STREET    ,MANHATTAN,10017.0,Yes,In Compliance ,59.1,Not Available,99.3,Not Available,Not Available,No,None,94,382.9,251.6,131.4,85245,88745,Multifamily Housing,1,40.753025,-73.971862,6.0,4.0,90.0,1071719.0,Turtle Bay-East Midtown                                                    
2383906.0,1013690007,,,1040537,419,EAST   57 STREET    ,MANHATTAN,10022.0,Yes,In Compliance ,68.3,Not Available,96.9,Not Available,Not Available,No,None,74,712.1,564.2,147.9,136655,128114,Multifamily Housing,1,40.758053000000004,-73.962294,6.0,5.0,10601.0,1040537.0,Turtle Bay-East Midtown                                                    
2383927.0,1011257502,,,1087511,27,WEST   72 STREET    ,MANHATTAN,10023.0,Yes,In Compliance ,79.7,Not Available,144.4,Not Available,Not Available,No,None,30,1321.8,697,624.7,259240,259240,Multifamily Housing,1,40.776988,-73.977766,7.0,6.0,157.0,1087511.0,Lincoln Square                                                             
2383935.0,1013037501,,,1036233,145,EAST   48 STREET    ,MANHATTAN,10017.0,Yes,In Compliance ,11619.8,11614.9,12297.8,12291.9,Not Available,No,None,1,105756.1,104228.2,1527.9,170711,210781,Multifamily Housing,1,40.755041999999996,-73.972774,6.0,4.0,92.0,1036233.0,Turtle Bay-East Midtown                                                    
2383947.0,1012737501,,,1035078,58,WEST   58 STREET    ,MANHATTAN,10019.0,Yes,In Compliance ,148.9,144.7,241.7,237.1,Not Available,No,None,1,2132.8,10.1,2122.7,204841,251073,Multifamily Housing,2,40.764493,-73.97551,5.0,4.0,11201.0,1035078.0,Midtown-Midtown South                                                      
2558329.0,1008650014,,,1017122,200,MADISON AVENUE      ,MANHATTAN,10016.0,Yes,In Compliance ,80.7,77.3,208.5,203.4,Not Available,No,None,73,4160,0,4160,659245,571618,Office,1,40.748528,-73.982413,5.0,4.0,82.0,1017122.0,Murray Hill-Kips Bay                                                       
2383961.0,1013390012,,,1038901,333,EAST   46 STREET    ,MANHATTAN,10017.0,Yes,In Compliance ,99.6,Not Available,137.3,Not Available,Not Available,No,None,49,930.8,720.7,210.1,161700,154000,Multifamily Housing,1,40.752010999999996,-73.969462,6.0,4.0,90.0,1038901.0,Turtle Bay-East Midtown                                                    
2383967.0,1013657501,,,1040162,966,   1 AVENUE         ,MANHATTAN,10022.0,Yes,In Compliance ,261.2,Not Available,339.2,Not Available,54,Yes,ABS,1,3107.8,2566.7,541.1,209706,226011,Multifamily Housing,1,40.755846999999996,-73.96470699999999,6.0,4.0,8603.0,1040162.0,Turtle Bay-East Midtown                                                    
2383984.0,1014957501,,,1046802,1114,MADISON AVENUE      ,MANHATTAN,10028.0,Yes,In Compliance ,35.0,35.2,97.8,98.3,Not Available,No,None,91,254.8,29,225.8,93252,93252,Multifamily Housing,1,40.779006,-73.960177,8.0,4.0,142.0,1046802.0,Upper East Side-Carnegie Hill                                              
2383987.0,1013740069,,,1040765,785,   5 AVENUE         ,MANHATTAN,10022.0,Yes,In Compliance ,71.4,68.3,146.4,142.7,Not Available,No,None,17,969,3.9,965.1,184489,174779,Multifamily Housing,1,40.764627000000004,-73.97274499999999,8.0,4.0,11401.0,1040765.0,Upper East Side-Carnegie Hill                                              
