bbl,street_number,street_name,borough,zip,benchmarking_submission,entry_number,site_eui_kbtu_ft2,weather_normalized_source_eui_kbtu_ft2,indoor_water_intensity_all_water_sources_gal_ft2,reported_water_method,energy_star_score,total_ghg_emissions_mtco2e,property_floor_area_buildngs_and_parking_ft2,primary_property_type_self_selected,number_of_buildings,reported_bins,latitude,longitude,community_board,community_council,census_tract,nta
1000167507,300.0,RECTOR PLACE,MANHATTAN,10280,Yes,2972.0,56.6,111.5,,Manual,,636.36,163863.0,Multifamily Housing,1,1065321,40.709097,-74.017104,1.0,1.0,31704.0,Battery Park City-Lower Manhattan                                          
1000167508,200.0,RECTOR PLACE,MANHATTAN,10280,Yes,1645.0,91.6,169.2,,Manual,,3695.74,517639.0,Multifamily Housing,1,1065475,40.708809,-74.016116,1.0,1.0,31704.0,Battery Park City-Lower Manhattan                                          
1000167509,21.0,SOUTH END AVENUE,MANHATTAN,10280,Yes,1628.0,160.0,406.0,,Manual,,3156.26,225262.0,Multifamily Housing,1,1075698,40.708114,-74.01763000000001,1.0,1.0,31704.0,Battery Park City-Lower Manhattan                                          
1000167510,99.0,BATTERY PLACE,MANHATTAN,10280,Yes,1641.0,66.9,117.5,,Manual,,1415.25,296200.0,Multifamily Housing,1,1080815,40.707977,-74.016729,1.0,1.0,31704.0,Battery Park City-Lower Manhattan                                          
1000167511,2.0,SOUTH END AVENUE,MANHATTAN,10280,Yes,1677.0,101.8,198.8,,Manual,,1041.97,149637.0,Multifamily Housing,1,1082813,40.708037,-74.017656,1.0,1.0,31704.0,Battery Park City-Lower Manhattan                                          
1000167512,102.0,NORTH END AVENUE,MANHATTAN,10282,Yes,3516.0,146.8,326.8,46.42,Manual,,6098.14,569349.0,Hotel,1,1085867,40.714812,-74.016153,1.0,1.0,31703.0,Battery Park City-Lower Manhattan                                          
1000167513,10.0,LITTLE WEST STREET,MANHATTAN,10280,Yes,12162.0,48.2,161.0,,Manual,60,2307.29,509831.0,Hotel,1,1085789,40.705551,-74.0171,1.0,1.0,31704.0,Battery Park City-Lower Manhattan                                          
1000167514,30.0,LITTLE WEST STREET,MANHATTAN,10280,Yes,11876.0,109.6,279.8,,Manual,,4019.89,456414.0,Multifamily Housing,1,1087238,40.706171000000005,-74.016862,1.0,1.0,31704.0,Battery Park City-Lower Manhattan                                          
1000167515,225.0,RECTOR PLACE,MANHATTAN,10280,Yes,10032.0,70.3,121.5,,Manual,,1747.31,297200.0,Multifamily Housing,1,1000053,40.709270000000004,-74.016487,1.0,1.0,31704.0,Battery Park City-Lower Manhattan                                          
1000167517,70.0,BATTERY PLACE,MANHATTAN,10280,Yes,201.0,97.5,144.6,,Manual,,2651.19,457771.0,Multifamily Housing,1,1087842,40.707046999999996,-74.017439,1.0,1.0,31704.0,Battery Park City-Lower Manhattan                                          
1000167518,333.0,RECTOR PLACE,MANHATTAN,10280,Yes,1663.0,67.3,116.0,,Manual,,1198.53,212908.0,Multifamily Housing,0,1000055,40.709447999999995,-74.017252,1.0,1.0,31704.0,Battery Park City-Lower Manhattan                                          
4033290054,,METROPOLITAN AVENUE,QUEENS,11415,Yes,7566.0,74.3,111.7,36.19,ABS,,240.03,54300.0,Multifamily Housing,1,4079513,,,,,,
