record_number,nyc_borough_block_and_lot_bbl,co_reported_bbl_status,bbls_co_reported,reported_nyc_building_identificaiton_numbers_bins,street_number,street_name,borough,zip_code,dof_benchmarking_submission_status,site_eui_kbtu_ft2,weather_normalized_site_eui_kbtu_ft2,source_eui_kbtu_ft2,weather_normalized_source_eui_kbtu_ft2,municipally_supplied_potable_water_indoor_intensity_gal_ft,automatic_water_benchmarking_eligible,reported_water_method,energy_star_score,total_ghg_emissions_mtco2e,direct_ghg_emissions_mtco2e,indirect_ghg_emissions_mtco2e,reported_property_floor_area_building_s_ft,dof_property_floor_area_buildngs_and_parking_ft2,primary_property_type_self_selected,dof_number_of_buildings,latitude,longitude,community_board,community_council,census_tract,bin,nta
123,1000477501.0,,1000477501,1001026,120,BROADWAY,Manhattan,10005.0,Filed,74.1,73.6,188.5,187.3,10.97,No,Manual,83,11776.2,70.7,11705.5,1910503,1736513.0,Office,1.0,40.708546000000005,-74.011041,1.0,1.0,7.0,1001026.0,Battery Park City-Lower Manhattan                                          
124,1000480001.0,,1000480001,1001027,140,BROADWAY,Manhattan,10005.0,Filed,134.8,133,272.4,270.2,18.46,No,Manual,68,14577.1,0,14577.1,,1141266.0,Office,1.0,40.709043,-74.010626,1.0,1.0,7.0,1001027.0,Battery Park City-Lower Manhattan                                          
14383,4026020170.0,,,,56-72,49 STREET,Queens,11378.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,84000.0,,1.0,,,,,,,
125,1000490002.0,,1000490002,1001029,111,BROADWAY,Manhattan,10006.0,Filed,45.7,45.4,143.4,142.6,Not Available,No,None,90,1672,0,1672,450000,432093.0,Office,1.0,40.708486,-74.011113,1.0,1.0,13.0,1001029.0,Battery Park City-Lower Manhattan                                          
126,1000500001.0,,1000500001,1001030,115,BROADWAY,Manhattan,10006.0,Filed,63,63.4,129.2,129.7,Not Available,No,None,94,4304.3,0,4304.3,800000,396607.0,Office,1.0,40.708631,-74.010997,1.0,1.0,13.0,1001030.0,Battery Park City-Lower Manhattan                                          
127,1000510001.0,,1-00051-0001,1001031,2,RECTOR STREET       ,Manhattan,10006.0,Filed,62,62.8,139.4,140.2,Not Available,,None,92,2580.1,0,2580.1,491400,400294.0,Office,1.0,40.707808,-74.013053,1.0,1.0,13.0,1001031.0,Battery Park City-Lower Manhattan                                          
128,1000510007.0,,1-00051-0007,1001032,68,TRINITY PLACE,Manhattan,10006.0,Filed,116.4,118.2,214.3,216.4,Not Available,No,None,Not Available,537.9,9.4,528.5,54273,63271.0,Office,1.0,40.708258,-74.012649,1.0,1.0,13.0,1001032.0,Battery Park City-Lower Manhattan                                          
129,1000510013.0,,1-00051-0013,1001033,78,TRINITY PLACE,Manhattan,10006.0,Filed,2627.3,Not Available,3176.3,Not Available,Not Available,No,None,1,38966.5,0,38966.5,167555,181725.0,Office,1.0,40.708472,-74.012505,1.0,1.0,13.0,1001033.0,Battery Park City-Lower Manhattan                                          
130,1000510017.0,,1-00051-0017,1001036,74,TRINITY PLACE,Manhattan,10006.0,Filed,113.5,116,211.4,216.1,Not Available,No,None,50,2009.7,0,2009.7,205662,182835.0,Office,1.0,40.708387,-74.012563,1.0,1.0,13.0,1001036.0,Battery Park City-Lower Manhattan                                          
131,1000520021.0,,1-00052-0021,1001040,120,LIBERTY STREET,Manhattan,10006.0,Filed,92.6,92.9,132.3,132.7,21.46,Yes,ABS,Not Available,410.3,324.4,85.9,57945,57945.0,Multifamily Housing,1.0,40.71002,-74.012408,1.0,1.0,13.0,1001040.0,Battery Park City-Lower Manhattan                                          
132,1000527502.0,,1-00052-7502,1001041,114,LIBERTY STREET,Manhattan,10006.0,Filed,45,44.9,140.2,140.1,Not Available,No,None,Not Available,236,1.6,234.4,64718,74409.0,Multifamily Housing,1.0,40.709938,-74.012235,1.0,1.0,13.0,1001041.0,Battery Park City-Lower Manhattan                                          
134,1000537501.0,,1-00053-7501,1001050,120,GREENWICH STREET,Manhattan,10006.0,Filed,74.1,Not Available,121.8,Not Available,Not Available,No,None,Not Available,369.4,251.6,117.8,65809,66872.0,Multifamily Housing,1.0,40.709089,-74.013118,1.0,1.0,13.0,1001050.0,Battery Park City-Lower Manhattan                                          
135,1000550014.0,,1-00055-0014,1001060,71,WEST STREET,Manhattan,10006.0,Filed,51.9,52.2,85,85.4,53.54,Yes,None,Not Available,793.1,495.3,297.8,250471,258071.0,Multifamily Housing,1.0,40.709037,-74.015109,1.0,1.0,13.0,1001060.0,Battery Park City-Lower Manhattan                                          
136,1000550016.0,,1-00055-0016,1001061,80,WEST STREET,Manhattan,10006.0,Filed,306.1,306.1,435.7,435.7,118.68,No,Manual,1,7333.7,2247.7,5086,329999,420322.0,Hotel,1.0,40.709468,-74.014933,1.0,1.0,13.0,1001061.0,Battery Park City-Lower Manhattan                                          
138,1000560004.0,,1-00056-0004,1001064,90,WEST STREET,Manhattan,10006.0,Filed,52.3,52.3,146.9,147,70.02,No,Manual,Not Available,1294.8,141.4,1153.4,322010,357001.0,Multifamily Housing,1.0,40.710009,-74.01476,1.0,1.0,13.0,1001064.0,Battery Park City-Lower Manhattan                                          
