record_number,nyc_borough_block_and_lot_bbl,co_reported_bbl_status,bbls_co_reported,reported_nyc_building_identificaiton_numbers_bins,street_number,street_name,borough,zip_code,dof_benchmarking_submission_status,site_eui_kbtu_ft2,weather_normalized_site_eui_kbtu_ft2,source_eui_kbtu_ft2,weather_normalized_source_eui_kbtu_ft2,municipally_supplied_potable_water_indoor_intensity_gal_ft,automatic_water_benchmarking_eligible,reported_water_method,energy_star_score,total_ghg_emissions_mtco2e,direct_ghg_emissions_mtco2e,indirect_ghg_emissions_mtco2e,reported_property_floor_area_building_s_ft,dof_property_floor_area_buildngs_and_parking_ft2,primary_property_type_self_selected,dof_number_of_buildings,latitude,longitude,community_board,community_council,census_tract,bin,nta
695,1005760046.0,,1005760046,1009620,60,5 AVENUE,Manhattan,10011.0,Filed,529.2,525.3,701.9,698,Not Available,No,None,2,3771.3,3056.8,714.5,125445,113500.0,Office,1.0,40.734773,-73.994523,2.0,3.0,63.0,1009620.0,West Village                                                               
524,1005160026.0,,1-00516-0026,1008028,474,WEST BROADWAY,Manhattan,10012.0,Filed,42,41.7,60.1,59.8,Not Available,No,None,Not Available,152.8,113.8,39,62486,51925.0,Multifamily Housing,1.0,40.726492,-74.000303,2.0,1.0,49.0,1008028.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
525,1005190070.0,,1005190070,1008117,180,VARICK STREET,Manhattan,10014.0,Filed,63.2,Not Available,162.1,Not Available,Not Available,Yes,None,84,1847.3,459.6,1387.7,370000,329116.0,Office,1.0,40.72748,-74.00548,2.0,3.0,37.0,1008117.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
15165,1014590022.0,,1014590022,1078403;1078404,,,Manhattan,,Not on Covered Buildings List,465,Not Available,491.8,Not Available,Not Available,,None,Not Available,3468.2,3385,83.2,98964,,Multifamily Housing,,,,,,,,
526,1005200001.0,,1005200001,1008118,200,VARICK STREET,Manhattan,10014.0,Filed,97,Not Available,223.7,Not Available,Not Available,No,Manual,71,3171.1,1154.2,2016.9,420972,436629.0,Office,1.0,40.728347,-74.00534300000001,2.0,3.0,37.0,1008118.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
531,1005220008.0,,1005220008,1008211,628,BROADWAY,Manhattan,10012.0,Filed,1456.1,Not Available,1623.1,Not Available,Not Available,No,None,1,6925.1,6602,323.1,88160,66500.0,Office,1.0,40.726085999999995,-73.996205,2.0,1.0,5502.0,1008211.0,West Village                                                               
532,1005220010.0,,1005220010,1008212,632,BROADWAY,Manhattan,10012.0,Filed,119.7,Not Available,263.6,Not Available,Not Available,No,None,38,1149.1,398.7,750.4,139780,150603.0,Office,1.0,40.726165,-73.99613599999999,2.0,1.0,5502.0,1008212.0,West Village                                                               
533,1005220012.0,,1005220012,1008213,636,BROADWAY,Manhattan,10012.0,Filed,86.3,Not Available,155.7,Not Available,Not Available,No,None,79,803,467.2,335.8,130000,131743.0,Office,1.0,40.726247,-73.99606700000001,2.0,1.0,5502.0,1008213.0,West Village                                                               
14878,1005230032.0,,1-00523-0032,1008235;1086635,,,Manhattan,,Not on Covered Buildings List,93.4,92.7,158.5,157.5,Not Available,,None,Not Available,300.4,178.1,122.3,52000,,Multifamily Housing,,,,,,,,
534,1005230038.0,,1005230038,1008236,88,BLEECKER STREET,Manhattan,10012.0,Filed,94.3,93.6,154.7,153.6,Not Available,No,None,Not Available,498.9,311.3,187.6,86607,82483.0,Multifamily Housing,1.0,40.726824,-73.996461,2.0,1.0,5501.0,1008236.0,West Village                                                               
535,1005230038.0,,1-00523-0038,1008236,88,BLEECKER STREET,Manhattan,10012.0,Filed,94.3,93.6,154.7,153.6,Not Available,No,None,Not Available,498.9,311.3,187.6,86607,82483.0,Multifamily Housing,1.0,40.726824,-73.996461,2.0,1.0,5501.0,1008236.0,West Village                                                               
536,1005230044.0,,1005230044,1008237,627,BROADWAY,Manhattan,10012.0,Filed,147,Not Available,269.1,Not Available,Not Available,No,None,Not Available,1122.6,586.2,536.4,120000,104500.0,Office,1.0,40.726058,-73.996255,2.0,1.0,5501.0,1008237.0,West Village                                                               
537,1005230048.0,,1-00523-0048,1008240,18,WEST HOUSTON STREET,Manhattan,10012.0,Filed,64,63.7,121,120.9,Not Available,No,None,94,1129.4,638.6,490.8,227688,204920.0,Office,1.0,40.725751,-73.997478,2.0,1.0,5501.0,1008240.0,West Village                                                               
538,1005240066.0,,1005240066,1008243,100,BLEECKER STREET,Manhattan,10012.0,Filed,48.4,48.4,152.1,152.1,Not Available,No,None,Not Available,698,0,698,177109,569909.0,Other - Recreation,1.0,40.727153,-73.997124,2.0,1.0,5501.0,1008243.0,West Village                                                               
14879,1005250040.0,,1005250040,1008265,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,62.61,,None,Not Available,,,,31500,,Multifamily Housing,,,,,,,,
541,1005257506.0,,1-00525-7506,1008266,184,THOMPSON STREET,Manhattan,10012.0,Filed,88.8,88.2,147.2,146.1,Not Available,No,None,Not Available,536.6,329.5,207.1,98626,97248.0,Multifamily Housing,1.0,40.727988,-74.00003199999999,2.0,1.0,65.0,1008266.0,West Village                                                               
542,1005270027.0,,1-00527-0027,1008350,10,DOWNING STREET,Manhattan,10014.0,Filed,85.6,85.3,161,160.6,Not Available,No,None,Not Available,675.5,338.8,336.7,121476,118467.0,Multifamily Housing,1.0,40.729596,-74.002825,2.0,3.0,67.0,1008350.0,West Village                                                               
543,1005280001.0,,1005280001,1008351,182,WEST HOUSTON STREET,Manhattan,10014.0,Filed,127.8,127.8,180.9,180.9,Not Available,Yes,None,Not Available,691.5,550.5,141,71480,71490.0,Multifamily Housing,1.0,40.728441,-74.003511,2.0,3.0,67.0,1008380.0,West Village                                                               
547,1005290001.0,,1-00529-0001,1008418,644,BROADWAY,Manhattan,10012.0,Filed,107.8,106.2,166,164,25.9,Yes,ABS,Not Available,501.5,365.7,135.8,62565,55065.0,Multifamily Housing,1.0,40.726626,-73.99575,2.0,1.0,5502.0,1008418.0,West Village                                                               
14988,1009040010.0,,1009040010,1019771,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,,72815,,Residence Hall/Dormitory,,,,,,,,
549,1005297504.0,,1-00529-7504,1008423,1,BOND STREET,Manhattan,10012.0,Filed,106.4,105.1,226.4,225,Not Available,No,None,Not Available,381.9,145.2,236.7,53047,50388.0,Retail Store,1.0,40.726887,-73.994646,2.0,1.0,5502.0,1008423.0,West Village                                                               
548,1005290072.0,,1005290072,1008454,65,BLEECKER STREET,Manhattan,10012.0,Filed,88.1,86.8,187.1,186,12.54,Yes,None,81,759.8,347.9,411.9,109857,104775.0,Office,1.0,40.726203999999996,-73.995173,2.0,1.0,5502.0,1008454.0,West Village                                                               
551,1005300001.0,,1-00530-0001,1008467,670,BROADWAY,Manhattan,10012.0,Filed,66.7,Not Available,115,Not Available,0,No,None,Not Available,349.8,225.4,124.4,68450,53000.0,Office,1.0,40.727299,-73.995183,2.0,1.0,5502.0,1008467.0,West Village                                                               
552,1005307505.0,,1005307505,1008495,40,BOND STREET,Manhattan,10012.0,Filed,81.7,80.9,160.8,159.2,53.08,Yes,ABS,Not Available,445.3,202.2,243.1,83200,85000.0,Multifamily Housing,1.0,40.726165,-73.993127,2.0,1.0,5502.0,1008495.0,West Village                                                               
553,1005310001.0,,1-00531-0001,1008506,684,BROADWAY,Manhattan,10012.0,Filed,106.8,106.2,145.4,144.8,23.64,Yes,ABS,Not Available,527.8,434.7,93.1,65011,59248.0,Multifamily Housing,1.0,40.727905,-73.994667,2.0,1.0,5502.0,1008506.0,West Village                                                               
14880,1005317504.0,,1005317504,1008509,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,0,,47324,,Office,,,,,,,,
555,1005317501.0,,1-00531-7501,1008529,14,EAST    4 STREET,Manhattan,10012.0,Filed,41.3,41.1,46.5,46.2,Not Available,No,None,Not Available,422.2,399.7,22.5,188889,182605.0,Multifamily Housing,1.0,40.72807,-73.993578,2.0,1.0,5502.0,1008529.0,West Village                                                               
565,1005350008.0,,1005350008,1008626,567,LA GUARDIA PLACE,Manhattan,10012.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,1.6,,505205,470400.0,Library,1.0,40.729451,-73.99775600000001,2.0,1.0,5501.0,1008626.0,West Village                                                               
566,1005350036.0,,1005350036,1008627,17,WEST    3 STREET,Manhattan,10012.0,Filed,10208.8,10208.8,10691.4,10691.4,Not Available,No,None,Not Available,88264.6,88264.6,0,158590,119170.0,College/University,1.0,40.728347,-73.995898,2.0,1.0,5501.0,1008627.0,West Village                                                               
567,1005357501.0,,1-00535-7501,1008629,14,WEST    4 STREET,Manhattan,10012.0,Filed,81.2,80.8,140.1,139.2,14.67,Yes,ABS,Not Available,2174.8,1407.8,767,346000,323092.0,Multifamily Housing,1.0,40.728745,-73.994945,2.0,1.0,5501.0,1008629.0,West Village                                                               
568,1005380040.0,,1005380040,1008662,566,LA GUARDIA PLACE,Manhattan,10012.0,Filed,31.4,31.4,84.9,84.9,Not Available,No,None,Not Available,586.9,86.3,500.6,247639,232930.0,Social/Meeting Hall,1.0,40.729409000000004,-73.997817,2.0,1.0,65.0,1008662.0,West Village                                                               
569,1005390031.0,,1-00539-0031,1008680,211,THOMPSON STREET,Manhattan,10012.0,Filed,76.2,75.9,130.5,130.2,Not Available,Yes,None,Not Available,307.8,179.8,128,65100,55800.0,Multifamily Housing,1.0,40.728852,-73.999325,2.0,1.0,65.0,1008680.0,West Village                                                               
572,1005400030.0,,1-00540-0030,1008707,214,SULLIVAN STREET,Manhattan,10012.0,Filed,,Not Available,,Not Available,Not Available,No,Manual,Not Available,187.5,11.5,176,Not Available,54238.0,Office,1.0,40.729248,-74.000065,2.0,1.0,65.0,1008707.0,West Village                                                               
573,1005410001.0,,1005410001,1008716,40,WASHINGTON SQUARE S,Manhattan,10012.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,0,,257259,202521.0,Library,1.0,40.730979999999995,-73.999495,2.0,1.0,65.0,1008716.0,West Village                                                               
576,1005420025.0,,1005420025,1008725,290,AVENUE OF THE AMER,Manhattan,10014.0,Filed,94.6,94.6,128,128,Not Available,Yes,None,Not Available,392.2,324.3,67.9,54914,54924.0,Multifamily Housing,1.0,40.730162,-74.00191600000001,2.0,1.0,65.0,1008725.0,West Village                                                               
14881,1005440008.0,,1-00544-0008,1008771,,,Manhattan,,Not on Covered Buildings List,73,Not Available,185,Not Available,Not Available,,None,62,455.2,95.4,359.8,85260,,Office,,,,,,,,
578,1005440013.0,,1-00544-0013,1008773,419,LAFAYETTE STREET    ,Manhattan,10003.0,Filed,45.6,Not Available,97.3,Not Available,Not Available,,None,96,258.1,114.5,143.6,73500,57729.0,Office,1.0,40.728789,-73.99234399999999,2.0,2.0,57.0,1008773.0,West Village                                                               
583,1005447501.0,,1-00544-7501,1008776,56,COOPER SQUARE,Manhattan,10003.0,Filed,104.2,103.9,205.9,205.8,30,Yes,ABS,Not Available,828.3,372.9,455.4,121158,121158.0,Multifamily Housing,3.0,40.728899,-73.991023,2.0,2.0,57.0,1008776.0,West Village                                                               
579,1005440048.0,,1005440048,1008779,30,COOPER SQUARE,Manhattan,10003.0,Filed,77.7,77.4,181.8,181.6,9.57,No,Manual,66,351.1,124.3,226.8,57450,52192.0,Office,1.0,40.72804,-73.991294,2.0,2.0,57.0,1008779.0,West Village                                                               
580,1005440050.0,,1005440050,1008780,16,COOPER SQUARE,Manhattan,10003.0,Filed,,Not Available,,Not Available,Not Available,Yes,None,Not Available,,536.9,,137314,117391.0,College/University,1.0,40.727592,-73.991373,2.0,2.0,57.0,1008780.0,West Village                                                               
582,1005440076.0,,1005440076,1008788,7,EAST    7 STREET,Manhattan,10003.0,Filed,89.3,88.8,178.9,178.4,Not Available,No,None,Not Available,1055,461.7,593.3,179000,125000.0,College/University,1.0,40.728857,-73.990161,3.0,2.0,38.0,1008788.0,East Village                                                               
591,1005457502.0,,1-00545-7502,1008790,704,BROADWAY,Manhattan,10003.0,Filed,100.6,99.6,153.2,151.7,12.39,Yes,ABS,Not Available,456.7,337,119.7,61237,56237.0,Multifamily Housing,1.0,40.728682,-73.994011,2.0,2.0,57.0,1008790.0,West Village                                                               
585,1005450011.0,,1-00545-0011,1008793,718,BROADWAY,Manhattan,10003.0,Filed,83.7,82.1,132.9,130.9,20.53,Yes,ABS,Not Available,506,358.7,147.3,79900,75165.0,Multifamily Housing,1.0,40.729146,-73.993617,2.0,2.0,57.0,1008793.0,West Village                                                               
586,1005450015.0,,1005450015,1008796,726,BROADWAY,Manhattan,10003.0,Filed,,Not Available,,Not Available,11.35,Yes,ABS,Not Available,,495.6,,415725,326464.0,College/University,1.0,40.729376,-73.99342299999999,2.0,2.0,57.0,1008796.0,West Village                                                               
590,1005450059.0,,1-00545-0059,1008806,752,BROADWAY,Manhattan,10003.0,Filed,212.7,211.9,386.7,385.8,Not Available,No,None,Not Available,1214.9,642.7,572.2,90000,147773.0,Multifamily Housing,1.0,40.730419,-73.992542,2.0,2.0,57.0,1008806.0,West Village                                                               
592,1005457503.0,,1-00545-7503,1008807,21,ASTOR PLACE,Manhattan,10003.0,Filed,60.2,60,130.6,130.5,Not Available,No,None,Not Available,410.7,148.5,262.2,100000,107754.0,Multifamily Housing,1.0,40.729991,-73.992221,2.0,2.0,57.0,1008807.0,West Village                                                               
9921,4004390039.0,,4-00439-0039,4005192,44-02,23 STREET,Queens,11101.0,Filed,72.8,72.8,123.5,123.5,Not Available,No,None,Not Available,365.7,241.8,123.9,65000,65000.0,Mixed Use Property,1.0,,,,,,,
594,1005460011.0,,1005460011,1008811,35,WEST    4 STREET,Manhattan,10012.0,Filed,3.5,3.5,3.7,3.7,Not Available,No,None,Not Available,28.2,28.2,0,151070,125450.0,College/University,1.0,40.729245,-73.995919,2.0,1.0,59.0,1008811.0,West Village                                                               
595,1005460015.0,,1005460015,1008812,14,WASHINGTON PLACE,Manhattan,10003.0,Filed,57.7,57.5,74.8,74.6,27.16,Yes,ABS,Not Available,569.3,486.1,83.2,134387,115694.0,Multifamily Housing,1.0,40.729651000000004,-73.995068,2.0,1.0,59.0,1008812.0,West Village                                                               
598,1005460026.0,,1005460026,1008814,21,WEST    4 STREET,Manhattan,10012.0,Filed,35.1,35.1,110.2,110.2,Not Available,No,None,Not Available,211.1,0,211.1,73913,56684.0,College/University,1.0,40.728978000000005,-73.995378,2.0,1.0,59.0,1008814.0,West Village                                                               
599,1005460031.0,,1005460031,1008816;1008817;1008818,4,WASHINGTON PLACE,Manhattan,10003.0,Filed,22.3,22.3,69.9,69.9,6.39,Yes,ABS,Not Available,468.5,0.1,468.4,258686,54725.0,College/University,1.0,40.729201,-73.994155,2.0,1.0,57.0,1008816.0,West Village                                                               
600,1005470001.0,,1005470001,1008820,32,WAVERLY PLACE,Manhattan,10003.0,Filed,5.6,5.6,17.5,17.5,Not Available,No,None,Not Available,116.9,0,116.9,258155,180000.0,College/University,1.0,40.730546000000004,-73.995237,2.0,1.0,59.0,1008820.0,West Village                                                               
601,1005470005.0,,1005470005,1008822,24,WAVERLY PLACE,Manhattan,10003.0,Filed,0,0,0,0,Not Available,No,None,Not Available,0,0,0,60329,53482.0,College/University,1.0,40.730398,-73.994938,2.0,1.0,59.0,1008822.0,West Village                                                               
602,1005470008.0,,1005470008,1008823,23,WASHINGTON PLACE,Manhattan,10003.0,Filed,,Not Available,,Not Available,Not Available,Yes,None,Not Available,,0,,124526,91402.0,College/University,1.0,40.72984,-73.995418,2.0,1.0,59.0,1008823.0,West Village                                                               
603,1005470020.0,,1005470020,1008828,15,WASHINGTON PLACE,Manhattan,10003.0,Filed,52,52,69.3,69.3,Not Available,Yes,ABS,Not Available,290.8,243.5,47.3,73733,71270.0,Multifamily Housing,1.0,40.729618,-73.994963,2.0,1.0,59.0,1008828.0,West Village                                                               
606,1005480001.0,,1005480001,1008832,1,UNIVERSITY PLACE,Manhattan,10003.0,Filed,112.9,Not Available,171.1,Not Available,Not Available,No,None,Not Available,1909.6,1418.4,491.2,227154,218985.0,Multifamily Housing,1.0,40.730785,-73.995486,2.0,1.0,59.0,1008832.0,West Village                                                               
608,1005480009.0,,1005480009,1008833,13,UNIVERSITY PLACE,Manhattan,10003.0,Filed,72.8,73,228.5,229.1,40.16,Yes,ABS,Not Available,408.6,0,408.6,69021,55224.0,College/University,1.0,40.731265,-73.99506,2.0,1.0,59.0,1008833.0,West Village                                                               
607,1005480004.0,,1005480004,1008835,5,UNIVERSITY PLACE,Manhattan,10003.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,131.8,,209364,116237.0,Residence Hall/Dormitory,1.0,40.730925,-73.995364,2.0,1.0,59.0,1080105.0,West Village                                                               
14883,1005480024.0,,1-00548-0024,1008836;1084933,,,Manhattan,,Not on Covered Buildings List,92.9,92.6,136.6,136.3,Not Available,,None,Not Available,549.3,412.5,136.8,86322,,Multifamily Housing,,,,,,,,
609,1005480028.0,,1005480028,1008837,50,EAST    8 STREET,Manhattan,10003.0,Filed,98.5,98.5,141.6,141.7,Not Available,No,None,Not Available,756.7,594.8,161.9,100581,100591.0,Multifamily Housing,1.0,40.731119,-73.993686,2.0,1.0,59.0,1008837.0,West Village                                                               
14902,1006980001.0,,1-00698-0001,1012389,,,Manhattan,,Not on Covered Buildings List,61.1,61.2,132.6,132.8,Not Available,,None,71,1072.2,463.8,608.4,224609,,Office,,,,,,,,
610,1005480040.0,,1005480040,1008838,11,WAVERLY PLACE,Manhattan,10003.0,Filed,104.6,Not Available,172.4,Not Available,87.17,Yes,None,Not Available,660.3,450.1,210.2,82500,80896.0,Multifamily Housing,1.0,40.730041,-73.994173,2.0,1.0,59.0,1008838.0,West Village                                                               
611,1005480045.0,,1-00548-0045,1008839,15,WAVERLY PLACE,Manhattan,10003.0,Filed,30,29.6,94.2,92.9,Not Available,No,Manual,Not Available,284.7,0,284.7,116599,102024.0,Multifamily Housing,1.0,40.730129,-73.99435,2.0,1.0,59.0,1008839.0,West Village                                                               
612,1005480070.0,,1005480070,1008840,300,MERCER STREET,Manhattan,10003.0,Filed,103.9,103,128.6,127.7,60.48,Yes,ABS,Not Available,3584.1,3171,413.1,461959,455959.0,Multifamily Housing,1.0,40.730458,-73.99365,2.0,1.0,57.0,1008840.0,West Village                                                               
614,1005500022.0,,1-00550-0022,1008847;1077873,1,5 AVENUE,Manhattan,10003.0,Filed,100.8,100.5,157.2,157,Not Available,No,None,Not Available,1800.3,1298.1,502.2,238923,238923.0,Multifamily Housing,1.0,40.731913,-73.996587,2.0,1.0,59.0,1008847.0,West Village                                                               
615,1005510001.0,,1-00551-0001,1008850,2,5 AVENUE,Manhattan,10011.0,Filed,72.6,71.8,109.6,108.6,Not Available,No,None,Not Available,2691.9,2021.2,670.7,483340,469263.0,Multifamily Housing,1.0,40.731921,-73.996608,2.0,1.0,63.0,1008850.0,West Village                                                               
616,1005520022.0,,1005520022,1008875,33,WASHINGTON SQUARE W,Manhattan,10011.0,Filed,29.7,29.7,82.9,83,Not Available,No,None,92,415.7,47.7,368,182714,133239.0,Residence Hall/Dormitory,1.0,40.731545000000004,-73.99919200000001,2.0,1.0,65.0,1008875.0,West Village                                                               
617,1005520026.0,,1005520026,1008877,37,WASHINGTON SQUARE W,Manhattan,10011.0,Filed,26.7,26.7,38.6,38.6,21.5,Yes,ABS,Not Available,242.3,188.8,53.5,120079,110447.0,Multifamily Housing,1.0,40.73127,-73.999423,2.0,1.0,65.0,1008877.0,West Village                                                               
14997,1009690001.0,,1009690001,1022547;1022548,,,Manhattan,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,0,,99557,,Office,,,,,,,,
841,1006990005.0,,1006990005,1012403,547,WEST   27 STREET,Manhattan,10001.0,Filed,76.5,76.2,143.6,142.7,14.13,Yes,ABS,Not Available,573.5,327.3,246.2,97180,97200.0,Other,1.0,40.750893,-74.003934,4.0,3.0,99.0,1012403.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
618,1005520060.0,,1005520060,1008892,29,WASHINGTON SQUARE W,Manhattan,10011.0,Filed,88.1,87.7,98.5,98.1,21.29,Yes,ABS,Not Available,936.8,885.8,51,140797,128601.0,Multifamily Housing,1.0,40.731821999999994,-73.99895699999999,2.0,1.0,65.0,1008892.0,West Village                                                               
619,1005520062.0,,1005520062,1008894,32,WASHINGTON SQUARE W,Manhattan,10011.0,Filed,,Not Available,,Not Available,20.82,Yes,ABS,Not Available,,231.8,,64622,60583.0,Multifamily Housing,1.0,40.731817,-73.999271,2.0,1.0,65.0,1008894.0,West Village                                                               
620,1005527501.0,,1005527501,1008904,360,AVENUE OF THE AMER,Manhattan,10011.0,Filed,79.7,79.5,164.1,164,43.24,No,Manual,Not Available,358.5,147.7,210.8,67395,67409.0,Multifamily Housing,1.0,40.732451,-74.000401,2.0,1.0,65.0,1008904.0,West Village                                                               
622,1005540001.0,,1005540001,1008952,756,BROADWAY,Manhattan,10003.0,Filed,64.9,64.7,171.8,171.2,11.18,No,Manual,Not Available,6083.1,92,5991.1,1137698,940000.0,Office,1.0,40.730675,-73.992326,2.0,2.0,57.0,,West Village                                                               
623,1005540035.0,,1-00554-0035,1008953,10,3 AVENUE,Manhattan,10003.0,Filed,15.5,Not Available,34.4,Not Available,Not Available,No,None,Not Available,524.7,0,524.7,400000,270183.0,Office,1.0,40.729653000000006,-73.98983199999999,3.0,2.0,42.0,1008788.0,East Village                                                               
624,1005550001.0,,1-00555-0001,1008954,772,BROADWAY,Manhattan,10003.0,Filed,77,76.4,122.4,122,Not Available,No,None,Not Available,2984.7,2124.8,859.9,503960,651391.0,Multifamily Housing,1.0,40.731248,-73.991842,2.0,2.0,57.0,1008954.0,West Village                                                               
625,1005550028.0,,1005550028,1008962,30,3 AVENUE,Manhattan,10003.0,Filed,84.6,83.9,132.4,131,49.35,Yes,ABS,Not Available,1646.5,1190.1,456.4,255037,261940.0,Multifamily Housing,1.0,40.730263,-73.98938100000001,3.0,2.0,42.0,1008962.0,East Village                                                               
626,1005560001.0,,1-00556-0001,1008968,85,4 AVENUE,Manhattan,10003.0,Filed,133.6,133.7,216.3,216.5,Not Available,No,None,Not Available,1153.3,797.5,355.8,115240,156465.0,Multifamily Housing,1.0,40.731704,-73.990276,3.0,2.0,42.0,1008968.0,East Village                                                               
628,1005560044.0,,1-00556-0044,1008977,111,   4 AVENUE         ,Manhattan,10003.0,Filed,82.8,81,145.3,142.5,Not Available,,None,Not Available,884,497.9,386.1,170000,156650.0,Multifamily Housing,1.0,40.732642,-73.990045,3.0,2.0,42.0,1008977.0,East Village                                                               
630,1005577501.0,,1005577501,1009006,806,BROADWAY,Manhattan,10003.0,Filed,45.1,44.9,103.4,102.8,35.07,Yes,ABS,Not Available,330.1,101.4,228.7,104722,104722.0,Multifamily Housing,1.0,40.732563,-73.99124300000001,2.0,2.0,61.0,1009006.0,West Village                                                               
633,1005587503.0,,1-00558-7503,1009014,125,EAST   12 STREET,Manhattan,10003.0,Filed,116.7,116.4,192.3,192.1,Not Available,Yes,None,Not Available,430.3,266.6,163.7,60266,57042.0,Multifamily Housing,1.0,40.732510999999995,-73.989421,3.0,2.0,42.0,1009014.0,East Village                                                               
635,1005590012.0,,1005590012,1009072,106,EAST   14 STREET,Manhattan,10003.0,Filed,90.6,90.5,183.9,184.3,Not Available,No,None,45,1279.5,543.7,735.8,212954,216267.0,Residence Hall/Dormitory,1.0,40.734122,-73.98917900000001,3.0,2.0,42.0,1009072.0,East Village                                                               
639,1005607501.0,,1005607501,1009090,30,EAST   90 STREET,Manhattan,10128.0,Filed,77.2,76,124.5,123.5,Not Available,No,None,Not Available,1376.2,962.5,413.7,232930,199654.0,Multifamily Housing,1.0,40.783590999999994,-73.957394,8.0,4.0,15002.0,1046978.0,Upper East Side-Carnegie Hill                                              
640,1005607502.0,,1-00560-7502,1009091,40,EAST    9 STREET,Manhattan,10003.0,Filed,75.1,74.5,119.8,118.9,Not Available,Yes,None,Not Available,999.6,653.4,346.2,215923,202428.0,Multifamily Housing,1.0,40.731808,-73.993473,2.0,2.0,59.0,1009091.0,West Village                                                               
641,1005607503.0,,1-00560-7503,1009092,60,EAST    9 STREET,Manhattan,10003.0,Filed,219.6,216.7,281.2,278.3,Not Available,No,None,Not Available,3150.4,2722.3,428.1,189126,204426.0,Multifamily Housing,1.0,40.731476,-73.99267900000001,2.0,2.0,59.0,1009092.0,West Village                                                               
15361,2022710020.0,Primary,2022710020;2022810010;2025680012,2091291;2091292;2091009;2090997;2090998,,,Bronx,,Not on Covered Buildings List,,Not Available,,Not Available,Not Available,,None,Not Available,,,158.6,93350,,Multifamily Housing,,,,,,,,
646,1005617502.0,,1-00561-7502,1009095,28,EAST   10 STREET,Manhattan,10003.0,Filed,72.7,Not Available,123.6,Not Available,32.92,Yes,ABS,Not Available,835.8,540.4,295.4,155646,144516.0,Multifamily Housing,1.0,40.732574,-73.99346899999999,2.0,2.0,59.0,1009095.0,West Village                                                               
642,1005610014.0,,1005610014,1009098,38,EAST   10 STREET,Manhattan,10003.0,Filed,,Not Available,,Not Available,29.16,Yes,ABS,Not Available,,549.5,,176986,160896.0,Multifamily Housing,1.0,40.732357,-73.992953,2.0,2.0,59.0,1009098.0,West Village                                                               
645,1005617501.0,,1005617501,1009099,63,EAST    9 STREET,Manhattan,10003.0,Filed,85.3,Not Available,134.7,Not Available,Not Available,No,None,Not Available,1677.3,1188.5,488.8,265616,247908.0,Multifamily Housing,1.0,40.731424,-73.992509,2.0,2.0,59.0,1009099.0,West Village                                                               
643,1005610037.0,,1-00561-0037,1009100,47,EAST    9 STREET,Manhattan,10003.0,Filed,116.2,114.4,159.1,157,52.33,Yes,ABS,Not Available,1311.1,1074.4,236.7,148870,139566.0,Multifamily Housing,1.0,40.73169,-73.993144,2.0,2.0,59.0,1009100.0,West Village                                                               
644,1005610045.0,,1-00561-0045,1009101,35,EAST    9 STREET,Manhattan,10003.0,Filed,99.6,96.4,132.8,129.4,Not Available,No,None,Not Available,771.2,646.2,125,101567,98609.0,Multifamily Housing,1.0,40.731888,-73.99362099999999,2.0,2.0,59.0,1009101.0,West Village                                                               
648,1005620024.0,,1005620024,1009108,797,BROADWAY,Manhattan,10003.0,Filed,63,Not Available,108.6,Not Available,17.91,Yes,None,95,473,304.7,168.3,98000,97500.0,Office,1.0,40.732261,-73.991337,2.0,2.0,61.0,1009108.0,West Village                                                               
649,1005620030.0,,1005620030,1009112,787,BROADWAY,Manhattan,10003.0,Filed,74.1,73.8,109.1,108.9,Not Available,No,None,75,833.3,640.2,193.1,147657,135910.0,Residence Hall/Dormitory,1.0,40.731846999999995,-73.99144100000001,2.0,2.0,61.0,1009112.0,West Village                                                               
650,1005630001.0,,1005630001,1009127,83,UNIVERSITY PLACE,Manhattan,10003.0,Filed,80.2,79.5,188.2,187.1,Not Available,Yes,ABS,71,1306,411.3,894.7,220000,191223.0,Office,1.0,40.73348,-73.99315899999999,2.0,2.0,61.0,1009127.0,West Village                                                               
651,1005630031.0,,1-00563-0031,1009134,817,BROADWAY,Manhattan,10003.0,Filed,111.6,110.5,211.3,210.4,29.85,Yes,ABS,62,1043.2,584.5,458.7,122175,114000.0,Office,1.0,40.733043,-73.99116,2.0,2.0,61.0,1009134.0,West Village                                                               
652,1005630037.0,,1-00563-0037,1009138,801,BROADWAY,Manhattan,10003.0,Filed,73.2,Not Available,115.5,Not Available,Not Available,No,None,Not Available,635.3,453.1,182.2,115015,115000.0,Multifamily Housing,1.0,40.732566,-73.991265,2.0,2.0,61.0,1009138.0,West Village                                                               
