order,property_id,property_name,parent_property_id,parent_property_name,city_building,bbl_10_digits,nyc_borough_block_and_lot,nyc_building_identification,address_1_self_reported,address_2_self_reported,postal_code,street_number,street_name,borough,dof_gross_floor_area_ft,self_reported_gross_floor,primary_property_type_self,list_of_all_property_use,largest_property_use_type,largest_property_use_type_1,_2nd_largest_property_use,_2nd_largest_property_use_1,_3rd_largest_property_use,_3rd_largest_property_use_1,year_built,number_of_buildings,occupancy,metered_areas_energy,metered_areas_water,energy_star_score,source_eui_kbtu_ft,weather_normalized_source,site_eui_kbtu_ft,weather_normalized_site_eui,weather_normalized_site,weather_normalized_site_1,fuel_oil_1_use_kbtu,fuel_oil_2_use_kbtu,fuel_oil_4_use_kbtu,fuel_oil_5_6_use_kbtu,diesel_2_use_kbtu,kerosene_use_kbtu,propane_use_kbtu,district_steam_use_kbtu,district_hot_water_use_kbtu,district_chilled_water_use,natural_gas_use_kbtu,weather_normalized_site_2,electricity_use_grid_purchase,electricity_use_grid_purchase_1,weather_normalized_site_3,annual_maximum_demand_kw,annual_maximum_demand_mm,total_ghg_emissions_metric,direct_ghg_emissions_metric,indirect_ghg_emissions_metric,water_use_all_water_sources,water_use_intensity_all_water,water_required,generation_date,latitude,longitude,community_board,council_district,census_tract,nta
745,1634297,Q173-0400155,Not Applicable: Standalone Property,Not Applicable: Standalone Property,Yes,4069270022,4069270022,4149690,174-10 67th Avenue,Not Available,11365,174-10,67th Avenue,Queens,,101700,K-12 School,K-12 School,K-12 School,101700.0,Not Available,Not Available,Not Available,Not Available,1957,1,100,Whole Building,Not Available,55,94.2,94.2,71,71.2,3.6,0,Not Available,Not Available,5843620.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,107400,1036.8,1271577.3,372678,370833.6,209.1,09/2018,553.4,445.7,107.7,Not Available,Not Available,,2019-05-01T15:11:43.000,40.734572,-73.795484,408.0,24.0,1223.0,Pomonok-Flushing Heights-Hillcrest
746,1634299,Q174-0400156,Not Applicable: Standalone Property,Not Applicable: Standalone Property,Yes,4031340024,4031340024,4073904,65-10 Dieterle Crescent,Not Available,11374,65-10,Dieterle Crescent,Queens,,87860,K-12 School,K-12 School,K-12 School,87860.0,Not Available,Not Available,Not Available,Not Available,1948,1,100,Whole Building,Not Available,69,88.6,90.8,65.8,67.6,3.7,0,Not Available,Not Available,4686745.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,900,9.3,1090202.3,319520,323499.3,118.4,09/2018,445.2,352.9,92.3,Not Available,Not Available,,2019-05-01T15:12:07.000,40.720924,-73.86135,406.0,29.0,69702.0,Rego Park
747,1634301,Q189-0400168,Not Applicable: Standalone Property,Not Applicable: Standalone Property,Yes,4050510027,4050510027,4114763,144-80 Barclay Avenue,Not Available,11355,144-80,Barclay Avenue,Queens,,168125,K-12 School,K-12 School,K-12 School,168125.0,Not Available,Not Available,Not Available,Not Available,1956,1,100,Whole Building,Not Available,81,96.4,96.1,66.7,66.4,4.7,0,Not Available,Not Available,8024393.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,469000,4690,2720319.4,797279.9,797279.9,309.6,09/2018,859.4,629.1,230.4,Not Available,Not Available,,2019-05-01T15:12:19.000,40.759844,-73.820548,407.0,20.0,863.0,Murray Hill
748,1634303,Q195-0400171,Not Applicable: Standalone Property,Not Applicable: Standalone Property,Yes,4136550001,4136550001,4290116,253-50 149th Avenue,Not Available,11422,253-50,149th Avenue,Queens,,110417,K-12 School,K-12 School,K-12 School,110417.0,Not Available,Not Available,Not Available,Not Available,1965,1,100,Whole Building,Not Available,69,90.5,90.3,51.4,51.2,6.1,0.3,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3363800.3,33420.8,2306512,675999.9,675999.9,352,09/2018,374,178.7,195.3,Not Available,Not Available,,2019-05-01T15:12:20.000,40.653006,-73.736395,413.0,31.0,664.0,Rosedale
749,1634305,Q207-0400179,Not Applicable: Standalone Property,Not Applicable: Standalone Property,Yes,4140090060,4140090060,4293311,159-15 88th Street,Not Available,11414,159-15,88th Street,Queens,,105050,K-12 School,K-12 School,K-12 School,105050.0,Not Available,Not Available,Not Available,Not Available,1965,1,100,Whole Building,Not Available,84,68.7,68.7,46,46,3.4,0.3,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3605200.3,36052.6,1225044.4,359039.9,359039.9,220.8,09/2018,295.2,191.5,103.7,Not Available,Not Available,,2019-05-01T15:11:50.000,40.658089000000004,-73.844432,410.0,32.0,892.0,Lindenwood-Howard Beach
750,1634307,Q213-0400182,Not Applicable: Standalone Property,Not Applicable: Standalone Property,Yes,4076770001,4076770001,4163698,231-02 67th Avenue,Not Available,11364,231-02,67th Avenue,Queens,,88217,K-12 School,K-12 School,K-12 School,88217.0,Not Available,Not Available,Not Available,Not Available,1955,1,100,Whole Building,Not Available,77,89.9,88.1,67,65.2,3.6,0,Not Available,4816200,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3700,37.9,1092385.9,320160,320160,131.2,09/2018,450.1,357.6,92.5,Not Available,Not Available,,2019-05-01T15:12:29.000,40.747747,-73.745747,411.0,23.0,1377.0,Oakland Gardens
751,1634309,Q223-0400190,Not Applicable: Standalone Property,Not Applicable: Standalone Property,Yes,4120510001,4120510001,4440628,125-20 Sutphin Boulevard,Not Available,11434,125-20,Sutphin Boulevard,Queens,,122575,K-12 School,K-12 School,K-12 School,122575.0,Not Available,Not Available,Not Available,Not Available,1981,1,100,Whole Building,Not Available,54,104.1,103.3,59.2,58.7,7.2,0,Not Available,Not Available,4143231.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,75400,754,3035315.1,889599.9,881377.9,256,09/2018,573,315.9,257.1,Not Available,Not Available,,2019-05-01T15:12:29.000,40.674519000000004,-73.789399,412.0,28.0,18401.0,Baisley Park
752,1634311,Q172-0400195,Not Applicable: Standalone Property,Not Applicable: Standalone Property,Yes,4087310004,4087310004,4178464,81-14 257th Street,Not Available,11004,81-14,257th Street,Queens,,160975,K-12 School,K-12 School,K-12 School,160975.0,Not Available,Not Available,Not Available,Not Available,1957,1,100,Whole Building,Not Available,76,77.8,77.6,52.7,52.6,4,0,Not Available,Not Available,6028047.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,267000,2670,2195963.2,643599.9,643599.9,224,09/2018,654,468,186,Not Available,Not Available,,2019-05-01T15:12:29.000,40.741944000000004,-73.712965,413.0,23.0,157902.0,Glen Oaks-Floral Park-New Hyde Park
753,1634313,Q190-0400197,Not Applicable: Standalone Property,Not Applicable: Standalone Property,Yes,4031720002,4031720002,4075214,68-17 Austin Street,Not Available,11375,68-17,Austin Street,Queens,,147725,K-12 School,K-12 School,K-12 School,147725.0,Not Available,Not Available,Not Available,Not Available,1955,1,100,Whole Building,Not Available,79,72.7,73.1,50.9,51.2,3.5,0,Not Available,Not Available,5472664,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,299200,3029.2,1750492.5,513039.9,516344.9,155,10/2018,576.2,427.9,148.2,Not Available,Not Available,,2019-05-01T15:11:20.000,40.722707,-73.851699,406.0,29.0,71305.0,Forest Hills
754,1634315,Q202-0400201,Not Applicable: Standalone Property,Not Applicable: Standalone Property,Yes,4114030001,4114030001,4245993,138-30 Lafayette Street,Not Available,11417,138-30,Lafayette Street,Queens,,180175,K-12 School,K-12 School,K-12 School,180175.0,Not Available,Not Available,Not Available,Not Available,1963,1,100,Whole Building,Not Available,92,64.7,60.4,43,38.7,3.5,0,Not Available,Not Available,5523180,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,82100,822.6,2141371.2,627599.9,627599.9,396,09/2018,601.5,420.2,181.4,Not Available,Not Available,,2019-05-01T15:11:50.000,40.671240000000004,-73.845141,410.0,32.0,58.0,Ozone Park
