order,property_id,property_name,parent_property_id,parent_property_name,city_building,bbl_10_digits,nyc_borough_block_and_lot,nyc_building_identification,address_1_self_reported,address_2_self_reported,postal_code,street_number,street_name,borough,dof_gross_floor_area_ft,self_reported_gross_floor,primary_property_type_self,list_of_all_property_use,largest_property_use_type,largest_property_use_type_1,_2nd_largest_property_use,_2nd_largest_property_use_1,_3rd_largest_property_use,_3rd_largest_property_use_1,year_built,number_of_buildings,occupancy,metered_areas_energy,metered_areas_water,energy_star_score,source_eui_kbtu_ft,weather_normalized_source,site_eui_kbtu_ft,weather_normalized_site_eui,weather_normalized_site,weather_normalized_site_1,fuel_oil_1_use_kbtu,fuel_oil_2_use_kbtu,fuel_oil_4_use_kbtu,fuel_oil_5_6_use_kbtu,diesel_2_use_kbtu,kerosene_use_kbtu,propane_use_kbtu,district_steam_use_kbtu,district_hot_water_use_kbtu,district_chilled_water_use,natural_gas_use_kbtu,weather_normalized_site_2,electricity_use_grid_purchase,electricity_use_grid_purchase_1,weather_normalized_site_3,annual_maximum_demand_kw,annual_maximum_demand_mm,total_ghg_emissions_metric,direct_ghg_emissions_metric,indirect_ghg_emissions_metric,water_use_all_water_sources,water_use_intensity_all_water,water_required,generation_date,latitude,longitude,community_board,council_district,census_tract,nta
75,1443214,River Place One,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1010890001,1-01089-0001,1085803,640 West 42nd Street,Not Available,10036,640,West 42nd,Manhattan,887879.0,887879,Multifamily Housing,"Bowling Alley, Fitness Center/Health Club/Gym, Multifamily Housing, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant, Swimming Pool",Multifamily Housing,814289.0,Parking,39590,Bowling Alley,37681,2000,1,100,Whole Building,Whole Building,76,121.2,Not Available,80.3,Not Available,5.9,0.6,Not Available,3598280.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.89934106E7,506304.1,1.87479862E7,5494719.8,5250906.9,Not Available,Not Available,4457.1,2869.3,1587.8,32133.8,36.19,No,2019-03-10T19:33:36.000,,,,,,
76,1444034,Bloomingdale's - 59th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1013940023,1013940023,1041904,1000 Third Avenue,Not Available,10022,1000,Third Avenue,Manhattan,838890.0,858374,Retail Store,"Restaurant, Retail Store",Retail Store,849062.0,Restaurant,9312,Not Available,Not Available,1886,1,100,Whole Building,Whole Building,21,213,212.9,89.8,90.5,19.1,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.00055053E7,Not Available,Not Available,681427.1,6814.3,5.64336922E7,1.65397671E7,1.64191495E7,Not Available,Not Available,6143.9,36.2,6107.7,2555544.2,2977.19,No,2019-04-30T13:49:01.000,40.761894,-73.966349,108.0,4.0,11402.0,Upper East Side-Carnegie Hill
77,1450878,551 Madison,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1012910021,1012910021,Not Available,551 Madison Avenue,Not Available,10022,551,Madison Avenue,Manhattan,125495.0,127158,Office,Office,Office,127158.0,Not Available,Not Available,Not Available,Not Available,1920,1,80,Whole Building,Whole Building,48,164.1,163,67.2,66.8,15.6,0.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1759606.5,17407.8,6790952.3,1990314,1977631,Not Available,Not Available,668.6,93.5,575.1,2645.2,20.8,Yes,2019-04-25T10:05:44.000,40.761081,-73.97323,105.0,4.0,102.0,Midtown-Midtown South
78,1454367,Lotte New York Palace,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1012860021,1-01286-0021,1035462,455 Madison Avenue,Not Available,10022,455,Madison Avenue,Manhattan,832240.0,893750,Hotel,Hotel,Hotel,893750.0,Not Available,Not Available,Not Available,Not Available,1980,1,100,Whole Building,Whole Building,12,277.4,277.3,186.1,186.4,12.3,0.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.72127516E7,Not Available,Not Available,8.13224118E7,813224.1,3.77533956E7,11064886,1.09904794E7,Not Available,Not Available,10651.6,4319.4,6332.2,64003.6,71.61,No,2019-05-29T16:33:04.000,40.758114,-73.97539300000001,105.0,4.0,102.0,Midtown-Midtown South
79,1457889,330 Madison Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1012770014,1012770014,1035348,330 Madison Avenue,Not Available,10017,330,Madison Avenue,Manhattan,733001.0,810475,Office,"Bank Branch, Data Center, Fast Food Restaurant, Office, Retail Store",Office,797649.0,Retail Store,5863,Bank Branch,4045,1963,1,100,Whole Building,Whole Building,70,199.4,198.7,83,82.9,18.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.67558558E7,Not Available,Not Available,Not Available,Not Available,5.05234062E7,1.48075616E7,1.47191205E7,Not Available,Not Available,5391.4,0,5391.4,11166,13.78,No,2019-04-26T17:13:37.000,40.753383,-73.978871,105.0,4.0,94.0,Midtown-Midtown South
80,1460459,909 Third Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1013280001,1013280001,1038570,909 Third Avenue,Not Available,10012,909,Third Avenue,Manhattan,1321050.0,791632,Office,"Data Center, Office",Office,790632.0,Data Center,1000,Not Available,Not Available,1968,1,100,Whole Building,Not Available,75,165.8,164.1,79.4,77.9,12.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.79763296E7,Not Available,Not Available,Not Available,Not Available,3.48471659E7,1.02131189E7,1.02279865E7,Not Available,Not Available,4808.8,0,4808.8,17321.8,21.88,No,2019-04-26T17:13:38.000,40.758744,-73.968618,106.0,4.0,108.0,Turtle Bay-East Midtown
81,1461767,1290 Ave of Americas,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1012670001,1012670001,1034510,1290 Avenue of the Americas,Not Available,10104,1290,Avenue of the Americas,Manhattan,1899211.0,2091434,Office,"Bank Branch, Convenience Store without Gas Station, Data Center, Fast Food Restaurant, Financial Office, Medical Office, Office, Restaurant",Office,1902735.0,Medical Office,109276,Financial Office,36995,1963,1,100,Whole Building,Whole Building,Not Available,237.4,234.2,120.1,117.7,17,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.281412935E8,Not Available,Not Available,1281863.6,12818.6,1.217526444E8,3.56836546E7,3.55743258E7,Not Available,Not Available,18887.7,68.1,18819.6,53278.9,25.47,No,2019-04-26T17:13:38.000,40.760857,-73.97971700000001,105.0,4.0,104.0,Midtown-Midtown South
82,1463326,Eleven Penn Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1008070001,1008070001,1015175,Eleven Penn Plaza,Not Available,10001,Eleven,Penn Plaza,Manhattan,1103075.0,1130275,Office,"Bank Branch, Fast Food Restaurant, Office, Other",Office,1117695.0,Bank Branch,4972,Other,4847,1923,1,100,Whole Building,Not Available,63,165.9,Not Available,76.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.42609772E7,Not Available,Not Available,Not Available,Not Available,5.22604292E7,1.53166538E7,Not Available,Not Available,Not Available,6700.8,0,6700.8,16025.9,14.18,No,2019-04-26T17:13:38.000,,,,,,
83,1463679,770 Broadway,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1005540001,1005540001,1008952,770 Broadway,Not Available,10003,770,Broadway,Manhattan,940000.0,1137698,Office,"Bank Branch, Office, Retail Store",Office,971293.0,Retail Store,153798,Bank Branch,12607,1906,1,100,Whole Building,Whole Building,75,157,155.5,72,71.4,13.1,0.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.92673105E7,Not Available,Not Available,1.14314753E7,110685.5,5.12332596E7,1.50156077E7,1.48654942E7,Not Available,Not Available,6225.4,607.2,5618.3,14066.2,12.36,No,2019-04-26T17:13:38.000,40.730841999999996,-73.99140200000001,102.0,2.0,57.0,West Village
84,1463890,150 East  58th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1013120041,1013120041,1036915,150 East 58th Street,Not Available,10155,150,East 58th,Manhattan,570453.0,573338,Office,"Office, Other, Retail Store",Office,538101.0,Retail Store,30614,Other,4623,1969,1,100,Whole Building,Whole Building,63,176.1,173.4,93,91.2,11.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.02931807E7,Not Available,Not Available,Not Available,Not Available,2.30336955E7,6750789.2,6703073.2,Not Available,Not Available,3962.1,0,3962.1,8177.3,14.26,No,2019-04-26T17:13:39.000,,,,,,
85,1463909,640 Fifth Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1012670034,1012670034,1034516,640 Fifth Avenue,Not Available,10019,640,Fifth Avenue,Manhattan,285821.0,356686,Office,"Bank Branch, Office, Retail Store",Office,288063.0,Retail Store,68623,Bank Branch,0,1949,1,100,Whole Building,Whole Building,59,166,166.1,68.3,68.4,15.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5650999.1,Not Available,Not Available,Not Available,Not Available,1.87200586E7,5486534.7,5486534.7,Not Available,Not Available,1960.6,0,1960.6,5028.9,14.1,No,2019-04-26T17:13:39.000,40.759432000000004,-73.977122,105.0,4.0,104.0,Midtown-Midtown South
86,1463980,350 Park Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1012870033,1012870033,1035473,350 Park Avenue,Not Available,10022,350,Park Avenue,Manhattan,536992.0,550317,Office,"Bank Branch, Fast Food Restaurant, Office, Other",Office,533173.0,Bank Branch,13020,Other,2675,1960,1,100,Whole Building,Not Available,44,207,Not Available,94.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.00038445E7,Not Available,Not Available,Not Available,Not Available,3.20936135E7,9406098.9,Not Available,Not Available,Not Available,4046.2,0,4046.2,7669.8,13.94,No,2019-04-26T17:13:39.000,40.758224,-73.97323100000001,105.0,4.0,102.0,Midtown-Midtown South
87,1467374,RXR - 230 Park Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1013000001,1013000001,1036185,230 Park Avenue,Not Available,10169,230,Park Avenue,Manhattan,1212596.0,1294809,Office,"Financial Office, Office, Restaurant, Retail Store",Office,935384.0,Financial Office,331189,Retail Store,18337,1929,1,90,Whole Building,Whole Building,70,184.6,180.2,97.2,93.7,12.4,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.95009953E7,Not Available,Not Available,1270296.4,12703,5.50373917E7,1.61305349E7,16073475,Not Available,Not Available,9343.3,67.5,9275.9,Not Available,Not Available,No,2019-04-19T11:45:37.000,40.754508,-73.975951,105.0,4.0,92.0,Turtle Bay-East Midtown
88,1467490,595 Madison Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1012930026,1012930026,1036061,595 Madison Avenue,Not Available,10022,595,Madison Avenue,Manhattan,322756.0,333984,Office,"Office, Retail Store",Office,308118.0,Retail Store,25866,Not Available,Not Available,1929,1,100,Whole Building,Whole Building,51,164.1,162.9,80.7,80.4,12.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.29556161E7,Not Available,Not Available,Not Available,Not Available,1.40093991E7,4105919.5,4061810.9,Not Available,Not Available,2046.7,0,2046.7,6663.6,19.95,No,2019-04-26T17:13:40.000,40.762384000000004,-73.97228,105.0,4.0,11202.0,Midtown-Midtown South
89,1470683,Fisher - 1345 Avenue of the Americas,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1010070029,1010070029,1083719,1345 Avenue of the Americas,Not Available,10105,1345,Avenue of the Americas,Manhattan,1900241.0,1866766,Office,"Office, Restaurant",Office,1832312.0,Restaurant,34454,Not Available,Not Available,1969,1,100,Whole Building,Not Available,30,264.1,263.4,123,122.3,21.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,93786997,Not Available,Not Available,Not Available,Not Available,1.358110222E8,39803929,39803929,Not Available,Not Available,17729.1,0,17729.1,Not Available,Not Available,No,2019-04-05T21:23:31.000,40.762605,-73.97846,105.0,4.0,137.0,Midtown-Midtown South
90,1472193,Fisher - 605 3rd Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1009200012,1009200012,1082153,605 3rd Avenue,Not Available,10016,605,3rd Avenue,Manhattan,,1056389,Office,"Financial Office, Office",Office,677630.0,Financial Office,378759,Not Available,Not Available,1963,1,100,Whole Building,Whole Building,68,135.2,135.2,64.3,64.3,10.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.97169589E7,Not Available,Not Available,Not Available,Not Available,3.82369997E7,1.12066222E7,1.12066222E7,Not Available,Not Available,5211.4,0,5211.4,15287.5,14.47,,2019-04-05T21:15:22.000,40.749076,-73.97568199999999,106.0,4.0,88.0,Turtle Bay-East Midtown
91,1472861,1633 Broadway - Paramount Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1010220043,1-01022-0043,1024812,1633 Broadway,Not Available,10019,1633,Broadway,Manhattan,2438059.0,2837932,Office,"Data Center, Office, Parking, Performing Arts",Office,2677596.0,Performing Arts,145192,Parking,81688,1970,1,85,Whole Building,Not Available,58,185.6,183.8,97.5,95.9,12.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.550336332E8,Not Available,Not Available,Not Available,Not Available,1.215415347E8,3.56217819E7,3.56217819E7,Not Available,Not Available,20587.3,0,20587.3,62251.6,21.94,No,2019-04-08T15:24:01.000,40.761573999999996,-73.983962,105.0,3.0,131.0,Midtown-Midtown South
92,1479144,900 Third Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1013090032,1-01309-0032,1081162,900 Third Ave,Not Available,10022,900,Third Ave,Manhattan,516710.0,591315,Office,"Bank Branch, Data Center, Office, Retail Store",Office,556582.0,Bank Branch,16983,Retail Store,12560,1983,1,100,Whole Building,Whole Building,78,138.8,138.6,58.5,58.3,12.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9218811.2,Not Available,Not Available,Not Available,Not Available,2.53517837E7,7430181.9,7430181.9,Not Available,Not Available,2759.2,0,2759.2,4472.6,7.56,No,2019-03-15T11:54:47.000,40.758590000000005,-73.96875899999999,106.0,4.0,100.0,Turtle Bay-East Midtown
93,1483343,29WFC-Sheraton New York Hotel & Towers,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1010050001,1-01005-0001,1023159,811 7th Ave.,Not Available,10019,811,7th Ave.,Manhattan,1172021.0,1165000,Hotel,"Hotel, Parking",Hotel,1165000.0,Parking,60000,Not Available,Not Available,1990,1,100,Whole Building,Whole Building,41,201.6,201.3,117.8,118.5,12.9,0.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.54093991E7,868064.2,5.18548135E7,1.51977747E7,1.50088614E7,Not Available,Not Available,8928.1,4536.5,4391.6,61989,53.21,No,2019-03-13T16:22:26.000,40.762674,-73.982095,105.0,4.0,131.0,Midtown-Midtown South
94,1501971,712 Fifth Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1012710038,1-01271-0038,1077363,712 Fifth Avenue,Not Available,10019,712,Fifth Avenue,Manhattan,520796.0,574857,Office,"Data Center, Office, Retail Store",Office,487735.0,Retail Store,85917,Data Center,1205,1990,1,100,Whole Building,Not Available,63,167.5,166.5,70.7,70.4,15,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.09523329E7,Not Available,Not Available,Not Available,Not Available,2.96899691E7,8701631.2,8636504.5,Not Available,Not Available,3241.7,0,3241.7,10441,18.16,No,2019-03-15T11:54:48.000,40.762495,-73.975193,105.0,4.0,104.0,Midtown-Midtown South
95,1505280,850 Third Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1013060033,1013060033,1036462,850 Third Avenue,Not Available,10022,850,Third Avenue,Manhattan,574675.0,590518,Office,"Bank Branch, Office, Other - Public Services, Parking, Retail Store",Office,543920.0,Other - Public Services,30996,Parking,10078,1960,1,100,Whole Building,Whole Building,66,177.4,175.5,87.3,85.6,13.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.47569059E7,Not Available,Not Available,Not Available,Not Available,2.67679157E7,7845226.4,7867805.9,Not Available,Not Available,3910.8,0,3910.8,Not Available,Not Available,No,2019-04-10T14:04:44.000,40.756924,-73.969976,106.0,4.0,100.0,Turtle Bay-East Midtown
96,1511892,745 Fifth Ave.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1012930069,1-01293-0069,1036079,745 Fifth Ave.,Not Available,10151,745,Fifth Ave.,Manhattan,459340.0,537135,Office,"Data Center, Office, Other - Entertainment/Public Assembly, Retail Store",Office,437870.0,Retail Store,66076,Other - Entertainment/Public Assembly,30032,1930,1,100,Whole Building,Whole Building,60,191,189.3,83,82.4,16.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13895465,Not Available,Not Available,Not Available,Not Available,3.06667999E7,8987923.8,8887403.5,Not Available,Not Available,3519.8,0,3519.8,8859.9,16.49,No,2019-03-15T11:54:48.000,40.763326,-73.97369499999999,105.0,4.0,11202.0,Midtown-Midtown South
97,1513221,1177 Avenue of the Americas,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1009980029,1-00998-0029,1076173,1177 Avenue of the Americas,Not Available,10036,1177,Avenue of the Americas,Manhattan,912955.0,997901,Office,Office,Office,997901.0,Not Available,Not Available,Not Available,Not Available,1992,1,100,Whole Building,Whole Building,70,190.8,189.2,77.7,77.1,17.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.67101327E7,Not Available,Not Available,Not Available,Not Available,6.08340817E7,1.78294473E7,1.76491918E7,Not Available,Not Available,6261.6,0,6261.6,11978.4,12,No,2019-03-08T20:48:41.000,40.757256,-73.982364,105.0,4.0,119.0,Midtown-Midtown South
98,1513225,Park Avenue Tower,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1012910028,1012910028,1035771,65 East 55th Street,Not Available,10022,65,East 55th,Manhattan,528552.0,619631,Office,"Financial Office, Office, Restaurant, Self-Storage Facility",Office,311179.0,Financial Office,287098,Restaurant,12350,1986,1,95,Whole Building,Whole Building,60,181,180.9,76.7,76.8,16.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.30625869E7,Not Available,Not Available,Not Available,Not Available,3.44436764E7,1.00948629E7,1.00671488E7,Not Available,Not Available,3784.4,0,3784.4,7620.6,12.3,No,2019-04-22T16:00:56.000,,,,,,
99,1536164,ATCO - 555 Fifth Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1012810069,1-01281-0069,1035401,555 Fifth Avenue,Not Available,10017,555,Fifth Avenue,Manhattan,206378.0,243294,Office,"Office, Restaurant, Retail Store",Office,207357.0,Retail Store,34137,Restaurant,1800,1955,1,100,Whole Building,Whole Building,51,188.1,187.6,75.5,75.2,17.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3541965.3,Not Available,Not Available,Not Available,Not Available,14821039,4343797.5,4337131.2,Not Available,Not Available,1490.4,0,1490.4,Not Available,Not Available,No,2019-04-10T18:10:39.000,40.755801,-73.97874,105.0,4.0,94.0,Midtown-Midtown South
100,1547633,COLLEGE POINT (1150),Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,4041430001,4041430001,4462119,13505 20TH AVE,Not Available,11356,13505,20TH AVE,Queens,139896.0,139899,Retail Store,"Parking, Retail Store",Retail Store,139899.0,Parking,0,Not Available,Not Available,1998,1,100,Whole Building,Not Available,55,204.9,202,91.2,90.2,18,0.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4035300.2,40452.6,8726834.4,2557688.6,2513232,Not Available,Not Available,953.4,214.3,739.1,1863,13.32,Yes,2019-09-17T20:29:52.000,40.781665000000004,-73.833647,407.0,19.0,945.0,Whitestone
101,1547842,QUEENS PLACE (1344),Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,Not Available,Not Available,4437281,8801 QUEENS BLVD,Not Available,11373,8801,QUEENS BLVD,Not Avaliable,,227172,Retail Store,Retail Store,Retail Store,227172.0,Not Available,Not Available,Not Available,Not Available,2001,1,100,Whole Building,Not Available,84,130.2,130.3,47.4,47.5,13.5,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,332400,3441.2,10441740,3060298.6,3060298.6,Not Available,Not Available,902,17.7,884.3,2115,9.31,,2019-06-26T08:19:54.000,,,,,,
102,1547924,GATEWAY (1401),Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,3044520520,3044520520,3348833,519 GATEWAY DR,Not Available,11239,519,GATEWAY DR,Brooklyn,158402.0,148939,Retail Store,"Parking, Retail Store",Retail Store,148939.0,Parking,0,Not Available,Not Available,2002,1,100,Whole Building,Not Available,57,196,193.9,100,98.7,15.1,0.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7137599.8,70260.4,7749733.4,2271316.7,2250069.5,Not Available,Not Available,1035.4,379.1,656.3,1789,12.01,Yes,2019-09-17T20:29:52.000,40.651356,-73.86881,305.0,42.0,1070.0,East New York
103,1548095,RIVERDALE (1798),Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,2032450060,2032450060,2109471,40 W 225TH ST #50,Not Available,10463,40,W 225TH,Bronx,156474.0,157011,Retail Store,"Parking, Retail Store",Retail Store,157011.0,Parking,0,Not Available,Not Available,2004,1,100,Whole Building,Not Available,55,215.4,214.7,90.6,90.7,20,0.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3447199.8,35163.9,10785363,3161008.7,3142881.8,Not Available,Not Available,1096.5,183.1,913.4,1261,8.03,Yes,2019-09-17T20:29:53.000,,,,,,
104,1548267,STATEN ISLAND (2006),Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,5074810001,5074810001,5149742,2900 VETERANS RD W,Not Available,10309,2900,VETERANS RD,Staten Island,144760.0,143876,Retail Store,"Parking, Retail Store",Retail Store,143876.0,Parking,0,Not Available,Not Available,2006,1,100,Whole Building,Not Available,73,168.9,169.4,75.7,76.1,15,0.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3543100,36036.8,7350608.7,2154339.9,2154339.9,Not Available,Not Available,810.7,188.2,622.5,1588,11.04,Yes,2019-09-17T20:29:54.000,,,,,,
105,1557168,2 Park Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1008620029,1-00862-0029,1017019,2 Park Avenue,Not Available,10016,2,Park Avenue,Manhattan,852731.0,916666,Office,"Bank Branch, Office, Other, Parking, Restaurant, Retail Store",Office,871589.0,Other,26134,Bank Branch,13106,1928,1,95,Whole Building,Whole Building,68,151.7,150.8,65.2,64.9,13.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.77769251E7,Not Available,Not Available,Not Available,Not Available,42023732,1.23164498E7,1.22222865E7,Not Available,Not Available,4739.3,0,4739.3,14347.1,15.65,No,2019-04-24T10:40:07.000,40.746077,-73.98209200000001,105.0,2.0,74.0,Midtown-Midtown South
106,1557451,60 Broad Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1000240001,1000240001,1000817,60 Broad Street,Not Available,10004,60,Broad Street,Manhattan,974958.0,1072213,Office,Office,Office,1072213.0,Not Available,Not Available,Not Available,Not Available,1962,1,95,Whole Building,Whole Building,59,167.2,165.6,83.8,82.6,12.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.53478818E7,Not Available,Not Available,Not Available,Not Available,4.45252358E7,1.30495986E7,1.30495986E7,Not Available,Not Available,6781.9,0,6781.9,17237.3,16.08,No,2019-04-28T23:33:43.000,40.705351,-74.01150200000001,101.0,1.0,9.0,Battery Park City-Lower Manhattan
107,1575272,PTG - 535 Madison Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1012900021,1-01290-0021,1035747,535 Madison Avenue,Not Available,10022,535,Madison Avenue,Manhattan,444293.0,444293,Financial Office,"Financial Office, Office, Other",Financial Office,273124.0,Office,161081,Other,10088,1981,1,100,Whole Building,Whole Building,51,194.6,193.8,79.6,79.3,18,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7879779.2,Not Available,Not Available,Not Available,Not Available,27490836,8057102.2,8016399.8,Not Available,Not Available,2851.4,0,2851.4,6123.2,13.78,Yes,2019-04-05T17:41:30.000,40.760354,-73.973454,105.0,4.0,102.0,Midtown-Midtown South
108,1575697,866 UN Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1013607501,1-01360-7501,1040072,866 UN Plaza,Not Available,10017,866,UN Plaza,Manhattan,464072.0,376326,Office,"Financial Office, Office, Parking",Office,370842.0,Parking,42674,Financial Office,5484,1966,1,100,Whole Building,Whole Building,64,156.7,154.5,68.8,67.6,13.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8442711.9,Not Available,Not Available,Not Available,Not Available,1.74368458E7,5110446.6,5057517.2,Not Available,Not Available,2037.3,0,2037.3,5897.8,15.67,Yes,2019-04-16T00:24:19.000,40.752925,-73.96683399999999,106.0,4.0,8603.0,Turtle Bay-East Midtown
109,1577267,689 Fifth Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1012900001,1012900001,1035741,689 FIfth Avenue,Not Available,10022,689,FIfth Avenue,Manhattan,91210.0,89978,Office,"Office, Retail Store",Office,73286.0,Retail Store,16692,Not Available,Not Available,1926,1,100,Whole Building,Not Available,19,308.2,308.6,135.6,135.9,26.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4030132.3,Not Available,Not Available,Not Available,Not Available,8172328.9,2395172.3,2395172.3,Not Available,Not Available,959.7,0,959.7,2200.5,24.46,No,2019-04-26T17:13:40.000,40.761131,-73.97529499999999,105.0,4.0,102.0,Midtown-Midtown South
110,1578383,1325 Avenue of the Americas,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1010060013,1-01006-0013,1076175,1325 Avenue of the Americas,Not Available,10019,1325,Avenue of the Americas,Manhattan,753137.0,898743,Office,"Office, Other, Social/Meeting Hall",Office,816757.0,Social/Meeting Hall,69019,Other,12967,1989,1,100,Whole Building,Whole Building,78,112.8,Not Available,48.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.25061989E7,Not Available,Not Available,Not Available,Not Available,3.08397952E7,9038625.9,Not Available,Not Available,Not Available,3442.2,0,3442.2,11318.4,12.59,No,2019-03-20T12:05:05.000,40.761998999999996,-73.97890100000001,105.0,4.0,131.0,Midtown-Midtown South
111,1582233,1 United Nations Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,No,1013377502,1-01337-7502,1038758,1 United Nations Plaza,Not Available,10017,1,United Nations,Manhattan,586305.0,587000,Office,"Hotel, Office",Office,387000.0,Hotel,200000,Not Available,Not Available,1975,1,100,Whole Building,Whole Building,44,230.8,Not Available,111.3,Not Available,17.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,28120241,Not Available,Not Available,1437330,Not Available,3.57720843E7,1.04841969E7,1.02124234E7,Not Available,Not Available,4973,76.3,4896.7,22928.9,39.06,No,2019-03-26T13:54:52.000,40.748756,-73.968969,106.0,4.0,8602.0,Turtle Bay-East Midtown
