,dbn,district,school,principal,_school_support_organization,progress_report_type,school_level_,peer_index_,overall_grade,overall_score,environment_category_score,environment_grade,performance_category_score,performance_grade,progress_category_score,progress_grade,additional_credit,_progress_report_grade,_quality_review_score,_federal_accountability_status
504,10X079,10.0,P.S. 079 CRESTON,Pamela L Edwards,ESO,ESMS,Elementary School,,,,,,,,,,,,,
505,10X080,10.0,J.H.S. 080 THE MOSHOLU PARKWAY,Lovey Mazique-Rivera,AED,ESMS,Middle School,2.81,B,49.9,5.2,C,14.8,B,26.9,B,3.0,A,Proficient,Restructuring - Year 3
506,10X081,10.0,P.S. 081 ROBERT J. CHRISTEN,Melodie Mashel,ESO,ESMS,Elementary School,31.12,C,39.0,8.4,B,14.3,B,14.0,D,2.25,B,Well Developed,In Good Standing
507,10X085,10.0,P.S. 085 GREAT EXPECTATIONS,Ted Husted,ESO,ESMS,Elementary School,66.05,D,28.4,6.7,B,10.0,C,11.7,D,0.0,B,Proficient,In Need of Improvement - Year 2
508,10X086,10.0,P.S. 086 KINGSBRIDGE HEIGHTS,Sheldon Benardo,ESO,ESMS,Elementary School,63.05,A,74.5,8.9,B,15.7,A,43.9,A,6.0,A,Well Developed,In Good Standing
509,10X091,10.0,P.S. 091 BRONX,Rosemary Prati,ESO,ESMS,Elementary School,61.7,C,36.8,8.4,B,14.7,B,12.2,D,1.5,B,Well Developed,In Good Standing
510,10X094,10.0,P.S. 094 KINGS COLLEGE SCHOOL,Diane Daprocida,ICI,ESMS,Elementary School,56.67,C,36.9,6.4,C,8.2,C,22.3,C,0.0,C,Proficient,In Need of Improvement - Year 2
511,10X095,10.0,P.S. 095 SHEILA MENCHER,Serge Marshall Davis,ESO,ESMS,K-8,54.41,B,66.0,7.8,B,16.1,B,33.8,B,8.25,B,Well Developed,In Need of Improvement - Year 2
512,10X118,10.0,J.H.S. 118 WILLIAM W. NILES,Elizabeth Lawrence,ESO,ESMS,Middle School,3.32,D,38.3,4.5,D,12.3,C,20.7,C,0.75,B,Well Developed,Restructuring - Year 4
513,10X141,10.0,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),Lori O'Mara,ESO,ESMS,Middle School,3.43,C,40.3,6.0,C,13.8,B,19.0,C,1.5,C,Proficient,In Good Standing
