,dbn,district,school,principal,_school_support_organization,progress_report_type,school_level_,peer_index_,overall_grade,overall_score,environment_category_score,environment_grade,performance_category_score,performance_grade,progress_category_score,progress_grade,additional_credit,_progress_report_grade,_quality_review_score,_federal_accountability_status
697,12X341,12.0,ACCION ACADEMY,Adrian Manuel,ESO,ESMS,Middle School,2.91,D,33.9,5.3,C,12.5,C,14.6,D,1.5,B,Proficient,In Good Standing
698,12X403,12.0,BRONX INTERNATIONAL HIGH SCHOOL,Joaquin Vega,ESO,HS,High School,1.86,A,83.4,12.2,A,16.1,B,48.1,A,7.0,A,Well Developed,In Good Standing
699,12X404,12.0,SCHOOL FOR EXCELLENCE,Wade Fuller,ESO,HS,High School,2.03,B,60.4,6.4,B,16.8,A,32.2,B,5.0,A,Well Developed,In Good Standing
700,12X480,12.0,BRONX REGIONAL HIGH SCHOOL,Colin Thomas,ESO,HS,Transfer School,2.16,C,39.9,8.0,B,11.4,B,19.2,D,1.3,C,Proficient,In Corrective Action
701,12X527,12.0,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,Elyse Doti,New Visions,HS,High School,2.13,A,64.9,7.4,B,18.6,A,31.9,B,7.0,B,Proficient,In Good Standing
702,12X543,12.0,HIGH SCHOOL FOR VIOLIN AND DANCE,Tanya John,ESO,HS,High School,1.95,A,89.4,9.9,A,18.8,A,51.7,A,9.0,A,Well Developed,In Good Standing
703,12X550,12.0,HIGH SCHOOL OF WORLD CULTURES,Ramon Namnum,"Replications, Inc.",HS,High School,2.08,B,63.6,10.4,A,18.6,A,34.6,B,0.0,B,Well Developed,Planning for Restructuring
704,12X680,12.0,BRONX COALITION COMMUNITY HIGH SCHOOL,Gloria Mcduffie,CEI-PEA,HS,High School,,,,,,,,,,,,,
705,,,,,,,,,,,,,,,,,0.0,D,,In Good Standing
706,12X682,12.0,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,Nancy Mann,ESO,HS,High School,1.79,A,90.7,11.9,A,15.6,B,50.2,A,13.0,B,Well Developed,In Good Standing
707,12X684,12.0,WINGS ACADEMY,Wayne Cox,LLSO,HS,High School,2.04,A,64.2,8.7,B,16.1,B,34.4,B,5.0,B,Well Developed,In Good Standing
708,12X690,12.0,MONROE ACADEMY FOR BUSINESS/LAW,Kabeya Mbuyi,CLSO,HS,High School,2.02,C,36.8,5.4,C,8.8,C,20.6,C,2.0,C,Proficient,In Good Standing
709,12X691,12.0,BRONX LITTLE SCHOOL,Janice Gordon,CEI-PEA,ESMS,Elementary School,52.86,A,83.1,7.5,B,17.5,A,58.1,A,0.0,A,Proficient,In Good Standing
710,12X692,12.0,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,Richard J. Massel,"Replications, Inc.",HS,High School,1.78,C,42.2,5.5,C,10.8,B,23.9,C,2.0,C,Proficient,In Good Standing
711,13K003,13.0,P.S. 003 THE BEDFORD VILLAGE,Kristina Beecher,CLSO,ESMS,Elementary School,49.86,A,66.1,6.2,C,14.0,B,42.1,A,3.75,C,Proficient,In Good Standing
712,13K008,13.0,P.S. 008 ROBERT FULTON,Seth Phillips,CLSO,ESMS,Elementary School,30.33,F,13.9,7.3,B,6.6,D,0.0,F,0.0,C,Proficient,In Good Standing
713,13K009,13.0,P.S. 009 TEUNIS G. BERGEN,Sandra D'Avilar,CLSO,ESMS,Elementary School,54.61,C,45.2,8.9,B,18.4,A,17.9,C,0.0,B,Well Developed,In Good Standing
714,13K011,13.0,P.S. 011 PURVIS J. BEHAN,Alonta Wrighton,CLSO,ESMS,Elementary School,50.59,B,48.4,6.2,C,17.7,A,21.5,C,3.0,C,Proficient,In Good Standing
715,13K020,13.0,P.S. 020 CLINTON HILL,Sean Keaton,CLSO,ESMS,Elementary School,47.33,C,42.7,6.5,B,15.5,B,19.9,C,0.75,B,Proficient,In Good Standing
716,13K044,13.0,P.S. 044 MARCUS GARVEY,Valerie Taylor,CLSO,ESMS,Elementary School,60.37,B,52.0,8.1,B,18.3,A,24.1,B,1.5,B,Proficient,In Good Standing
717,13K046,13.0,P.S. 046 EDWARD C. BLUM,Brenda Hill,CLSO,ESMS,Elementary School,63.78,A,85.4,8.3,B,14.1,B,53.2,A,9.75,B,Proficient,In Good Standing
718,13K054,13.0,P.S. 054 SAMUEL C. BARNES,Lorna Khan,CLSO,ESMS,Elementary School,59.27,C,45.6,5.6,C,10.2,C,29.8,B,0.0,C,Proficient,In Good Standing
719,13K056,13.0,P.S. 056 LEWIS H. LATIMER,Deborah Clark-Johnson,CLSO,ESMS,Elementary School,59.41,B,52.6,8.9,B,16.4,A,26.5,B,0.75,D,Well Developed,In Good Standing
720,13K067,13.0,P.S. 067 CHARLES A. DORSEY,Corinne Seabrook,CLSO,ESMS,Elementary School,60.44,D,32.5,9.7,A,5.4,F,15.1,C,2.25,B,Well Developed,Restructuring - Year 3
721,13K093,13.0,P.S. 093 WILLIAM H. PRESCOTT,Yvonne Knight,CLSO,ESMS,Elementary School,57.84,C,32.6,5.4,C,15.1,B,11.3,D,0.75,A,Well Developed,In Good Standing
722,13K103,13.0,SATELLITE THREE,Kenyatte Reid,CLSO,ESMS,Middle School,3.16,B,53.0,8.1,B,12.1,C,32.0,B,0.75,B,Proficient,In Good Standing
723,13K113,13.0,J.H.S. 113/OLD 294 EDMONDS CENTER,Khalek Kirkland,ESO,ESMS,Middle School,3.3,B,58.3,8.5,B,16.6,B,30.2,B,3.0,B,Proficient,Planning for Restructuring
724,13K117,13.0,J.H.S. 117 FRANCIS SCOTT KEY,Alander Hasty,CLSO,ESMS,Middle School,,,,,,,,,,,,,
725,,,,,,,,,,,,,,,,,,,,Restructuring - Year 3
726,13K133,13.0,P.S. 133 WILLIAM A. BUTLER,Heather D Foster-Mann,CLSO,ESMS,Elementary School,60.65,B,56.2,10.5,A,19.1,A,22.8,C,3.75,B,Well Developed,In Good Standing
727,13K256,13.0,P.S. 256 BENJAMIN BANNEKER,Sharyn Hemphill,CLSO,ESMS,Elementary School,56.34,C,43.5,4.9,C,13.4,B,25.2,B,0.0,C,Proficient,In Good Standing
728,13K258,13.0,J.H.S. 258 DAVID RUGGLES,Stanley Walker,CLSO,ESMS,Middle School,,,,,,,,,,,,,
729,,,,,,,,,,,,,,,,,,,,Restructuring - Year 4
730,13K265,13.0,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,Paula Holmes,CLSO,ESMS,Middle School,2.8,A,79.8,9.1,B,20.0,A,45.4,A,5.25,A,Proficient,In Good Standing
731,13K265,13.0,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,Paula Holmes,CLSO,HS,High School,2.45,A,65.0,10.3,A,22.4,A,32.3,B,0.0,B,Proficient,In Good Standing
732,13K266,13.0,M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL,Michele Robinson,CLSO,ESMS,Middle School,3.2,B,65.1,8.9,B,15.9,B,35.8,A,4.5,B,Proficient,In Good Standing
733,13K270,13.0,P.S. 270 JOHANN DEKALB,Mitra Lutchman,CLSO,ESMS,Elementary School,62.41,A,96.9,9.2,A,24.7,A,60.0,A,3.0,F,Proficient,In Good Standing
734,13K282,13.0,P.S. 282 PARK SLOPE,Magalie Alexis,ESO,ESMS,Elementary School,44.4,B,49.5,6.2,C,14.9,B,26.9,B,1.5,C,Well Developed,In Good Standing
735,13K287,13.0,P.S. 287 BAILEY K. ASHFORD,Ms. Michele Rawlins,CLSO,ESMS,Elementary School,64.38,C,34.7,6.1,C,5.2,F,23.4,B,0.0,F,Proficient,In Good Standing
736,13K301,13.0,SATELLITE EAST MIDDLE SCHOOL,Kim Mcpherson,CLSO,ESMS,Middle School,3.06,B,57.6,7.4,B,13.7,C,32.0,B,4.5,D,Underdeveloped with Proficient Features,In Good Standing
737,13K305,13.0,P.S. 305 DR. PETER RAY,Dr. Julia Mortley,CLSO,ESMS,Elementary School,58.79,C,45.7,5.2,C,11.6,B,28.1,B,0.75,B,Proficient,In Good Standing
738,13K307,13.0,P.S. 307 DANIEL HALE WILLIAMS,Roberta Davenport,CLSO,ESMS,Elementary School,57.93,B,48.0,7.7,B,10.0,C,28.0,B,2.25,D,Proficient,In Good Standing
739,13K313,13.0,SATELLITE WEST MIDDLE SCHOOL,Suzane Joseph,CLSO,ESMS,Middle School,3.02,B,57.3,7.0,B,17.2,B,32.3,B,0.75,B,Proficient,In Good Standing
740,13K336,13.0,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,Clyde Cole,ESO,ESMS,Middle School,2.92,B,57.7,8.7,B,14.9,B,34.1,B,0.0,C,Proficient,In Good Standing
741,13K350,13.0,"URBAN ASSEMBLY SCHOOL OF MUSIC AND ART, THE",Paul Thompson,ESO,HS,High School,2.3,,,,,,,,,,,,
742,,,,,,,,,,,,,,,,,6.0,,Proficient,In Good Standing
743,13K412,13.0,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",James O'Brien,ESO,HS,High School,2.15,,,,,,,,,,,,
744,,,,,,,,,,,,,,,,,1.0,,Proficient,In Good Standing
745,13K419,13.0,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREA",Denise Jennings,CLSO,HS,High School,2.61,D,32.0,0.5,F,11.6,B,19.9,C,0.0,D,Underdeveloped,Requiring Academic Progress - Year 1
746,13K430,13.0,BROOKLYN TECHNICAL HIGH SCHOOL,Randy Asher,ESO,HS,High School,3.83,A,65.5,5.6,B,19.4,A,38.5,A,2.0,B,Well Developed,In Good Standing
747,13K439,13.0,BROOKLYN INTERNATIONAL HIGH SCHOOL,Pamela Taranto,ESO,HS,High School,2.5,A,106.5,15.0,A,18.5,A,60.0,A,13.0,A,Well Developed,In Good Standing
748,13K483,13.0,"URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE, THE",Elana Karopkin,ESO,HS,High School,2.65,A,78.5,10.3,A,19.2,A,41.0,A,8.0,,Well Developed,In Good Standing
749,13K488,13.0,BROOKLYN PREPARATORY HIGH SCHOOL,Janet Ruth Price,ESO,HS,High School,2.35,A,68.1,9.8,A,19.1,A,33.2,B,6.0,,Underdeveloped with Proficient Features,In Good Standing
750,13K492,13.0,URBAN ASSEMBLY ACADEMY OF ARTS AND LETTERS,Allison Gaines Pell,ESO,ESMS,Middle School,3.33,A,66.7,12.5,A,19.0,A,34.4,B,0.75,,Proficient,In Good Standing
751,,,,,,,,,,,,,,,,,,,,Restructuring - Year 1
752,13K499,13.0,ACORN COMMUNITY HIGH SCHOOL,Andrea Lewis,CLSO,HS,High School,2.16,A,64.4,6.5,B,15.1,B,35.8,A,7.0,B,Well Developed,In Good Standing
753,13K509,13.0,FREEDOM ACADEMY HIGH SCHOOL,Alyson Forde,CLSO,HS,High School,2.3,B,50.5,4.2,C,16.7,A,28.6,B,1.0,C,Proficient,In Good Standing
754,13K527,13.0,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,Kelly Demonaco,ESO,ESMS,Middle School,3.16,B,58.9,12.3,A,16.2,B,30.4,B,0.0,,Proficient,In Good Standing
755,13K553,13.0,BROOKLYN ACADEMY HIGH SCHOOL,Elaine Lindsey,ESO,HS,Transfer School,2.26,A,58.0,10.4,A,14.1,B,33.5,A,0.0,B,Well Developed,In Good Standing
756,13K571,13.0,M.S. 571,Marissa Burson-Flateau,CLSO,ESMS,Middle School,2.81,B,59.7,5.1,D,16.0,B,31.8,B,6.75,C,Proficient,In Good Standing
757,13K575,13.0,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,Marisol Carmen Bradbury,ESO,HS,Transfer School,2.36,B,50.3,4.5,C,14.1,B,31.7,A,0.0,B,Well Developed,In Good Standing
758,13K595,13.0,BEDFORD ACADEMY HIGH SCHOOL,George Leonard,ESO,HS,High School,2.98,A,98.7,13.9,A,22.8,A,60.0,A,2.0,A,Well Developed,In Good Standing
759,13K596,13.0,KNOWLEDGE AND POWER PREPARATORY ACADEMY VII MIDDLE SCHOOL,Rosa Smith-Norman,"Replications, Inc.",ESMS,Middle School,2.88,,,,,,,,,,,,
760,,,,,,,,,,,,,,,,,,,,In Good Standing
761,13K605,13.0,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,John Widlund,CLSO,HS,High School,2.14,B,48.4,8.8,B,10.3,B,25.3,B,4.0,C,Proficient,In Corrective Action
762,13K670,13.0,BENJAMIN BANNEKER ACADEMY,Daryl Rock,ESO,HS,High School,3.31,A,67.2,6.6,B,17.6,A,43.0,A,0.0,B,Well Developed,In Good Standing
763,14K016,14.0,P.S. 016 LEONARD DUNKLY,Virginia Berrios,CLSO,ESMS,Elementary School,61.08,B,48.9,6.7,B,12.2,B,30.0,B,0.0,D,Proficient,In Good Standing
764,14K017,14.0,P.S. 017 HENRY D. WOODWORTH,Dr. Robert Marchi,CLSO,ESMS,Elementary School,59.58,B,48.5,9.8,A,17.3,A,21.4,C,0.0,B,Well Developed,In Good Standing
765,14K018,14.0,P.S. 018 EDWARD BUSH,Karen Ford,CLSO,ESMS,Elementary School,58.36,A,60.3,10.1,A,16.0,A,33.4,A,0.75,A,Well Developed,In Good Standing
766,14K019,14.0,P.S. 019 ROBERTO CLEMENTE,Maria Witherspoon,CLSO,ESMS,Elementary School,65.36,C,41.2,7.6,B,9.8,C,23.8,B,0.0,C,Underdeveloped with Proficient Features,Restructuring - Year 1
767,14K023,14.0,P.S. 023 CARTER C. WOODSON,Sharon Meade,CLSO,ESMS,Elementary School,62.2,A,87.1,11.9,A,14.4,B,56.3,A,4.5,F,Proficient,In Good Standing
768,14K031,14.0,P.S. 031 SAMUEL F. DUPONT,Mary J. Scarlato,CLSO,ESMS,Elementary School,39.96,A,76.0,13.5,A,25.0,A,37.5,A,0.0,A,Outstanding,In Good Standing
769,14K034,14.0,P.S. 034 OLIVER H. PERRY,Alicja Winnicki,CLSO,ESMS,Elementary School,32.71,A,74.7,13.3,A,19.7,A,39.4,A,2.25,A,Outstanding,In Good Standing
770,14K049,14.0,J.H.S. 049 WILLIAM J. GAYNOR,Claytisha Walden,CLSO,ESMS,Middle School,,,,,,,,,,,,,
771,,,,,,,,,,,,,,,,,,,,Restructuring - Year 4
772,14K050,14.0,J.H.S. 050 JOHN D. WELLS,Denise Jamison,CLSO,ESMS,Middle School,2.88,C,47.5,6.0,C,14.0,B,27.5,B,0.0,A,Well Developed,Restructuring - Year 4
773,14K059,14.0,P.S. 059 WILLIAM FLOYD,Dawn Best,CLSO,ESMS,Elementary School,61.91,B,52.4,5.3,C,11.9,B,29.9,B,5.25,D,Proficient,In Good Standing
774,14K071,14.0,JUAN MOREL CAMPOS SECONDARY SCHOOL,Howard Fineman,CLSO,ESMS,Middle School,2.95,B,50.6,4.8,D,12.8,C,31.5,B,1.5,C,Proficient,Restructuring - Year 4
775,14K071,14.0,JUAN MOREL CAMPOS SECONDARY SCHOOL,Howard Fineman,CLSO,HS,High School,2.03,B,50.0,6.1,B,16.8,A,25.1,B,2.0,,Proficient,Restructuring - Year 4
776,14K084,14.0,P.S. 084 JOSE DE DIEGO,Stefanie Greco,CLSO,ESMS,Elementary School,60.23,A,60.7,10.7,A,9.5,C,36.0,A,4.5,D,Proficient,In Need of Improvement - Year 1
777,14K110,14.0,P.S. 110 THE MONITOR,Anna Cano Amato,CLSO,ESMS,Elementary School,40.17,A,71.7,10.7,A,11.8,B,39.4,A,9.75,B,Well Developed,In Good Standing
778,14K120,14.0,P.S. 120 CARLOS TAPIA,Liza Caraballo,CLSO,ESMS,Elementary School,64.45,A,71.0,15.0,A,14.7,B,36.0,A,5.25,B,Well Developed,In Good Standing
779,14K126,14.0,JOHN ERICSSON MIDDLE SCHOOL 126,Dr. Sheldon Toback,CEI-PEA,ESMS,Middle School,3.0,D,29.6,4.4,D,10.4,D,14.8,D,0.0,D,Proficient,Restructuring - Year 3
780,14K132,14.0,P.S. 132 THE CONSELYEA SCHOOL,Beth Lubeck-Ceffalia,CLSO,ESMS,Elementary School,47.13,A,74.7,9.8,A,17.8,A,42.6,A,4.5,A,Well Developed,In Good Standing
781,14K147,14.0,P.S. 147 ISSAC REMSEN,Rafaela Espinal-Pacheco,ESO,ESMS,Elementary School,60.47,A,68.9,10.4,A,16.7,A,35.8,A,6.0,A,Well Developed,In Good Standing
782,,,,,,,,,,,,,,,,,,,,In Good Standing
783,14K157,14.0,P.S. 157 BENJAMIN FRANKLIN,Maribel Torres,CLSO,ESMS,Elementary School,65.21,A,60.9,13.8,A,16.0,A,30.3,B,0.75,A,Well Developed,In Good Standing
784,14K196,14.0,P.S. 196 TEN EYCK,Janine Colon,CLSO,ESMS,Elementary School,62.21,A,86.3,12.1,A,23.9,A,45.8,A,4.5,C,Well Developed,In Good Standing
785,14K250,14.0,P.S. 250 GEORGE H. LINDSAY,Nora Barnes,CLSO,ESMS,Elementary School,49.07,B,58.9,10.7,A,17.9,A,27.3,B,3.0,B,Well Developed,In Good Standing
786,14K257,14.0,P.S. 257 JOHN F. HYLAN,Brian Leavy-Devale,CLSO,ESMS,Elementary School,64.84,A,83.9,13.8,A,23.0,A,40.3,A,6.75,A,Well Developed,In Good Standing
787,14K297,14.0,P.S. 297 ABRAHAM STOCKTON,Maureen Garrity,CLSO,ESMS,Elementary School,61.05,B,52.8,5.4,C,13.6,B,30.0,B,3.75,C,Proficient,In Good Standing
788,14K318,14.0,J.H.S. 318 EUGENIO MARIA DE HOSTOS,Fred Rubino,CLSO,ESMS,Middle School,3.5,A,65.9,11.8,A,16.6,B,29.2,B,8.25,B,Well Developed,Restructuring - Year 1
789,14K330,14.0,URBAN ASSEMBLY SCHOOL FOR THE URBAN ENVIRONMENT,Kourtney Cole,ESO,ESMS,Middle School,2.88,B,55.8,5.9,C,16.1,B,32.3,B,1.5,A,Proficient,In Good Standing
790,14K380,14.0,P.S. 380 JOHN WAYNE ELEMENTARY,Josephine Viars,CLSO,ESMS,Elementary School,60.01,A,91.7,15.0,A,25.0,A,44.9,A,6.75,B,Well Developed,In Good Standing
791,14K404,14.0,ACADEMY FOR YOUNG WRITERS,Carolyn Yaffe,ESO,HS,High School,2.46,,,,,,,,,,,,
792,,,,,,,,,,,,,,,,,3.0,,Well Developed,In Good Standing
793,14K449,14.0,"BROOKLYN LATIN SCHOOL, THE",Jason Griffiths,"Replications, Inc.",HS,High School,3.5,,,,,,,,,,,,
794,,,,,,,,,,,,,,,,,0.0,,Well Developed,In Good Standing
795,14K454,14.0,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,Karali Pitzele,ESO,HS,High School,2.28,,,,,,,,,,,,
796,,,,,,,,,,,,,,,,,1.0,,Proficient,In Good Standing
797,14K474,14.0,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,William Jusino,CLSO,HS,High School,2.27,C,42.8,6.3,B,9.0,C,26.5,B,1.0,B,Well Developed,In Good Standing
798,14K477,14.0,SCHOOL FOR LEGAL STUDIES,Denise Morgan,ESO,HS,High School,2.3,D,33.4,2.7,F,11.6,B,19.1,C,0.0,C,Proficient,In Need of Improvement - Year 2
799,14K478,14.0,"ENTERPRISE, BUSINESS AND  TECHNOLOGY HIGH SCHOOL",Juan S. Mendez,CLSO,HS,High School,2.33,A,77.6,9.4,A,22.3,A,36.9,A,9.0,A,Well Developed,In Good Standing
800,14K558,14.0,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,Steve Farina,New Visions,HS,High School,2.45,B,46.3,3.4,D,12.0,B,27.9,B,3.0,,Underdeveloped,In Good Standing
801,14K561,14.0,WILLIAMSBURG PREPARATORY SCHOOL,Kathleen Elvin,ESO,HS,High School,2.6,A,83.6,10.5,A,17.8,A,44.3,A,11.0,,Well Developed,In Good Standing
802,14K577,14.0,CONSELYEA PREPARATORY SCHOOL,Maria Masullo,CLSO,ESMS,Middle School,3.35,B,63.3,12.5,A,17.7,A,30.1,B,3.0,A,Proficient,In Good Standing
803,14K582,14.0,M.S. 582,Brian Walsh,CLSO,ESMS,Middle School,3.17,D,37.8,8.5,B,9.6,F,18.2,D,1.5,C,Well Developed,In Good Standing
804,14K583,14.0,MULTICULTURAL HIGH SCHOOL,Altagracia Liciaga,ESO,HS,High School,1.94,,,,,,,,,,,,
805,,,,,,,,,,,,,,,,,2.0,,,
806,,,,,,,,,,,,,,,,,,,,In Good Standing
807,14K586,14.0,LYONS COMMUNITY SCHOOL,Karen Onishi-Taeko,New Visions,ESMS,Middle School,2.81,,,,,,,,,,,,
808,,,,,,,,,,,,,,,,,,,,In Good Standing
809,14K586,14.0,LYONS COMMUNITY SCHOOL,Karen Onishi-Taeko,New Visions,HS,High School,2.27,,,,,,,,,,,,
810,,,,,,,,,,,,,,,,,1.0,,,
811,,,,,,,,,,,,,,,,,,,,In Good Standing
812,14K610,14.0,AUTOMOTIVE HIGH SCHOOL,Melissa Silberman,CLSO,HS,High School,2.02,B,48.7,6.6,B,9.8,C,29.3,B,3.0,F,Well Developed,Restructuring - Year 3
813,14K685,14.0,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,Hector Calderon,ESO,HS,High School,2.02,A,70.2,12.0,A,15.8,B,38.4,A,4.0,B,Well Developed,Planning for Restructuring
814,15K001,15.0,P.S. 001 THE BERGEN,Zaida Vega,ESO,ESMS,Elementary School,61.08,B,54.9,9.9,A,15.5,B,28.7,B,0.75,B,Well Developed,In Need of Improvement - Year 1
815,15K010,15.0,MAGNET SCHOOL OF MATH SCIENCE AND DESIGN TECHNOLOGY,Laura Scott,ESO,ESMS,Elementary School,53.57,A,94.0,11.9,A,18.1,A,55.0,A,9.0,C,Well Developed,In Good Standing
816,15K015,15.0,P.S. 015 PATRICK F. DALY,Peggy Wyns-Madison,ESO,ESMS,Elementary School,63.99,A,85.6,12.4,A,18.9,A,46.0,A,8.25,A,Proficient,In Good Standing
817,15K024,15.0,P.S. 024,Christina Fuentes,ESO,ESMS,Elementary School,65.67,A,61.7,11.6,A,17.0,A,33.1,A,0.0,A,Outstanding,Planning for Restructuring
818,15K027,15.0,AGNES Y. HUMPHREY SCHOOL FOR LEADERSHIP,Sara Belcher-Barnes,New Visions,ESMS,K-8,68.24,D,33.2,3.5,D,4.7,F,24.2,C,0.75,C,Proficient,Restructuring - Year 2
819,15K027,15.0,AGNES Y. HUMPHREY SCHOOL FOR LEADERSHIP,Sara Belcher-Barnes,New Visions,HS,High School,1.75,,,,,,,,,,,,
820,,,,,,,,,,,,,,,,,0.0,,Proficient,Restructuring - Year 2
821,15K029,15.0,P.S. 029 JOHN M. HARRIGAN,Melanie Raneri-Woods,ESO,ESMS,Elementary School,24.93,C,39.0,11.0,A,15.2,B,12.8,D,0.0,B,Well Developed,In Good Standing
822,15K032,15.0,P.S. 032 SAMUELS MILLS SPROLE,Deborah Ann Florio,ESO,ESMS,Elementary School,62.42,A,61.2,12.1,A,16.8,A,31.5,B,0.75,B,Well Developed,In Good Standing
823,15K038,15.0,P.S. 038 THE PACIFIC,Yolanda Ramirez,CLSO,ESMS,Elementary School,49.89,D,31.4,8.0,B,7.2,D,15.4,C,0.75,A,Well Developed,In Good Standing
824,15K039,15.0,P.S. 039 HENRY BRISTOW,Anita De Paz,ESO,ESMS,Elementary School,33.9,B,51.1,9.8,A,18.0,A,21.8,C,1.5,C,Well Developed,In Good Standing
825,15K051,15.0,M.S. 51 WILLIAM ALEXANDER,Lenore Berner,CLSO,ESMS,Middle School,3.71,A,67.4,9.3,B,18.4,A,30.7,B,9.0,B,Well Developed,In Good Standing
826,15K058,15.0,P.S. 058 THE CARROLL,Giselle Gault,CLSO,ESMS,Elementary School,27.83,A,78.6,10.9,A,15.6,B,49.1,A,3.0,D,Proficient,In Good Standing
827,15K088,15.0,J.H.S. 088 PETER ROUGET,Ailene Altman Mitchell,CLSO,ESMS,Middle School,3.1,B,64.3,8.8,B,16.4,B,35.3,B,3.75,A,Well Developed,Restructuring - Year 4
828,15K094,15.0,P.S. 094 THE HENRY LONGFELLOW,Janette Caban,CLSO,ESMS,Elementary School,51.63,A,75.0,8.4,B,15.0,B,43.3,A,8.25,A,Well Developed,In Need of Improvement - Year 1
829,15K107,15.0,P.S. 107 JOHN W. KIMBALL,Cynthia Holton,ESO,ESMS,Elementary School,21.16,A,63.7,9.9,A,20.3,A,33.5,A,0.0,A,Well Developed,In Good Standing
830,15K124,15.0,P.S. 124 SILAS B. DUTCHER,Annabelle Martinez,CLSO,ESMS,Elementary School,56.53,A,63.5,9.8,A,21.4,A,32.3,B,0.0,A,Proficient,In Good Standing
831,15K130,15.0,P.S. 130 THE PARKSIDE,Maria Nunziata,CLSO,ESMS,Elementary School,48.33,A,83.3,8.8,B,21.0,A,52.0,A,1.5,B,Well Developed,In Good Standing
832,15K131,15.0,P.S. 131 BROOKLYN,Ruth Quiles,CLSO,ESMS,Elementary School,55.4,A,80.8,11.2,A,16.6,A,44.7,A,8.25,B,Well Developed,In Good Standing
833,15K136,15.0,I.S. 136 CHARLES O. DEWEY,Eric Sackler,ESO,ESMS,Middle School,2.79,B,53.9,8.9,B,14.5,B,28.2,B,2.25,B,Proficient,Planning for Restructuring
834,15K146,15.0,P.S. 146,Anna Allanbrook,ESO,ESMS,Elementary School,30.77,A,63.6,10.9,A,19.8,A,31.4,B,1.5,C,Well Developed,In Good Standing
835,15K154,15.0,MAGNET SCHOOL FOR SCIENCE & TECHNOLOGY,Samuel Ortiz,ESO,ESMS,Elementary School,26.97,B,59.0,9.6,A,13.5,B,32.9,A,3.0,D,Proficient,In Good Standing
836,15K169,15.0,P.S. 169 SUNSET PARK,Josephine Santiago,CLSO,ESMS,Elementary School,53.69,B,49.0,9.6,A,13.7,B,22.7,C,3.0,B,Well Developed,In Need of Improvement - Year 1
837,15K172,15.0,P.S. 172 BEACON SCHOOL OF EXCELLENCE,Jack Spatola,ESO,ESMS,Elementary School,63.18,A,83.1,15.0,A,25.0,A,40.1,A,3.0,A,Outstanding,In Good Standing
838,15K230,15.0,P.S. 230 DORIS L. COHEN,Sharon Fiden,ESO,ESMS,Elementary School,36.26,B,46.3,12.1,A,13.4,B,20.0,C,0.75,B,Well Developed,In Good Standing
839,15K261,15.0,P.S. 261 PHILIP LIVINGSTON,Zipporiah Mills,CLSO,ESMS,Elementary School,37.97,C,37.2,7.0,B,11.5,B,17.2,C,1.5,C,Proficient,In Good Standing
840,15K295,15.0,P.S. 295,Deanna Marco,ESO,ESMS,Elementary School,49.44,A,72.8,9.9,A,15.3,B,43.8,A,3.75,A,Well Developed,In Good Standing
841,15K321,15.0,P.S. 321 WILLIAM PENN,Elizabeth Phillips,ESO,ESMS,Elementary School,16.31,B,52.5,12.0,A,15.1,B,22.4,C,3.0,B,Well Developed,In Good Standing
842,15K429,15.0,BROOKLYN SCHOOL FOR GLOBAL STUDIES,Lisa Gibbs,ESO,ESMS,Middle School,3.04,C,40.8,5.2,C,12.9,C,21.2,C,1.5,C,Well Developed,In Need of Improvement - Year 1
843,15K429,15.0,BROOKLYN SCHOOL FOR GLOBAL STUDIES,Lisa Gibbs,ESO,HS,High School,2.09,B,53.7,5.7,B,13.1,B,31.9,B,3.0,C,Well Developed,In Need of Improvement - Year 1
844,15K442,15.0,NEW HORIZONS SCHOOL,Mary Lou Aranyos,CLSO,ESMS,Middle School,2.9,B,50.0,7.9,B,14.5,B,27.6,B,0.0,C,Well Developed,In Good Standing
845,15K443,15.0,NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,Frank Giordano,CLSO,ESMS,Middle School,3.29,A,74.8,10.0,A,19.9,A,40.4,A,4.5,A,Proficient,In Good Standing
