,neighborhood,type_of_home,total_no_of_properties,number_of_sales,lowest_sale_price,average_sale_price,median_sale_price,highest_sale_price
142,SHEEPSHEAD BAY           ,03 THREE FAMILY HOMES                      ,737,7,150669,536068,550000,890000
143,SPRING CREEK             ,01 ONE FAMILY HOMES                        ,123,49,204300,210669,205118,238595
144,SPRING CREEK             ,02 TWO FAMILY HOMES                        ,90,29,357000,369161,357000,406620
145,SPRING CREEK             ,03 THREE FAMILY HOMES                      ,19,11,489952,500905,489952,550192
146,SUNSET PARK              ,01 ONE FAMILY HOMES                        ,349,14,190000,737725,562500,2810150
147,SUNSET PARK              ,02 TWO FAMILY HOMES                        ,4349,114,180000,697955,707500,1650000
148,SUNSET PARK              ,03 THREE FAMILY HOMES                      ,1501,36,171996,678028,772500,990000
149,WILLIAMSBURG-CENTRAL     ,01 ONE FAMILY HOMES                        ,32,2,386120,619060,619060,852000
150,WILLIAMSBURG-CENTRAL     ,02 TWO FAMILY HOMES                        ,302,2,850000,861250,861250,872500
151,WILLIAMSBURG-CENTRAL     ,03 THREE FAMILY HOMES                      ,534,9,300000,679278,685000,999500
152,WILLIAMSBURG-EAST        ,01 ONE FAMILY HOMES                        ,241,4,499999,705000,665000,990000
153,WILLIAMSBURG-EAST        ,02 TWO FAMILY HOMES                        ,988,10,300000,770775,716500,1683000
154,WILLIAMSBURG-EAST        ,03 THREE FAMILY HOMES                      ,550,4,750000,885000,920000,950000
155,WILLIAMSBURG-NORTH       ,02 TWO FAMILY HOMES                        ,201,5,500000,778320,880000,1100000
156,WILLIAMSBURG-SOUTH       ,02 TWO FAMILY HOMES                        ,254,4,550000,794750,772000,1085000
157,WILLIAMSBURG-SOUTH       ,03 THREE FAMILY HOMES                      ,143,1,1325000,1325000,1325000,1325000
158,WINDSOR TERRACE          ,01 ONE FAMILY HOMES                        ,506,15,302000,840633,900000,1450000
159,WINDSOR TERRACE          ,02 TWO FAMILY HOMES                        ,1014,13,200000,732853,859000,1150000
160,WINDSOR TERRACE          ,03 THREE FAMILY HOMES                      ,254,1,1500000,1500000,1500000,1500000
161,WYCKOFF HEIGHTS          ,01 ONE FAMILY HOMES                        ,117,3,280000,393667,441000,460000
162,WYCKOFF HEIGHTS          ,02 TWO FAMILY HOMES                        ,467,5,254500,422740,445200,520000
163,WYCKOFF HEIGHTS          ,03 THREE FAMILY HOMES                      ,326,6,392000,518667,507500,645000
