,school_dbn,community_school_district,city_council_district,school_level,full_time_health_teachers,f_status_health_teachers,itinerant_health_teachers,sum_of_f_status_and_itinerant,total_part_time_and_full
110,75K140,75,36,K-8,0,0,0,0,0
111,75K141,75,40,K-12 All Grades,0,0,0,0,0
112,32K145,32,34,Elementary,0,0,0,0,0
113,15K146,15,39,Elementary,0,0,0,0,0
114,14K147,14,34,Elementary,0,0,0,0,0
115,19K149,19,42,Elementary,0,0,0,0,0
116,23K150,23,41,Elementary,0,0,0,0,0
117,32K151,32,37,Elementary,0,0,0,0,0
118,22K152,22,45,Elementary,0,0,0,0,0
119,21K153,21,48,Elementary,0,0,0,0,0
120,15K154,15,39,Elementary,0,0,0,0,0
121,23K155,23,37,K-8,0,0,0,0,0
122,23K156,23,41,Elementary,0,0,0,0,0
123,14K157,14,33,K-8,0,0,0,0,0
124,19K158,19,37,Elementary,0,0,0,0,0
125,19K159,19,42,Elementary,0,0,0,0,0
126,20K160,20,44,Elementary,0,0,0,0,0
127,17K161,17,35,Elementary,0,0,0,0,0
128,32K162,32,34,Junior High-Intermediate-Middle,0,0,0,0,0
129,20K163,20,43,K-8,0,0,0,0,0
130,20K164,20,44,Elementary,0,0,0,0,0
131,23K165,23,42,K-8,0,0,0,0,0
132,32K168,32,37,High School,1,0,0,0,1
133,15K169,15,38,Elementary,0,0,0,0,0
134,20K170,20,43,Elementary,0,0,0,0,0
135,19K171,19,37,Junior High-Intermediate-Middle,0,0,0,0,0
136,15K172,15,38,Elementary,0,0,0,0,0
137,20K176,20,43,Elementary,0,0,0,0,0
138,21K177,21,44,Elementary,0,0,0,0,0
139,23K178,23,41,K-8,0,0,0,0,0
140,20K179,20,39,Elementary,0,0,0,0,0
141,20K180,20,44,K-8,0,0,0,0,0
142,17K181,17,45,K-8,0,0,0,0,0
143,23K184,23,42,K-8,0,0,0,0,0
144,20K185,20,43,Elementary,0,0,0,0,0
145,20K186,20,47,Elementary,0,0,0,0,0
146,20K187,20,38,Junior High-Intermediate-Middle,0,0,0,0,0
147,21K188,21,47,Elementary,0,0,0,0,0
148,17K189,17,41,K-8,0,0,0,0,0
149,19K190,19,42,Elementary,0,0,0,0,0
150,17K191,17,41,Elementary,0,0,0,0,0
151,20K192,20,44,K-8,0,0,0,0,0
152,22K193,22,45,Elementary,0,0,0,0,0
153,22K194,22,46,Elementary,0,0,0,0,0
154,22K195,22,48,Elementary,0,0,0,0,0
155,14K196,14,34,Elementary,0,0,0,0,0
156,22K197,22,48,Elementary,0,1,0,1,1
157,22K198,22,45,Elementary,0,0,0,0,0
158,21K199,21,48,Elementary,0,0,0,0,0
159,20K200,20,43,Elementary,0,0,0,0,0
160,20K201,20,43,Junior High-Intermediate-Middle,0,0,0,0,0
161,19K202,19,42,Elementary,0,0,0,0,0
162,22K203,22,46,Elementary,0,0,0,0,0
163,20K204,20,43,Elementary,0,0,0,0,0
164,20K205,20,47,Elementary,0,0,0,0,0
165,22K206,22,48,K-8,0,0,0,0,0
166,22K207,22,46,K-8,0,0,0,0,0
167,18K208,18,45,Elementary,0,0,0,0,0
168,21K209,21,48,K-8,0,0,0,0,0
169,18K211,18,46,Junior High-Intermediate-Middle,0,0,0,0,0
170,21K212,21,47,Elementary,0,0,0,0,0
171,19K213,19,42,Elementary,0,0,0,0,0
172,19K214,19,37,Elementary,1,0,0,0,1
173,21K215,21,47,Elementary,0,0,0,0,0
174,21K216,21,47,Elementary,0,0,0,0,0
175,22K217,22,40,Elementary,0,0,0,0,0
176,19K218,19,42,Junior High-Intermediate-Middle,0,0,0,0,0
177,18K219,18,41,Elementary,0,0,0,0,0
178,20K220,20,38,Junior High-Intermediate-Middle,1,0,0,0,1
179,17K221,17,35,Elementary,0,0,0,0,0
180,22K222,22,46,Elementary,0,0,0,0,0
181,20K223,20,44,Junior High-Intermediate-Middle,0,0,0,0,0
182,19K224,19,42,Elementary,0,0,0,0,0
183,21K225,21,48,K-8,0,0,0,0,0
184,21K226,21,44,K-8,0,0,0,0,0
185,20K227,20,38,Junior High-Intermediate-Middle,0,0,0,0,0
186,21K228,21,47,Junior High-Intermediate-Middle,0,0,0,0,0
187,20K229,20,43,K-8,0,0,0,0,0
188,15K230,15,39,Elementary,0,0,0,0,0
189,75K231,75,44,K-8,0,0,0,0,0
190,18K233,18,42,Elementary,0,0,0,0,0
191,22K234,22,48,Junior High-Intermediate-Middle,0,0,0,0,0
192,18K235,18,41,K-8,0,0,0,0,0
193,22K236,22,46,Elementary,0,0,0,0,0
194,21K238,21,44,K-8,0,0,0,0,0
195,21K239,21,47,Junior High-Intermediate-Middle,0,0,0,0,0
196,22K240,22,45,Junior High-Intermediate-Middle,1,0,0,0,1
197,17K241,17,35,Elementary,0,0,0,0,0
198,16K243,16,36,Elementary,0,0,0,0,0
199,18K244,18,45,Elementary,0,0,0,0,0
200,22K245,22,40,Elementary,0,0,0,0,0
201,17K246,17,40,Junior High-Intermediate-Middle,0,0,0,0,0
202,20K247,20,47,Elementary,0,0,0,0,0
203,17K249,17,40,Elementary,0,0,0,0,0
204,14K250,14,34,Elementary,0,0,0,0,0
205,22K251,22,46,Elementary,0,0,0,0,0
206,21K253,21,48,Elementary,0,0,0,0,0
207,22K254,22,48,Elementary,0,0,0,0,0
208,22K255,22,48,Elementary,0,0,0,0,0
209,13K256,13,36,Elementary,0,0,0,0,0
210,14K257,14,34,Elementary,0,0,0,0,0
211,20K259,20,43,Junior High-Intermediate-Middle,0,0,0,0,0
212,15K261,15,33,Elementary,0,0,0,0,0
213,16K262,16,36,K-8,0,0,0,0,0
214,20K264,20,43,Elementary,0,0,0,0,0
215,13K265,13,35,Secondary School,0,0,0,0,0
216,13K266,13,39,Junior High-Intermediate-Middle,0,0,0,0,0
217,16K267,16,36,Junior High-Intermediate-Middle,0,0,0,0,0
218,18K268,18,41,Elementary,0,0,0,0,0
219,22K269,22,45,Elementary,0,0,0,0,0
220,13K270,13,35,Elementary,0,0,0,0,0
221,18K272,18,46,Elementary,0,0,0,0,0
222,19K273,19,42,Elementary,0,0,0,0,0
223,32K274,32,34,Elementary,0,0,0,0,0
224,18K276,18,46,Elementary,0,0,0,0,0
225,22K277,22,46,Elementary,0,0,0,0,0
226,22K278,22,46,Junior High-Intermediate-Middle,0,0,0,0,0
227,18K279,18,46,Elementary,0,0,0,0,0
228,21K281,21,47,Junior High-Intermediate-Middle,1,0,0,0,1
229,13K282,13,39,K-8,0,0,0,0,0
230,23K284,23,41,K-8,0,0,0,0,0
231,18K285,18,45,Junior High-Intermediate-Middle,1,0,0,0,1
232,13K287,13,35,Elementary,0,0,0,0,0
233,21K288,21,47,K-8,0,0,0,0,0
234,17K289,17,36,Elementary,0,0,0,0,0
235,19K290,19,37,Elementary,0,0,0,0,0
236,32K291,32,37,Junior High-Intermediate-Middle,0,0,0,0,0
237,19K292,19,42,Junior High-Intermediate-Middle,0,0,0,0,0
238,15K295,15,38,Elementary,0,0,0,0,0
239,14K297,14,36,Elementary,0,0,0,0,0
240,23K298,23,37,Elementary,0,0,0,0,0
241,32K299,32,34,Elementary,0,0,0,0,0
242,13K301,13,36,Junior High-Intermediate-Middle,0,0,0,0,0
243,21K303,21,47,Junior High-Intermediate-Middle,0,0,0,0,0
244,13K305,13,36,Elementary,0,0,0,0,0
245,19K306,19,42,K-8,0,0,0,0,0
246,13K307,13,33,Elementary,0,0,0,0,0
247,16K308,16,36,K-8,0,0,0,0,0
248,16K309,16,41,Elementary,0,0,0,0,0
249,20K310,20,38,Elementary,0,0,0,0,0
250,19K311,19,42,Junior High-Intermediate-Middle,0,0,0,0,0
251,22K312,22,46,Elementary,0,0,0,0,0
252,13K313,13,33,Junior High-Intermediate-Middle,0,0,0,0,0
253,22K315,22,45,Elementary,0,0,0,0,0
254,17K316,17,35,Elementary,0,0,0,0,0
255,14K318,14,33,Junior High-Intermediate-Middle,0,0,0,0,0
256,14K319,14,34,Early Childhood,0,0,0,0,0
257,15K321,15,39,Elementary,0,0,0,0,0
258,23K323,23,41,K-8,0,0,0,0,0
259,19K325,19,42,Elementary,0,0,0,0,0
260,22K326,22,45,Early Childhood,0,0,0,0,0
261,23K327,23,41,K-8,0,0,0,0,0
262,19K328,19,42,Elementary,0,0,0,0,0
263,21K329,21,47,Elementary,0,0,0,0,0
264,16K335,16,36,Elementary,0,0,0,0,0
265,21K337,21,47,High School,0,0,0,0,0
266,17K340,17,35,Junior High-Intermediate-Middle,0,0,0,0,0
267,21K344,21,47,High School,0,0,0,0,0
268,19K345,19,37,Elementary,0,0,0,0,0
269,19K346,19,42,Elementary,0,0,0,0,0
270,32K347,32,34,Junior High-Intermediate-Middle,0,0,0,0,0
271,21K348,21,47,High School,0,0,0,0,0
272,32K349,32,34,Junior High-Intermediate-Middle,0,0,0,0,0
273,13K350,13,33,High School,0,0,0,0,0
274,13K351,13,35,Junior High-Intermediate-Middle,0,0,0,0,0
275,17K352,17,35,Junior High-Intermediate-Middle,0,0,0,0,0
276,17K353,17,35,Junior High-Intermediate-Middle,0,0,0,0,0
277,17K354,17,36,Junior High-Intermediate-Middle,0,0,0,0,0
278,22K361,22,45,Early Childhood,0,0,0,0,0
279,23K363,23,37,Junior High-Intermediate-Middle,0,0,0,0,0
280,19K364,19,42,Junior High-Intermediate-Middle,0,0,0,0,0
281,18K366,18,46,Junior High-Intermediate-Middle,0,0,0,0,0
282,75K368,75,36,K-12 All Grades,0,0,0,0,0
283,75K369,75,33,K-12 All Grades,0,0,0,0,0
284,75K370,75,48,K-12 All Grades,0,0,0,0,0
285,75K371,75,38,High School,0,0,0,0,0
286,75K372,75,39,Elementary,0,0,0,0,0
287,75K373,75,36,High School,0,0,0,0,0
288,17K375,17,35,Elementary,0,0,0,0,0
289,32K376,32,37,Elementary,0,0,0,0,0
290,32K377,32,37,K-8,0,0,0,0,0
291,14K380,14,33,Elementary,0,0,0,0,0
292,22K381,22,48,Junior High-Intermediate-Middle,0,0,0,0,0
293,17K382,17,40,Secondary School,0,0,0,0,0
294,32K383,32,37,Junior High-Intermediate-Middle,0,0,0,0,0
295,32K384,32,37,K-8,0,0,0,0,0
296,23K392,23,41,Junior High-Intermediate-Middle,0,0,0,0,0
297,16K393,16,36,High School,0,0,0,0,0
298,17K394,17,36,K-8,0,0,0,0,0
299,75K396,75,41,K-8,0,0,0,0,0
300,17K397,17,40,Elementary,0,0,0,0,0
301,17K398,17,41,Elementary,0,0,0,0,0
302,17K399,17,40,Elementary,0,0,0,0,0
303,23K401,23,37,Elementary,0,0,0,0,0
304,32K403,32,37,High School,0,0,0,0,0
305,19K404,19,42,Secondary School,0,0,0,0,0
306,22K405,22,45,High School,1,0,0,0,1
307,17K408,17,40,High School,0,0,0,0,0
308,19K409,19,42,Secondary School,0,0,0,0,0
309,21K410,21,47,High School,1,0,0,0,1
310,13K412,13,33,High School,0,0,0,0,0
311,14K414,14,34,Elementary,0,0,0,0,0
312,13K419,13,33,High School,0,0,0,0,0
313,19K422,19,46,Secondary School,0,0,0,0,0
314,15K423,15,33,High School,0,0,0,0,0
315,22K425,22,48,High School,0,0,0,0,0
316,15K429,15,33,Secondary School,0,0,0,0,0
317,13K430,13,35,High School,3,0,0,0,3
318,13K439,13,33,High School,0,0,0,0,0
319,15K442,15,39,Junior High-Intermediate-Middle,0,0,0,0,0
320,15K443,15,38,Junior High-Intermediate-Middle,0,0,0,0,0
321,20K445,20,43,High School,0,0,0,0,0
322,23K446,23,42,Elementary,0,0,0,0,0
323,15K447,15,33,Junior High-Intermediate-Middle,0,0,0,0,0
324,15K448,15,39,Secondary School,0,0,0,0,0
325,14K449,14,34,High School,0,0,0,0,0
326,19K452,19,42,Junior High-Intermediate-Middle,0,0,0,0,0
327,14K454,14,34,High School,0,0,0,0,0
328,16K455,16,36,High School,0,0,0,0,0
329,15K462,15,39,High School,0,0,0,0,0
330,15K463,15,39,High School,0,0,0,0,0
331,15K464,15,39,Secondary School,0,0,0,0,0
332,21K468,21,47,Secondary School,0,0,0,0,0
333,14K474,14,34,High School,0,0,0,0,0
334,14K477,14,34,High School,0,0,0,0,0
335,14K478,14,34,High School,1,0,0,0,1
336,13K483,13,33,High School,0,0,0,0,0
337,17K484,17,41,Junior High-Intermediate-Middle,0,0,0,0,0
338,20K485,20,43,High School,0,0,0,0,0
339,14K488,14,33,High School,0,0,0,0,0
340,17K489,17,35,High School,0,0,0,0,0
341,20K490,20,43,High School,1,0,0,0,1
342,13K492,13,35,K-8,0,0,0,0,0
343,23K493,23,41,High School,0,0,0,0,0
344,15K497,15,33,Secondary School,0,0,0,0,0
345,16K498,16,41,High School,0,0,0,0,0
346,13K499,13,35,High School,0,0,0,0,0
347,19K502,19,42,High School,0,0,0,0,0
348,20K503,20,38,Elementary,0,0,0,0,0
349,19K504,19,42,High School,0,0,0,0,0
350,20K505,20,44,High School,2,0,0,0,2
351,20K506,20,38,Elementary,0,0,0,0,0
352,19K507,19,42,High School,0,0,0,0,0
353,19K510,19,42,High School,1,0,0,0,1
354,23K514,23,41,High School,0,0,0,0,0
355,15K516,15,38,Elementary,0,0,0,0,0
356,23K518,23,42,Junior High-Intermediate-Middle,0,0,0,0,0
357,15K519,15,33,High School,0,0,0,0,0
358,23K522,23,41,Junior High-Intermediate-Middle,0,0,0,0,0
359,17K524,17,35,High School,0,0,0,0,0
360,21K525,21,44,High School,2,0,0,0,2
361,13K527,13,33,Secondary School,0,0,0,0,0
362,17K528,17,35,High School,0,0,0,0,0
363,15K529,15,39,High School,0,0,0,0,0
364,17K531,17,40,Secondary School,0,0,0,0,0
365,17K532,17,35,Elementary,0,0,0,0,0
366,17K533,17,40,Secondary School,0,0,0,0,0
367,22K535,22,48,High School,0,0,0,0,0
368,17K537,17,40,High School,0,0,0,0,0
369,17K539,17,40,High School,0,0,0,0,0
370,21K540,21,47,High School,4,0,0,0,4
371,17K543,17,40,Secondary School,0,0,0,0,0
372,32K545,32,34,High School,0,0,0,0,0
373,17K546,17,40,High School,0,0,0,0,0
374,17K547,17,35,High School,0,0,0,0,0
375,17K548,17,35,High School,0,0,0,0,0
376,32K549,32,37,High School,0,0,0,0,0
377,32K552,32,37,High School,0,0,0,0,0
378,13K553,13,36,High School,0,0,0,0,0
379,32K554,32,37,Secondary School,0,0,0,0,0
380,22K555,22,39,High School,0,0,0,0,0
381,32K556,32,34,High School,0,0,0,0,0
382,19K557,19,42,Elementary,0,0,0,0,0
383,14K558,14,33,High School,0,0,0,0,0
384,21K559,21,47,High School,0,0,0,0,0
385,14K561,14,33,High School,0,0,0,0,0
386,32K562,32,37,Junior High-Intermediate-Middle,0,0,0,0,0
387,18K563,18,45,High School,0,0,0,0,0
388,32K564,32,37,High School,0,0,0,0,0
389,18K566,18,46,High School,0,0,0,0,0
390,18K567,18,46,High School,0,0,0,0,0
391,17K568,17,41,High School,0,0,0,0,0
392,18K569,18,45,High School,1,0,0,0,1
393,21K572,21,47,High School,0,0,0,0,0
394,13K575,13,36,High School,0,0,0,0,0
395,18K576,18,46,High School,0,0,0,0,0
396,14K577,14,34,Junior High-Intermediate-Middle,0,0,0,0,0
397,18K578,18,46,High School,0,0,0,0,0
398,18K581,18,41,Junior High-Intermediate-Middle,0,0,0,0,0
399,14K582,14,34,Junior High-Intermediate-Middle,0,0,0,0,0
400,19K583,19,37,High School,0,0,0,0,0
401,16K584,16,36,Junior High-Intermediate-Middle,0,0,0,0,0
402,14K586,14,34,Secondary School,0,0,0,0,0
403,18K588,18,41,Junior High-Intermediate-Middle,0,0,0,0,0
404,18K589,18,41,High School,0,0,0,0,0
405,17K590,17,35,Secondary School,0,0,0,0,0
406,15K592,15,33,High School,0,0,0,0,0
407,16K594,16,41,High School,0,0,0,0,0
408,13K595,13,36,High School,0,0,0,0,0
409,18K598,18,41,Junior High-Intermediate-Middle,0,0,0,0,0
410,23K599,23,37,Elementary,0,0,0,0,0
411,17K600,17,35,High School,1,0,0,0,1
412,13K605,13,33,High School,0,0,0,0,0
413,20K609,20,44,Secondary School,0,0,0,0,0
414,14K610,14,33,High School,0,0,0,0,0
415,22K611,22,48,High School,0,0,0,0,0
416,14K614,14,34,Secondary School,0,0,0,0,0
417,19K615,19,37,High School,0,0,0,0,0
418,13K616,13,33,High School,0,0,0,0,0
419,18K617,18,46,High School,0,0,0,0,0
420,19K618,19,37,High School,0,0,0,0,0
421,21K620,21,48,High School,0,0,0,0,0
422,16K627,16,36,Elementary,0,0,0,0,0
423,16K628,16,36,Elementary,0,0,0,0,0
424,18K629,18,45,High School,0,0,0,0,0
425,22K630,22,48,High School,0,0,0,0,0
426,14K632,14,33,High School,0,0,0,0,0
427,18K633,18,46,High School,0,0,0,0,0
428,18K635,18,46,High School,0,0,0,0,0
429,18K637,18,46,High School,0,0,0,0,0
430,19K639,19,37,High School,0,0,0,0,0
431,18K642,18,46,High School,0,0,0,0,0
432,23K643,23,42,High School,0,0,0,0,0
433,23K644,23,41,Secondary School,0,0,0,0,0
434,23K646,23,37,High School,0,0,0,0,0
435,23K647,23,42,High School,0,0,0,0,0
436,19K654,19,42,Junior High-Intermediate-Middle,1,0,0,0,1
437,15K656,15,33,High School,0,0,0,0,0
438,19K659,19,37,High School,0,0,0,0,0
439,19K660,19,37,High School,0,0,0,0,0
440,19K661,19,37,Junior High-Intermediate-Middle,0,0,0,0,0
441,19K662,19,37,Junior High-Intermediate-Middle,0,0,0,0,0
442,19K663,19,42,Junior High-Intermediate-Middle,0,0,0,0,0
443,23K664,23,37,Junior High-Intermediate-Middle,0,0,0,0,0
444,15K667,15,38,High School,1,0,0,0,1
445,23K668,23,42,Junior High-Intermediate-Middle,0,0,0,0,0
446,16K669,16,36,High School,0,0,0,0,0
447,13K670,13,35,High School,1,0,0,0,1
448,23K671,23,41,Junior High-Intermediate-Middle,0,0,0,0,0
449,18K673,18,41,High School,0,0,0,0,0
450,13K674,13,33,High School,0,0,0,0,0
451,15K676,15,38,Elementary,0,0,0,0,0
452,19K677,19,42,Elementary,0,0,0,0,0
453,19K678,19,42,Junior High-Intermediate-Middle,0,0,0,0,0
454,16K681,16,36,Junior High-Intermediate-Middle,0,0,0,0,0
455,20K682,20,44,Elementary,0,0,0,0,0
456,19K683,19,42,High School,0,0,0,0,0
457,15K684,15,39,High School,0,0,0,0,0
458,14K685,14,33,High School,0,0,0,0,0
459,20K686,20,44,K-8,0,0,0,0,0
460,16K688,16,36,High School,0,0,0,0,0
461,21K690,21,47,Secondary School,1,0,0,0,1
462,13K691,13,35,Junior High-Intermediate-Middle,0,0,0,0,0
463,23K697,23,41,Secondary School,0,0,0,0,0
464,15K698,15,38,High School,0,0,0,0,0
465,17K705,17,35,Elementary,0,0,0,0,0
466,75K721,75,47,High School,0,0,0,0,0
467,17K722,17,41,Junior High-Intermediate-Middle,0,0,0,0,0
468,21K728,21,47,High School,0,0,0,0,0
469,17K745,17,40,High School,0,0,0,0,0
470,20K748,20,43,Elementary,0,0,0,0,0
471,17K751,17,36,High School,0,0,0,0,0
472,75K753,75,35,High School,0,0,0,0,0
473,19K760,19,37,Junior High-Intermediate-Middle,0,0,0,0,0
474,18K763,18,45,Junior High-Intermediate-Middle,0,0,0,0,0
475,19K764,19,37,High School,0,0,0,0,0
476,16K765,16,36,High School,0,0,0,0,0
477,17K770,17,41,Elementary,0,0,0,0,0
478,75K771,75,48,K-12 All Grades,0,0,0,0,0
479,75K811,75,48,Secondary School,0,0,0,0,0
480,15K821,15,38,Junior High-Intermediate-Middle,0,0,0,0,0
481,15K839,15,39,Junior High-Intermediate-Middle,0,0,0,0,0
482,20K971,20,38,Elementary,0,0,0,0,0
483,02M001,2,1,Elementary,0,0,0,0,0
484,02M002,2,1,Elementary,0,0,0,0,0
485,02M003,2,3,Elementary,0,0,0,0,0
486,06M004,6,7,Elementary,0,0,0,0,0
487,06M005,6,10,Elementary,0,0,0,0,0
488,02M006,2,4,Elementary,0,0,0,0,0
489,04M007,4,8,K-8,0,0,0,0,0
490,06M008,6,10,Elementary,0,0,0,0,0
491,03M009,3,6,Elementary,0,0,0,0,0
492,02M011,2,3,Elementary,0,0,0,0,0
493,04M012,4,8,K-8,0,0,0,0,0
494,01M015,1,2,Elementary,0,0,0,0,0
495,06M018,6,10,K-8,0,0,0,0,0
496,01M019,1,2,Elementary,0,0,0,0,0
497,01M020,1,1,Elementary,0,0,0,0,0
498,06M028,6,7,Elementary,0,0,0,0,0
499,05M030,5,9,Elementary,0,0,0,0,0
500,02M033,2,3,Elementary,0,0,0,0,0
501,01M034,1,2,K-8,0,0,0,0,0
502,75M035,75,3,K-12 All Grades,0,0,0,0,0
503,05M036,5,7,Elementary,0,0,0,0,0
504,04M037,4,8,Elementary,0,0,0,0,0
505,04M038,4,8,Elementary,0,0,0,0,0
506,02M040,2,2,Elementary,0,0,0,0,0
507,02M041,2,3,Elementary,0,0,0,0,0
508,02M042,2,1,Elementary,0,0,0,0,0
509,05M046,5,9,K-8,0,0,0,0,0
510,02M047,2,2,High School,0,0,0,0,0
511,06M048,6,10,Elementary,0,0,0,0,0
512,04M050,4,8,K-8,0,0,0,0,0
513,02M051,2,3,Elementary,0,0,0,0,0
514,06M052,6,10,Junior High-Intermediate-Middle,0,0,0,0,0
515,03M054,3,7,Junior High-Intermediate-Middle,0,0,0,0,0
516,04M057,4,8,K-8,0,0,0,0,0
517,02M059,2,4,Elementary,0,0,0,0,0
518,01M063,1,2,Elementary,0,0,0,0,0
519,01M064,1,2,Elementary,0,0,0,0,0
520,04M072,4,8,K-8,0,0,0,0,0
521,03M075,3,6,Elementary,0,0,0,0,0
522,03M076,3,9,K-8,0,0,0,0,0
523,02M077,2,5,Elementary,1,0,0,0,1
524,75M079,75,9,Secondary School,0,0,0,0,0
525,04M083,4,8,Elementary,0,0,0,0,0
526,03M084,3,6,Elementary,0,0,0,0,0
