cmplnt_num,addr_pct_cd,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_to_dt,cmplnt_to_tm,crm_atpt_cptd_cd,jurisdiction_code,juris_desc,ky_cd,law_cat_cd,ofns_desc,patrol_boro,pd_cd,pd_desc,prem_typ_desc,rpt_dt,susp_age_group,susp_race,susp_sex,vic_age_group,vic_race,vic_sex,housing_psa,loc_of_occur_desc,station_name,transit_district,hadevelopt,parks_nm
402987869,75,BROOKLYN,2019-04-27T00:00:00.000,02:15:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,PATROL BORO BKLYN NORTH,101.0,ASSAULT 3,STREET,2019-04-27T00:00:00.000,UNKNOWN,UNKNOWN,U,18-24,BLACK,M,,,,,,
118394898,75,BROOKLYN,2019-04-27T00:00:00.000,00:01:00,2019-04-27T00:00:00.000,16:15:00,COMPLETED,0.0,N.Y. POLICE DEPT,341,MISDEMEANOR,PETIT LARCENY,PATROL BORO BKLYN NORTH,349.0,"LARCENY,PETIT OF LICENSE PLATE",STREET,2019-04-27T00:00:00.000,,,,25-44,BLACK,M,,,,,,
141367973,47,BRONX,2019-04-26T00:00:00.000,17:30:00,2019-04-27T00:00:00.000,10:05:00,COMPLETED,0.0,N.Y. POLICE DEPT,107,FELONY,BURGLARY,PATROL BORO BRONX,213.0,"BURGLARY,COMMERCIAL,NIGHT",,2019-04-27T00:00:00.000,,,,UNKNOWN,UNKNOWN,D,,INSIDE,,,,
674770911,113,QUEENS,2019-04-22T00:00:00.000,14:00:00,2019-04-22T00:00:00.000,16:00:00,COMPLETED,0.0,N.Y. POLICE DEPT,107,FELONY,BURGLARY,PATROL BORO QUEENS SOUTH,221.0,"BURGLARY,RESIDENCE,DAY",RESIDENCE-HOUSE,2019-04-27T00:00:00.000,,,,25-44,BLACK,F,,INSIDE,,,,
645473358,44,BRONX,2019-04-25T00:00:00.000,14:45:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,348,MISDEMEANOR,VEHICLE AND TRAFFIC LAWS,PATROL BORO BRONX,916.0,LEAVING SCENE-ACCIDENT-PERSONA,STREET,2019-04-26T00:00:00.000,,,,25-44,BLACK HISPANIC,M,,,,,,
235982961,52,BRONX,2019-04-06T00:00:00.000,21:17:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,PATROL BORO BRONX,101.0,ASSAULT 3,STREET,2019-04-26T00:00:00.000,25-44,BLACK,F,45-64,BLACK,F,,FRONT OF,,,,
549342304,63,BROOKLYN,2018-08-26T00:00:00.000,12:00:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,104,FELONY,RAPE,PATROL BORO BKLYN SOUTH,157.0,RAPE 1,STREET,2019-04-26T00:00:00.000,UNKNOWN,UNKNOWN,M,<18,UNKNOWN,F,,,,,,
605960838,52,BRONX,2019-04-25T00:00:00.000,17:13:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,118,FELONY,DANGEROUS WEAPONS,PATROL BORO BRONX,793.0,WEAPONS POSSESSION 3,STREET,2019-04-25T00:00:00.000,<18,BLACK HISPANIC,M,UNKNOWN,UNKNOWN,E,,,,,,
769516339,44,BRONX,2019-04-25T00:00:00.000,12:30:00,2019-04-25T00:00:00.000,12:35:00,COMPLETED,0.0,N.Y. POLICE DEPT,578,VIOLATION,HARRASSMENT 2,PATROL BORO BRONX,638.0,"HARASSMENT,SUBD 3,4,5",BUS (NYC TRANSIT),2019-04-25T00:00:00.000,25-44,BLACK,M,25-44,BLACK,M,,,,,,
988754344,47,BRONX,2019-04-25T00:00:00.000,03:12:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,PATROL BORO BRONX,101.0,ASSAULT 3,STREET,2019-04-25T00:00:00.000,UNKNOWN,UNKNOWN,U,18-24,WHITE HISPANIC,F,,FRONT OF,,,,
290842293,47,BRONX,2019-04-24T00:00:00.000,07:20:00,,,COMPLETED,0.0,N.Y. POLICE DEPT,578,VIOLATION,HARRASSMENT 2,PATROL BORO BRONX,638.0,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,2019-04-25T00:00:00.000,65+,BLACK,M,45-64,BLACK,F,,INSIDE,,,,
622194116,46,BRONX,2019-04-23T00:00:00.000,16:30:00,2019-04-23T00:00:00.000,16:45:00,COMPLETED,0.0,N.Y. POLICE DEPT,578,VIOLATION,HARRASSMENT 2,PATROL BORO BRONX,637.0,"HARASSMENT,SUBD 1,CIVILIAN",OTHER,2019-04-25T00:00:00.000,UNKNOWN,WHITE HISPANIC,F,25-44,BLACK,F,,INSIDE,,,,
394555522,120,STATEN ISLAND,2019-04-22T00:00:00.000,10:00:00,2019-04-25T00:00:00.000,17:35:00,COMPLETED,0.0,N.Y. POLICE DEPT,109,FELONY,GRAND LARCENY,PATROL BORO STATEN ISLAND,409.0,"LARCENY,GRAND BY EXTORTION",RESIDENCE-HOUSE,2019-04-25T00:00:00.000,,,,25-44,WHITE HISPANIC,M,,INSIDE,,,,
