,borough,neighborhood,type_of_home,number_of_sales,lowest_sale_price,average_sale_price,median_sale_price,highest_sale_price,year
100,BRONX,MORRIS PARK/VAN NEST,02 TWO FAMILY HOMES,41,225000,394260,400000,555000,2010
101,BRONX,MORRIS PARK/VAN NEST,03 THREE FAMILY HOMES,9,246100,474456,525000,570000,2010
102,BRONX,MORRISANIA/LONGWOOD,01 ONE FAMILY HOMES,12,185000,286154,302500,345000,2010
103,BRONX,MORRISANIA/LONGWOOD,02 TWO FAMILY HOMES,32,150000,338612,360000,516221,2010
104,BRONX,MORRISANIA/LONGWOOD,03 THREE FAMILY HOMES,36,150000,399398,390897,999990,2010
105,BRONX,MOTT HAVEN/PORT MORRIS,01 ONE FAMILY HOMES,8,150000,245331,213825,410000,2010
106,BRONX,MOTT HAVEN/PORT MORRIS,02 TWO FAMILY HOMES,8,180000,318313,332500,415000,2010
107,BRONX,MOTT HAVEN/PORT MORRIS,03 THREE FAMILY HOMES,3,155000,326258,373775,450000,2010
108,BRONX,MOUNT HOPE/MOUNT EDEN,01 ONE FAMILY HOMES,1,240000,240000,240000,240000,2010
109,BRONX,MOUNT HOPE/MOUNT EDEN,02 TWO FAMILY HOMES,2,300000,335700,335700,371400,2010
110,BRONX,MOUNT HOPE/MOUNT EDEN,03 THREE FAMILY HOMES,3,370584,514492,459224,713667,2010
111,BRONX,PARKCHESTER,01 ONE FAMILY HOMES,5,160000,324160,333000,450000,2010
112,BRONX,PARKCHESTER,02 TWO FAMILY HOMES,23,160000,402271,425000,610448,2010
113,BRONX,PARKCHESTER,03 THREE FAMILY HOMES,10,270000,484987,495000,570000,2010
114,BRONX,PELHAM GARDENS,01 ONE FAMILY HOMES,15,257556,438957,420000,660000,2010
115,BRONX,PELHAM GARDENS,02 TWO FAMILY HOMES,6,390000,510333,460500,685000,2010
116,BRONX,PELHAM GARDENS,03 THREE FAMILY HOMES,1,450000,450000,450000,450000,2010
117,BRONX,PELHAM PARKWAY NORTH,01 ONE FAMILY HOMES,24,178745,386218,402500,661000,2010
118,BRONX,PELHAM PARKWAY NORTH,02 TWO FAMILY HOMES,23,230000,459736,455000,640000,2010
119,BRONX,PELHAM PARKWAY NORTH,03 THREE FAMILY HOMES,4,220000,400813,441625,500000,2010
120,BRONX,PELHAM PARKWAY SOUTH,01 ONE FAMILY HOMES,12,325000,446333,385500,730000,2010
121,BRONX,PELHAM PARKWAY SOUTH,02 TWO FAMILY HOMES,7,235248,415890,355000,695000,2010
122,BRONX,PELHAM PARKWAY SOUTH,03 THREE FAMILY HOMES,2,240000,440000,440000,640000,2010
123,BRONX,RIVERDALE,01 ONE FAMILY HOMES,36,155000,876418,645000,3040000,2010
124,BRONX,RIVERDALE,02 TWO FAMILY HOMES,7,599000,634143,635000,690000,2010
125,BRONX,RIVERDALE,03 THREE FAMILY HOMES,5,350000,701000,710000,975000,2010
126,BRONX,SCHUYLERVILLE/PELHAM BAY,01 ONE FAMILY HOMES,33,180000,383077,370000,730000,2010
127,BRONX,SCHUYLERVILLE/PELHAM BAY,02 TWO FAMILY HOMES,43,202000,457633,439000,692410,2010
128,BRONX,SCHUYLERVILLE/PELHAM BAY,03 THREE FAMILY HOMES,7,370000,531888,550000,669500,2010
129,BRONX,SOUNDVIEW,01 ONE FAMILY HOMES,15,151086,270317,280000,430000,2010
130,BRONX,SOUNDVIEW,02 TWO FAMILY HOMES,45,177000,391816,410000,623823,2010
