,prop_id,ampsdistrict,inspection_id,season,round,date,begininspection,endinspection,inspection_year,inspector,overall_condition,cleanliness,inspectiontype,comments,closed,inspector2
87,QZ660,14,45403,Summer,5,2006-07-31,01:10 PM,01:18 PM,2006,7,A,A,PIP,,,
88,QZ72,11,50837,Spring,6,2007-05-21,11:23 AM,11:33 AM,2007,15,A,A,PIP,,,
89,B126A,06,47333,Fall,6,2006-11-17,12:57 PM,01:04 PM,2006,13,A,A,PIP,,,
90,MZ101,10,22496,Summer,5,2003-08-11,10:39 AM,10:58 AM,2003,4,A,A,PIP,,,
91,B124,01,15458,Winter,3,2003-01-06,10:45 AM,11:12 AM,2002,4,A,A,PIP,,,
92,X115,04,26566,Winter,1,2003-12-04,12:58 PM,01:47 PM,2003,1,U,U,PIP,,,
93,XZ106,03,16839,Spring,5,2003-05-12,12:04 PM,12:11 PM,2003,4,A,A,PIP,,,
94,Q403,14,11528,Winter,5,2000-02-11,02:12 PM,03:03 PM,1999,39,A,A,PIP,,,
95,Q096B,10,49959,Spring,3,2007-03-29,01:14 PM,01:54 PM,2007,15,A,A,PIP,,,
96,B255H,07,33473,Fall,5,2004-11-03,12:47 PM,01:07 PM,2004,2,A,A,PIP,,,
97,Q061,02,595,Spring,3,2003-04-01,10:10 AM,10:18 AM,2003,4,A,A,PIP,,,
98,B267,09,53850,Fall,5,2007-10-23,12:57 PM,01:25 PM,2007,1,A,A,PIP,,,
99,Q120,12,17268,Summer,1,2003-06-05,12:26 PM,12:37 PM,2003,8,A,A,PIP,,,
100,QZ126,04,6706,Winter,6,2000-02-24,02:28 PM,02:32 PM,1999,32,U,U,PIP,,,
101,XZ315,06,38612,Summer,5,2005-08-08,10:47 AM,10:56 AM,2005,7,A,A,PIP,,,
102,X029,02,31070,Summer,3,2004-07-12,12:43 PM,12:52 PM,2004,3,A,A,PIP,,,
103,QZ170,14,6467,Winter,1,2000-12-07,10:31 AM,10:32 AM,2000,6,A,A,PIP,,,
104,Q104,01,28344,Spring,1,2004-03-03,09:45 AM,10:18 AM,2004,3,A,A,PIP,,,
105,Q096E,10,46119,Fall,1,2006-09-05,11:03 AM,11:39 AM,2006,13,A,A,PIP,,,
106,Q203,10,10027,Winter,1,2001-12-03,12:03 PM,12:11 PM,2001,45,A,A,PIP,,,
107,M088,03,1980,Winter,4,2003-01-23,11:52 AM,01:03 PM,2002,39,A,A,PIP,,,
108,B114-01,01,6020,Winter,2,1999-12-13,12:31 PM,12:56 PM,1999,35,A,A,PIP,,,
109,M034,10,37231,Summer,1,1905-06-10,04:30 PM,04:40 PM,1905,3,A,A,WEPIP,,,
110,RZ170,01,47048,Fall,5,2006-10-30,11:31 AM,11:36 AM,2006,1,A,A,PIP,,,
111,Q001-99,11,26043,Fall,5,2003-11-05,12:07 PM,12:24 PM,2003,5,A,A,PIP,,,
112,B227,16,15353,Winter,2,2001-12-19,10:51 AM,11:05 AM,2001,6,A,A,PIP,,,
113,Q401,06,3134,Spring,5,2000-05-05,10:39 AM,10:51 AM,2000,40,A,A,PIP,,,
114,Q463,14,14681,Spring,5,2001-05-07,12:57 PM,01:02 PM,2001,39,U,U,PIP,,,
115,B251-08,15,4474,Spring,4,2003-04-29,01:29 PM,01:43 PM,2003,8,A,A,PIP,,,
116,B169B,13,30897,Summer,3,2004-07-08,01:05 PM,01:17 PM,2004,5,A,A,PIP,,,
117,B232,08,6403,Fall,3,2000-10-06,10:09 AM,11:30 AM,2000,39,U,U,PIP,,,
118,MZ47,08,6891,Summer,5,2000-08-08,01:25 PM,01:35 PM,2000,32,A,A,PIP,,,
119,M029-ZN02,12,6414,Fall,4,2000-10-25,10:00 AM,11:33 AM,2000,41,A,A,PIP,,,
120,B223PA,01,40002,Fall,4,2005-10-17,12:25 PM,12:53 PM,2005,7,A,A,PIP,,,
121,B307,04,48138,Winter,3,2007-01-04,01:02 PM,01:18 PM,2006,12,A,A,PIP,,,
122,QT20,01,37009,Summer,1,2005-05-31,12:12 PM,12:24 PM,2005,2,A,A,PIP,,,
123,B223H,02,2191,Fall,3,2002-10-01,01:48 PM,02:16 PM,2002,45,A,A,PIP,,,
124,B041,08,42658,Spring,1,2006-02-28,03:00 PM,03:00 PM,2006,2,A,A,PIP,,,
125,B097,18,54665,Winter,2,2007-12-19,10:33 AM,10:51 AM,2007,3,A,A,PIP,,,
126,Q157,09,14451,Spring,5,2001-05-08,11:34 AM,11:39 AM,2001,44,A,A,PIP,,,
127,B116,16,23088,Summer,6,2003-08-27,12:20 PM,12:41 PM,2003,5,A,A,PIP,,,
128,Q407,14,27810,Winter,5,2004-02-05,01:39 PM,01:50 PM,2003,5,A,A,PIP,,,
129,X211,02,6961,Summer,2,1999-06-22,02:07 PM,02:22 PM,1999,31,A,A,PIP,,,
130,RZ49,03,51801,Summer,3,2007-07-05,12:19 PM,12:22 PM,2007,13,A,A,PIP,,,
131,M200,07,13137,Winter,2,2002-12-20,12:51 PM,01:05 PM,2002,44,U,U,PIP,,,
132,X010-03,03,1330,Fall,2,2002-09-24,03:03 PM,03:22 PM,2002,8,A,A,PIP,,,
133,M203E,06,53836,Fall,5,2007-10-23,11:54 AM,12:05 PM,2007,13,A,A,PIP,,,
134,B116,16,9919,Fall,5,2001-10-31,12:28 PM,12:36 PM,2001,6,A,A,PIP,,,
135,M224,03,38593,Summer,5,2005-08-08,12:55 PM,01:04 PM,2005,2,A,A,PIP,,,
136,X148C7,04,53517,Fall,3,2007-10-01,01:08 PM,01:19 PM,2007,13,A,A,PIP,,,
137,Q011,07,11146,Spring,6,2001-05-25,02:23 PM,04:56 PM,2001,44,A,A,PIP,,,
138,R097,03,46981,Fall,5,2006-10-26,11:51 AM,12:04 PM,2006,3,A,A,PIP,,,
139,Q018,02,4015,Fall,4,2002-10-16,09:30 AM,09:45 AM,2002,6,A,A,PIP,,,
140,QZ663,14,34642,Winter,4,2005-01-26,11:45 AM,11:49 AM,2004,4,A,A,PIP,,,
141,QZ79,07,17266,Summer,1,2003-06-05,10:17 AM,10:21 AM,2003,8,A,A,PIP,,,
142,R008,01,16500,Summer,6,2001-08-13,10:55 AM,11:28 AM,2001,4,A,A,PIP,,,
143,RZ012E,01,44486,Summer,2,2006-06-12,01:15 PM,01:21 PM,2006,3,A,A,PIP,,,
144,BZ217,02,3553,Winter,3,2003-01-09,10:20 AM,10:24 AM,2002,44,A,A,PIP,,,
145,X067,04,11418,Fall,6,2002-11-18,01:26 PM,01:38 PM,2002,45,A,A,PIP,,,
146,BZ50,16,13614,Fall,6,1999-11-10,12:11 PM,12:19 PM,1999,39,A,A,PIP,,,
147,XZ14,08,16218,Spring,2,2000-03-21,10:46 AM,10:55 AM,2000,39,A,A,PIP,,,
148,Q465,01,42764,Spring,1,2006-03-06,11:42 AM,11:55 AM,2006,11,A,A,PIP,,,
149,M268,03,13235,Winter,6,2003-02-21,12:15 PM,12:24 PM,2002,8,A,A,PIP,,,
150,B206,18,49950,Spring,3,2007-03-29,11:31 AM,11:51 AM,2007,13,A,A,PIP,,,
151,Q224,02,29436,Spring,4,2004-04-22,01:09 PM,01:30 PM,2004,1,A,A,PIP,,,
152,B249,16,30947,Summer,3,2004-07-09,12:13 PM,12:45 PM,2004,2,A,A,PIP,,,
153,X271,04,51217,Summer,1,2007-06-04,11:25 AM,11:40 AM,2007,13,A,A,PIP,,,
154,XZ18,04,2018,Summer,3,2002-07-08,01:34 PM,01:41 PM,2002,44,A,A,PIP,,,
155,RZ210,02,13121,Fall,6,2002-11-14,02:17 PM,02:24 PM,2002,4,A,A,PIP,,,
156,M164,06,41813,Winter,4,2006-01-18,10:22 AM,10:42 AM,2005,3,A,A,PIP,,,
157,M071-04,14,8706,Fall,3,2002-09-30,02:51 PM,03:12 PM,2002,8,A,A,PIP,,,
158,X157,11,1672,Winter,1,2002-12-04,12:17 PM,12:42 PM,2002,39,A,A,PIP,,,
159,X246,01,2097,Fall,4,2001-10-23,02:09 PM,02:28 PM,2001,44,A,A,PIP,,,
160,Q289,05,51533,Summer,1,1907-06-16,12:44 PM,12:57 PM,1907,11,A,A,WEPIP,,,
