,yearmonth,incidentclassification,incidentborough,incidentcount,averageresponsetime
266,2010/01,Medical Emergencies,Bronx,3298,04:29
267,2010/01,Medical Emergencies,Staten Island,850,04:30
268,2010/01,Medical Emergencies,Brooklyn,4767,03:57
269,2010/01,Medical Emergencies,Queens,3569,04:36
270,2010/01,Medical False Alarm,Citywide,302,04:28
271,2010/01,Medical False Alarm,Manhattan,77,04:27
272,2010/01,Medical False Alarm,Bronx,66,04:54
273,2010/01,Medical False Alarm,Staten Island,7,04:08
274,2010/01,Medical False Alarm,Brooklyn,79,03:55
275,2010/01,Medical False Alarm,Queens,73,04:47
276,2010/01,NonMedical Emergencies,Citywide,18234,04:46
277,2010/01,NonMedical Emergencies,Manhattan,4874,04:51
278,2010/01,NonMedical Emergencies,Bronx,3869,04:59
279,2010/01,NonMedical Emergencies,Staten Island,843,04:57
280,2010/01,NonMedical Emergencies,Brooklyn,5176,04:14
281,2010/01,NonMedical Emergencies,Queens,3472,05:09
282,2010/01,NonStructural Fires,Citywide,1239,04:11
283,2010/01,NonStructural Fires,Manhattan,329,04:13
284,2010/01,NonStructural Fires,Bronx,214,04:36
285,2010/01,NonStructural Fires,Staten Island,76,04:20
286,2010/01,NonStructural Fires,Brooklyn,378,03:43
287,2010/01,NonStructural Fires,Queens,242,04:24
288,2010/01,Structural Fires,Citywide,2467,03:55
289,2010/01,Structural Fires,Manhattan,624,04:11
290,2010/01,Structural Fires,Bronx,554,03:59
291,2010/01,Structural Fires,Staten Island,91,04:16
292,2010/01,Structural Fires,Brooklyn,773,03:23
293,2010/01,Structural Fires,Queens,425,04:20
294,2010/02,All Fire/Emergency Incidents,Citywide,37065,04:41
295,2010/02,All Fire/Emergency Incidents,Manhattan,9189,04:40
296,2010/02,All Fire/Emergency Incidents,Bronx,7038,04:47
297,2010/02,All Fire/Emergency Incidents,Staten Island,2456,05:34
298,2010/02,All Fire/Emergency Incidents,Brooklyn,10863,04:15
299,2010/02,All Fire/Emergency Incidents,Queens,7519,04:58
300,2010/02,False Alarm,Citywide,1548,04:35
301,2010/02,False Alarm,Manhattan,268,04:46
302,2010/02,False Alarm,Bronx,304,04:47
303,2010/02,False Alarm,Staten Island,137,04:35
304,2010/02,False Alarm,Brooklyn,390,04:04
305,2010/02,False Alarm,Queens,449,04:48
306,2010/02,Medical Emergencies,Citywide,14517,04:25
307,2010/02,Medical Emergencies,Manhattan,3511,04:27
308,2010/02,Medical Emergencies,Bronx,2772,04:25
309,2010/02,Medical Emergencies,Staten Island,759,04:50
310,2010/02,Medical Emergencies,Brooklyn,4311,04:05
311,2010/02,Medical Emergencies,Queens,3164,04:44
312,2010/02,Medical False Alarm,Citywide,278,04:28
313,2010/02,Medical False Alarm,Manhattan,58,04:31
314,2010/02,Medical False Alarm,Bronx,57,04:48
315,2010/02,Medical False Alarm,Staten Island,12,05:05
316,2010/02,Medical False Alarm,Brooklyn,80,03:52
317,2010/02,Medical False Alarm,Queens,71,04:45
318,2010/02,NonMedical Emergencies,Citywide,16672,05:02
319,2010/02,NonMedical Emergencies,Manhattan,4212,04:57
320,2010/02,NonMedical Emergencies,Bronx,3146,05:10
321,2010/02,NonMedical Emergencies,Staten Island,1437,06:06
322,2010/02,NonMedical Emergencies,Brooklyn,4824,04:32
323,2010/02,NonMedical Emergencies,Queens,3053,05:19
324,2010/02,NonStructural Fires,Citywide,1848,04:14
325,2010/02,NonStructural Fires,Manhattan,630,04:12
326,2010/02,NonStructural Fires,Bronx,207,04:32
327,2010/02,NonStructural Fires,Staten Island,35,04:27
328,2010/02,NonStructural Fires,Brooklyn,584,03:55
329,2010/02,NonStructural Fires,Queens,392,04:34
330,2010/02,Structural Fires,Citywide,2202,04:01
331,2010/02,Structural Fires,Manhattan,510,04:07
332,2010/02,Structural Fires,Bronx,552,04:05
333,2010/02,Structural Fires,Staten Island,76,04:26
334,2010/02,Structural Fires,Brooklyn,674,03:35
335,2010/02,Structural Fires,Queens,390,04:30
336,2010/03,All Fire/Emergency Incidents,Citywide,44564,04:44
337,2010/03,All Fire/Emergency Incidents,Manhattan,10558,04:43
338,2010/03,All Fire/Emergency Incidents,Bronx,8781,04:55
339,2010/03,All Fire/Emergency Incidents,Staten Island,3555,05:38
340,2010/03,All Fire/Emergency Incidents,Brooklyn,12672,04:12
341,2010/03,All Fire/Emergency Incidents,Queens,8998,05:01
342,2010/03,False Alarm,Citywide,2157,04:33
343,2010/03,False Alarm,Manhattan,356,04:33
344,2010/03,False Alarm,Bronx,581,04:41
345,2010/03,False Alarm,Staten Island,211,04:54
346,2010/03,False Alarm,Brooklyn,432,03:59
347,2010/03,False Alarm,Queens,577,04:41
348,2010/03,Medical Emergencies,Citywide,16929,04:17
349,2010/03,Medical Emergencies,Manhattan,4441,04:22
350,2010/03,Medical Emergencies,Bronx,3221,04:24
351,2010/03,Medical Emergencies,Staten Island,813,04:41
352,2010/03,Medical Emergencies,Brooklyn,4932,03:55
353,2010/03,Medical Emergencies,Queens,3522,04:33
354,2010/03,Medical False Alarm,Citywide,368,04:18
355,2010/03,Medical False Alarm,Manhattan,75,04:10
356,2010/03,Medical False Alarm,Bronx,68,04:30
357,2010/03,Medical False Alarm,Staten Island,8,04:13
358,2010/03,Medical False Alarm,Brooklyn,127,03:59
359,2010/03,Medical False Alarm,Queens,90,04:40
360,2010/03,NonMedical Emergencies,Citywide,21125,05:10
361,2010/03,NonMedical Emergencies,Manhattan,4826,05:03
362,2010/03,NonMedical Emergencies,Bronx,4157,05:24
363,2010/03,NonMedical Emergencies,Staten Island,2253,06:11
364,2010/03,NonMedical Emergencies,Brooklyn,5825,04:31
365,2010/03,NonMedical Emergencies,Queens,4064,05:31
366,2010/03,NonStructural Fires,Citywide,1660,04:24
367,2010/03,NonStructural Fires,Manhattan,348,04:14
368,2010/03,NonStructural Fires,Bronx,243,04:30
369,2010/03,NonStructural Fires,Staten Island,139,04:49
370,2010/03,NonStructural Fires,Brooklyn,572,04:08
371,2010/03,NonStructural Fires,Queens,358,04:43
372,2010/03,Structural Fires,Citywide,2325,04:02
373,2010/03,Structural Fires,Manhattan,512,04:14
374,2010/03,Structural Fires,Bronx,511,04:09
375,2010/03,Structural Fires,Staten Island,131,04:24
376,2010/03,Structural Fires,Brooklyn,784,03:36
377,2010/03,Structural Fires,Queens,387,04:24
378,2010/04,All Fire/Emergency Incidents,Citywide,38465,04:28
379,2010/04,All Fire/Emergency Incidents,Manhattan,10083,04:37
380,2010/04,All Fire/Emergency Incidents,Bronx,7711,04:37
381,2010/04,All Fire/Emergency Incidents,Staten Island,2325,04:45
382,2010/04,All Fire/Emergency Incidents,Brooklyn,10702,04:01
383,2010/04,All Fire/Emergency Incidents,Queens,7644,04:40
384,2010/04,False Alarm,Citywide,2089,04:15
385,2010/04,False Alarm,Manhattan,370,04:26
386,2010/04,False Alarm,Bronx,644,04:26
387,2010/04,False Alarm,Staten Island,178,04:15
388,2010/04,False Alarm,Brooklyn,402,03:43
389,2010/04,False Alarm,Queens,495,04:17
390,2010/04,Medical Emergencies,Citywide,17252,04:13
391,2010/04,Medical Emergencies,Manhattan,4525,04:20
392,2010/04,Medical Emergencies,Bronx,3145,04:20
393,2010/04,Medical Emergencies,Staten Island,917,04:30
394,2010/04,Medical Emergencies,Brooklyn,4966,03:52
395,2010/04,Medical Emergencies,Queens,3699,04:27
396,2010/04,Medical False Alarm,Citywide,383,04:11
397,2010/04,Medical False Alarm,Manhattan,91,04:17
398,2010/04,Medical False Alarm,Bronx,75,04:12
399,2010/04,Medical False Alarm,Staten Island,14,04:33
400,2010/04,Medical False Alarm,Brooklyn,122,03:53
401,2010/04,Medical False Alarm,Queens,81,04:25
402,2010/04,NonMedical Emergencies,Citywide,15101,04:48
403,2010/04,NonMedical Emergencies,Manhattan,4188,04:55
404,2010/04,NonMedical Emergencies,Bronx,3112,04:59
405,2010/04,NonMedical Emergencies,Staten Island,995,05:00
406,2010/04,NonMedical Emergencies,Brooklyn,4131,04:19
407,2010/04,NonMedical Emergencies,Queens,2675,05:03
408,2010/04,NonStructural Fires,Citywide,1467,04:22
409,2010/04,NonStructural Fires,Manhattan,378,04:37
410,2010/04,NonStructural Fires,Bronx,265,04:26
411,2010/04,NonStructural Fires,Staten Island,119,04:54
412,2010/04,NonStructural Fires,Brooklyn,377,03:46
413,2010/04,NonStructural Fires,Queens,328,04:33
414,2010/04,Structural Fires,Citywide,2173,03:59
415,2010/04,Structural Fires,Manhattan,531,04:06
416,2010/04,Structural Fires,Bronx,470,04:04
417,2010/04,Structural Fires,Staten Island,102,04:50
418,2010/04,Structural Fires,Brooklyn,704,03:33
419,2010/04,Structural Fires,Queens,366,04:20
420,2010/05,All Fire/Emergency Incidents,Citywide,43848,04:31
421,2010/05,All Fire/Emergency Incidents,Manhattan,11363,04:34
422,2010/05,All Fire/Emergency Incidents,Bronx,8748,04:43
423,2010/05,All Fire/Emergency Incidents,Staten Island,2410,04:49
424,2010/05,All Fire/Emergency Incidents,Brooklyn,12055,04:04
425,2010/05,All Fire/Emergency Incidents,Queens,9272,04:48
426,2010/05,False Alarm,Citywide,2614,04:19
427,2010/05,False Alarm,Manhattan,424,04:20
428,2010/05,False Alarm,Bronx,740,04:32
429,2010/05,False Alarm,Staten Island,223,04:19
430,2010/05,False Alarm,Brooklyn,475,03:53
431,2010/05,False Alarm,Queens,752,04:23
432,2010/05,Medical Emergencies,Citywide,19278,04:15
433,2010/05,Medical Emergencies,Manhattan,5086,04:19
434,2010/05,Medical Emergencies,Bronx,3617,04:24
435,2010/05,Medical Emergencies,Staten Island,916,04:42
436,2010/05,Medical Emergencies,Brooklyn,5549,03:54
437,2010/05,Medical Emergencies,Queens,4110,04:28
438,2010/05,Medical False Alarm,Citywide,431,04:07
439,2010/05,Medical False Alarm,Manhattan,104,04:03
440,2010/05,Medical False Alarm,Bronx,107,04:09
441,2010/05,Medical False Alarm,Staten Island,16,04:08
442,2010/05,Medical False Alarm,Brooklyn,128,03:57
443,2010/05,Medical False Alarm,Queens,76,04:23
444,2010/05,NonMedical Emergencies,Citywide,17866,04:53
445,2010/05,NonMedical Emergencies,Manhattan,4847,04:52
446,2010/05,NonMedical Emergencies,Bronx,3580,05:07
447,2010/05,NonMedical Emergencies,Staten Island,1074,05:04
448,2010/05,NonMedical Emergencies,Brooklyn,4711,04:22
449,2010/05,NonMedical Emergencies,Queens,3654,05:16
