,neighborhood,type_of_home,number_of_sales,lowest_sale_price,average_sale_price,median_sale_price,highest_sale_price
96,LONG ISLAND CITY         ,02 TWO FAMILY HOMES                        ,34,150000,848783,797500,2100000
97,LONG ISLAND CITY         ,03 THREE FAMILY HOMES                      ,11,400000,913139,900000,1600000
98,MASPETH                  ,01 ONE FAMILY HOMES                        ,85,225000,477276,472000,815334
99,MASPETH                  ,02 TWO FAMILY HOMES                        ,98,189500,580111,567000,905000
100,MASPETH                  ,03 THREE FAMILY HOMES                      ,20,470000,701628,702500,955000
101,MIDDLE VILLAGE           ,01 ONE FAMILY HOMES                        ,101,160000,516975,517000,920000
102,MIDDLE VILLAGE           ,02 TWO FAMILY HOMES                        ,76,233000,636014,632500,1237500
103,MIDDLE VILLAGE           ,03 THREE FAMILY HOMES                      ,24,186303,714352,762500,1104801
104,NEPONSIT                 ,01 ONE FAMILY HOMES                        ,21,265000,845157,916500,1500000
105,OAKLAND GARDENS          ,01 ONE FAMILY HOMES                        ,83,240000,749568,700000,1486645
106,OAKLAND GARDENS          ,02 TWO FAMILY HOMES                        ,12,655000,873490,900000,997885
107,OAKLAND GARDENS          ,03 THREE FAMILY HOMES                      ,3,835000,851667,840000,880000
108,OZONE PARK               ,01 ONE FAMILY HOMES                        ,101,150000,424593,415000,1350000
109,OZONE PARK               ,02 TWO FAMILY HOMES                        ,129,185000,487823,499550,795000
110,OZONE PARK               ,03 THREE FAMILY HOMES                      ,24,475000,664768,690000,799530
111,QUEENS VILLAGE           ,01 ONE FAMILY HOMES                        ,214,160000,394672,397271,723000
112,QUEENS VILLAGE           ,02 TWO FAMILY HOMES                        ,92,176182,502010,526587,710000
113,QUEENS VILLAGE           ,03 THREE FAMILY HOMES                      ,5,350000,557000,600000,725000
114,REGO PARK                ,01 ONE FAMILY HOMES                        ,51,260000,614699,600000,985000
115,REGO PARK                ,02 TWO FAMILY HOMES                        ,18,475000,835892,903125,1100000
116,REGO PARK                ,03 THREE FAMILY HOMES                      ,4,679714,780929,722500,999000
117,RICHMOND HILL            ,01 ONE FAMILY HOMES                        ,171,150000,411830,410000,757500
