,uniqueid,dateofbite,species,breed,age,gender,spayneuter,borough,zipcode
118,119,2015-03-15T00:00:00.000,DOG,Chihuahua,6,M,False,Brooklyn,11221.0
119,120,2015-03-25T00:00:00.000,DOG,TERRIER,5,M,False,Brooklyn,11027.0
120,121,2015-03-29T00:00:00.000,DOG,Pit Bull,1,M,False,Brooklyn,11224.0
121,122,2015-03-20T00:00:00.000,DOG,HARRIER/BEAGLE,10 M,M,True,Brooklyn,11235.0
122,123,2015-03-27T00:00:00.000,DOG,TERRIER,,U,False,Brooklyn,11215.0
123,124,2015-03-28T00:00:00.000,DOG,"Dachshund, Long Haired Miniature",4,M,True,Brooklyn,11234.0
124,125,2015-03-29T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11217.0
125,126,2015-03-24T00:00:00.000,DOG,BOXER X W/ PIT BULL,8,M,True,Brooklyn,11231.0
126,127,2015-03-31T00:00:00.000,DOG,Cocker Spaniel,3,F,False,Brooklyn,
127,128,2015-04-03T00:00:00.000,DOG,Yorkshire Terrier,6,M,True,Brooklyn,11233.0
128,129,2015-04-02T00:00:00.000,DOG,Chihuahua,,U,False,Brooklyn,
129,130,2015-04-06T00:00:00.000,DOG,Bull dog,8M,M,False,Brooklyn,11213.0
130,131,2015-04-06T00:00:00.000,DOG,American Staffordshire Terrier,,U,False,Brooklyn,11224.0
131,132,2015-04-06T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,4,F,True,Brooklyn,11212.0
132,133,2015-03-31T00:00:00.000,DOG,PITBULL/LAB RETRIEVER,5,F,True,Brooklyn,
133,134,2015-03-27T00:00:00.000,DOG,BOXER/RHODESIAN RIDGEBACK X,5,F,False,Brooklyn,11214.0
134,135,2015-04-06T00:00:00.000,DOG,Chihuahua Crossbreed,4M,M,False,Brooklyn,11205.0
135,136,2015-04-06T00:00:00.000,DOG,"Poodle, Standard",2,M,False,Brooklyn,11213.0
136,137,2015-04-07T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11231.0
137,138,2015-04-01T00:00:00.000,DOG,Bull Terrier,1,M,False,Brooklyn,11201.0
138,139,2015-04-08T00:00:00.000,DOG,CATAHOULA LEOPARD DOG,1,M,True,Brooklyn,11235.0
139,140,2015-04-08T00:00:00.000,DOG,,,U,False,Brooklyn,11214.0
140,141,2015-04-06T00:00:00.000,DOG,Yorkshire Terrier,6,F,False,Brooklyn,11219.0
141,142,2015-04-10T00:00:00.000,DOG,Cocker Spaniel Crossbreed,5,M,True,Brooklyn,11206.0
142,143,2015-04-03T00:00:00.000,DOG,BOXER/HOUND/PITBULL,6,F,True,Brooklyn,11216.0
143,144,2015-04-12T00:00:00.000,DOG,German Shepherd,11,F,True,Brooklyn,11209.0
144,145,2015-04-10T00:00:00.000,DOG,"Bull Dog, English",9M,M,False,Brooklyn,11220.0
145,146,2015-04-10T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,6M,M,False,Brooklyn,11224.0
146,147,2015-04-12T00:00:00.000,DOG,Chihuahua,9,F,True,Brooklyn,11224.0
147,148,2015-04-10T00:00:00.000,DOG,,,U,False,Brooklyn,11208.0
