,im_incident_key,fire_box,incident_type_desc,incident_date_time,arrival_date_time,units_onscene,last_unit_cleared_date_time,highest_level_desc,total_incident_duration,action_taken1_desc,action_taken2_desc,action_taken3_desc,property_use_desc,street_highway,zip_code,borough_desc,floor,co_detector_present_desc,story_fire_origin_count,fire_spread_desc,detector_presence_desc,aes_presence_desc,standpipe_sys_present_flag
554,63474828,573,735A - Unwarranted alarm/defective condition of alarm system,2018-06-30 17:35:46,2018-06-30 17:42:30,1.0,2018-06-30 18:09:16,11 - First Alarm,2010,86 - Investigate,,,UUU - Undetermined,10 AVE,10011,1 - Manhattan,,,,,,,
555,63474825,309,"300 - Rescue, EMS incident, other",2018-06-30 17:35:39,2018-06-30 17:38:37,1.0,2018-06-30 17:48:57,11 - First Alarm,798,"00 - Action taken, other",,,UUU - Undetermined,TAYLOR ST,11211,4 - Brooklyn,,,,,,,
556,63474823,2351,"300 - Rescue, EMS incident, other",2018-06-30 17:35:31,2018-06-30 17:40:31,1.0,2018-06-30 17:50:42,11 - First Alarm,911,"00 - Action taken, other",,,UUU - Undetermined,RIVER AVE,10452,2 - Bronx,,,,,,,
557,63474821,1372,"300 - Rescue, EMS incident, other",2018-06-30 17:35:01,2018-06-30 17:39:09,1.0,2018-06-30 17:49:45,11 - First Alarm,884,"00 - Action taken, other",,,UUU - Undetermined,BROADWAY,10025,1 - Manhattan,,,,,,,
558,63474815,1352,353 - Removal of victim(s) from stalled elevator,2018-06-30 17:34:09,2018-06-30 17:40:40,1.0,2018-06-30 17:49:47,11 - First Alarm,938,64 - Shut down system,86 - Investigate,"22 - Rescue, remove from harm",429 - Multifamily dwelling,W 112 ST,10026,1 - Manhattan,basement,,,,,,
559,63474812,1913,735A - Unwarranted alarm/defective condition of alarm system,2018-06-30 17:32:49,2018-06-30 17:40:21,2.0,2018-06-30 18:02:54,11 - First Alarm,1805,86 - Investigate,,,UUU - Undetermined,E LOOP RD,99999,1 - Manhattan,,,,,,,
560,63474811,6553,413 - Oil or other combustible liquid spill,2018-06-30 17:32:35,2018-06-30 17:39:14,2.0,2018-06-30 17:46:10,11 - First Alarm,815,43 - Hazardous materials spill control and confinement,,,"960 - Street, other",COOLIDGE AVE,11435,5 - Queens,,,,,,,
561,63474805,3525,"300 - Rescue, EMS incident, other",2018-06-30 17:31:04,2018-06-30 17:38:38,1.0,2018-06-30 17:58:50,11 - First Alarm,1666,"00 - Action taken, other",,,UUU - Undetermined,W 35 ST,11224,4 - Brooklyn,,,,,,,
562,63474803,3950,"300 - Rescue, EMS incident, other",2018-06-30 17:30:36,2018-06-30 17:33:58,1.0,2018-06-30 18:06:12,11 - First Alarm,2136,"00 - Action taken, other",,,UUU - Undetermined,GREENE AVE,11238,4 - Brooklyn,,,,,,,
563,63474796,9845,"300 - Rescue, EMS incident, other",2018-06-30 17:30:04,2018-06-30 17:30:31,1.0,2018-06-30 18:44:07,11 - First Alarm,4443,"00 - Action taken, other",,,UUU - Undetermined,256 ST,11375,5 - Queens,,,,,,,
