,x,y,unique_squirrel_id,hectare,shift,date,hectare_squirrel_number,combination_of_primary_and,running,chasing,climbing,eating,foraging,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,geocoded_column,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,age,primary_fur_color,highlight_fur_color,location,above_ground_sighter,other_interactions,other_activities,color_notes,specific_location,:@computed_region_efsh_h5xi
327,-73.9652357279671,40.7819296887147,21E-PM-1012-02,21E,PM,10122018,2,"Gray+Black, Cinnamon, White",False,False,False,True,False,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9652357279671, 40.7819296887147]}",19,4,19,13,Adult,Gray,"Black, Cinnamon, White",Ground Plane,FALSE,,,,,
328,-73.967832992543,40.7783669913408,17E-PM-1018-03,17E,PM,10182018,3,Gray+,True,False,False,False,False,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.967832992543, 40.7783669913408]}",19,4,19,13,Adult,Gray,,Ground Plane,FALSE,,,,,
329,-73.9708969246276,40.7767695507462,14D-AM-1014-03,14D,AM,10142018,3,"Gray+Cinnamon, White",False,False,False,True,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9708969246276, 40.7767695507462]}",19,4,19,13,Adult,Gray,"Cinnamon, White",Ground Plane,FALSE,,,,,
330,-73.95448101115,40.7954469678857,39F-PM-1006-03,39F,PM,10062018,3,Gray+White,False,False,False,True,False,False,False,False,False,False,False,False,True,"{'type': 'Point', 'coordinates': [-73.95448101115, 40.7954469678857]}",19,4,19,13,Adult,Gray,White,Above Ground,15,ran up tree when approached,,,lower branch of tree,
331,-73.9705123624953,40.7731723757869,10F-PM-1019-11,10F,PM,10192018,11,Gray+Cinnamon,False,False,False,False,True,False,False,False,False,False,False,False,True,"{'type': 'Point', 'coordinates': [-73.9705123624953, 40.7731723757869]}",19,4,19,13,Adult,Gray,Cinnamon,Ground Plane,FALSE,,,,Grassy area,
332,-73.9667560049684,40.7882333830729,27A-PM-1006-01,27A,PM,10062018,1,Gray+Cinnamon,False,False,False,True,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9667560049684, 40.7882333830729]}",19,4,19,13,Juvenile,Gray,Cinnamon,Above Ground,,,walking up & down branches,,on a tree,
333,-73.9687395228846,40.7807364481385,18D-AM-1018-02,18D,AM,10182018,2,Gray+,False,False,False,False,True,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9687395228846, 40.7807364481385]}",19,4,19,13,Adult,Gray,,Ground Plane,FALSE,,,,,
334,-73.9782351435852,40.7715896672335,6A-AM-1006-03,06A,AM,10062018,3,"Gray+Cinnamon, White",False,True,False,True,False,False,False,False,True,True,False,False,False,"{'type': 'Point', 'coordinates': [-73.9782351435852, 40.7715896672335]}",19,4,19,13,Adult,Gray,"Cinnamon, White",Above Ground,30,,,,tree,
335,-73.9757413215621,40.7692582758978,4E-PM-1008-04,04E,PM,10082018,4,Gray+,True,True,True,False,False,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9757413215621, 40.7692582758978]}",19,4,19,13,Adult,Gray,,Above Ground,10,,,,,
336,-73.9583101927652,40.7852649316039,27I-PM-1020-05,27I,PM,10202018,5,Gray+Cinnamon,True,False,False,False,False,False,False,False,False,False,False,False,True,"{'type': 'Point', 'coordinates': [-73.9583101927652, 40.7852649316039]}",19,4,19,13,Adult,Gray,Cinnamon,Above Ground,10,runs from (us),,,In tree,
337,-73.9765595553183,40.7748455340432,10A-PM-1014-04,10A,PM,10142018,4,Gray+Cinnamon,True,False,False,False,False,False,False,False,False,False,False,False,True,"{'type': 'Point', 'coordinates': [-73.9765595553183, 40.7748455340432]}",19,4,19,13,Adult,Gray,Cinnamon,Ground Plane,FALSE,,,,,
338,-73.965509576403,40.7752456763263,14I-PM-1018-05,14I,PM,10182018,5,Gray+Cinnamon,False,False,True,True,False,False,False,False,False,True,False,True,False,"{'type': 'Point', 'coordinates': [-73.96550957640301, 40.7752456763263]}",19,4,19,13,Adult,Gray,Cinnamon,Above Ground,2,,,,,
