,bn,school_year,start_date,overall_rating,indicator_1_1,indicator_1_2,indicator_1_3,indicator_1_4,indicator_1_5,indicator_1_6,indicator_1_7,indicatoroverall_1,indicator_2_1,indicator_2_2,indicator_2_3,indicator_2_4,indicator_2_5,indicator_2_6,indicator_2_7,indicatoroverall_2,indicator_3_1,indicator_3_2,indicator_3_3,indicator_3_4,indicator_3_5,indicator_3_6,indicator_3_7,indicator_3_8,indicatoroverall_3,indicator_4_1,indicator_4_2,indicator_4_3,indicator_4_4,indicator_4_5,indicator_4_6,indicator_4_7,indicatoroverall_4,indicator_5_1,indicator_5_2,indicator_5_3,indicator_5_4,indicator_5_5,indicator_5_6,indicator_5_7,indicatoroverall_5
590,K127,2006-07-01T00:00:00.000,2007-01-18T00:00:00.000,P,WD,P,P,P,No Data,No Data,No Data,P,P,P,WD,P,P,No Data,No Data,P,P,P,P,WD,P,P,WD,P,P,P,WD,P,P,WD,P,WD,P,P,P,P,P,No Data,No Data,No Data,P
591,M015,2006-07-01T00:00:00.000,2007-01-18T00:00:00.000,U,U,P,U,U,No Data,No Data,No Data,U,U,U,P,U,U,No Data,No Data,U,P,U,U,U,P,U,P,P,U,U,U,U,U,P,P,P,U,U,U,U,U,No Data,No Data,No Data,U
592,M019,2006-07-01T00:00:00.000,2007-01-18T00:00:00.000,P,P,P,P,U,No Data,No Data,No Data,P,U,P,WD,P,P,No Data,No Data,P,P,WD,P,WD,WD,WD,WD,P,WD,WD,WD,WD,P,P,WD,WD,WD,U,P,U,P,No Data,No Data,No Data,P
593,M040,2006-07-01T00:00:00.000,2007-01-18T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
594,M042,2006-07-01T00:00:00.000,2007-01-18T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
595,M059,2006-07-01T00:00:00.000,2007-01-18T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,P,No Data,No Data,No Data,P
596,M077,2006-07-01T00:00:00.000,2007-01-18T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,P,No Data,No Data,No Data,P
597,M116,2006-07-01T00:00:00.000,2007-01-18T00:00:00.000,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,P,WD,WD,WD,WD,No Data,No Data,WD,P,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
598,M124,2006-07-01T00:00:00.000,2007-01-18T00:00:00.000,WD,WD,P,P,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
599,M137,2006-07-01T00:00:00.000,2007-01-18T00:00:00.000,U,U,U,U,U,No Data,No Data,No Data,U,U,U,P,P,U,No Data,No Data,U,U,U,P,U,U,U,P,P,U,P,P,WD,P,WD,P,P,P,U,P,U,U,No Data,No Data,No Data,U
600,M150,2006-07-01T00:00:00.000,2007-01-18T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,P,WD,P,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
601,M158,2006-07-01T00:00:00.000,2007-01-18T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,P,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
602,M347,2006-07-01T00:00:00.000,2007-01-18T00:00:00.000,WD,WD,U,WD,U,No Data,No Data,No Data,P,WD,WD,WD,P,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
603,K053,2006-07-01T00:00:00.000,2007-01-22T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,P,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
