cmplnt_num,cmplnt_fr_dt,cmplnt_fr_tm,addr_pct_cd,rpt_dt,ky_cd,ofns_desc,pd_cd,pd_desc,crm_atpt_cptd_cd,law_cat_cd,boro_nm,prem_typ_desc,juris_desc,jurisdiction_code,parks_nm,housing_psa,x_coord_cd,y_coord_cd,latitude,longitude,lat_lon,patrol_boro,vic_age_group,vic_race,vic_sex,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,cmplnt_to_dt,cmplnt_to_tm,loc_of_occur_desc,susp_race,susp_sex,susp_age_group,transit_district,station_name,hadevelopt
101609967,2007-06-22T00:00:00.000,05:50:00,79.0,2007-06-22T00:00:00.000,105,ROBBERY,388.0,"ROBBERY,RESIDENTIAL COMMON AREA",COMPLETED,FELONY,BROOKLYN,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0.0,NA,NA,1001031.0,188117.0,40.683006784,-73.939496979,"{'latitude': '40.683006784', 'longitude': '-73.939496979'}",PATROL BORO BKLYN NORTH,25-44,BLACK,M,17618.0,69.0,2.0,49.0,51.0,,,INSIDE,,,,,,
986687562,2006-04-24T00:00:00.000,01:00:00,104.0,2006-04-24T00:00:00.000,107,BURGLARY,213.0,"BURGLARY,COMMERCIAL,NIGHT",COMPLETED,FELONY,QUEENS,GROCERY/BODEGA,N.Y. POLICE DEPT,0.0,NA,NA,,,,,,PATROL BORO QUEENS NORTH,,UNKNOWN,D,,,,,,2006-04-24T00:00:00.000,05:00:00,INSIDE,,,,,,
645443073,2007-01-16T00:00:00.000,11:30:00,44.0,2007-01-16T00:00:00.000,235,DANGEROUS DRUGS,569.0,"MARIJUANA, SALE 4 & 5",COMPLETED,MISDEMEANOR,BRONX,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1005060.0,246326.0,40.842766867,-73.9247901,"{'latitude': '40.842766867', 'longitude': '-73.9247901'}",PATROL BORO BRONX,,UNKNOWN,E,10930.0,50.0,5.0,42.0,27.0,,,,,,,,,
127569810,2008-03-27T00:00:00.000,17:45:00,48.0,2008-03-27T00:00:00.000,235,DANGEROUS DRUGS,569.0,"MARIJUANA, SALE 4 & 5",COMPLETED,MISDEMEANOR,BRONX,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1014255.0,248780.0,40.849475917,-73.891546644,"{'latitude': '40.849475917', 'longitude': '-73.891546644'}",PATROL BORO BRONX,,UNKNOWN,E,10935.0,35.0,5.0,22.0,31.0,,,,,,,,,
828145013,2008-11-27T00:00:00.000,04:15:00,71.0,2008-11-27T00:00:00.000,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1002544.0,182350.0,40.66717467,-73.93405746,"{'latitude': '40.66717467', 'longitude': '-73.93405746'}",PATROL BORO BKLYN SOUTH,25-44,BLACK,M,17615.0,17.0,2.0,48.0,44.0,,,,,,,,,
246566035,2010-11-26T00:00:00.000,23:00:00,106.0,2010-11-27T00:00:00.000,341,PETIT LARCENY,313.0,"LARCENY,PETIT BY FALSE PROMISE",COMPLETED,MISDEMEANOR,QUEENS,OTHER,N.Y. POLICE DEPT,0.0,NA,NA,1030546.0,188827.0,40.684850407,-73.833074941,"{'latitude': '40.684850407', 'longitude': '-73.833074941'}",PATROL BORO QUEENS SOUTH,,UNKNOWN,D,24015.0,62.0,3.0,46.0,64.0,,,FRONT OF,,,,,,
781354420,2007-03-07T00:00:00.000,02:00:00,32.0,2007-03-08T00:00:00.000,104,RAPE,157.0,RAPE 1,COMPLETED,FELONY,MANHATTAN,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,NA,NA,999358.0,236472.0,40.815732053,-73.945420411,"{'latitude': '40.815732053', 'longitude': '-73.945420411'}",PATROL BORO MAN NORTH,18-24,BLACK,F,12427.0,18.0,4.0,36.0,20.0,,,INSIDE,BLACK,M,25-44,,,
852728907,2011-11-04T00:00:00.000,14:38:00,40.0,2011-11-04T00:00:00.000,118,DANGEROUS WEAPONS,793.0,WEAPONS POSSESSION 3,COMPLETED,FELONY,BRONX,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1010458.0,237283.0,40.817932064,-73.905316026,"{'latitude': '40.817932064', 'longitude': '-73.905316026'}",PATROL BORO BRONX,,UNKNOWN,E,10933.0,49.0,5.0,43.0,23.0,,,,,,,,,
166160362,2011-04-08T00:00:00.000,23:05:00,44.0,2011-04-08T00:00:00.000,113,FORGERY,725.0,"FORGERY,M.V. REGISTRATION",COMPLETED,FELONY,BRONX,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1006659.0,244733.0,40.838390635,-73.919016331,"{'latitude': '40.838390635', 'longitude': '-73.919016331'}",PATROL BORO BRONX,,UNKNOWN,E,10930.0,50.0,5.0,42.0,27.0,2011-04-08T00:00:00.000,23:10:00,,,,,,,
329897803,2006-04-25T00:00:00.000,17:30:00,69.0,2006-04-26T00:00:00.000,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0.0,NA,NA,,,,,,PATROL BORO BKLYN SOUTH,<18,BLACK,F,,,,,,2006-04-25T00:00:00.000,18:00:00,INSIDE,,,,,,
827256635,2006-04-26T00:00:00.000,08:30:00,49.0,2006-04-26T00:00:00.000,109,GRAND LARCENY,419.0,"LARCENY,GRAND FROM PERSON,UNCL",COMPLETED,FELONY,BRONX,STREET,N.Y. POLICE DEPT,0.0,NA,NA,,,,,,PATROL BORO BRONX,45-64,BLACK,F,,,,,,2006-04-26T00:00:00.000,08:36:00,,UNKNOWN,,,,,
520270803,2008-02-22T00:00:00.000,21:47:00,79.0,2008-02-22T00:00:00.000,105,ROBBERY,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,STREET,N.Y. POLICE DEPT,0.0,NA,NA,999649.0,189272.0,40.686179507,-73.944477186,"{'latitude': '40.686179507', 'longitude': '-73.944477186'}",PATROL BORO BKLYN NORTH,25-44,BLACK,M,17618.0,69.0,2.0,49.0,51.0,,,,BLACK,M,,,,
921490173,2008-01-12T00:00:00.000,15:30:00,40.0,2008-01-12T00:00:00.000,341,PETIT LARCENY,357.0,"LARCENY,PETIT OF VEHICLE ACCES",COMPLETED,MISDEMEANOR,BRONX,STREET,N.Y. POLICE DEPT,0.0,NA,NA,1005538.0,236831.0,40.816704678,-73.923092644,"{'latitude': '40.816704678', 'longitude': '-73.923092644'}",PATROL BORO BRONX,25-44,WHITE HISPANIC,F,10929.0,49.0,5.0,43.0,23.0,,,,,,,,,
489718748,2007-02-14T00:00:00.000,11:32:00,1.0,2007-02-14T00:00:00.000,340,FRAUDS,707.0,"IMPERSONATION 2, PUBLIC SERVAN",COMPLETED,MISDEMEANOR,MANHATTAN,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0.0,NA,NA,981570.0,195645.0,40.703684905,-74.009667273,"{'latitude': '40.703684905', 'longitude': '-74.009667273'}",PATROL BORO MAN SOUTH,,UNKNOWN,D,11725.0,56.0,4.0,32.0,1.0,,,INSIDE,,,,,,
