,nyc_cooling_tower,bin,address,borough,zip,intended_use,make,model,serial_number,cooling_capacity,cooling_capacity_1,date_registered,latitude,longitude,deleted,location_1,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,date_commissioned,community_board,council_district,census_tract,bbl,nta
141,1000000587,2007858,1775 GRAND CONCOURSE,BRONX,10453,NULL,BALTIMORE AIRCOIL COMPANY (BAC),VTI-680-PCLS,93100289,680.0,REFRIGERATION TONS,2015-08-20T00:00:00.000,40.84647,-73.910399,No,"{'latitude': '40.84647', 'longitude': '-73.910399'}",10931.0,6,5,29,29,,5.0,14.0,22701.0,2028227501.0,Mount Hope                                                                 
142,1000000194,1000820,50 BROAD STREET,MANHATTAN,10004,AIR CONDITIONING,HAVENS,IDP5764EM91036,57641036,4800000.0,BTU/HR,2015-08-17T00:00:00.000,40.705416,-74.011972,No,"{'latitude': '40.705416', 'longitude': '-74.011972'}",11725.0,56,4,32,1,1997-04-28T00:00:00.000,1.0,1.0,9.0,1000240036.0,Battery Park City-Lower Manhattan                                          
143,1000001026,1082895,546 FIFTH AVENUE,MANHATTAN,10036,NULL,BALTIMORE AIRCOIL COMPANY (BAC),3644-2CMS,89400830,672.0,REFRIGERATION TONS,2015-08-24T00:00:00.000,40.755702,-73.979787,No,"{'latitude': '40.755702', 'longitude': '-73.979787'}",13094.0,11,4,51,10,1989-12-01T00:00:00.000,5.0,4.0,96.0,1012610034.0,Midtown-Midtown South                                                      
144,1000001122,1045570,430 EAST 67TH STREET,MANHATTAN,10065,,MARLEY,NC8405SG-12,10064117-A2,8000000.0,,2015-08-24T00:00:00.000,40.763741,-73.957179,No,"{'latitude': '40.763741', 'longitude': '-73.957179'}",10090.0,23,4,1,11,,8.0,5.0,116.0,1014610013.0,Lenox Hill-Roosevelt Island                                                
145,1000000704,1035401,553 5TH AVE,MANHATTAN,10017,NULL,EVAPCO,AT8-126,917156,110240.0,CFM,2015-08-20T00:00:00.000,40.755676,-73.978823,No,"{'latitude': '40.755676', 'longitude': '-73.978823'}",12079.0,11,4,51,10,1991-05-10T00:00:00.000,5.0,4.0,94.0,1012810069.0,Midtown-Midtown South                                                      
146,1000000788,1003224,227 MADISON STREET,MANHATTAN,10002,AIR CONDITIONING,MARLEY,NC84050LNGF-09,10010287-A1-NC84050LNGF-09,114000.0,REFRIGERATION TONS,2015-08-21T00:00:00.000,40.713196,-73.987786,No,"{'latitude': '40.713196', 'longitude': '-73.987786'}",11723.0,70,4,32,4,2016-08-04T00:00:00.000,3.0,1.0,6.0,1002700032.0,Lower East Side                                                            
147,1000001065,1037547,212 E 42ND ST,MANHATTAN,10017,BASE BUILDING HVAC,EVAPCO,AT19-311L,13-541756,2400000.0,BTU/HR,2015-08-24T00:00:00.000,40.750107,-73.973982,No,"{'latitude': '40.750107', 'longitude': '-73.973982'}",12079.0,71,4,51,9,2012-01-01T00:00:00.000,6.0,4.0,88.0,1013150044.0,Turtle Bay-East Midtown                                                    
148,1000000240,1020760,545 FIRST AVENUE,MANHATTAN,10016,NULL,BALTIMORE AIRCOIL COMPANY (BAC),VT1-N325-P,U136333701-01-01,250.0,REFRIGERATION TONS,2015-08-17T00:00:00.000,40.742414,-73.974984,No,"{'latitude': '40.742414', 'longitude': '-73.974984'}",12078.0,71,4,50,9,,6.0,2.0,70.0,1009360037.0,Murray Hill-Kips Bay                                                       
149,1000000037,1081128,11 WEST 53 STREET,MANHATTAN,10019,NULL,BALTIMORE AIRCOIL COMPANY (BAC),VTI-800-RM,25930202,158600.0,CFM,2015-08-12T00:00:00.000,40.761276,-73.976742,No,"{'latitude': '40.761276', 'longitude': '-73.976742'}",12081.0,11,4,51,10,,5.0,4.0,104.0,1012690020.0,Midtown-Midtown South                                                      
150,1000000545,1035347,6 EAST 43RD STREET,MANHATTAN,10017,NULL,EVAPCO,A+8-189,906653,260.0,REFRIGERATION TONS,2015-08-20T00:00:00.000,40.753507,-73.979798,No,"{'latitude': '40.753507', 'longitude': '-73.979798'}",12079.0,11,4,51,8,,5.0,4.0,94.0,1012770008.0,Midtown-Midtown South                                                      
