report_date,building_id,dob_violations,hpd_violations,fdny_violations,total_open_violations
2018-09-30T00:00:00.000,TQ44,7,46,1,54.0
2018-09-30T00:00:00.000,TQ45,72,12,10,94.0
2018-09-30T00:00:00.000,TQ46,12,27,0,39.0
2018-09-30T00:00:00.000,TQ47,0,4,5,9.0
2018-09-30T00:00:00.000,TQ48,3,13,1,17.0
2018-09-30T00:00:00.000,TQ49,45,101,2,148.0
2018-09-30T00:00:00.000,TQ50,1,0,2,3.0
2018-09-30T00:00:00.000,TQ51,38,8,1,47.0
2018-09-30T00:00:00.000,TQ52,17,9,0,26.0
2018-09-30T00:00:00.000,TQ53,2,11,0,13.0
2018-09-30T00:00:00.000,TQ54,2,43,1,46.0
2018-09-30T00:00:00.000,TQ55,8,8,0,16.0
2018-09-30T00:00:00.000,TQ56,5,32,2,39.0
2018-09-30T00:00:00.000,TQ57,11,3,3,17.0
2018-09-30T00:00:00.000,TQ58,3,11,1,15.0
2018-09-30T00:00:00.000,TQ59,0,0,0,0.0
2018-09-30T00:00:00.000,TQ60,0,9,2,11.0
2018-09-30T00:00:00.000,TQ61,6,2,2,10.0
2018-09-30T00:00:00.000,TQ62,3,12,0,15.0
2018-09-30T00:00:00.000,TQ63,2,15,1,18.0
2018-09-30T00:00:00.000,TQ64,41,1,1,43.0
2018-09-30T00:00:00.000,TQ65,7,12,1,20.0
2018-09-30T00:00:00.000,TQ66,2,14,2,18.0
2018-09-30T00:00:00.000,TQ67,17,3,0,20.0
2018-09-30T00:00:00.000,TQ68,9,0,0,9.0
2018-09-30T00:00:00.000,TQ69,1,0,1,2.0
2018-09-30T00:00:00.000,TQ70,5,32,3,40.0
2018-09-30T00:00:00.000,TQ71,7,93,1,101.0
2018-09-30T00:00:00.000,TQ72,0,11,3,14.0
2018-09-30T00:00:00.000,TQ73,13,4,1,18.0
2018-09-30T00:00:00.000,TQ74,15,23,1,39.0
2018-09-30T00:00:00.000,TQ75,3,11,1,15.0
2018-09-30T00:00:00.000,TQ76,8,0,0,8.0
2018-09-30T00:00:00.000,TQ77,12,0,2,14.0
