,tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council_district,census_tract,bin,bbl
195,179994,216037,2015-08-27,14,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,179 ECKFORD STREET,11222,Brooklyn,301,3,Brooklyn,33,50,26,BK76,Greenpoint,3057100,New York,40.72549844,-73.94980363,998163.1677,203599.1824,33.0,571.0,3066129.0,3026480012.0
196,208322,222858,2015-09-07,10,0,OnCurb,Dead,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,1691 DEKALB AVENUE,11237,Brooklyn,304,3,Brooklyn,37,53,18,BK77,Bushwick North,3044500,New York,40.70574154,-73.91784901,1007026.93,196407.8326,37.0,445.0,3073739.0,3032390045.0
197,178583,308594,2015-08-26,14,0,OnCurb,Alive,Good,Tilia americana,American linden,None,None,Damage,TreesCount Staff,"Stones,RootOther,BranchLights",Yes,No,Yes,No,No,No,Yes,No,No,88-001 74 PLACE,11421,Woodhaven,409,4,Queens,30,38,12,QN53,Woodhaven,4000400,New York,40.68844787,-73.86658672,1021249.34,190124.733,30.0,4.0,4182764.0,4088950023.0
198,187232,218941,2015-08-29,17,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,None,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,131 FT GREENE PLACE,11217,Brooklyn,302,3,Brooklyn,35,57,25,BK68,Fort Greene,3003500,New York,40.68591967,-73.97626031,990833.9514,189176.3533,35.0,35.0,3059239.0,3021130009.0
199,179887,216215,2015-08-27,5,0,OnCurb,Alive,Good,Tilia americana,American linden,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,204 CALYER STREET,11222,Brooklyn,301,3,Brooklyn,33,50,26,BK76,Greenpoint,3057300,New York,40.72856769,-73.95177312,997616.6586,204717.0959,33.0,573.0,3065365.0,3025980015.0
200,200381,408850,2015-09-03,3,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,2086 RICHMOND AVENUE,10314,Staten Island,502,5,Staten Island,50,63,24,SI05,New Springville-Bloomfield-Travis,5029103,New York,40.59666002,-74.16220431,939204.1639,156697.4468,50.0,29103.0,5035472.0,5021020102.0
201,198290,313012,2015-09-02,7,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,140-040 31 DRIVE,11354,Flushing,407,4,Queens,20,40,16,QN22,Flushing,4088901,New York,40.76980427,-73.82714606,1032128.869,219784.4709,20.0,88901.0,4467432.0,4044140045.0
202,190087,301004,2015-08-30,8,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,Volunteer,"Stones,WiresRope,BranchLights",Yes,No,No,Yes,No,No,Yes,No,No,25-010 BROADWAY,11106,Astoria,401,4,Queens,22,36,12,QN70,Astoria,4005300,New York,40.7631618,-73.92810436,1004166.395,217325.3305,22.0,53.0,4007156.0,4005800020.0
203,190421,106099,2015-08-30,14,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,8 COLUMBUS AVENUE,10023,New York,107,1,Manhattan,3,67,27,MN14,Lincoln Square,1014500,New York,40.77000454,-73.98485279,988445.6205,219810.5598,3.0,145.0,1076229.0,1011310031.0
204,181446,208032,2015-08-28,24,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,None,None,Damage,NYC Parks Staff,Stones,Yes,No,No,No,No,No,No,No,No,160 IRWIN STREET,11235,Brooklyn,315,3,Brooklyn,48,45,22,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,3062000,New York,40.57887248,-73.94378432,999865.8503,150180.3034,48.0,620.0,3246492.0,3087510431.0
