,clientid,resp,qrep,qkey,qcell,sc1,sc2,sc3,sc4,sc4b,sc4d,sc4d1,sc6,sc6a,sc7,mp1,ph1,bc1a,bc1,bc2,bc3,pph1,el1,el3,el4,el7,el8,el9,el10,el11,el12_1,el12mns,el13a,el13b,el13c,el13d,el13e,el14,el15,el17a,el17b,el17c,el17d,el17e,el17f,cp1,ih1,ih2,ih3,ih5,bf1_1,bf1wks,bf1a_1,bf2,mh1,mh2,mh4,cc1,sd2,d1,d1yob,d2,fixd2,d3,d4_1,d5,d6,d7,st1,st2,st3,st4,st5,es1a,es1b,es2,es3,es4,fulladra,qc1,lang,samp_weight,pop_weight,stratum,odate,fdate,el12wks,cp2,cp3,cp4,cp5,cp6a,cp6b,cp6c,cp7,cp8,cp9,cp10_1,cp10wks,bf1mns,d4_2,de1,de2_1,de3,bf1amns,el16,sd1_1,sd1mns,pph2a,pph2b,pph2c,ih5a_1,bf1awks,mh3,sd1wks,cp10mns,ih4_1,mh3a,de2_2,sc4b1,sc4b2,selchild,de2_3,ih4_2,ih4_3,ih5a_2
453,2324,825,13,202324,1,1,1.0,2.0,1,1,2,2,1,2,1,1,3,8,1,1,2,1,1,1.0,1.0,1.0,9.0,1.0,12.0,4.0,,,,,,,,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1,2,1,1,2,4,,2.0,7.0,5,2,4,3.0,1.0,1,1978.0,1,10314.0,2,1,1,,6,4,4,4,4,4,4,4,2,99,3,,1,1,1.4546067074173683,148.27409632071152,1,15-Mar-16,15-Mar-16,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,1.0,3.0,,6.0,,2.0,1.0,1.0,,,,,,,,,3.0,,,2.0,,,,,,,,,,
454,2327,381,7,202327,1,1,1.0,2.0,1,1,1,2,1,2,1,1,3,9,1,2,2,1,1,2.0,1.0,1.0,7.0,1.0,35.0,3.0,2.0,,3.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,2,1,1,2,4,,1.0,1.0,4,2,2,2.0,1.0,1,1979.0,1,11355.0,2,3,21,3.0,4,4,4,4,4,4,4,4,2,6,4,,2,1,1.566228314242626,159.6521497818194,1,1-Mar-16,1-Mar-16,12.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,,,,5.0,,2.0,3.0,21.0,,,,,,,,,,,,,,,,,,,,,,
455,2331,881,18,202331,1,1,1.0,2.0,1,1,1,2,1,2,1,0,2,1,1,1,6,1,1,3.0,1.0,2.0,5.0,1.0,40.0,2.0,3.0,5.0,,,,,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1,1,1,1,2,5,,77.0,,5,2,2,6.0,2.0,1,1978.0,1,11220.0,2,1,1,,6,4,4,4,4,4,4,4,2,12,3,1.0,2,1,0.6553293469857733,66.8004390611387,1,16-Mar-16,16-Mar-16,,1.0,1.0,1.0,3.0,1.0,5.0,2.0,1.0,50.0,4.0,,,,,2.0,1.0,1.0,,,2.0,7.0,,,,,,,,,,,,,,,,,,
456,2332,91,5,202332,1,1,1.0,2.0,1,1,1,2,1,2,1,1,4,9,1,2,3,1,1,1.0,1.0,1.0,9.0,1.0,30.0,2.0,2.0,,,,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1,1,1,1,2,1,,,,5,2,4,2.0,1.0,1,1985.0,1,10463.0,1,2,1,,6,4,4,4,4,4,4,4,2,12,5,1.0,2,1,0.26813181405530445,27.331788187936564,1,25-Feb-16,25-Feb-16,8.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,40.0,4.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
457,2340,1541,19,202340,1,1,1.0,2.0,1,1,1,2,1,2,1,2,3,4,1,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,2,4,,3.0,3.0,5,2,3,,,1,1981.0,1,11369.0,1,8,28,3.0,5,4,4,4,77,4,2,4,2,77,5,1.0,1,2,1.0839257210141282,110.48904555616828,2,2-Apr-16,2-Apr-16,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,40.0,4.0,,,12.0,,1.0,8.0,28.0,3.0,,,,,,,,,,,,,,,,,,,,,
458,2349,996,20,202349,1,1,1.0,2.0,1,1,1,1,1,2,1,0,1,1,1,1,3,1,1,2.0,1.0,2.0,1.0,1.0,20.0,3.0,2.0,,0.0,77.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,1,1,1,2,1,,,,5,2,1,2.0,1.0,1,1989.0,1,11204.0,2,3,21,2.0,5,4,4,4,4,4,2,4,2,2,3,1.0,1,1,1.0598919874253978,108.03918738425814,1,18-Mar-16,18-Mar-16,6.0,1.0,1.0,1.0,3.0,2.0,77.0,3.0,1.0,30.0,4.0,,,,,2.0,3.0,83.0,,,,,,,,,,,,,,,,,,,,,,
459,2352,777,15,202352,0,1,,,1,1,1,2,1,2,1,8,1,4,1,1,2,1,1,2.0,1.0,2.0,6.0,1.0,30.0,3.0,2.0,,0.0,0.0,6.0,6.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,77.0,1.0,1,1,1,1,2,4,,3.0,7.0,5,2,1,4.0,1.0,1,1971.0,1,11230.0,2,1,1,,5,4,4,4,4,4,4,4,2,99,11,1.0,2,1,0.6444435468705261,65.69080429417001,1,13-Mar-16,13-Mar-16,12.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,777.0,,,,15.0,,2.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,
460,2355,1320,22,202355,1,1,1.0,2.0,1,1,2,1,1,2,1,0,1,9,1,1,3,1,1,2.0,1.0,1.0,9.0,1.0,50.0,3.0,3.0,3.0,1.0,2.0,2.0,7.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1,1,1,1,2,4,,2.0,5.0,5,2,1,5.0,1.0,99,,1,11101.0,2,3,1,,4,4,4,4,4,4,4,4,2,12,3,1.0,1,1,1.3530603116901234,137.92305092520698,1,24-Mar-16,24-Mar-16,,1.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,40.0,1.0,2.0,2.0,7.0,,2.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
461,2369,628,11,202369,1,1,1.0,2.0,1,1,1,1,1,2,1,0,1,8,1,1,2,1,1,2.0,1.0,2.0,5.0,1.0,40.0,1.0,3.0,5.0,0.0,0.0,12.0,8.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1,1,1,1,2,4,,1.0,5.0,4,2,1,5.0,3.0,1,1986.0,1,10463.0,1,8,82,1.0,6,4,4,4,4,4,4,4,2,11,4,1.0,2,1,0.5563978547922565,56.71594163110982,1,8-Mar-16,8-Mar-16,,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,50.0,4.0,,,5.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
462,2380,1383,25,202380,1,1,1.0,2.0,1,1,2,2,1,2,1,1,3,1,1,1,2,1,1,2.0,1.0,1.0,7.0,2.0,25.0,4.0,,,,,,,,,4.0,77.0,2.0,2.0,2.0,1.0,1.0,2,1,1,1,1,3,1.0,3.0,1.0,2,2,4,6.0,1.0,1,1987.0,1,10460.0,2,2,1,,6,4,4,4,4,2,2,4,1,1,3,1.0,2,1,1.7229431150613141,175.6267395819226,2,25-Mar-16,25-Mar-16,,,,,,,,,,,,,,,,,,,6.0,,2.0,8.0,,,,5.0,,,,,,,,,,,,,,
463,2383,815,15,202383,1,1,1.0,2.0,1,1,1,2,1,2,1,0,1,2,1,2,2,1,1,2.0,1.0,1.0,9.0,1.0,60.0,3.0,2.0,,0.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,1,2,4,,3.0,3.0,5,2,3,1.0,1.0,1,1983.0,1,11201.0,2,3,1,,6,4,1,4,4,4,4,4,2,99,4,,2,1,0.9325659757274569,95.06031878261929,1,15-Mar-16,15-Mar-16,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,60.0,4.0,,,12.0,,2.0,1.0,33.0,4.0,,,,,,,,,,,,,,,,,,,,,
464,2386,1417,25,202386,1,1,1.0,2.0,1,1,1,1,1,2,1,2,3,12,1,1,3,1,1,1.0,1.0,2.0,77.0,2.0,30.0,2.0,3.0,3.0,,,,,,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1,1,1,1,2,4,,3.0,3.0,5,2,1,2.0,1.0,1,1982.0,1,10034.0,1,8,26,2.0,4,4,4,4,2,2,2,3,1,1,3,1.0,1,2,0.2681273283160866,27.33133093792839,1,25-Mar-16,25-Mar-16,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,666.0,,,,9.0,,1.0,8.0,26.0,6.0,,,,,,,,,,,,,,,,,,,,,
465,2387,96,6,202387,1,1,1.0,2.0,1,1,2,1,1,1,1,1,1,12,1,2,3,1,1,2.0,1.0,2.0,1.0,2.0,30.0,2.0,3.0,2.0,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2,1,1,1,2,4,,3.0,1.0,5,2,1,5.0,1.0,1,1983.0,1,10458.0,1,1,42,3.0,2,4,4,4,4,4,3,3,2,1,3,1.0,1,2,0.7916857610417184,80.69981403898063,1,25-Feb-16,25-Feb-16,,,,,,,,,,,,,,6.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,
466,2393,1493,23,202393,1,1,1.0,2.0,1,1,1,1,1,1,1,0,2,7,1,2,3,1,1,3.0,1.0,1.0,8.0,1.0,35.0,1.0,3.0,3.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1,1,1,1,2,4,,1.0,1.0,5,2,2,6.0,2.0,1,1986.0,1,11435.0,2,2,1,,6,4,4,4,1,4,4,4,2,8,3,1.0,2,1,0.8413524648963568,85.76254721195639,1,29-Mar-16,29-Mar-16,,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,20.0,4.0,,,1.0,,2.0,2.0,1.0,,,2.0,3.0,,,,,,,,,,,,,,,,,,
467,2394,741,11,202394,1,1,1.0,2.0,1,1,2,1,1,2,1,1,3,11,1,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,4,,1.0,1.0,5,2,3,,,1,1979.0,1,11220.0,1,8,56,3.0,3,4,4,4,4,4,4,4,2,77,3,,2,2,1.6940194910522843,172.67843459309626,2,12-Mar-16,12-Mar-16,,1.0,1.0,1.0,3.0,5.0,5.0,6.0,2.0,55.0,4.0,,,5.0,,1.0,8.0,56.0,,,,,,,,,,,,,,,,,,,,,,
468,2402,248,10,202402,1,1,1.0,2.0,1,1,1,1,1,2,1,0,2,3,1,1,5,1,1,1.0,1.0,1.0,9.0,1.0,40.0,2.0,2.0,,,,,,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,3,1,1,2,4,,3.0,2.0,5,2,2,6.0,1.0,1,1979.0,1,11231.0,2,1,17,3.0,6,4,4,4,4,4,4,4,2,12,4,1.0,2,1,0.5906219125218088,60.204541818638866,1,26-Feb-16,26-Feb-16,12.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,65.0,2.0,2.0,2.0,9.0,,2.0,1.0,1.0,13.0,,2.0,18.0,,,,,,,,,,,,,,,,,,
469,2570,169,9,202570,1,1,1.0,2.0,1,1,1,2,1,2,1,0,2,2,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,4,,3.0,3.0,5,2,3,,,1,1983.0,1,11385.0,2,1,64,3.0,6,4,4,4,4,4,4,4,1,77,3,1.0,2,1,0.63327117457997,64.55195803648844,1,25-Feb-16,25-Feb-16,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,40.0,4.0,,,2.0,,2.0,1.0,64.0,6.0,,,,,,,,,,,,,,,,,,,,,
470,2575,817,12,202575,1,1,1.0,2.0,1,1,1,2,1,2,1,0,2,9,1,1,2,1,1,4.0,1.0,2.0,1.0,2.0,15.0,2.0,2.0,,,,,,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1,1,1,1,2,5,,3.0,,5,2,5,1.0,1.0,1,1983.0,1,10024.0,2,1,1,,6,4,4,4,4,4,4,4,2,77,3,1.0,2,1,0.7209580353731216,73.4902435379962,1,15-Mar-16,17-Mar-16,6.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,75.0,4.0,,,,,2.0,1.0,34.0,5.0,,,,,,,,,,,,,,,,,,,,,
471,2406,920,6,202406,1,1,1.0,2.0,1,1,1,2,1,2,1,0,1,7,1,1,2,1,1,2.0,1.0,1.0,7.0,1.0,40.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1,1,1,1,2,5,,3.0,,5,2,2,2.0,1.0,1,1992.0,1,11212.0,2,2,76,3.0,5,4,4,4,3,1,4,4,2,3,3,1.0,2,1,0.6403593119990468,65.27448128971656,1,17-Mar-16,17-Mar-16,,1.0,1.0,2.0,1.0,5.0,2.0,4.0,1.0,40.0,1.0,2.0,1.0,,,2.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,
472,2425,1210,23,202425,1,1,1.0,2.0,1,1,1,1,1,1,1,0,3,4,1,1,2,1,1,4.0,1.0,2.0,1.0,1.0,40.0,2.0,3.0,3.0,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1,1,1,1,2,4,,3.0,3.0,5,2,1,5.0,1.0,1,1981.0,1,11435.0,1,8,28,3.0,2,4,4,4,4,4,3,4,2,3,4,,1,2,0.34894021479301846,35.56892371976699,1,22-Mar-16,22-Mar-16,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,40.0,1.0,3.0,,12.0,,1.0,8.0,28.0,8.0,,,,,,,,,,,1.0,,,,,,,,,,
473,2426,873,18,202426,1,1,1.0,2.0,1,1,1,2,1,2,1,3,3,10,1,1,2,1,1,4.0,1.0,2.0,1.0,1.0,28.0,2.0,3.0,8.0,,,,,,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2,1,1,1,2,4,,3.0,2.0,2,1,3,7.0,1.0,1,1982.0,1,10305.0,2,5,1,,5,4,4,4,3,3,3,3,1,3,4,1.0,2,1,1.3447650457195892,137.0774800507919,1,16-Mar-16,29-Mar-16,,,,,,,,,,,,,,15.0,,,,,6.0,,,,,,,,,2.0,,,,,,,,,,,,
474,2431,1203,21,202431,1,1,1.0,2.0,1,1,1,1,1,2,1,1,4,12,1,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,4,,3.0,7.0,5,2,1,,,1,1986.0,1,11372.0,1,1,65,3.0,5,4,4,4,4,4,3,3,2,4,3,1.0,2,2,1.5790848025649489,160.96266497340315,2,22-Mar-16,22-Mar-16,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,35.0,2.0,2.0,3.0,3.0,,1.0,1.0,28.0,3.0,,,,,,,,,,,,,,,,,,,,,
475,2435,403,10,202435,0,1,,,1,1,1,2,1,1,1,0,1,6,1,1,2,1,1,2.0,1.0,1.0,8.0,1.0,19.0,2.0,2.0,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1,1,1,2,4,,3.0,4.0,5,2,1,5.0,1.0,99,,1,11219.0,2,1,1,,4,4,4,4,4,4,3,4,1,1,4,1.0,2,1,0.5313322294183933,54.16089844859776,1,1-Mar-16,1-Mar-16,6.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,0.0,,,,9.0,,2.0,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,
476,2439,865,17,202439,0,1,,,1,1,1,1,1,2,1,4,1,5,1,1,2,1,1,1.0,1.0,1.0,9.0,1.0,30.0,1.0,2.0,,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,1,1,2,2,5,,3.0,,5,2,1,3.0,1.0,1,1981.0,1,11218.0,2,1,1,,6,4,4,4,4,4,4,4,2,11,7,1.0,2,1,0.5814438289564207,59.26898168429154,1,16-Mar-16,16-Mar-16,6.0,1.0,1.0,1.0,2.0,2.0,6.0,3.0,2.0,777.0,,,,,,2.0,1.0,1.0,6.0,,,,,,,,,,,,4.0,,,,,,,,,
477,2440,1006,20,202440,1,1,1.0,2.0,1,1,1,1,1,2,1,0,1,5,1,1,3,1,1,3.0,1.0,1.0,6.0,1.0,65.0,1.0,2.0,,6.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1,1,1,2,2,2,,3.0,1.0,4,2,1,1.0,1.0,1,1982.0,1,10305.0,1,1,1,,6,4,4,4,4,4,4,4,2,12,3,1.0,2,1,0.583183656783813,59.44632955264989,1,18-Mar-16,22-Mar-16,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,50.0,1.0,2.0,2.0,,,1.0,1.0,1.0,4.0,,,,,,,,,,,,6.0,,,,,,,,,
478,2443,1030,6,202443,0,1,,,1,1,1,2,1,2,1,1,2,5,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,5,,3.0,,5,2,3,,,1,1989.0,1,11417.0,2,3,11,2.0,4,4,4,4,4,4,4,2,1,3,4,1.0,2,1,3.2992486565852053,336.3061029472686,2,19-Mar-16,19-Mar-16,,1.0,1.0,1.0,2.0,1.0,6.0,3.0,1.0,60.0,2.0,2.0,6.0,,,2.0,3.0,11.0,5.0,,,,,,,,,,,,,,,,,,,,,
479,2444,1093,16,202444,1,1,1.0,2.0,1,1,1,1,1,2,1,0,3,9,1,1,2,1,1,2.0,1.0,1.0,7.0,1.0,40.0,3.0,2.0,,4.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1,3,1,1,2,4,,3.0,2.0,3,2,2,6.0,2.0,1,1984.0,1,10463.0,2,1,1,,6,4,4,4,4,4,4,4,2,12,3,1.0,2,1,1.175595288167214,119.83330483974284,1,21-Mar-16,21-Mar-16,10.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,50.0,4.0,,,3.0,,2.0,1.0,1.0,5.0,,1.0,,,,,,,,10.0,,,,,,,,,,,
480,2452,280,1,202452,1,1,1.0,2.0,1,1,1,1,1,2,1,0,3,11,1,1,3,77,1,2.0,1.0,1.0,9.0,1.0,40.0,2.0,3.0,6.0,,,,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1,1,1,1,2,3,3.0,3.0,7.0,4,1,2,2.0,1.0,1,1988.0,1,10461.0,2,1,49,3.0,6,4,4,4,2,4,4,4,1,11,4,1.0,2,1,1.046380365533791,106.66189171004652,1,27-Feb-16,27-Feb-16,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,77.0,40.0,2.0,1.0,,,,1.0,8.0,1.0,1.0,,,,2.0,2.0,2.0,,,2.0,,,,,,,,,,,,
481,2455,564,12,202455,1,1,1.0,2.0,1,1,1,1,1,2,1,1,1,8,1,2,3,1,1,2.0,1.0,1.0,1.0,1.0,38.0,1.0,2.0,,6.0,0.0,6.0,6.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,1,1,1,2,4,,3.0,4.0,5,2,3,2.0,1.0,1,1984.0,1,11413.0,1,8,26,2.0,4,4,4,4,2,4,2,4,2,2,3,1.0,1,2,0.455621915241301,46.44343202999662,1,8-Mar-16,8-Mar-16,6.0,1.0,2.0,2.0,2.0,4.0,4.0,5.0,1.0,40.0,4.0,,,3.0,,1.0,8.0,26.0,5.0,,,,,,,,,,,,,,,,,,,,,
482,2457,300,5,202457,1,1,1.0,2.0,1,1,1,2,1,1,1,0,3,2,1,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,3,2.0,3.0,5.0,3,2,3,,,1,1981.0,1,10456.0,1,4,1,,4,4,4,4,4,4,2,2,1,5,3,1.0,2,1,2.4669729648697203,251.46878888186583,2,28-Feb-16,28-Feb-16,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,40.0,1.0,2.0,2.0,,,1.0,4.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,
483,2632,1250,25,202632,1,1,1.0,2.0,1,1,1,1,1,2,1,2,1,7,1,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,1,2,77,1,2,4,,3.0,5.0,3,1,1,,,1,1984.0,1,11372.0,1,8,28,3.0,4,4,4,4,4,4,2,4,1,3,5,1.0,1,1,0.4106383247174564,41.85806802736096,1,23-Mar-16,23-Mar-16,,1.0,2.0,1.0,5.0,1.0,3.0,1.0,1.0,15.0,2.0,77.0,,9.0,,1.0,8.0,28.0,9.0,,,,,,,,,77.0,,,2.0,,,,,,,,,
484,2458,1219,21,202458,1,1,1.0,2.0,1,1,1,1,1,2,1,1,2,8,1,2,3,1,1,2.0,1.0,2.0,77.0,1.0,27.0,1.0,2.0,,0.0,77.0,8.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1,1,1,1,2,4,,1.0,1.0,5,2,2,6.0,1.0,1,1992.0,1,8701.0,2,1,1,,4,4,4,4,4,4,3,4,2,5,4,,2,1,0.5313322294183933,54.16089844859776,1,23-Mar-16,23-Mar-16,8.0,1.0,1.0,1.0,2.0,4.0,3.0,5.0,2.0,0.0,,,,6.0,,2.0,1.0,48.0,,,2.0,9.0,,,,,,,,,,,,,,,,,,
485,2468,187,2,202468,0,1,,,1,1,1,2,1,2,1,5,1,2,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,4,,3.0,3.0,5,2,2,,,1,1980.0,1,11219.0,2,1,1,,4,4,4,4,4,4,4,4,2,5,8,1.0,1,1,0.571795585552812,58.28549620711241,1,25-Feb-16,25-Feb-16,,1.0,1.0,1.0,1.0,5.0,6.0,3.0,1.0,40.0,4.0,,,10.0,,2.0,1.0,1.0,6.0,,,,,,,,,,,,5.0,,,,,,,,,
486,2469,690,1,202469,1,1,1.0,2.0,1,1,1,1,1,2,1,0,2,5,1,2,3,1,1,2.0,2.0,1.0,9.0,1.0,40.0,1.0,2.0,,4.0,8.0,8.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1,1,1,1,2,4,,3.0,3.0,5,2,2,5.0,1.0,1,1972.0,1,10029.0,2,3,21,3.0,6,4,4,4,4,4,4,4,2,12,3,1.0,2,1,2.2906483009016116,233.4952843767592,1,10-Mar-16,10-Mar-16,12.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,77.0,777.0,,,,9.0,,2.0,2.0,50.0,6.0,,,,,,,,,,,,,,,,,,,,,
487,2470,216,9,202470,1,1,1.0,2.0,1,1,1,2,1,2,1,1,3,8,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,4,,2.0,7.0,4,2,3,,,99,,1,8873.0,2,3,60,3.0,5,4,4,4,4,4,4,77,2,6,4,1.0,2,1,3.653037328316086,372.36924999719463,2,26-Feb-16,26-Feb-16,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,1.0,2.0,,3.0,,,,,,,,,,,,,
488,2471,34,3,202471,1,1,1.0,2.0,1,1,1,2,1,2,1,0,4,3,1,1,2,1,1,2.0,1.0,1.0,9.0,1.0,35.0,2.0,3.0,5.0,,,,,,1.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1,3,1,1,2,4,,3.0,5.0,5,2,3,6.0,2.0,1,1992.0,1,10462.0,1,8,56,3.0,5,4,4,4,3,3,4,4,2,2,2,1.0,2,1,0.5308169100036986,54.1083698027853,1,24-Feb-16,24-Feb-16,,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,40.0,4.0,,,7.0,,1.0,8.0,1.0,7.0,,2.0,8.0,,,,,,,,,,,,,,,,,,
489,2478,361,5,202478,0,1,,,1,1,1,1,1,2,1,0,3,12,1,2,3,1,1,2.0,1.0,1.0,9.0,1.0,40.0,3.0,3.0,3.0,1.0,10.0,10.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1,1,1,2,3,15.0,2.0,3.0,5,2,3,2.0,1.0,1,1976.0,1,11364.0,2,1,1,,6,4,4,4,2,4,4,4,2,12,3,,2,1,0.6390256167949944,65.13853220455164,1,29-Feb-16,29-Feb-16,,1.0,1.0,1.0,1.0,1.0,77.0,3.0,1.0,40.0,2.0,2.0,2.0,,,2.0,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,
490,2479,1039,18,202479,1,1,1.0,2.0,1,1,1,1,1,2,1,1,1,2,1,1,3,1,1,2.0,1.0,1.0,77.0,1.0,35.0,1.0,2.0,,0.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1,4,1,1,2,4,,1.0,1.0,5,2,2,5.0,1.0,1,1990.0,1,11239.0,2,2,1,,4,4,4,2,4,4,4,3,2,8,4,1.0,2,1,0.7332172262073745,74.73987371865125,1,19-Mar-16,19-Mar-16,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,4.0,,,3.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
491,2497,83,5,202497,1,1,1.0,2.0,1,2,1,1,1,2,1,1,2,10,2,2,3,1,1,2.0,1.0,1.0,7.0,1.0,40.0,3.0,3.0,6.0,4.0,0.0,6.0,14.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,3,1,1,2,4,,1.0,5.0,4,2,4,2.0,1.0,99,,1,11364.0,2,3,21,3.0,6,4,4,4,1,4,4,4,2,12,5,1.0,2,1,1.167245406416207,118.9821667522432,1,25-Feb-16,25-Feb-16,,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,40.0,4.0,,,3.0,,2.0,3.0,21.0,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,
492,2502,919,6,202502,1,1,1.0,2.0,1,1,1,1,1,2,1,1,2,7,1,1,2,1,1,2.0,1.0,1.0,7.0,1.0,30.0,1.0,2.0,,1.0,5.0,5.0,77.0,77.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2,1,1,1,2,4,,3.0,1.0,5,2,2,1.0,1.0,1,1988.0,1,11203.0,2,2,1,,4,4,4,4,4,4,4,4,2,3,2,,99,1,0.7892134081015243,80.44779684689443,1,17-Mar-16,17-Mar-16,8.0,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
493,2506,827,15,202506,1,1,1.0,2.0,1,1,1,2,1,2,1,0,1,2,1,1,2,1,1,2.0,1.0,1.0,8.0,1.0,40.0,1.0,2.0,,0.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1,1,1,1,2,4,,3.0,5.0,5,2,3,6.0,2.0,1,1980.0,1,11201.0,2,1,1,,6,4,4,4,4,4,4,4,2,12,3,1.0,1,1,0.5814438289564207,59.26898168429154,1,15-Mar-16,15-Mar-16,14.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,40.0,1.0,2.0,8.0,6.0,,2.0,1.0,1.0,5.0,,2.0,5.0,,,,,,,,,,,,,,,,,,
