,clientid,resp,qrep,qkey,qcell,sc1,sc2,sc3,sc4,sc4b,sc4d,sc4d1,sc6,sc6a,sc7,mp1,ph1,bc1a,bc1,bc2,bc3,pph1,el1,el3,el4,el7,el8,el9,el10,el11,el12_1,el12mns,el13a,el13b,el13c,el13d,el13e,el14,el15,el17a,el17b,el17c,el17d,el17e,el17f,cp1,ih1,ih2,ih3,ih5,bf1_1,bf1wks,bf1a_1,bf2,mh1,mh2,mh4,cc1,sd2,d1,d1yob,d2,fixd2,d3,d4_1,d5,d6,d7,st1,st2,st3,st4,st5,es1a,es1b,es2,es3,es4,fulladra,qc1,lang,samp_weight,pop_weight,stratum,odate,fdate,el12wks,cp2,cp3,cp4,cp5,cp6a,cp6b,cp6c,cp7,cp8,cp9,cp10_1,cp10wks,bf1mns,d4_2,de1,de2_1,de3,bf1amns,el16,sd1_1,sd1mns,pph2a,pph2b,pph2c,ih5a_1,bf1awks,mh3,sd1wks,cp10mns,ih4_1,mh3a,de2_2,sc4b1,sc4b2,selchild,de2_3,ih4_2,ih4_3,ih5a_2
324,1768,1148,19,201768,1,1,1.0,2.0,1,1,2,1,1,2,1,1,3,11,1,2,2,1,1,2.0,1.0,1.0,9.0,1.0,37.0,3.0,3.0,6.0,8.0,2.0,0.0,12.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1,1,1,1,2,5,,3.0,,5,2,3,2.0,1.0,1,1986.0,1,11228.0,1,8,26,3.0,6,4,4,4,4,4,4,4,2,12,4,1.0,2,1,0.3700973828732107,37.72556163556878,1,22-Mar-16,22-Mar-16,,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,30.0,4.0,,,,,1.0,8.0,56.0,5.0,,,,,,,,,,,,,,,,,,,,,
325,1770,1389,22,201770,1,1,1.0,2.0,1,1,1,2,1,2,1,1,3,12,1,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,,,,5,2,1,,,1,1986.0,1,11202.0,2,2,1,,3,4,4,4,4,4,3,3,2,1,3,1.0,2,1,2.7729096105133086,282.65418039207907,2,25-Mar-16,25-Mar-16,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,1.0,2.0,3.0,,,1.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,
326,1782,984,19,201782,1,1,1.0,2.0,1,1,1,1,1,2,1,0,1,9,1,2,2,1,1,2.0,1.0,1.0,9.0,1.0,40.0,1.0,2.0,,0.0,0.0,8.0,0.0,0.0,1.0,2.0,,,,,,,1,3,1,1,2,4,,3.0,4.0,5,2,1,,,1,1988.0,1,10304.0,2,1,64,3.0,6,4,4,4,4,4,2,4,2,4,3,1.0,2,1,0.7427122973011488,75.7077457068328,1,18-Mar-16,18-Mar-16,8.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,30.0,2.0,1.0,,11.0,,2.0,1.0,64.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,
327,1796,898,19,201796,1,1,1.0,2.0,1,1,1,1,1,2,1,1,5,12,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,2,4,,3.0,4.0,5,2,3,,,1,1993.0,1,11418.0,2,4,40,3.0,4,4,4,4,4,4,4,4,1,2,4,1.0,2,1,2.2628349783603703,230.66015702278108,2,16-Mar-16,16-Mar-16,,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,9.0,1.0,1.0,,4.0,,2.0,4.0,76.0,4.0,,,,,,,,,,,,,,,,,,,,,
328,1797,1421,21,201797,1,1,1.0,2.0,1,1,1,1,1,2,1,1,4,8,1,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,1,4,,3.0,7.0,3,1,5,,,1,1984.0,1,11368.0,1,8,56,2.0,4,1,4,1,4,4,1,4,2,1,2,1.0,2,2,1.4517792672654657,147.9858836160082,2,26-Mar-16,26-Mar-16,,1.0,2.0,1.0,1.0,3.0,3.0,6.0,1.0,10.0,2.0,2.0,1.0,9.0,,1.0,99.0,56.0,3.0,,,,,,,5.0,,2.0,,,,,,,,,,,,
329,1798,143,8,201798,1,1,1.0,2.0,1,1,2,2,1,2,1,0,2,3,1,1,2,1,1,3.0,1.0,1.0,9.0,2.0,35.0,3.0,2.0,,1.0,6.0,0.0,6.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1,2,1,1,2,4,,1.0,1.0,5,2,2,3.0,1.0,1,1989.0,1,11234.0,2,2,1,,6,4,4,4,4,4,4,4,2,6,3,1.0,2,1,0.6513948425821009,66.39937870444602,1,25-Feb-16,17-Mar-16,12.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,40.0,1.0,2.0,1.0,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
330,1799,424,6,201799,1,1,1.0,2.0,1,1,1,2,1,1,1,1,3,10,1,1,2,1,1,2.0,1.0,2.0,77.0,2.0,36.0,1.0,2.0,,0.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1,3,1,1,2,3,4.0,3.0,1.0,5,2,3,2.0,1.0,1,1986.0,1,10468.0,1,8,26,2.0,5,4,4,4,4,4,2,4,2,5,4,1.0,1,2,0.617920763771656,62.98722697953109,1,2-Mar-16,2-Mar-16,4.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,38.0,4.0,,,,,1.0,8.0,26.0,5.0,,,,,,,,,,,,,,,,,,,,,
331,1800,1504,22,201800,1,1,1.0,2.0,1,1,1,1,1,2,1,2,3,2,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,4,,3.0,5.0,4,2,2,,,1,1980.0,1,11429.0,2,2,41,3.0,4,4,4,4,4,4,1,4,2,77,2,,1,1,0.7273464867651357,74.14144489174323,1,30-Mar-16,30-Mar-16,,99.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,777.0,,,,12.0,,2.0,2.0,41.0,7.0,,,,,,,,,,,,,,,,,,,,,
332,1801,433,8,201801,1,1,1.0,2.0,1,1,1,1,1,2,1,0,1,6,1,2,2,2,1,3.0,1.0,1.0,7.0,1.0,40.0,4.0,,,,,,,,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1,1,1,1,2,1,,,,4,1,1,5.0,2.0,1,1980.0,1,11375.0,2,3,63,3.0,6,4,4,4,4,4,4,4,2,12,3,,2,1,1.167245406416207,118.9821667522432,1,2-Mar-16,2-Mar-16,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,40.0,4.0,,,,,2.0,3.0,75.0,,,,,2.0,2.0,2.0,,,1.0,,,,3.0,,,,,,,,
333,1807,135,8,201807,1,1,1.0,2.0,1,1,1,2,1,2,1,1,1,8,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,4,,3.0,3.0,5,2,1,,,1,1977.0,1,10024.0,1,1,1,,6,4,2,4,4,4,4,4,2,12,4,1.0,1,1,0.29473435909820894,30.043495968434176,1,25-Feb-16,25-Feb-16,,1.0,1.0,1.0,2.0,4.0,6.0,2.0,1.0,60.0,1.0,2.0,1.0,11.0,,2.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,
334,1808,1362,21,201808,1,1,1.0,2.0,1,1,1,2,1,2,1,2,1,6,1,1,2,1,1,2.0,1.0,2.0,9.0,1.0,40.0,3.0,3.0,3.0,2.0,4.0,0.0,6.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2,1,1,1,2,4,,3.0,5.0,5,2,1,5.0,1.0,1,1977.0,1,11375.0,2,1,48,3.0,6,4,4,4,4,4,4,4,2,12,5,1.0,2,1,0.5788605352400658,59.005655838638354,1,25-Mar-16,25-Mar-16,,,,,,,,,,,,,,3.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
335,1817,937,10,201817,1,1,1.0,2.0,1,1,1,2,1,2,1,0,2,12,1,1,2,1,1,2.0,1.0,1.0,9.0,1.0,39.0,2.0,3.0,4.0,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,1,1,1,2,5,,3.0,,5,2,2,6.0,1.0,1,1984.0,1,10469.0,2,2,50,3.0,6,4,4,4,4,4,4,4,2,12,3,1.0,2,1,0.48775586248962544,49.71897858506664,1,17-Mar-16,17-Mar-16,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,2.0,77.0,,,,2.0,2.0,1.0,4.0,,2.0,10.0,,,,,,,,,,,,,,,,,,
